,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,CLSA3,2022-06-06,5.04,5.14,4.91,5.08,832800,2310,25,2043,4378,0,0
1,CLSA3,2022-06-07,5.02,5.06,4.7,4.89,1344400,3634,41,2840,6515,0,0
2,CLSA3,2022-06-08,4.92,4.97,4.47,4.52,1030700,2523,57,1985,4565,0,0
3,CLSA3,2022-06-09,4.33,4.4,4.11,4.12,1342500,2459,50,2513,5022,0,0
4,CLSA3,2022-06-10,4.07,4.24,4.0,4.08,1462400,2773,44,2765,5582,0,0
5,CLSA3,2022-06-13,3.98,4.17,3.83,3.87,1288800,2377,32,2265,4674,0,0
6,CLSA3,2022-06-14,3.87,3.94,3.69,3.75,1310700,2060,26,2437,4523,0,0
7,CLSA3,2022-06-15,3.86,4.14,3.85,4.13,1139500,2354,43,2572,4969,0,0
8,CLSA3,2022-06-17,3.93,4.0,3.73,3.78,838800,1574,368,1688,3313,317,0
9,CLSA3,2022-06-20,3.75,3.85,3.57,3.65,660100,1287,22,1582,2891,0,0
10,CLSA3,2022-06-21,3.68,3.8,3.53,3.56,490000,1299,248,1335,2663,219,0
11,CLSA3,2022-06-22,3.54,4.01,3.41,3.92,1232100,2062,38,2160,4259,1,0
12,CLSA3,2022-06-23,4.03,4.2,3.93,4.17,777900,1663,30,1521,3213,1,0
13,CLSA3,2022-06-24,4.25,4.41,4.06,4.2,751300,1702,181,1351,3071,163,0
14,CLSA3,2022-06-27,4.24,4.35,4.01,4.01,444400,1207,26,1282,2515,0,0
15,CLSA3,2022-06-28,4.0,4.0,3.68,3.9,1339100,1928,59,1879,3866,0,0
16,CLSA3,2022-06-29,3.91,4.06,3.75,3.92,1046700,1997,24,2004,4025,0,0
17,CLSA3,2022-06-30,3.9,4.0,3.74,3.8,743800,1671,34,2221,3926,0,0
18,CLSA3,2022-07-01,3.87,4.15,3.8,4.0,883100,1924,55,1680,3659,0,0
19,CLSA3,2022-07-04,3.95,4.33,3.95,4.19,773500,2095,28,1111,3234,0,0
20,CLSA3,2022-07-05,4.05,4.45,4.05,4.45,1194900,3098,48,2801,5946,1,0
21,CLSA3,2022-07-06,4.38,4.75,4.38,4.63,1474300,2783,1810,1752,4568,1777,0
22,CLSA3,2022-07-07,4.68,4.84,4.56,4.69,1041000,1595,21,1860,3476,0,0
23,CLSA3,2022-07-08,4.58,4.7,4.32,4.35,935800,1523,61,1757,3340,1,0
24,CLSA3,2022-07-11,4.24,4.24,3.92,3.97,1197100,1517,77,2236,3830,0,0
25,CLSA3,2022-07-12,3.9,3.9,3.66,3.83,1855700,2650,47,2280,4977,0,0
26,CLSA3,2022-07-13,3.83,4.12,3.79,3.97,1146500,2260,37,1655,3952,0,0
27,CLSA3,2022-07-14,3.86,4.09,3.75,4.03,963900,2668,28,1919,4615,0,0
28,CLSA3,2022-07-15,4.08,4.15,3.92,4.06,555800,1440,51,1417,2908,0,0
29,CLSA3,2022-07-18,4.2,4.31,3.93,3.93,905000,1454,26,1341,2821,0,0
