,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,CLSC4,2022-06-06,60.5,60.5,60.0,60.0,2000,4,0,4,8,0,0
1,CLSC4,2022-06-07,59.43,60.0,59.43,59.56,1000,3,0,7,10,0,0
2,CLSC4,2022-06-08,59.56,60.3,59.42,59.6,2300,9,0,12,21,0,0
3,CLSC4,2022-06-09,59.7,60.24,59.51,59.51,3100,9,2,17,28,0,0
4,CLSC4,2022-06-10,59.5,59.5,58.91,58.91,3400,4,2,12,18,0,0
5,CLSC4,2022-06-13,58.65,59.9,58.2,59.6,6700,31,0,16,47,0,0
6,CLSC4,2022-06-14,59.07,59.24,57.25,57.76,5800,4,1,32,36,1,0
7,CLSC4,2022-06-15,57.76,57.8,57.0,57.0,7800,3,0,33,36,0,0
8,CLSC4,2022-06-17,57.01,58.09,56.77,57.0,4200,9,0,19,28,0,0
9,CLSC4,2022-06-20,57.0,57.44,56.8,57.0,5200,13,0,31,44,0,0
10,CLSC4,2022-06-21,57.0,57.4,56.84,57.27,6800,22,1,25,48,0,0
11,CLSC4,2022-06-22,57.15,57.16,56.71,56.71,3200,4,1,17,22,0,0
12,CLSC4,2022-06-23,57.01,57.18,56.8,56.8,3400,3,0,6,9,0,0
13,CLSC4,2022-06-24,56.8,57.46,56.1,56.39,13800,6,0,21,27,0,0
14,CLSC4,2022-06-27,56.46,57.43,56.22,56.35,4400,7,0,28,35,0,0
15,CLSC4,2022-06-28,56.36,57.99,56.36,57.89,4200,22,0,5,27,0,0
16,CLSC4,2022-06-29,57.08,57.85,56.91,57.85,1700,7,0,7,14,0,0
17,CLSC4,2022-06-30,56.61,58.5,56.5,58.5,21300,34,15,39,88,0,0
18,CLSC4,2022-07-01,57.19,57.19,55.16,56.7,7600,24,0,31,55,0,0
19,CLSC4,2022-07-04,56.6,56.69,56.0,56.53,1400,9,0,4,13,0,0
20,CLSC4,2022-07-05,55.11,55.4,54.0,54.0,4400,5,0,15,20,0,0
21,CLSC4,2022-07-06,54.19,55.0,53.5,53.5,5400,16,0,19,35,0,0
22,CLSC4,2022-07-07,54.37,55.37,54.01,55.37,1700,13,0,4,17,0,0
23,CLSC4,2022-07-08,55.35,56.34,55.0,55.0,3500,7,1,10,17,1,0
24,CLSC4,2022-07-11,54.5,54.5,53.73,53.76,2600,4,0,16,20,0,0
25,CLSC4,2022-07-12,53.71,54.89,53.36,53.36,5300,21,0,27,48,0,0
26,CLSC4,2022-07-13,53.05,53.87,52.65,52.65,8200,33,0,40,73,0,0
27,CLSC4,2022-07-14,52.65,52.65,51.9,51.9,4700,5,0,28,33,0,0
28,CLSC4,2022-07-15,51.9,52.01,50.5,51.25,13300,14,0,63,77,0,0
29,CLSC4,2022-07-18,52.0,52.94,51.9,51.9,3800,10,0,10,20,0,0
30,CLSC4,2022-07-19,52.39,53.1,52.0,52.99,5300,18,0,21,39,0,0
31,CLSC4,2022-07-20,52.33,54.12,52.0,52.7,20100,34,0,48,82,0,0
32,CLSC4,2022-07-21,52.33,53.63,52.33,53.63,6500,12,1,11,23,1,0
33,CLSC4,2022-07-22,53.37,53.37,51.75,52.05,4600,14,0,22,36,0,0
34,CLSC4,2022-07-25,51.94,52.64,51.93,52.64,8800,12,0,33,45,0,0
35,CLSC4,2022-07-26,52.7,52.7,51.82,51.82,3500,12,0,18,30,0,0
36,CLSC4,2022-07-27,52.0,52.3,51.9,52.02,5700,13,0,26,39,0,0
37,CLSC4,2022-07-28,52.16,52.58,51.92,51.99,34900,20,0,47,67,0,0
38,CLSC4,2022-07-29,52.91,53.5,52.0,53.5,9200,26,2,41,69,0,0
39,CLSC4,2022-08-01,53.18,53.52,52.71,53.4,6800,10,0,26,36,0,0
40,CLSC4,2022-08-02,53.4,53.6,53.0,53.0,16400,19,9,40,68,0,0
41,CLSC4,2022-08-03,52.74,55.75,52.5,55.42,8000,25,9,18,52,0,0
42,CLSC4,2022-08-08,56.73,57.38,55.77,56.49,10900,13,0,58,71,0,0
43,CLSC4,2022-08-09,56.36,57.0,55.5,57.0,3600,9,0,17,26,0,0
44,CLSC4,2022-08-10,56.02,56.68,55.98,55.98,5700,9,0,32,41,0,0
45,CLSC4,2022-08-12,57.59,59.74,57.58,59.74,2000,10,0,4,14,0,0
46,CLSC4,2022-08-15,58.0,60.8,58.0,60.8,5900,18,8,10,36,0,0
47,CLSC4,2022-08-16,60.02,62.75,60.02,62.75,3600,21,0,5,26,0,0
48,CLSC4,2022-08-17,62.74,62.95,62.5,62.92,4800,20,6,8,34,0,0
49,CLSC4,2022-08-18,62.96,63.42,62.5,62.53,7300,5,0,11,16,0,0
50,CLSC4,2022-08-19,61.7,62.0,61.7,62.0,2500,3,0,8,11,0,0
51,CLSC4,2022-08-22,62.67,62.69,61.71,62.69,500,3,0,2,5,0,0
52,CLSC4,2022-08-23,63.2,63.2,62.02,62.02,2200,1,0,12,13,0,0
53,CLSC4,2022-08-24,61.29,61.9,60.75,61.9,2800,3,0,10,13,0,0
54,CLSC4,2022-08-25,62.69,62.69,61.21,61.95,4800,7,0,7,14,0,0
55,CLSC4,2022-08-26,62.62,62.62,61.59,62.0,3100,13,0,13,26,0,0
56,CLSC4,2022-08-29,62.38,62.59,62.04,62.09,900,5,0,4,9,0,0
57,CLSC4,2022-08-30,62.0,62.0,59.58,61.59,2000,5,0,15,20,0,0
58,CLSC4,2022-08-31,60.65,61.24,60.2,60.85,5600,20,0,21,41,0,0
59,CLSC4,2022-09-01,60.85,60.85,60.0,60.49,1200,3,0,9,12,0,0
60,CLSC4,2022-09-02,60.44,61.21,60.0,60.89,6600,8,0,9,17,0,0
61,CLSC4,2022-09-05,60.85,60.9,59.56,60.39,2300,12,0,3,15,0,0
62,CLSC4,2022-09-06,60.97,60.97,59.4,59.68,4500,7,0,19,26,0,0
63,CLSC4,2022-09-08,59.03,59.05,57.8,59.0,3500,4,0,30,34,0,0
64,CLSC4,2022-09-09,58.37,58.59,57.98,57.98,12600,13,0,71,84,0,0
65,CLSC4,2022-09-12,58.2,58.4,58.1,58.4,5900,4,0,3,7,0,0
66,CLSC4,2022-09-13,58.45,58.52,57.5,57.5,5700,3,1,24,28,0,0
67,CLSC4,2022-09-14,57.78,57.91,57.59,57.6,800,2,0,6,8,0,0
68,CLSC4,2022-09-15,57.59,57.6,57.59,57.6,300,0,0,2,2,0,0
69,CLSC4,2022-09-16,57.03,59.59,55.0,55.02,25100,9,32,15,56,0,0
70,CLSC4,2022-09-19,55.39,60.0,55.39,59.0,24000,29,1,7,36,1,0
71,CLSC4,2022-09-20,59.05,59.05,59.05,59.05,100,1,0,0,1,0,0
72,CLSC4,2022-09-21,58.98,59.5,58.95,59.15,3100,13,1,6,20,0,0
73,CLSC4,2022-09-22,59.0,59.0,59.0,59.0,400,0,1,0,0,1,0
74,CLSC4,2022-09-23,59.0,59.67,58.93,59.02,2000,9,0,5,14,0,0
75,CLSC4,2022-09-26,58.9,59.64,58.44,58.54,1300,9,0,1,10,0,0
76,CLSC4,2022-09-27,58.54,58.94,58.54,58.94,300,2,0,1,3,0,0
77,CLSC4,2022-09-28,58.31,59.24,57.82,57.82,2800,7,0,14,21,0,0
78,CLSC4,2022-09-29,57.7,58.69,57.7,58.69,900,2,0,7,9,0,0
79,CLSC4,2022-09-30,57.94,59.19,57.94,58.98,1900,6,0,6,12,0,0
80,CLSC4,2022-10-03,58.97,60.65,58.97,60.13,6800,26,0,13,39,0,0
81,CLSC4,2022-10-04,59.99,59.99,58.8,59.65,600,4,0,2,6,0,0
82,CLSC4,2022-10-05,59.47,59.47,58.0,58.22,5800,12,0,9,21,0,0
83,CLSC4,2022-10-06,58.5,58.5,58.49,58.49,500,2,1,0,2,1,0
84,CLSC4,2022-10-07,58.99,59.05,58.53,58.56,900,5,0,2,7,0,0
85,CLSC4,2022-10-10,58.53,60.22,57.84,60.22,8500,27,2,8,37,0,0
86,CLSC4,2022-10-11,59.94,59.96,58.4,58.4,2800,6,0,18,24,0,0
87,CLSC4,2022-10-13,58.9,59.39,58.9,59.1,10500,9,0,3,12,0,0
88,CLSC4,2022-10-14,59.5,59.5,59.5,59.5,100,1,0,0,1,0,0
89,CLSC4,2022-10-17,57.87,59.78,57.87,58.01,3000,6,0,19,25,0,0
90,CLSC4,2022-10-18,58.18,59.24,58.18,58.7,2400,7,1,5,13,0,0
91,CLSC4,2022-10-19,58.72,59.5,58.68,59.5,19000,24,2,6,32,0,0
92,CLSC4,2022-10-20,59.48,59.48,58.96,59.0,800,5,0,2,7,0,0
93,CLSC4,2022-10-21,59.38,59.5,58.96,59.5,5700,25,3,5,33,0,0
94,CLSC4,2022-10-24,59.54,59.54,59.48,59.5,1800,10,0,3,13,0,0
