,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,CMIG3,2022-06-06,15.41,15.44,14.92,14.92,97800,284,29,338,651,0,0
1,CMIG3,2022-06-07,14.88,14.96,14.43,14.75,220700,497,29,587,1113,0,0
2,CMIG3,2022-06-08,14.61,15.31,14.52,15.31,4548900,1666,45,1411,3122,0,0
3,CMIG3,2022-06-09,15.12,15.42,14.98,15.07,306800,947,42,888,1877,0,0
4,CMIG3,2022-06-10,14.91,15.2,14.73,14.9,290500,729,29,586,1344,0,0
5,CMIG3,2022-06-13,14.67,14.78,14.44,14.7,246500,546,35,468,1049,0,0
6,CMIG3,2022-06-14,14.69,15.18,14.68,15.1,458200,1072,56,864,1992,0,0
7,CMIG3,2022-06-15,15.41,16.16,15.24,15.9,4862300,2107,40,1385,3532,0,0
8,CMIG3,2022-06-17,15.9,16.08,15.6,16.02,573500,1494,57,1593,3144,0,0
9,CMIG3,2022-06-20,16.01,16.12,15.72,15.77,414300,663,26,766,1455,0,0
10,CMIG3,2022-06-21,16.0,16.0,15.66,15.71,183200,568,33,576,1177,0,0
11,CMIG3,2022-06-22,15.69,15.81,15.46,15.62,3827400,1178,44,1507,2727,2,0
12,CMIG3,2022-06-23,15.66,15.66,15.31,15.4,4758200,1415,65,1551,3031,0,0
13,CMIG3,2022-06-24,15.43,15.73,15.33,15.56,520300,1537,39,1600,3175,1,0
14,CMIG3,2022-06-27,15.57,16.1,15.33,16.1,4078200,1017,50,1267,2333,1,0
15,CMIG3,2022-06-28,16.21,16.47,15.32,15.39,4546000,1184,173,1334,2690,1,0
16,CMIG3,2022-06-29,15.4,15.61,15.06,15.08,347800,594,40,1235,1869,0,0
17,CMIG3,2022-06-30,14.89,15.3,14.71,15.12,1105300,1384,71,1279,2734,0,0
18,CMIG3,2022-07-01,15.16,15.37,14.92,15.37,327800,768,34,661,1463,0,0
19,CMIG3,2022-07-04,15.27,15.37,15.04,15.06,335300,769,25,742,1536,0,0
20,CMIG3,2022-07-05,14.99,16.02,14.76,15.76,1792700,2356,97,2201,4654,0,0
21,CMIG3,2022-07-06,15.73,15.82,15.27,15.4,386000,1352,47,890,2289,0,0
22,CMIG3,2022-07-07,15.55,15.75,15.44,15.53,316300,794,41,882,1717,0,0
23,CMIG3,2022-07-08,15.53,15.68,15.44,15.51,163600,418,31,451,900,0,0
24,CMIG3,2022-07-11,15.35,15.6,15.27,15.27,183800,418,45,457,920,0,0
25,CMIG3,2022-07-12,15.31,15.45,15.03,15.35,352000,861,36,838,1735,0,0
26,CMIG3,2022-07-13,15.31,16.15,15.28,15.96,11633000,822,63,752,1637,0,0
27,CMIG3,2022-07-14,15.85,16.23,15.83,15.89,424100,1258,29,1633,2920,0,0
28,CMIG3,2022-07-15,15.95,16.0,15.73,15.84,148100,435,37,353,825,0,0
29,CMIG3,2022-07-18,15.88,16.23,15.63,15.63,257100,809,32,705,1545,1,0
30,CMIG3,2022-07-19,15.71,15.78,15.38,15.7,306500,764,35,718,1517,0,0
31,CMIG3,2022-07-20,15.65,15.92,15.6,15.6,256200,857,50,824,1731,0,0
32,CMIG3,2022-07-21,15.5,15.92,15.47,15.82,220900,760,40,562,1362,0,0
33,CMIG3,2022-07-22,15.99,16.3,15.87,16.15,351200,845,44,833,1722,0,0
34,CMIG3,2022-07-25,16.32,16.5,16.24,16.32,132600,329,27,354,710,0,0
35,CMIG3,2022-07-26,16.32,16.5,16.18,16.31,94100,237,24,245,506,0,0
36,CMIG3,2022-07-27,16.3,17.12,16.2,16.98,336700,757,24,601,1382,0,0
37,CMIG3,2022-07-28,16.98,17.17,16.78,16.98,127700,435,26,246,707,0,0
38,CMIG3,2022-07-29,17.17,17.17,16.88,17.01,197800,502,50,414,966,0,0
39,CMIG3,2022-08-01,17.14,17.22,16.86,16.86,281700,793,32,925,1750,0,0
40,CMIG3,2022-08-02,17.04,17.27,16.86,17.1,247900,724,46,589,1359,0,0
41,CMIG3,2022-08-03,17.25,17.3,17.0,17.19,186400,382,45,408,835,0,0
42,CMIG3,2022-08-08,17.87,18.5,17.85,18.18,346800,676,28,766,1470,0,0
43,CMIG3,2022-08-09,18.22,18.67,18.22,18.65,344600,943,52,672,1667,0,0
44,CMIG3,2022-08-10,18.75,18.99,18.55,18.66,249400,860,48,826,1734,0,0
45,CMIG3,2022-08-12,18.57,18.97,18.57,18.93,108800,364,26,320,710,0,0
46,CMIG3,2022-08-15,19.04,19.46,18.64,18.76,345500,765,27,1120,1912,0,0
47,CMIG3,2022-08-16,18.82,18.87,18.6,18.76,115500,429,26,312,767,0,0
48,CMIG3,2022-08-17,18.71,19.88,18.63,19.79,279000,574,47,372,992,1,0
49,CMIG3,2022-08-18,19.88,19.98,19.3,19.46,275300,674,40,727,1441,0,0
50,CMIG3,2022-08-19,19.29,19.44,19.19,19.25,190300,515,33,493,1041,0,0
51,CMIG3,2022-08-22,19.25,19.39,19.07,19.25,214800,466,43,394,903,0,0
52,CMIG3,2022-08-23,19.35,19.5,19.28,19.39,129400,354,22,394,770,0,0
53,CMIG3,2022-08-24,19.5,19.57,19.29,19.33,147300,346,36,294,676,0,0
54,CMIG3,2022-08-25,19.32,19.36,18.89,19.1,243700,467,54,699,1220,0,0
55,CMIG3,2022-08-26,19.12,19.18,18.83,19.08,234900,453,52,545,1050,0,0
56,CMIG3,2022-08-29,18.94,19.06,18.77,18.85,248200,523,39,664,1225,1,0
57,CMIG3,2022-08-30,18.91,19.01,18.09,18.3,271800,483,54,800,1337,0,0
58,CMIG3,2022-08-31,18.2,18.66,18.13,18.31,395700,1063,38,832,1933,0,0
59,CMIG3,2022-09-01,18.1,18.55,17.89,18.45,764000,1195,46,1727,2968,0,0
60,CMIG3,2022-09-02,18.51,18.58,18.19,18.22,444800,495,96,1268,1858,1,0
61,CMIG3,2022-09-05,18.28,18.52,17.93,18.12,295100,535,58,784,1376,1,0
62,CMIG3,2022-09-06,18.03,18.22,17.8,18.03,219100,340,58,434,832,0,0
63,CMIG3,2022-09-08,18.23,18.54,18.13,18.2,358100,542,80,279,901,0,0
64,CMIG3,2022-09-09,18.47,18.49,18.15,18.15,169800,433,54,362,849,0,0
65,CMIG3,2022-09-12,18.43,18.43,18.02,18.11,173200,381,61,343,785,0,0
66,CMIG3,2022-09-13,18.04,18.04,17.64,17.66,301300,444,31,721,1196,0,0
67,CMIG3,2022-09-14,17.73,17.78,17.52,17.6,160200,279,40,161,480,0,0
68,CMIG3,2022-09-15,17.6,17.61,17.31,17.44,208600,236,29,279,544,0,0
69,CMIG3,2022-09-16,17.42,17.43,17.09,17.18,445300,148,68,159,375,0,0
70,CMIG3,2022-09-19,17.0,18.01,16.94,17.69,403800,1021,30,813,1864,0,0
71,CMIG3,2022-09-20,17.78,17.78,17.27,17.32,288900,518,67,607,1192,0,0
72,CMIG3,2022-09-21,17.29,17.45,17.1,17.1,292600,439,83,597,1119,0,0
73,CMIG3,2022-09-22,17.34,17.73,17.11,17.73,220400,471,56,518,1045,0,0
74,CMIG3,2022-09-23,17.69,18.4,17.44,17.94,390400,791,54,648,1493,0,0
75,CMIG3,2022-09-26,17.68,17.7,16.53,16.53,266500,479,78,557,1114,0,0
76,CMIG3,2022-09-27,16.8,16.85,15.93,16.15,361700,485,93,723,1301,0,0
77,CMIG3,2022-09-28,15.93,16.06,15.85,15.88,200600,347,52,398,797,0,0
78,CMIG3,2022-09-29,15.65,15.88,15.5,15.71,310200,543,94,518,1155,0,0
79,CMIG3,2022-09-30,15.7,16.28,15.66,16.1,635700,1101,64,897,2062,0,0
80,CMIG3,2022-10-03,16.72,18.39,16.71,17.92,820500,1584,78,891,2553,0,0
81,CMIG3,2022-10-04,18.3,18.51,17.16,17.4,573800,1301,74,1489,2864,0,0
82,CMIG3,2022-10-05,17.24,17.24,16.73,16.97,276700,666,79,533,1278,0,0
83,CMIG3,2022-10-06,17.02,17.02,16.55,16.75,275200,592,67,432,1091,0,0
