,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,CMIN3,2022-06-06,5.23,5.27,5.13,5.26,5984500,4255,179,2768,7202,0,0
1,CMIN3,2022-06-07,5.2,5.25,5.03,5.03,6373800,5547,119,2464,8130,0,0
2,CMIN3,2022-06-08,5.04,5.23,4.98,5.02,12623700,4453,92,5419,9964,0,0
3,CMIN3,2022-06-09,4.99,5.17,4.94,5.01,8675800,6321,138,4662,11120,1,0
4,CMIN3,2022-06-10,4.97,5.26,4.85,5.21,10563800,6683,146,4454,11283,0,0
5,CMIN3,2022-06-13,5.06,5.15,4.93,5.04,11004200,8319,240,6520,15079,0,0
6,CMIN3,2022-06-14,5.11,5.11,4.76,4.79,8895700,3506,186,6644,10336,0,0
7,CMIN3,2022-06-15,4.82,4.85,4.65,4.77,11305900,6138,121,6370,12625,4,0
8,CMIN3,2022-06-17,4.6,4.64,4.47,4.52,10302300,5163,302,6930,12395,0,0
9,CMIN3,2022-06-20,4.37,4.44,4.32,4.36,8062800,3074,297,4424,7795,0,0
10,CMIN3,2022-06-21,4.42,4.46,4.29,4.32,6499600,3325,146,4272,7742,1,0
11,CMIN3,2022-06-22,4.19,4.28,4.14,4.23,7512900,3816,285,4154,8254,1,0
12,CMIN3,2022-06-23,4.3,4.35,4.09,4.11,10209200,3167,224,5277,8667,1,0
13,CMIN3,2022-06-24,4.16,4.19,4.07,4.15,8465400,4148,100,2853,7101,0,0
14,CMIN3,2022-06-27,4.26,4.31,4.21,4.24,5054400,3038,181,2006,5222,3,0
15,CMIN3,2022-06-28,4.3,4.32,4.15,4.15,6903100,3114,217,3027,6357,1,0
16,CMIN3,2022-06-29,4.21,4.22,4.09,4.09,7000300,3157,128,3708,6993,0,0
17,CMIN3,2022-06-30,4.07,4.08,3.86,3.87,16174500,4822,263,11168,16253,0,0
18,CMIN3,2022-07-01,3.84,3.86,3.67,3.83,9434300,4395,250,5711,10356,0,0
