,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,COCE5,2022-06-06,49.8,49.9,49.3,49.49,7200,32,1,19,52,0,0
1,COCE5,2022-06-07,49.49,49.59,49.49,49.59,800,7,0,0,7,0,0
2,COCE5,2022-06-08,49.8,49.8,47.68,48.45,4700,9,0,26,35,0,0
3,COCE5,2022-06-09,48.4,48.4,47.5,47.5,6700,9,0,34,43,0,0
4,COCE5,2022-06-10,47.78,48.29,45.01,48.2,45700,137,1,161,298,1,0
5,COCE5,2022-06-13,47.35,49.62,46.11,48.77,8000,19,8,18,45,0,0
6,COCE5,2022-06-14,48.98,49.27,47.2,48.0,8300,25,9,30,64,0,0
7,COCE5,2022-06-15,48.58,49.29,47.21,49.29,14700,13,14,15,42,0,0
8,COCE5,2022-06-17,48.34,48.99,46.72,48.99,10100,11,14,22,47,0,0
9,COCE5,2022-06-20,48.4,49.75,47.11,47.59,12200,26,0,63,89,0,0
10,COCE5,2022-06-21,47.75,49.25,47.65,48.4,3900,23,0,8,31,0,0
11,COCE5,2022-06-22,48.4,49.04,47.88,48.22,3000,10,0,18,28,0,0
12,COCE5,2022-06-23,48.56,49.95,48.0,48.96,3000,17,0,12,29,0,0
13,COCE5,2022-06-24,49.11,51.9,49.11,51.04,4500,27,0,16,43,0,0
14,COCE5,2022-06-27,51.01,51.71,50.71,51.0,5500,17,4,10,31,0,0
15,COCE5,2022-06-28,51.0,51.33,49.0,51.05,6600,24,2,28,52,2,0
16,COCE5,2022-06-29,51.65,52.28,49.58,49.58,6500,10,0,36,46,0,0
17,COCE5,2022-06-30,48.56,50.3,47.9,49.4,9400,30,4,18,52,0,0
18,COCE5,2022-07-01,49.46,49.46,48.01,48.01,15300,16,16,51,83,0,0
19,COCE5,2022-07-04,47.03,47.05,46.08,46.08,5400,3,7,11,21,0,0
20,COCE5,2022-07-05,46.06,46.31,45.0,45.0,8200,20,0,33,53,0,0
21,COCE5,2022-07-06,45.07,46.49,44.9,44.9,6800,14,0,20,34,0,0
22,COCE5,2022-07-07,45.63,46.97,45.61,45.7,15300,48,0,61,109,0,0
23,COCE5,2022-07-08,45.33,47.31,45.28,47.31,5900,8,20,11,39,0,0
24,COCE5,2022-07-11,46.73,49.5,46.73,48.15,14900,56,2,34,92,0,0
25,COCE5,2022-07-12,48.09,48.43,47.75,48.1,2700,15,0,8,23,0,0
26,COCE5,2022-07-13,48.0,48.0,46.81,46.81,5900,2,7,15,24,0,0
27,COCE5,2022-07-14,46.31,47.45,46.3,46.65,6200,15,2,16,31,2,0
28,COCE5,2022-07-15,46.65,46.65,45.9,45.9,7100,14,9,16,39,0,0
29,COCE5,2022-07-18,46.26,46.37,45.6,45.6,4500,2,6,12,20,0,0
30,COCE5,2022-07-19,45.6,46.98,45.11,46.98,4700,16,0,16,32,0,0
31,COCE5,2022-07-20,46.99,47.05,46.05,46.05,24000,7,2,5,14,0,0
32,COCE5,2022-07-21,45.62,46.49,45.62,46.0,6900,4,1,6,11,0,0
33,COCE5,2022-07-22,45.99,46.44,45.81,46.44,1300,6,0,2,8,0,0
34,COCE5,2022-07-25,47.76,47.76,46.25,46.25,1000,6,0,4,10,0,0
35,COCE5,2022-07-26,46.25,47.0,45.7,45.7,3600,13,1,12,25,1,0
36,COCE5,2022-07-27,45.79,46.39,45.21,45.39,7400,18,3,19,40,0,0
37,COCE5,2022-07-28,45.5,46.0,45.4,45.4,3700,12,0,21,33,0,0
38,COCE5,2022-07-29,45.93,46.78,45.41,46.78,5200,18,0,14,32,0,0
39,COCE5,2022-08-01,46.2,47.2,46.2,46.74,6600,15,2,10,27,0,0
40,COCE5,2022-08-02,46.84,49.52,46.35,48.8,11700,53,4,40,97,0,0
41,COCE5,2022-08-03,48.3,49.0,48.3,48.31,3400,6,0,13,19,0,0
42,COCE5,2022-08-08,48.89,50.0,48.23,48.23,12000,15,8,14,37,0,0
43,COCE5,2022-08-09,48.39,48.5,48.22,48.22,9000,0,5,6,11,0,0
44,COCE5,2022-08-10,48.63,49.57,47.61,48.25,5600,11,1,29,40,1,0
45,COCE5,2022-08-12,48.48,49.09,48.48,49.0,9500,3,2,3,8,0,0
46,COCE5,2022-08-15,48.52,49.95,48.48,49.95,11800,35,0,20,55,0,0
47,COCE5,2022-08-16,49.85,50.0,49.22,49.6,9100,14,3,14,31,0,0
48,COCE5,2022-08-17,49.49,49.96,48.7,49.89,11000,16,5,22,43,0,0
49,COCE5,2022-08-18,49.15,49.42,48.33,48.6,14300,10,7,23,40,0,0
50,COCE5,2022-08-19,48.8,48.8,48.39,48.57,6500,1,2,3,5,1,0
51,COCE5,2022-08-22,48.16,48.39,48.01,48.15,1200,6,0,5,11,0,0
52,COCE5,2022-08-23,48.6,48.6,47.56,47.56,14500,20,0,37,57,0,0
53,COCE5,2022-08-24,47.7,47.87,47.0,47.3,12500,20,10,39,69,0,0
54,COCE5,2022-08-25,47.3,47.31,46.7,46.87,27400,17,0,57,74,0,0
55,COCE5,2022-08-26,46.7,46.72,46.15,46.15,12700,16,7,25,48,0,0
56,COCE5,2022-08-29,46.35,46.78,46.01,46.22,9700,14,0,30,44,0,0
57,COCE5,2022-08-30,46.05,46.17,45.2,46.1,68100,77,5,87,169,0,0
58,COCE5,2022-08-31,46.42,46.42,43.5,45.0,94700,85,14,163,262,0,0
59,COCE5,2022-09-01,45.08,46.97,44.75,46.15,32900,124,0,132,256,0,0
60,COCE5,2022-09-02,46.99,46.99,45.62,45.99,16500,21,8,10,39,0,0
61,COCE5,2022-09-05,46.12,46.49,46.02,46.49,1200,6,0,6,12,0,0
62,COCE5,2022-09-06,46.49,46.5,45.33,45.46,9200,21,9,9,39,0,0
63,COCE5,2022-09-08,45.54,46.69,44.99,46.15,3400,10,0,21,31,0,0
64,COCE5,2022-09-09,46.2,46.21,44.95,45.13,11500,31,0,49,80,0,0
65,COCE5,2022-09-12,45.18,46.12,44.06,44.06,10000,37,2,34,73,0,0
66,COCE5,2022-09-13,44.07,44.7,43.92,44.57,4300,17,0,17,34,0,0
67,COCE5,2022-09-14,44.57,45.22,44.57,45.09,5800,10,0,16,26,0,0
68,COCE5,2022-09-15,45.05,45.25,44.35,44.9,4100,11,10,7,28,0,0
69,COCE5,2022-09-16,44.39,45.0,44.11,45.0,4800,16,1,12,29,0,0
70,COCE5,2022-09-19,45.0,45.0,44.3,44.8,21400,11,6,67,84,0,0
71,COCE5,2022-09-20,44.51,44.96,43.6,44.1,14900,17,10,51,68,10,0
72,COCE5,2022-09-21,44.53,44.88,44.01,44.88,12900,22,12,46,68,12,0
73,COCE5,2022-09-22,44.36,46.11,44.36,45.49,8300,25,0,10,35,0,0
74,COCE5,2022-09-23,44.95,46.86,44.77,46.5,26000,46,0,46,92,0,0
75,COCE5,2022-09-26,45.22,45.79,45.05,45.15,5100,14,0,23,37,0,0
76,COCE5,2022-09-27,45.16,45.18,44.85,44.85,2300,13,0,7,20,0,0
77,COCE5,2022-09-28,44.88,45.5,44.88,45.3,26900,18,1,24,43,0,0
78,COCE5,2022-09-29,44.9,45.24,44.01,45.23,4300,11,6,18,35,0,0
79,COCE5,2022-09-30,44.81,46.0,44.81,45.5,4400,20,0,10,30,0,0
80,COCE5,2022-10-03,45.2,48.0,45.2,47.5,18200,29,4,14,47,0,0
81,COCE5,2022-10-04,46.57,49.84,46.57,48.3,5700,24,0,17,41,0,0
82,COCE5,2022-10-05,47.68,48.6,47.68,48.01,700,2,0,4,6,0,0
83,COCE5,2022-10-06,48.77,49.6,47.61,49.6,12800,25,12,11,48,0,0
84,COCE5,2022-10-07,49.01,49.02,48.0,48.0,3300,8,0,22,30,0,0
85,COCE5,2022-10-10,48.76,49.78,48.46,48.46,5400,24,5,9,38,0,0
86,COCE5,2022-10-11,49.0,49.55,46.61,48.08,8400,12,7,38,57,0,0
87,COCE5,2022-10-13,47.76,48.69,47.76,47.97,6900,6,7,5,18,0,0
88,COCE5,2022-10-14,47.51,47.97,47.3,47.3,3400,10,0,16,26,0,0
89,COCE5,2022-10-17,47.32,48.42,47.32,47.7,3800,15,0,10,25,0,0
90,COCE5,2022-10-18,48.43,49.39,47.35,48.15,15800,30,5,40,75,0,0
91,COCE5,2022-10-19,48.12,48.12,47.02,47.02,20400,2,12,2,16,0,0
92,COCE5,2022-10-20,47.4,48.63,46.41,46.9,14400,35,1,41,76,1,0
93,COCE5,2022-10-21,46.9,47.49,46.58,46.58,3700,11,0,17,28,0,0
94,COCE5,2022-10-24,46.58,46.81,45.99,46.0,8700,3,8,17,28,0,0
95,COCE5,2022-10-25,46.07,46.2,45.66,45.9,6300,15,0,19,34,0,0
96,COCE5,2022-10-26,46.0,46.0,44.5,44.5,7100,7,0,21,28,0,0
97,COCE5,2022-10-27,45.0,47.22,45.0,45.45,20200,60,0,37,97,0,0
98,COCE5,2022-10-28,45.45,47.04,45.45,46.07,8200,27,0,35,62,0,0
99,COCE5,2022-10-31,45.26,45.26,42.43,42.43,419200,95,28,209,332,0,0
100,COCE5,2022-11-01,42.86,43.72,42.0,42.9,58900,61,0,114,175,0,0
101,COCE5,2022-11-03,42.7,44.7,42.59,44.7,12000,32,1,43,76,0,0
102,COCE5,2022-11-04,44.86,44.86,43.52,44.3,31000,48,3,47,98,0,0
103,COCE5,2022-11-07,43.67,43.93,43.44,43.44,1800,5,0,13,18,0,0
104,COCE5,2022-11-08,43.99,44.0,43.51,43.51,2100,7,0,5,12,0,0
105,COCE5,2022-11-09,43.44,43.65,42.81,42.81,5500,14,0,30,44,0,0
106,COCE5,2022-11-10,42.69,42.69,40.52,42.5,24700,38,0,72,110,0,0
107,COCE5,2022-11-14,41.69,42.08,40.57,41.15,43300,35,3,34,72,0,0
108,COCE5,2022-11-17,40.39,41.11,39.49,39.6,14600,29,0,73,102,0,0
109,COCE5,2022-11-18,40.0,41.98,39.5,39.79,47900,64,0,65,129,0,0
110,COCE5,2022-11-21,40.34,40.34,35.0,37.0,358700,150,65,170,384,1,0
111,COCE5,2022-11-22,39.81,44.98,38.4,42.5,331400,436,22,270,725,3,0
