,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,COGN3,2022-06-06,2.61,2.64,2.49,2.5,22706300,3844,126,10467,14435,2,0
1,COGN3,2022-06-07,2.49,2.54,2.44,2.51,16194600,3187,165,5469,8820,1,0
2,COGN3,2022-06-08,2.46,2.58,2.45,2.54,28133400,5955,98,4858,10910,1,0
3,COGN3,2022-06-09,2.54,2.62,2.5,2.56,25218800,8214,155,4036,12405,0,0
4,COGN3,2022-06-10,2.53,2.57,2.48,2.5,29245300,8960,140,12442,21541,1,0
5,COGN3,2022-06-13,2.46,2.47,2.28,2.31,47172600,13511,219,9881,23611,0,0
6,COGN3,2022-06-14,2.31,2.36,2.21,2.22,26229500,6139,111,6969,13217,2,0
7,COGN3,2022-06-15,2.28,2.38,2.26,2.33,40374600,9399,580,6848,16460,367,0
8,COGN3,2022-06-17,2.25,2.42,2.25,2.35,32591800,7624,582,7981,15831,356,0
9,COGN3,2022-06-20,2.38,2.42,2.29,2.31,23238100,3017,330,6460,9554,253,0
10,COGN3,2022-06-21,2.33,2.38,2.18,2.2,40461400,4659,172,11610,16440,1,0
11,COGN3,2022-06-22,2.15,2.3,2.14,2.25,33398100,6429,219,10133,16780,1,0
12,COGN3,2022-06-23,2.26,2.32,2.22,2.24,27202900,6906,133,4385,11424,0,0
13,COGN3,2022-06-24,2.28,2.3,2.18,2.2,39525900,6603,162,12153,18916,2,0
14,COGN3,2022-06-27,2.21,2.24,2.16,2.18,17439300,4082,142,6234,10458,0,0
15,COGN3,2022-06-28,2.19,2.24,2.13,2.15,30296300,6366,148,6584,13098,0,0
16,COGN3,2022-06-29,2.16,2.2,2.11,2.15,37081500,7012,112,9841,16965,0,0
17,COGN3,2022-06-30,2.11,2.2,2.1,2.14,33316700,21894,156,8891,30940,1,0
18,COGN3,2022-07-01,2.14,2.16,2.05,2.06,36950000,5214,160,11968,17342,0,0
19,COGN3,2022-07-04,2.05,2.08,2.0,2.0,18164100,2199,191,4817,7206,1,0
20,COGN3,2022-07-05,2.01,2.11,1.95,2.09,38657900,3423,193,7151,10767,0,0
21,COGN3,2022-07-06,2.04,2.28,2.04,2.27,51737900,11329,208,13925,25461,1,0
22,COGN3,2022-07-07,2.27,2.41,2.22,2.36,47059200,21385,121,7686,29190,2,0
23,COGN3,2022-07-08,2.35,2.46,2.3,2.42,41717100,5660,152,10051,15862,1,0
24,COGN3,2022-07-11,2.36,2.42,2.31,2.33,26810000,4537,169,7701,12407,0,0
25,COGN3,2022-07-12,2.31,2.49,2.31,2.41,38062500,6106,120,5878,12104,0,0
26,COGN3,2022-07-13,2.37,2.42,2.29,2.32,29827300,5030,125,9616,14771,0,0
27,COGN3,2022-07-14,2.3,2.41,2.29,2.38,29517200,4629,172,6956,11754,3,0
28,COGN3,2022-07-15,2.39,2.45,2.33,2.42,35004600,4692,132,9726,14547,3,0
29,COGN3,2022-07-18,2.44,2.51,2.38,2.4,26943600,3661,144,5776,9580,1,0
30,COGN3,2022-07-19,2.42,2.43,2.3,2.34,27936200,4859,152,9719,14730,0,0
31,COGN3,2022-07-20,2.27,2.34,2.17,2.32,57092300,17837,295,6929,25061,0,0
32,COGN3,2022-07-21,2.3,2.34,2.26,2.29,22280800,3608,223,5576,9406,1,0
33,COGN3,2022-07-22,2.32,2.33,2.2,2.21,22603100,2816,151,6791,9757,1,0
34,COGN3,2022-07-25,2.23,2.26,2.2,2.21,14753900,4146,124,4130,8399,1,0
35,COGN3,2022-07-26,2.22,2.23,2.11,2.13,18627100,3386,100,6050,9536,0,0
36,COGN3,2022-07-27,2.15,2.28,2.14,2.25,30367400,24151,135,4513,28799,0,0
37,COGN3,2022-07-28,2.24,2.29,2.2,2.26,14126500,5727,169,3197,9025,68,0
38,COGN3,2022-07-29,2.28,2.31,2.23,2.24,15526000,8192,150,2884,11225,1,0
39,COGN3,2022-08-01,2.25,2.33,2.23,2.27,20031000,4531,68,4876,9475,0,0
40,COGN3,2022-08-02,2.28,2.3,2.23,2.24,20360500,3960,125,5474,9559,0,0
41,COGN3,2022-08-03,2.25,2.4,2.24,2.38,26122000,4727,148,4131,9004,2,0
42,COGN3,2022-08-08,2.57,2.62,2.55,2.59,14797600,6800,131,4844,11775,0,0
43,COGN3,2022-08-09,2.59,2.61,2.48,2.55,14021000,7386,143,6057,13584,2,0
44,COGN3,2022-08-10,2.57,2.74,2.57,2.63,30300100,14573,131,5209,19910,3,0
45,COGN3,2022-08-12,2.58,2.77,2.57,2.71,53057800,20517,171,10999,31687,0,0
46,COGN3,2022-08-15,2.65,2.79,2.64,2.75,36561800,9257,108,11164,20528,1,0
