,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,CPFE3,2022-06-06,35.41,35.48,33.9,34.42,2792400,5211,144,8711,14066,0,0
1,CPFE3,2022-06-07,34.06,34.9,33.51,34.9,2387700,4320,196,5811,10327,0,0
2,CPFE3,2022-06-08,34.37,34.95,33.94,34.05,2804900,6298,181,5138,11615,2,0
3,CPFE3,2022-06-09,34.05,34.13,32.82,33.1,4072600,9538,206,5577,15320,1,0
4,CPFE3,2022-06-10,32.77,33.52,31.71,31.92,5866000,10137,144,8532,18809,4,0
5,CPFE3,2022-06-13,31.51,31.83,30.74,31.31,3864800,6278,228,7763,14268,1,0
6,CPFE3,2022-06-14,31.6,32.44,31.34,32.38,4224000,12032,142,6868,19035,7,0
7,CPFE3,2022-06-15,32.66,33.16,32.06,32.49,5445100,9882,274,7556,17642,70,0
8,CPFE3,2022-06-17,32.48,33.38,32.23,32.92,3713100,5750,309,6206,12187,78,0
9,CPFE3,2022-06-20,33.46,34.06,32.68,33.62,1706000,3568,187,4097,7800,52,0
10,CPFE3,2022-06-21,33.88,33.96,32.32,32.4,1896700,5116,213,4078,9355,52,0
11,CPFE3,2022-06-22,32.31,32.55,32.04,32.1,1679200,3638,203,4540,8340,41,0
12,CPFE3,2022-06-23,32.08,32.08,31.3,31.3,1996900,3275,251,2603,6094,35,0
13,CPFE3,2022-06-24,31.7,31.7,30.53,30.78,2372900,5280,189,4712,10155,26,0
14,CPFE3,2022-06-27,30.91,31.94,30.7,31.78,1786300,2939,169,3259,6349,18,0
15,CPFE3,2022-06-28,31.58,32.4,30.97,31.46,1951300,3875,151,4180,8206,0,0
16,CPFE3,2022-06-29,31.48,31.6,30.85,30.95,1694200,2909,153,3975,7012,25,0
17,CPFE3,2022-06-30,30.5,31.19,30.3,30.71,1942500,2749,177,4248,7174,0,0
18,CPFE3,2022-07-01,30.88,32.27,30.63,32.13,1807000,4366,137,4489,8992,0,0
19,CPFE3,2022-07-04,32.08,32.17,30.98,31.1,1226400,2530,103,2848,5480,1,0
20,CPFE3,2022-07-05,30.96,31.29,30.47,30.47,1157600,2613,113,3014,5740,0,0
21,CPFE3,2022-07-06,30.5,30.71,30.25,30.55,2500500,5262,157,5395,10814,0,0
22,CPFE3,2022-07-07,30.97,31.67,30.87,31.54,1539100,2869,138,4057,7063,1,0
23,CPFE3,2022-07-08,31.44,31.85,31.26,31.28,1231000,2614,74,2867,5555,0,0
24,CPFE3,2022-07-11,31.15,31.35,30.41,30.52,1564000,3611,132,3606,7349,0,0
25,CPFE3,2022-07-12,30.53,31.25,30.46,31.2,1540600,3834,119,3420,7372,1,0
26,CPFE3,2022-07-13,30.8,30.96,30.5,30.7,1529300,5187,104,4466,9757,0,0
27,CPFE3,2022-07-14,30.61,31.48,30.31,31.42,1438000,3833,112,2850,6795,0,0
28,CPFE3,2022-07-15,31.17,32.0,30.67,31.95,1801400,4155,120,3256,7531,0,0
29,CPFE3,2022-07-18,31.8,32.37,31.51,31.77,2010500,4561,112,4755,9427,1,0
30,CPFE3,2022-07-19,31.87,32.12,31.6,31.85,1433900,3719,110,2828,6657,0,0
31,CPFE3,2022-07-20,31.67,32.49,31.55,32.4,3582100,7186,117,5162,12464,1,0
32,CPFE3,2022-07-21,32.36,32.61,31.7,32.28,1231300,2778,117,2469,5362,2,0
33,CPFE3,2022-07-22,32.14,32.58,31.84,32.18,1448100,3120,114,3583,6817,0,0
34,CPFE3,2022-07-25,32.3,32.89,32.18,32.86,907400,2167,98,2845,5110,0,0
35,CPFE3,2022-07-26,32.67,32.87,31.24,31.66,1959100,4009,127,5112,9248,0,0
36,CPFE3,2022-07-27,31.77,32.22,31.37,32.19,1959500,4121,127,4031,8278,1,0
37,CPFE3,2022-07-28,32.11,32.75,32.05,32.55,1354900,4295,162,3702,8151,8,0
38,CPFE3,2022-07-29,32.5,32.92,32.17,32.64,1857600,3436,157,2903,6495,1,0
39,CPFE3,2022-08-01,33.23,33.3,32.8,33.05,1742400,4410,184,5070,9664,0,0
40,CPFE3,2022-08-02,33.05,33.05,32.32,32.51,1414800,3232,145,2890,6267,0,0
41,CPFE3,2022-08-03,32.5,32.5,31.84,32.2,1917800,3842,148,5079,9068,1,0
42,CPFE3,2022-08-08,33.29,34.05,33.04,33.86,2712500,4790,150,3703,8643,0,0
43,CPFE3,2022-08-09,33.75,34.04,33.18,33.35,1405600,2787,123,2653,5561,2,0
44,CPFE3,2022-08-10,33.88,33.99,33.22,33.93,1840200,4591,193,2743,7525,2,0
45,CPFE3,2022-08-12,35.8,35.8,33.8,34.09,2639000,3931,413,5325,9668,1,0
46,CPFE3,2022-08-15,34.19,35.32,33.93,34.92,1945900,4552,146,6045,10743,0,0
47,CPFE3,2022-08-16,34.65,35.15,34.55,35.08,1646000,5433,123,4906,10461,1,0
48,CPFE3,2022-08-17,34.57,35.97,34.33,35.51,5194600,7060,127,5217,12403,1,0
49,CPFE3,2022-08-18,35.58,36.47,35.28,36.23,2947500,4670,130,6850,11647,3,0
50,CPFE3,2022-08-19,35.96,36.4,35.88,36.19,1878700,4577,125,4626,9328,0,0
51,CPFE3,2022-08-22,36.06,36.62,35.96,36.37,1383300,2832,144,3510,6485,1,0
52,CPFE3,2022-08-23,36.27,36.58,35.86,35.96,1048200,2917,117,3368,6402,0,0
53,CPFE3,2022-08-24,35.96,36.13,35.57,35.73,1987500,5641,133,3575,9349,0,0
54,CPFE3,2022-08-25,35.79,35.94,35.33,35.62,1605500,3148,140,3699,6987,0,0
55,CPFE3,2022-08-26,35.63,35.82,35.08,35.34,1957500,3640,116,3841,7596,1,0
56,CPFE3,2022-08-29,35.35,35.65,35.05,35.43,2458500,5202,103,4511,9814,2,0
57,CPFE3,2022-08-30,35.33,35.66,34.54,34.79,2356200,4040,168,4128,8336,0,0
58,CPFE3,2022-08-31,34.96,35.77,34.79,35.18,4313800,4791,248,5761,10800,0,0
59,CPFE3,2022-09-01,35.04,35.76,34.28,35.72,2745100,5461,160,5159,10780,0,0
60,CPFE3,2022-09-02,36.0,36.09,35.59,35.85,1576300,4450,207,3151,7808,0,0
61,CPFE3,2022-09-05,35.98,36.29,35.6,36.12,1968700,5049,182,4132,9346,17,0
62,CPFE3,2022-09-06,36.0,36.32,35.5,36.21,2099700,4418,143,4339,8898,2,0
63,CPFE3,2022-09-08,36.62,37.06,35.24,35.57,2402100,4714,187,5048,9949,0,0
64,CPFE3,2022-09-09,35.9,35.9,35.08,35.25,1770000,3203,126,3635,6964,0,0
65,CPFE3,2022-09-12,35.67,35.7,34.91,35.21,2006700,3870,120,6208,10197,1,0
66,CPFE3,2022-09-13,35.34,35.36,34.33,34.56,2268500,4249,124,6910,11282,1,0
67,CPFE3,2022-09-14,34.44,34.53,34.06,34.34,3181900,5833,139,6234,12205,1,0
68,CPFE3,2022-09-15,34.39,34.67,34.1,34.49,1440700,3176,139,4051,7366,0,0
69,CPFE3,2022-09-16,34.34,35.28,34.2,35.0,11641200,6340,1267,6302,12818,1091,0
70,CPFE3,2022-09-19,34.59,34.94,34.14,34.76,1465000,4148,133,2846,7127,0,0
71,CPFE3,2022-09-20,34.63,34.85,34.18,34.69,2520600,4023,123,4392,8535,3,0
72,CPFE3,2022-09-21,34.67,34.87,34.41,34.5,2087100,4626,179,4143,8948,0,0
73,CPFE3,2022-09-22,34.98,35.77,34.46,35.29,2269700,4735,121,4648,9504,0,0
74,CPFE3,2022-09-23,35.0,36.5,34.83,35.95,2878900,4555,121,5960,10634,2,0
75,CPFE3,2022-09-26,35.83,35.83,34.58,34.6,1875500,4011,175,6262,10448,0,0
76,CPFE3,2022-09-27,34.67,34.8,33.64,33.91,2385500,3986,156,6055,10197,0,0
77,CPFE3,2022-09-28,34.09,34.49,33.78,34.0,1581700,3136,139,4353,7628,0,0
78,CPFE3,2022-09-29,33.96,34.0,33.27,33.55,2748600,6288,180,7119,13586,1,0
79,CPFE3,2022-09-30,33.59,33.96,33.27,33.96,1846300,3831,141,4422,8392,2,0
80,CPFE3,2022-10-03,34.25,35.89,34.12,35.54,2831200,6272,152,7299,13722,1,0
81,CPFE3,2022-10-04,35.85,36.15,34.93,35.22,2111200,4900,119,5713,10732,0,0
82,CPFE3,2022-10-05,35.39,35.48,33.79,34.36,3348800,6615,167,6190,12971,1,0
83,CPFE3,2022-10-06,34.63,34.63,33.45,33.64,5641300,7102,135,7543,14772,8,0
84,CPFE3,2022-10-07,33.41,33.7,33.31,33.59,2920900,2998,1271,7850,10995,1124,0
85,CPFE3,2022-10-10,33.7,33.81,33.3,33.55,1930600,4035,124,3708,7865,2,0
86,CPFE3,2022-10-11,33.63,34.48,33.53,34.0,2350200,4960,146,6716,11822,0,0
87,CPFE3,2022-10-13,33.95,34.56,33.53,34.13,1978500,4040,172,6356,10565,3,0
88,CPFE3,2022-10-14,33.88,34.71,33.72,33.87,1359900,2777,152,3784,6713,0,0
89,CPFE3,2022-10-17,34.39,34.92,34.17,34.54,1681900,3741,151,3457,7349,0,0
90,CPFE3,2022-10-18,34.42,35.06,34.14,34.46,2148900,5550,141,3943,9634,0,0
91,CPFE3,2022-10-19,34.35,34.78,34.02,34.3,3970200,9696,260,5080,15026,10,0
92,CPFE3,2022-10-20,34.62,34.74,33.61,34.2,2437700,6066,370,4015,10233,218,0
93,CPFE3,2022-10-21,34.03,35.0,33.61,34.8,5166000,5188,220,3770,9175,3,0
94,CPFE3,2022-10-24,34.67,35.0,34.3,34.56,1782900,3853,191,4709,8753,0,0
95,CPFE3,2022-10-25,34.33,34.37,33.52,33.82,2372300,3653,162,8151,11966,0,0
96,CPFE3,2022-10-26,33.4,33.47,32.31,32.61,3376600,6287,177,8231,14695,0,0
97,CPFE3,2022-10-27,32.72,34.74,32.49,33.89,4409800,8177,156,7332,15660,5,0
98,CPFE3,2022-10-28,33.99,34.78,33.82,34.38,1665400,3611,471,3186,6966,302,0
99,CPFE3,2022-10-31,33.59,35.57,33.59,35.35,2904000,7547,182,6458,14187,0,0
100,CPFE3,2022-11-01,35.23,35.75,34.93,35.45,2544200,6270,165,6385,12820,0,0
101,CPFE3,2022-11-03,35.11,36.19,35.0,36.0,2586000,5969,176,4982,11127,0,0
102,CPFE3,2022-11-04,36.64,37.04,36.01,36.77,1737500,4611,211,3795,8616,1,0
103,CPFE3,2022-11-07,36.49,36.71,34.81,34.99,1852200,4936,175,4627,9736,2,0
104,CPFE3,2022-11-08,34.9,35.56,34.57,35.16,2088800,3999,142,3696,7835,2,0
105,CPFE3,2022-11-09,35.15,35.94,34.81,35.01,1946900,4023,119,2968,7109,1,0
106,CPFE3,2022-11-10,34.85,34.85,32.4,32.9,3255800,8544,183,11102,19829,0,0
107,CPFE3,2022-11-14,34.4,34.95,34.12,34.32,1213600,3076,109,3994,7179,0,0
108,CPFE3,2022-11-17,32.99,33.48,32.58,33.39,1599900,4533,152,4490,9175,0,0
109,CPFE3,2022-11-18,33.77,34.21,33.15,33.4,1853200,3845,135,8439,12419,0,0
110,CPFE3,2022-11-21,34.15,34.46,33.32,34.02,1439300,4281,163,4563,9007,0,0
111,CPFE3,2022-11-22,34.02,34.2,33.48,33.73,1331800,3248,160,3292,6700,0,0
112,CPFE3,2022-11-23,33.66,33.9,33.13,33.85,1647400,3369,113,4156,7638,0,0
113,CPFE3,2022-11-24,33.74,34.66,33.49,34.44,1159900,2494,76,2625,5195,0,0
114,CPFE3,2022-11-25,34.52,35.05,33.68,33.83,1285200,3746,131,3463,7340,0,0
115,CPFE3,2022-11-28,33.95,34.2,33.54,33.92,1147000,3144,102,3426,6672,0,0
116,CPFE3,2022-11-29,33.92,34.74,33.68,34.12,1739000,3735,118,5054,8907,0,0
117,CPFE3,2022-11-30,34.08,34.9,33.86,34.9,3215400,5501,292,4171,9964,0,0
118,CPFE3,2022-12-01,34.62,34.75,34.02,34.07,2332000,5919,116,6465,12500,0,0
119,CPFE3,2022-12-02,34.4,35.14,33.35,33.49,1622000,4056,136,5792,9983,1,0
120,CPFE3,2022-12-05,33.16,33.3,31.82,32.01,2460300,5213,183,6639,12035,0,0
121,CPFE3,2022-12-06,32.15,32.68,31.96,32.65,1506800,3516,151,4602,8269,0,0
122,CPFE3,2022-12-07,32.66,33.73,32.66,33.2,1365400,3694,111,4123,7928,0,0
123,CPFE3,2022-12-08,33.1,33.12,32.01,32.27,1776300,4841,114,3984,8939,0,0
124,CPFE3,2022-12-09,32.66,32.66,31.97,32.21,1280000,3725,115,3072,6912,0,0
125,CPFE3,2022-12-12,32.21,32.48,31.09,31.64,1941400,4957,131,4786,9874,0,0
126,CPFE3,2022-12-13,31.65,32.12,30.42,30.42,2631700,5368,174,6215,11756,1,0
127,CPFE3,2022-12-14,30.3,30.68,29.56,30.26,3735700,8613,169,8882,17658,6,0
128,CPFE3,2022-12-15,30.14,30.93,29.99,30.54,1185900,2971,101,3158,6230,0,0
129,CPFE3,2022-12-16,30.54,31.41,29.78,30.11,6247700,6880,187,6258,13323,2,0
130,CPFE3,2022-12-19,30.46,31.61,30.12,31.47,2788400,7990,142,6292,14423,1,0
131,CPFE3,2022-12-20,31.39,32.25,31.25,32.0,1318600,5160,93,3751,9004,0,0
132,CPFE3,2022-12-21,31.91,32.07,31.39,31.77,1837200,7375,160,4414,11949,0,0
