,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,CPLE3,2023-04-04,6.24,6.35,6.17,6.31,2185800,1522,38,1769,3329,0,0
1,CPLE3,2022-11-07,7.76,7.82,7.62,7.66,689400,1409,25,997,2431,0,0
2,CPLE3,2023-01-06,6.75,6.76,6.63,6.65,728900,619,33,753,1404,1,0
3,CPLE3,2022-07-19,6.37,6.38,6.29,6.34,524100,528,42,664,1234,0,0
4,CPLE3,2023-05-31,6.76,6.77,6.63,6.65,901400,1059,67,1415,2541,0,0
5,CPLE3,2023-01-23,6.91,6.98,6.76,6.76,1186100,1074,38,1608,2720,0,0
6,CPLE3,2023-07-25,7.88,8.1,7.87,8.06,1525400,2289,66,1119,3474,0,0
7,CPLE3,2022-07-12,6.3,6.45,6.24,6.45,598200,1737,36,569,2342,0,0
8,CPLE3,2023-08-03,8.46,8.51,8.24,8.24,3134500,4157,71,3302,7530,0,0
9,CPLE3,2023-03-02,6.27,6.35,6.23,6.26,1044900,1176,43,1050,2269,0,0
10,CPLE3,2023-01-31,6.79,6.89,6.77,6.88,779900,846,27,617,1490,0,0
11,CPLE3,2022-12-15,6.69,6.73,6.57,6.61,1083600,1244,26,3346,4616,0,0
12,CPLE3,2022-08-22,6.57,6.67,6.48,6.64,554100,860,48,774,1682,0,0
13,CPLE3,2023-06-02,6.73,6.75,6.66,6.73,2266400,3383,0,1599,4982,0,0
14,CPLE3,2023-06-05,6.73,6.76,6.65,6.72,845200,947,30,590,1567,0,0
15,CPLE3,2022-09-08,6.61,6.64,6.48,6.5,352900,432,24,802,1258,0,0
16,CPLE3,2023-06-26,7.93,7.93,7.73,7.77,1043800,1204,69,1007,2280,0,0
17,CPLE3,2023-07-18,7.73,7.76,7.5,7.55,951400,718,54,753,1525,0,0
18,CPLE3,2022-07-29,6.37,6.48,6.34,6.46,589900,1185,34,628,1847,0,0
19,CPLE3,2022-10-25,6.96,7.11,6.89,7.02,1858700,3309,52,1525,4886,0,0
20,CPLE3,2022-10-18,6.23,6.29,6.2,6.27,711000,1221,57,529,1807,0,0
21,CPLE3,2022-07-07,6.2,6.27,6.18,6.2,584700,547,49,806,1402,0,0
22,CPLE3,2023-06-29,7.69,8.08,7.69,8.0,1842100,3556,55,1346,4957,0,0
23,CPLE3,2023-06-14,7.66,7.66,7.53,7.64,1067500,1281,77,1231,2589,0,0
24,CPLE3,2023-07-04,8.09,8.14,8.04,8.1,611500,687,41,608,1336,0,0
25,CPLE3,2023-02-07,6.7,6.73,6.54,6.57,849200,735,21,1741,2497,0,0
26,CPLE3,2022-09-21,6.31,6.35,6.29,6.3,342100,458,24,797,1279,0,0
27,CPLE3,2023-02-06,6.63,6.7,6.6,6.7,692700,951,18,874,1843,0,0
28,CPLE3,2023-03-13,6.2,6.23,6.08,6.2,1978900,1690,32,1404,3125,1,0
29,CPLE3,2022-06-24,6.24,6.3,6.19,6.25,776300,695,47,839,1581,0,0
30,CPLE3,2023-01-26,6.92,6.96,6.85,6.89,848400,860,31,927,1818,0,0
31,CPLE3,2022-11-04,7.67,7.95,7.63,7.83,1215400,2297,30,1646,3973,0,0
32,CPLE3,2023-03-27,6.03,6.16,6.0,6.16,1451800,904,22,752,1677,1,0
33,CPLE3,2022-08-24,6.68,6.69,6.6,6.64,312300,699,20,541,1260,0,0
34,CPLE3,2022-09-30,6.27,6.27,6.16,6.22,956800,1532,42,1602,3176,0,0
35,CPLE3,2022-09-06,6.69,6.69,6.52,6.58,563600,896,35,1107,2038,0,0
36,CPLE3,2022-06-21,6.42,6.45,6.29,6.33,531100,629,34,889,1552,0,0
37,CPLE3,2023-04-14,6.99,7.05,6.9,7.04,1818400,1274,56,1496,2826,0,0
38,CPLE3,2022-12-07,7.02,7.27,7.02,7.18,1110400,1226,37,1677,2940,0,0
39,CPLE3,2023-02-01,6.89,7.02,6.81,6.92,1261900,1700,28,1197,2925,0,0
40,CPLE3,2022-12-26,6.83,6.83,6.64,6.74,356800,516,21,598,1135,0,0
41,CPLE3,2022-06-27,6.23,6.4,6.2,6.39,568900,635,28,474,1137,0,0
42,CPLE3,2023-07-21,7.59,7.72,7.57,7.71,1092600,1518,79,1282,2879,0,0
43,CPLE3,2023-05-12,7.0,7.01,6.9,6.9,733700,1004,54,1005,2063,0,0
44,CPLE3,2022-06-28,6.4,6.48,6.35,6.37,668800,543,44,1174,1761,0,0
45,CPLE3,2022-07-05,6.25,6.28,6.13,6.23,789700,990,33,1056,2079,0,0
46,CPLE3,2023-03-16,6.27,6.32,6.2,6.24,1591800,1284,44,936,2263,1,0
47,CPLE3,2023-08-07,8.3,8.32,8.2,8.24,3774500,1985,66,2735,4784,2,0
48,CPLE3,2023-03-31,6.28,6.29,6.18,6.24,1104600,944,34,774,1752,0,0
49,CPLE3,2022-08-25,6.64,6.68,6.57,6.57,491800,776,27,1058,1861,0,0
50,CPLE3,2023-07-10,8.02,8.02,7.8,7.8,1717300,1689,79,1199,2967,0,0
51,CPLE3,2022-08-26,6.55,6.64,6.53,6.55,332100,635,36,685,1356,0,0
52,CPLE3,2023-05-19,6.77,6.82,6.73,6.76,1021300,1506,50,1173,2729,0,0
53,CPLE3,2023-06-01,6.65,6.73,6.52,6.73,1875200,2521,48,1689,4258,0,0
54,CPLE3,2023-01-13,6.79,6.89,6.76,6.8,398700,425,19,621,1065,0,0
55,CPLE3,2023-07-17,7.83,7.83,7.66,7.73,1016700,1359,55,1249,2663,0,0
56,CPLE3,2023-06-06,6.71,6.86,6.7,6.83,1884400,3662,52,1291,5005,0,0
57,CPLE3,2023-05-25,6.75,6.9,6.69,6.85,1106400,1392,48,1838,3278,0,0
58,CPLE3,2023-05-17,6.87,6.94,6.74,6.78,1116500,1496,58,1084,2638,0,0
59,CPLE3,2023-01-24,6.82,6.85,6.74,6.81,782500,1017,24,976,2017,0,0
60,CPLE3,2022-07-20,6.34,6.38,6.29,6.35,579700,575,35,442,1050,2,0
61,CPLE3,2023-02-20,6.63,6.64,6.5,6.56,1390200,1622,30,1297,2949,0,0
62,CPLE3,2023-06-27,7.9,7.9,7.58,7.69,1164900,1526,46,1163,2735,0,0
63,CPLE3,2023-06-07,6.84,6.98,6.81,6.98,1468000,1252,38,1072,2362,0,0
