,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,CRFB3,2022-06-06,18.86,18.86,18.47,18.57,1530400,2223,95,4077,6395,0,0
1,CRFB3,2022-06-07,18.36,18.73,18.24,18.55,3388500,4670,127,5388,10181,4,0
2,CRFB3,2022-06-08,18.45,18.87,18.39,18.53,3238800,7152,134,5700,12984,2,0
3,CRFB3,2022-06-09,18.35,18.72,18.15,18.28,3430000,6736,132,4257,11122,3,0
4,CRFB3,2022-06-10,18.1,18.19,17.78,17.81,3106700,5149,122,3895,9164,2,0
5,CRFB3,2022-06-13,17.64,17.78,16.93,17.01,4255800,7029,242,5493,12762,2,0
6,CRFB3,2022-06-14,17.17,17.35,16.55,16.65,8365700,6447,171,8036,14643,11,0
7,CRFB3,2022-06-15,16.72,17.08,16.54,16.75,5899500,7668,252,8082,15915,87,0
8,CRFB3,2022-06-17,16.47,16.64,16.22,16.54,6846600,8212,407,6425,14850,194,0
9,CRFB3,2022-06-20,16.46,16.52,15.97,16.19,2471800,4934,219,4253,9277,129,0
10,CRFB3,2022-06-21,16.36,16.5,15.97,16.36,4414400,6442,267,5640,12209,140,0
11,CRFB3,2022-06-22,16.08,16.2,15.74,15.76,4228800,6558,216,5527,12192,109,0
12,CRFB3,2022-06-23,15.94,16.28,15.59,16.08,6633300,8415,295,5044,13651,103,0
13,CRFB3,2022-06-24,16.27,16.4,15.97,16.26,4388700,5927,209,4428,10493,71,0
14,CRFB3,2022-06-27,16.41,16.6,16.29,16.55,3087600,7362,199,3716,11210,67,0
15,CRFB3,2022-06-28,16.74,16.74,16.31,16.37,2605500,5723,251,4012,9941,45,0
16,CRFB3,2022-06-29,16.52,16.61,16.27,16.48,6104500,2714,192,5032,7864,74,0
17,CRFB3,2022-06-30,16.14,16.97,16.11,16.6,4414600,6320,222,8444,14959,27,0
18,CRFB3,2022-07-01,16.51,16.64,16.28,16.42,4747400,7093,1028,4953,12173,901,0
19,CRFB3,2022-07-04,16.25,16.31,15.95,16.1,2282700,5367,100,3956,9423,0,0
20,CRFB3,2022-07-05,15.93,16.89,15.83,16.78,4273400,11330,134,6066,17529,1,0
21,CRFB3,2022-07-06,16.65,17.19,16.58,16.93,4727500,4856,109,5443,10405,3,0
22,CRFB3,2022-07-07,17.1,17.64,16.9,17.5,6271200,12900,146,8175,21218,3,0
23,CRFB3,2022-07-08,17.61,17.85,17.32,17.4,3162000,4822,88,5525,10435,0,0
