,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,CRIV4,2022-06-08,4.85,4.85,4.81,4.81,3200,1,0,5,6,0,0
1,CRIV4,2022-06-09,4.77,4.9,4.77,4.9,200,1,0,1,2,0,0
2,CRIV4,2022-06-13,4.75,4.83,4.75,4.83,3600,0,0,6,6,0,0
3,CRIV4,2022-06-14,4.73,4.73,4.72,4.73,200,0,0,2,2,0,0
4,CRIV4,2022-06-17,4.72,4.73,4.71,4.71,900,0,0,6,6,0,0
5,CRIV4,2022-06-20,4.7,4.7,4.7,4.7,200,2,0,0,2,0,0
6,CRIV4,2022-06-21,4.85,4.85,4.65,4.65,1000,1,0,3,4,0,0
7,CRIV4,2022-06-22,4.65,4.75,4.5,4.54,1600,2,0,5,7,0,0
8,CRIV4,2022-06-23,4.75,4.75,4.73,4.73,800,4,0,0,4,0,0
9,CRIV4,2022-06-24,4.74,4.74,4.51,4.51,1000,2,0,1,3,0,0
10,CRIV4,2022-06-28,4.5,4.53,4.5,4.51,5700,1,0,8,9,0,0
11,CRIV4,2022-06-30,4.51,4.87,4.51,4.87,700,3,0,1,4,0,0
12,CRIV4,2022-07-01,4.73,4.73,4.73,4.73,600,0,0,1,1,0,0
13,CRIV4,2022-07-04,4.52,4.63,4.52,4.59,47400,20,1,12,33,0,0
14,CRIV4,2022-07-05,4.59,4.59,4.59,4.59,100,0,0,1,1,0,0
15,CRIV4,2022-07-07,4.6,4.69,4.6,4.69,300,0,1,1,2,0,0
16,CRIV4,2022-07-11,4.69,4.69,4.64,4.64,500,1,0,1,2,0,0
17,CRIV4,2022-07-13,4.6,4.6,4.59,4.59,2800,0,0,4,4,0,0
18,CRIV4,2022-07-14,4.2,4.64,4.2,4.59,1800,0,2,2,4,0,0
19,CRIV4,2022-07-18,4.59,4.59,4.59,4.59,3000,0,0,2,2,0,0
20,CRIV4,2022-07-19,4.65,4.65,4.65,4.65,500,1,0,0,1,0,0
21,CRIV4,2022-07-25,4.6,4.6,4.6,4.6,100,0,0,1,1,0,0
22,CRIV4,2022-07-27,4.69,4.69,4.69,4.69,100,0,1,0,1,0,0
23,CRIV4,2022-07-28,4.6,4.6,4.6,4.6,1900,1,0,0,1,0,0
24,CRIV4,2022-08-01,4.6,4.6,4.6,4.6,100,0,0,1,1,0,0
25,CRIV4,2022-08-03,4.5,4.6,4.5,4.6,1700,1,0,6,7,0,0
26,CRIV4,2022-08-08,4.69,4.95,4.69,4.95,2800,6,0,0,6,0,0
27,CRIV4,2022-08-10,5.14,5.2,5.14,5.2,3200,12,0,0,12,0,0
28,CRIV4,2022-08-12,5.12,5.4,5.12,5.27,3700,13,0,1,14,0,0
29,CRIV4,2022-08-15,5.06,5.43,5.06,5.43,2200,8,0,3,11,0,0
30,CRIV4,2022-08-18,4.91,4.91,4.71,4.83,1700,7,0,4,11,0,0
31,CRIV4,2022-08-19,4.9,4.9,4.85,4.85,200,1,0,1,2,0,0
32,CRIV4,2022-08-22,4.92,4.92,4.92,4.92,100,1,0,0,1,0,0
33,CRIV4,2022-08-23,4.82,4.82,4.82,4.82,100,1,0,0,1,0,0
