,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,CRPG5,2022-06-06,39.29,39.69,38.66,39.0,2500,3,1,16,20,0,0
1,CRPG5,2022-06-07,39.0,39.47,37.0,38.9,22400,25,0,66,91,0,0
2,CRPG5,2022-06-08,38.9,38.94,37.03,37.7,6700,13,1,23,36,1,0
3,CRPG5,2022-06-09,37.72,39.48,37.72,38.5,5000,27,1,17,44,1,0
4,CRPG5,2022-06-10,38.14,38.2,37.5,37.5,2800,6,0,16,22,0,0
5,CRPG5,2022-06-13,37.1,37.15,36.1,36.82,8400,10,0,38,48,0,0
6,CRPG5,2022-06-14,36.97,37.65,35.01,35.01,7900,22,1,48,71,0,0
7,CRPG5,2022-06-15,35.5,36.89,35.25,35.32,3700,13,0,18,31,0,0
8,CRPG5,2022-06-17,35.28,35.32,34.29,34.29,8300,14,0,38,52,0,0
9,CRPG5,2022-06-20,34.41,35.39,34.0,34.0,3600,7,2,22,31,0,0
10,CRPG5,2022-06-21,33.7,34.1,33.0,33.3,8000,20,0,34,54,0,0
11,CRPG5,2022-06-22,33.17,34.3,33.16,34.0,3700,18,0,15,33,0,0
12,CRPG5,2022-06-23,33.44,33.47,32.51,32.93,2800,8,0,16,24,0,0
13,CRPG5,2022-06-24,32.59,33.76,32.59,33.0,1700,4,0,9,13,0,0
14,CRPG5,2022-06-27,32.64,33.95,31.9,32.3,14000,22,0,45,67,0,0
15,CRPG5,2022-06-28,31.91,32.89,31.72,32.41,4700,8,0,28,36,0,0
16,CRPG5,2022-06-29,32.4,32.69,31.57,32.0,3100,12,0,19,31,0,0
17,CRPG5,2022-06-30,32.0,32.0,29.51,29.62,14800,19,2,74,93,2,0
18,CRPG5,2022-07-01,30.0,30.7,29.5,29.9,9300,17,0,35,52,0,0
19,CRPG5,2022-07-04,29.6,30.5,29.59,30.17,3500,19,0,8,27,0,0
20,CRPG5,2022-07-05,29.9,29.9,29.5,29.9,3900,4,2,12,18,0,0
21,CRPG5,2022-07-06,31.5,31.93,29.75,31.93,2100,3,2,7,11,1,0
22,CRPG5,2022-07-07,31.67,32.99,31.08,32.79,4300,9,2,15,24,2,0
23,CRPG5,2022-07-08,33.15,33.19,31.63,31.64,2700,9,0,13,22,0,0
24,CRPG5,2022-07-11,33.97,33.97,31.28,31.59,6000,11,0,28,39,0,0
25,CRPG5,2022-07-12,32.09,32.5,31.57,31.73,5400,22,0,15,37,0,0
26,CRPG5,2022-07-13,31.29,31.99,31.29,31.32,4600,23,0,13,36,0,0
27,CRPG5,2022-07-14,31.31,31.5,30.0,30.6,5700,30,0,16,46,0,0
28,CRPG5,2022-07-15,30.7,31.02,29.51,29.51,6900,20,5,29,54,0,0
29,CRPG5,2022-07-18,30.19,30.6,29.56,29.56,4300,5,5,11,21,0,0
30,CRPG5,2022-07-19,29.5,29.6,28.6,28.78,9800,16,5,34,55,0,0
31,CRPG5,2022-07-20,29.3,31.1,28.49,30.65,9700,43,1,17,60,1,0
32,CRPG5,2022-07-21,30.72,31.05,29.67,30.64,4900,18,1,16,35,0,0
33,CRPG5,2022-07-22,30.59,31.0,30.33,30.8,4000,13,3,7,23,0,0
34,CRPG5,2022-07-25,33.24,33.24,31.0,31.8,5300,12,1,13,26,0,0
35,CRPG5,2022-07-26,30.68,30.99,30.22,30.22,1100,9,0,2,11,0,0
36,CRPG5,2022-07-27,32.62,32.62,30.41,30.42,11400,24,1,31,56,0,0
37,CRPG5,2022-07-28,31.0,31.96,31.0,31.5,11700,19,0,14,33,0,0
38,CRPG5,2022-07-29,31.99,32.6,31.21,32.0,17800,8,0,33,41,0,0
