,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,CSAN3,2022-06-06,21.5,21.6,21.07,21.27,5637600,7835,137,5619,13591,0,0
1,CSAN3,2022-06-07,21.01,21.49,20.51,20.51,9697200,21484,202,18740,40426,0,0
2,CSAN3,2022-06-08,20.41,20.66,19.93,20.31,12492600,19481,263,13243,32983,4,0
3,CSAN3,2022-06-09,20.29,20.47,19.94,20.18,8061500,11888,192,8871,20947,4,0
4,CSAN3,2022-06-10,19.82,20.02,19.39,19.96,6637400,14414,142,7028,21582,2,0
5,CSAN3,2022-06-13,19.48,19.72,18.86,19.09,5593700,13834,193,8006,22033,0,0
6,CSAN3,2022-06-14,19.1,19.2,18.2,18.4,9088100,14384,131,14588,29101,2,0
7,CSAN3,2022-06-15,18.74,19.1,18.5,18.85,8515800,13041,225,16065,29326,5,0
8,CSAN3,2022-06-17,18.49,18.73,18.01,18.1,10995700,14419,288,8879,23585,1,0
9,CSAN3,2022-06-20,18.44,18.85,18.08,18.37,4660400,7217,131,7312,14654,6,0
10,CSAN3,2022-06-21,18.6,18.69,18.18,18.5,6393700,10443,155,9917,20513,2,0
11,CSAN3,2022-06-22,18.27,18.73,18.15,18.51,5493500,6081,168,10302,16549,2,0
12,CSAN3,2022-06-23,18.57,18.75,18.01,18.04,7955600,16500,216,8215,24930,1,0
13,CSAN3,2022-06-24,18.24,18.48,17.94,18.33,6733000,12541,142,11756,24437,2,0
14,CSAN3,2022-06-27,18.58,18.93,18.43,18.78,4687100,7931,173,6809,14912,1,0
15,CSAN3,2022-06-28,18.6,19.05,18.53,18.7,5769200,9013,216,8344,17572,1,0
16,CSAN3,2022-06-29,18.86,18.93,18.37,18.4,4754800,6977,148,7553,14678,0,0
17,CSAN3,2022-06-30,18.3,18.45,18.1,18.13,6736000,7629,270,10029,17927,1,0
18,CSAN3,2022-07-01,18.14,18.14,17.64,17.88,5689000,7233,248,8979,16460,0,0
19,CSAN3,2022-07-04,17.7,17.87,17.52,17.52,2558900,3397,130,4254,7781,0,0
20,CSAN3,2022-07-05,17.52,17.54,17.05,17.26,4866100,8098,230,8165,16493,0,0
21,CSAN3,2022-07-06,17.11,17.19,16.52,17.14,8084100,12452,262,10288,23001,1,0
22,CSAN3,2022-07-07,17.3,17.85,17.24,17.66,5807500,7406,196,11427,19026,3,0
23,CSAN3,2022-07-08,17.68,18.04,17.52,17.75,3485100,4551,129,4517,9197,0,0
24,CSAN3,2022-07-11,17.62,17.66,17.34,17.42,4076900,8150,176,7167,15493,0,0
25,CSAN3,2022-07-12,17.43,17.5,17.09,17.22,3222100,5675,171,5802,11647,1,0
26,CSAN3,2022-07-13,17.02,17.14,16.75,16.75,4451800,7296,168,7466,14929,1,0
27,CSAN3,2022-07-14,16.65,17.34,16.44,17.18,5921100,9165,207,8772,18142,2,0
28,CSAN3,2022-07-15,17.2,17.37,16.72,17.01,3920500,6639,140,6318,13097,0,0
29,CSAN3,2022-07-18,17.42,17.72,17.26,17.33,4048200,5830,192,5604,11626,0,0
30,CSAN3,2022-07-19,17.5,17.73,17.31,17.55,4906000,10431,144,7385,17959,1,0
31,CSAN3,2022-07-20,17.42,17.73,17.39,17.6,8577900,10339,632,12011,22552,430,0
32,CSAN3,2022-07-21,17.54,17.86,17.08,17.86,6729800,7929,157,10302,18384,4,0
33,CSAN3,2022-07-22,17.76,17.82,17.29,17.55,5441500,9734,126,6965,16822,3,0
34,CSAN3,2022-07-25,17.65,17.79,17.46,17.69,4175600,5166,152,4370,9688,0,0
35,CSAN3,2022-07-26,17.76,17.95,17.45,17.63,3094600,5576,109,5199,10884,0,0
36,CSAN3,2022-07-27,17.68,18.38,17.64,18.29,4095600,6466,123,7134,13722,1,0
37,CSAN3,2022-07-28,18.37,18.58,18.17,18.51,3766100,7575,217,4663,12404,51,0
38,CSAN3,2022-07-29,18.6,19.02,18.45,18.83,7116800,10573,210,7997,18777,3,0
39,CSAN3,2022-08-01,18.67,18.92,18.49,18.76,4875800,8752,175,6249,15176,0,0
40,CSAN3,2022-08-02,18.67,19.18,18.64,19.1,5021100,10715,158,8534,19407,0,0
41,CSAN3,2022-08-03,19.12,19.42,18.97,19.3,5047800,9460,142,7059,16661,0,0
42,CSAN3,2022-08-08,19.96,20.2,19.67,20.1,5252800,8245,180,6544,14968,1,0
43,CSAN3,2022-08-09,20.11,20.32,19.86,20.1,3673700,4508,188,4217,8911,2,0
44,CSAN3,2022-08-10,20.6,21.05,20.33,20.96,5157000,8712,317,9878,18904,3,0
45,CSAN3,2022-08-12,20.57,21.1,20.5,21.05,7572200,9224,775,9772,19271,500,0
46,CSAN3,2022-08-15,20.44,21.33,20.44,21.0,5744300,9047,224,13212,22483,0,0
47,CSAN3,2022-08-16,21.13,21.32,20.62,20.96,5477700,5886,173,7777,13832,4,0
48,CSAN3,2022-08-17,20.89,21.44,20.84,21.25,6489300,7864,226,9125,17213,2,0
49,CSAN3,2022-08-18,21.39,21.76,21.17,21.39,6320100,15276,173,8966,24414,1,0
50,CSAN3,2022-08-19,21.1,21.19,20.65,20.83,6030100,11134,142,9113,20385,4,0
51,CSAN3,2022-08-22,20.67,20.72,20.35,20.47,4379400,8181,209,7430,15820,0,0
52,CSAN3,2022-08-23,20.44,20.76,20.2,20.63,4396700,7114,170,7099,14382,1,0
53,CSAN3,2022-08-24,20.62,21.12,20.59,20.86,3487300,6971,122,6833,13926,0,0
54,CSAN3,2022-08-25,21.0,21.07,20.52,20.75,3776300,6752,111,7066,13929,0,0
55,CSAN3,2022-08-26,20.87,20.97,20.12,20.34,4305200,7850,166,6893,14909,0,0
56,CSAN3,2022-08-29,20.23,21.12,20.14,20.63,4999100,7838,125,10250,18212,1,0
57,CSAN3,2022-08-30,20.7,20.81,20.03,20.1,6218500,9920,151,7813,17872,12,0
58,CSAN3,2022-08-31,20.16,20.31,19.81,20.02,9241500,8011,278,6821,15110,0,0
59,CSAN3,2022-09-01,20.0,20.07,19.38,19.68,10120600,12533,197,13564,26294,0,0
60,CSAN3,2022-09-02,19.67,19.9,19.41,19.72,8358200,9587,242,7398,17224,3,0
61,CSAN3,2022-09-05,19.61,20.07,19.51,19.84,4133000,4850,163,5524,10528,9,0
62,CSAN3,2022-09-06,19.5,19.59,18.55,18.77,10227800,12569,174,10336,23069,10,0
63,CSAN3,2022-09-08,18.9,19.03,18.43,18.68,9066400,9434,2345,10045,19729,2095,0
64,CSAN3,2022-09-09,18.74,19.12,18.62,18.91,5609700,6184,128,7002,13313,1,0
65,CSAN3,2022-09-12,19.06,19.32,18.95,19.15,5573100,7574,156,7368,15092,6,0
66,CSAN3,2022-09-13,18.8,19.04,18.33,18.55,7277300,8312,139,8148,16590,9,0
67,CSAN3,2022-09-14,18.46,18.82,18.27,18.76,5061600,9359,149,7327,16832,3,0
68,CSAN3,2022-09-15,18.61,18.65,17.81,17.85,12009200,14129,181,13097,27402,5,0
69,CSAN3,2022-09-16,17.99,18.12,17.63,17.92,14317300,11503,2227,10734,22574,1890,0
70,CSAN3,2022-09-19,17.81,18.42,17.58,18.42,7975300,10143,4375,7849,18135,4232,0
71,CSAN3,2022-09-20,18.34,18.58,18.17,18.51,8847400,10123,508,8704,19016,319,0
72,CSAN3,2022-09-21,18.49,18.59,18.15,18.32,8809000,15385,161,9920,25465,1,0
73,CSAN3,2022-09-22,18.52,19.41,18.35,19.1,9718900,14421,200,11147,25766,2,0
74,CSAN3,2022-09-23,18.78,18.79,18.03,18.26,9623700,9993,226,10576,20793,2,0
75,CSAN3,2022-09-26,18.19,18.24,17.65,17.65,5540600,10776,194,9594,20563,1,0
76,CSAN3,2022-09-27,17.94,18.08,17.35,17.4,8208900,8286,174,9463,17923,0,0
77,CSAN3,2022-09-28,17.46,17.5,17.02,17.25,8883600,11623,1137,15265,27036,989,0
78,CSAN3,2022-09-29,17.1,17.19,16.74,17.05,8970500,11204,202,10463,21868,1,0
79,CSAN3,2022-09-30,17.05,17.53,16.82,17.39,9996100,11138,186,9989,21313,0,0
80,CSAN3,2022-10-03,17.97,18.6,17.73,18.59,10813900,14767,219,14158,29143,1,0
81,CSAN3,2022-10-04,18.97,19.18,18.13,18.36,5786600,11162,220,10621,22003,0,0
82,CSAN3,2022-10-05,18.3,18.4,17.65,17.96,10271900,14800,225,14482,29505,2,0
83,CSAN3,2022-10-06,18.11,18.38,17.94,18.13,8298500,9237,169,8780,18161,25,0
84,CSAN3,2022-10-07,18.21,18.27,16.53,16.98,53257600,90986,1042,37003,129017,14,0
85,CSAN3,2022-10-10,15.8,16.48,15.39,15.43,93185000,58417,1193,72201,131798,13,0
86,CSAN3,2022-10-11,15.51,16.02,15.25,15.68,46982700,32994,407,31124,64508,17,0
87,CSAN3,2022-10-13,15.67,16.24,15.23,16.01,22740700,16258,407,22012,38665,12,0
88,CSAN3,2022-10-14,16.05,16.12,15.65,15.68,16354500,11592,354,14087,26023,10,0
89,CSAN3,2022-10-17,15.69,16.36,15.63,16.21,16075800,9546,368,12506,22411,9,0
90,CSAN3,2022-10-18,16.4,16.67,16.28,16.46,13653700,13515,214,8846,22574,1,0
91,CSAN3,2022-10-19,16.43,16.68,16.33,16.5,13651000,16676,498,13184,30336,22,0
92,CSAN3,2022-10-20,16.63,17.05,16.37,16.56,13214300,18635,199,10899,29729,4,0
93,CSAN3,2022-10-21,16.57,17.21,16.49,16.96,13546300,16989,255,10613,27841,16,0
94,CSAN3,2022-10-24,16.95,17.14,16.82,16.89,9400000,9782,147,8187,18114,2,0
95,CSAN3,2022-10-25,16.91,17.05,16.22,16.32,12117000,10381,283,10720,21384,0,0
96,CSAN3,2022-10-26,16.26,16.77,15.97,16.5,16339400,17417,300,18741,36457,1,0
97,CSAN3,2022-10-27,16.6,16.79,16.36,16.42,8464300,10313,204,9042,19559,0,0
98,CSAN3,2022-10-28,16.31,16.52,16.05,16.48,10615200,11221,197,13490,24907,1,0
99,CSAN3,2022-10-31,16.03,16.92,15.89,16.85,10854500,15563,307,14491,30360,1,0
100,CSAN3,2022-11-01,17.05,17.88,16.97,17.35,15324900,17923,330,22737,40989,1,0
101,CSAN3,2022-11-03,17.23,18.28,17.0,18.26,18475700,16235,649,18347,34853,378,0
102,CSAN3,2022-11-04,18.5,19.03,18.1,18.67,25119600,21282,275,23117,44661,13,0
103,CSAN3,2022-11-07,18.53,18.88,17.88,17.94,10443000,14409,166,18057,32632,0,0
104,CSAN3,2022-11-08,17.75,18.63,17.66,18.23,17561800,20735,223,17318,38255,21,0
105,CSAN3,2022-11-09,18.14,18.56,17.91,17.94,7979900,8223,163,12479,20864,1,0
106,CSAN3,2022-11-10,17.41,17.98,17.06,17.36,14794000,15988,260,23740,39987,1,0
107,CSAN3,2022-11-14,18.48,18.54,17.39,17.73,8088000,14090,244,11063,25394,3,0
108,CSAN3,2022-11-17,16.92,17.17,16.48,17.1,12703700,12128,278,14022,26427,1,0
