,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,CSMG3,2022-06-06,13.06,13.09,12.74,12.77,799100,1257,66,1969,3292,0,0
1,CSMG3,2022-06-07,12.7,12.83,12.63,12.66,882800,1280,48,3038,4366,0,0
2,CSMG3,2022-06-08,12.63,12.9,12.56,12.67,692400,1125,45,1873,3043,0,0
3,CSMG3,2022-06-09,12.73,12.81,12.55,12.69,626200,1273,48,1608,2929,0,0
4,CSMG3,2022-06-10,12.54,12.63,12.36,12.47,750000,1370,45,1821,3236,0,0
5,CSMG3,2022-06-13,12.28,12.34,12.04,12.08,1154300,2293,57,2510,4860,0,0
6,CSMG3,2022-06-14,12.16,12.32,12.01,12.09,793000,1393,53,2554,4000,0,0
7,CSMG3,2022-06-15,12.22,12.43,12.05,12.23,1704600,2257,65,5406,7728,0,0
8,CSMG3,2022-06-17,12.15,12.46,11.94,11.95,5678900,5707,243,5485,11435,0,0
9,CSMG3,2022-06-20,11.97,12.09,11.8,11.88,929600,2045,52,2022,4119,0,0
10,CSMG3,2022-06-21,11.99,12.03,11.73,11.85,1191100,2357,55,3676,6088,0,0
11,CSMG3,2022-06-22,11.58,11.96,11.55,11.87,964000,1469,43,2667,4179,0,0
12,CSMG3,2022-06-23,11.89,12.04,11.7,11.76,1109900,2119,74,1967,4159,1,0
13,CSMG3,2022-06-24,11.81,11.93,11.63,11.65,738300,1098,81,1715,2894,0,0
14,CSMG3,2022-06-27,11.64,11.95,11.64,11.88,768500,1373,62,2214,3649,0,0
15,CSMG3,2022-06-28,11.99,12.14,11.87,12.0,995700,1792,52,3486,5330,0,0
16,CSMG3,2022-06-29,11.99,12.05,11.69,11.76,700000,1250,59,2081,3390,0,0
17,CSMG3,2022-06-30,11.64,11.67,11.45,11.52,1216700,1799,64,3133,4996,0,0
18,CSMG3,2022-07-01,11.58,11.71,11.46,11.62,1003900,2118,58,2750,4926,0,0
19,CSMG3,2022-07-04,11.59,11.69,11.4,11.41,1090500,2348,43,3050,5441,0,0
20,CSMG3,2022-07-05,11.32,11.47,11.16,11.18,944900,2105,68,1919,4092,0,0
21,CSMG3,2022-07-06,11.22,11.45,11.13,11.39,977600,2817,47,2339,5203,0,0
22,CSMG3,2022-07-07,11.44,11.52,11.33,11.34,1112300,2412,72,1606,4090,0,0
23,CSMG3,2022-07-08,11.36,11.48,11.3,11.39,1040700,1670,54,2142,3866,0,0
24,CSMG3,2022-07-11,11.32,11.39,11.16,11.22,724300,1390,60,1419,2869,0,0
25,CSMG3,2022-07-12,11.21,11.4,11.18,11.31,1044100,2920,56,2317,5293,0,0
26,CSMG3,2022-07-13,11.25,11.48,11.16,11.35,1516300,4007,49,2331,6387,0,0
27,CSMG3,2022-07-14,11.19,11.31,11.18,11.27,531600,1311,60,1166,2537,0,0
28,CSMG3,2022-07-15,11.27,11.4,11.18,11.23,823600,1667,66,1326,3059,0,0
29,CSMG3,2022-07-18,11.38,11.38,11.09,11.17,1183800,1937,51,2942,4930,0,0
