,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,CSNA3,2022-06-06,22.98,22.99,21.9,21.92,9428200,8209,308,6870,15385,2,0
1,CSNA3,2022-06-07,21.66,22.38,21.62,22.21,7865500,7116,172,8615,15903,0,0
2,CSNA3,2022-06-08,21.75,22.03,20.91,21.05,10485200,11465,291,12199,23954,1,0
3,CSNA3,2022-06-09,20.95,20.95,19.58,19.6,14032500,13380,328,10224,23932,0,0
4,CSNA3,2022-06-10,19.28,19.84,18.88,19.7,13214000,13322,322,12958,26602,0,0
5,CSNA3,2022-06-13,18.84,19.11,18.08,18.5,14257700,14851,393,12593,27837,0,0
6,CSNA3,2022-06-14,18.65,18.69,17.8,18.15,10338600,6965,238,8490,15693,0,0
7,CSNA3,2022-06-15,18.51,18.53,17.73,18.0,12704700,12818,388,9660,22862,4,0
8,CSNA3,2022-06-17,17.42,17.44,16.34,16.78,23140700,13410,510,13961,27880,1,0
9,CSNA3,2022-06-20,16.65,17.09,16.17,16.88,7049600,6577,268,7254,14099,0,0
10,CSNA3,2022-06-21,17.08,17.31,16.57,16.81,7150100,6016,225,6455,12696,0,0
11,CSNA3,2022-06-22,16.21,16.33,15.49,16.01,17697900,12091,333,13009,25431,2,0
12,CSNA3,2022-06-23,16.3,16.51,15.38,15.53,15707300,7772,373,8381,16526,0,0
13,CSNA3,2022-06-24,15.93,16.54,15.7,16.49,18558600,15519,280,9846,25643,2,0
14,CSNA3,2022-06-27,16.85,17.31,16.66,16.94,11412000,9015,275,7316,16605,1,0
15,CSNA3,2022-06-28,17.32,17.45,16.86,17.03,12449300,6947,331,7722,14999,1,0
16,CSNA3,2022-06-29,17.21,17.27,16.4,16.44,10805300,7025,256,10095,17376,0,0
17,CSNA3,2022-06-30,15.98,16.07,15.34,15.5,19866100,12114,414,13933,26461,0,0
18,CSNA3,2022-07-01,15.13,15.75,14.72,15.13,16901900,11330,347,11019,22695,1,0
19,CSNA3,2022-07-04,14.82,15.11,14.62,14.9,7823600,5508,240,6811,12559,0,0
20,CSNA3,2022-07-05,14.68,14.84,14.28,14.66,13416000,10308,303,8689,19300,0,0
21,CSNA3,2022-07-06,14.75,15.03,14.35,14.75,15368400,9476,299,9392,19166,1,0
22,CSNA3,2022-07-07,15.1,15.78,15.08,15.56,15964100,12051,308,10831,23190,0,0
23,CSNA3,2022-07-08,15.3,15.74,14.91,15.07,12590700,7819,164,8782,16764,1,0
24,CSNA3,2022-07-11,14.61,14.74,14.26,14.26,11432700,5559,326,9130,15015,0,0
25,CSNA3,2022-07-12,14.14,14.43,13.81,14.4,14031000,8887,261,8412,17558,2,0
26,CSNA3,2022-07-13,14.08,14.63,14.0,14.38,11393700,9768,225,8352,18345,0,0
27,CSNA3,2022-07-14,13.94,14.06,13.39,13.4,13499000,7008,391,10111,17509,1,0
28,CSNA3,2022-07-15,13.43,13.95,13.24,13.75,13560300,9660,303,7331,17288,6,0
29,CSNA3,2022-07-18,14.3,14.51,13.91,13.96,9944800,9976,244,6451,16670,1,0
30,CSNA3,2022-07-19,13.89,14.5,13.78,14.41,9488700,12471,227,8195,20891,2,0
31,CSNA3,2022-07-20,14.23,14.48,14.08,14.45,7028200,6306,216,4270,10792,0,0
32,CSNA3,2022-07-21,14.32,14.5,14.16,14.49,7905900,6164,164,6935,13263,0,0
33,CSNA3,2022-07-22,14.75,15.15,14.35,14.36,13373200,9131,127,9164,18420,2,0
34,CSNA3,2022-07-25,14.9,14.94,14.52,14.59,9507200,4653,249,6401,11303,0,0
35,CSNA3,2022-07-26,14.7,14.84,14.13,14.3,9490400,6042,132,6267,12441,0,0
36,CSNA3,2022-07-27,14.41,14.75,14.32,14.63,9812400,8622,158,5341,14121,0,0
37,CSNA3,2022-07-28,14.83,15.23,14.67,14.8,8745900,7444,255,6095,13756,38,0
38,CSNA3,2022-07-29,14.8,14.85,14.53,14.71,9907300,6267,227,5676,12170,0,0
39,CSNA3,2022-08-01,14.65,14.65,14.03,14.14,11442700,10298,139,8343,18779,1,0
40,CSNA3,2022-08-02,14.15,14.45,13.91,14.37,8423400,6531,202,5566,12297,2,0
41,CSNA3,2022-08-03,14.34,14.49,14.02,14.22,9556600,7912,223,5522,13656,1,0
42,CSNA3,2022-08-08,15.71,15.72,15.12,15.25,11841100,8565,258,6624,15445,2,0
43,CSNA3,2022-08-09,15.35,15.52,15.13,15.37,7664300,6621,167,5617,12403,2,0
44,CSNA3,2022-08-10,15.64,15.84,15.27,15.69,8733300,8729,181,6262,15169,3,0
45,CSNA3,2022-08-12,16.26,16.74,16.22,16.67,8602400,6764,240,6810,13814,0,0
46,CSNA3,2022-08-15,16.27,16.28,15.76,15.98,12184200,8162,272,11422,19855,1,0
47,CSNA3,2022-08-16,15.79,16.36,15.68,15.97,16154000,11480,345,11922,23746,1,0
48,CSNA3,2022-08-17,15.67,16.35,15.45,16.21,11382500,9787,321,9084,19192,0,0
49,CSNA3,2022-08-18,16.33,16.45,15.8,15.82,7347900,8280,199,5685,14163,1,0
50,CSNA3,2022-08-19,15.71,15.72,15.28,15.3,10154600,8723,186,7941,16849,1,0
51,CSNA3,2022-08-22,15.28,15.28,14.71,14.81,11504000,7509,212,7915,15633,3,0
52,CSNA3,2022-08-23,15.03,16.28,14.95,16.24,13797000,11273,270,6766,18307,2,0
53,CSNA3,2022-08-24,16.24,16.46,15.7,15.95,10266600,6909,227,6713,13849,0,0
54,CSNA3,2022-08-25,16.24,16.25,15.76,15.9,9613500,6458,218,5104,11778,2,0
55,CSNA3,2022-08-26,16.0,16.14,15.0,15.02,15716600,9555,280,8889,18724,0,0
56,CSNA3,2022-08-29,14.71,15.02,14.43,14.5,8657800,7544,371,6158,14073,0,0
57,CSNA3,2022-08-30,14.41,14.65,14.0,14.04,7132900,6445,314,4437,11196,0,0
58,CSNA3,2022-08-31,14.13,14.19,13.78,13.8,12166000,7826,413,6411,14645,5,0
59,CSNA3,2022-09-01,13.75,13.75,13.18,13.5,11466600,9813,200,7483,17496,0,0
60,CSNA3,2022-09-02,13.74,13.92,13.37,13.46,10527800,6972,289,6516,13775,2,0
61,CSNA3,2022-09-05,13.72,14.15,13.59,13.64,7313200,4117,240,5621,9978,0,0
62,CSNA3,2022-09-06,13.6,13.66,13.1,13.18,9719900,5454,221,7300,12975,0,0
63,CSNA3,2022-09-08,13.37,13.47,12.82,12.9,14035300,9449,231,7779,17458,1,0
64,CSNA3,2022-09-09,13.33,14.15,13.33,14.15,18685300,13192,282,13052,26526,0,0
65,CSNA3,2022-09-12,14.22,14.42,14.09,14.23,6573300,5424,221,5272,10907,10,0
66,CSNA3,2022-09-13,14.02,14.27,13.51,13.57,9413600,5934,231,6588,12753,0,0
67,CSNA3,2022-09-14,13.48,13.61,12.9,13.05,14025400,7965,269,9207,17440,1,0
68,CSNA3,2022-09-15,13.06,13.28,12.88,12.89,10515400,8097,232,8088,16417,0,0
69,CSNA3,2022-09-16,12.81,13.15,12.68,13.1,16328300,18181,322,6915,25418,0,0
70,CSNA3,2022-09-19,12.96,13.81,12.86,13.69,20126300,13240,214,8225,21677,2,0
71,CSNA3,2022-09-20,13.51,13.6,13.0,13.1,15729600,8541,246,8119,16902,4,0
72,CSNA3,2022-09-21,13.12,13.19,12.48,12.5,23690500,11983,303,12838,25124,0,0
73,CSNA3,2022-09-22,12.93,13.23,12.75,12.9,21658500,12476,390,8625,21490,1,0
74,CSNA3,2022-09-23,12.66,12.88,12.54,12.84,11271200,6461,318,6495,13274,0,0
75,CSNA3,2022-09-26,12.67,13.0,12.22,12.26,12834600,9296,225,8110,17631,0,0
76,CSNA3,2022-09-27,12.48,12.66,12.04,12.08,13356700,7276,223,8329,15828,0,0
77,CSNA3,2022-09-28,12.11,12.32,11.96,12.27,7953600,6032,165,4314,10511,0,0
78,CSNA3,2022-09-29,12.05,12.21,11.8,12.01,10860500,6209,223,8789,15218,3,0
79,CSNA3,2022-09-30,12.05,12.8,11.91,12.7,10739500,8189,189,6653,15031,0,0
80,CSNA3,2022-10-03,13.05,13.3,12.87,13.25,9120900,7804,268,5437,13509,0,0
81,CSNA3,2022-10-04,13.43,13.93,13.43,13.9,14628700,7805,166,5526,13496,1,0
82,CSNA3,2022-10-05,13.84,14.4,13.83,14.37,17225000,11149,207,12837,24189,4,0
83,CSNA3,2022-10-06,14.36,14.5,14.09,14.27,6125200,5345,186,4978,10495,14,0
84,CSNA3,2022-10-07,14.26,14.68,14.16,14.3,10475700,11345,159,5871,17372,3,0
85,CSNA3,2022-10-10,14.38,14.54,13.89,13.91,8002700,7905,133,4820,12854,4,0
86,CSNA3,2022-10-11,13.72,13.9,13.41,13.84,8781500,8447,163,9345,17955,0,0
87,CSNA3,2022-10-13,13.6,13.9,13.33,13.64,7970400,6492,154,6054,12695,5,0
88,CSNA3,2022-10-14,13.71,13.72,12.8,12.82,13129100,7065,233,8441,15739,0,0
89,CSNA3,2022-10-17,12.92,13.04,12.64,12.81,9619700,5899,171,6454,12524,0,0
90,CSNA3,2022-10-18,13.17,13.36,12.83,13.14,9008300,8458,242,4051,12751,0,0
91,CSNA3,2022-10-19,13.12,13.14,12.74,12.88,14899800,12452,294,14274,27000,20,0
92,CSNA3,2022-10-20,12.9,13.78,12.79,13.38,17652400,11027,149,8402,19577,1,0
93,CSNA3,2022-10-21,13.3,14.19,13.09,13.91,17374800,9538,463,5878,15878,1,0
94,CSNA3,2022-10-24,13.86,13.95,12.92,13.07,17724300,10631,254,8537,19422,0,0
95,CSNA3,2022-10-25,13.03,13.46,12.9,12.99,16734700,10617,306,13866,24788,1,0
96,CSNA3,2022-10-26,12.92,13.45,12.58,13.13,16477900,10458,258,12609,23324,1,0
97,CSNA3,2022-10-27,12.97,13.21,12.82,12.95,12649500,9096,254,9072,18422,0,0
98,CSNA3,2022-10-28,12.75,12.81,11.82,12.37,28394300,13194,335,16666,30194,1,0
99,CSNA3,2022-10-31,12.04,12.68,11.92,12.24,13632900,9527,276,9978,19781,0,0
100,CSNA3,2022-11-01,12.6,13.03,12.2,12.76,19139700,14025,313,12634,26972,0,0
101,CSNA3,2022-11-03,12.52,12.98,12.23,12.81,10317700,6883,286,5718,12886,1,0
102,CSNA3,2022-11-04,13.35,14.0,13.33,13.53,21883200,14729,367,11550,26643,3,0
103,CSNA3,2022-11-07,13.61,13.78,13.05,13.13,12873200,10128,224,11147,21497,2,0
