,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,CSRN3,2022-06-06,22.0,22.35,21.85,22.35,1100,3,0,4,7,0,0
1,CSRN3,2022-06-27,18.72,21.0,18.72,19.7,700,0,1,6,7,0,0
2,CSRN3,2022-06-28,20.5,20.5,20.5,20.5,100,1,0,0,1,0,0
3,CSRN3,2022-06-30,20.5,20.5,20.5,20.5,400,0,0,1,1,0,0
4,CSRN3,2022-07-01,20.3,20.3,20.3,20.3,400,0,1,0,1,0,0
5,CSRN3,2022-07-07,21.89,21.89,21.89,21.89,100,0,0,1,1,0,0
6,CSRN3,2022-07-12,21.89,21.89,21.0,21.0,300,0,0,2,2,0,0
7,CSRN3,2022-07-15,17.52,21.3,17.52,21.3,1200,5,0,5,10,0,0
8,CSRN3,2022-07-18,20.21,20.21,20.01,20.01,1200,6,0,0,6,0,0
9,CSRN3,2022-07-21,20.0,20.0,20.0,20.0,100,0,0,1,1,0,0
10,CSRN3,2022-07-22,20.99,20.99,20.99,20.99,100,1,0,0,1,0,0
11,CSRN3,2022-07-27,19.0,19.0,19.0,19.0,100,1,0,0,1,0,0
12,CSRN3,2022-07-28,20.49,21.0,20.49,21.0,800,1,1,3,5,0,0
13,CSRN3,2022-07-29,21.9,22.25,21.9,21.94,600,2,0,3,5,0,0
14,CSRN3,2022-08-01,22.0,23.41,22.0,22.5,2000,9,0,1,10,0,0
15,CSRN3,2022-08-08,18.9,19.69,18.9,19.69,400,2,0,1,3,0,0
16,CSRN3,2022-08-09,18.81,19.99,18.81,18.95,600,2,1,3,6,0,0
17,CSRN3,2022-08-10,19.71,19.71,19.65,19.66,300,3,0,0,3,0,0
18,CSRN3,2022-08-12,20.5,20.5,20.5,20.5,600,0,0,3,3,0,0
19,CSRN3,2022-08-18,19.1,21.5,19.1,21.5,1400,4,0,2,6,0,0
20,CSRN3,2022-08-19,21.5,21.5,21.5,21.5,100,0,0,1,1,0,0
21,CSRN3,2022-08-22,21.9,22.26,21.9,21.95,600,3,0,3,6,0,0
22,CSRN3,2022-08-24,22.22,22.22,22.22,22.22,100,0,0,1,1,0,0
23,CSRN3,2022-08-26,22.43,22.43,22.43,22.43,200,0,0,2,2,0,0
24,CSRN3,2022-08-29,22.45,22.45,22.45,22.45,100,0,0,1,1,0,0
25,CSRN3,2022-08-31,22.38,22.38,22.38,22.38,100,1,0,0,1,0,0
26,CSRN3,2022-09-02,21.0,21.0,21.0,21.0,1100,3,0,0,3,0,0
27,CSRN3,2022-09-05,21.0,21.0,21.0,21.0,100,0,0,1,1,0,0
28,CSRN3,2022-09-06,21.0,21.92,21.0,21.92,200,1,0,1,2,0,0
29,CSRN3,2022-09-09,21.95,22.99,20.51,22.99,300,2,1,0,3,0,0
30,CSRN3,2022-09-12,23.5,23.98,23.5,23.98,300,3,0,0,3,0,0
31,CSRN3,2022-09-13,23.0,23.0,23.0,23.0,200,1,0,0,1,0,0
32,CSRN3,2022-09-16,22.5,23.11,22.5,23.11,200,1,0,1,2,0,0
33,CSRN3,2022-09-22,23.0,23.8,23.0,23.8,200,2,0,0,2,0,0
34,CSRN3,2022-09-29,22.0,22.2,22.0,22.0,600,0,0,3,3,0,0
35,CSRN3,2022-09-30,22.0,22.98,22.0,22.98,200,2,0,0,2,0,0
36,CSRN3,2022-10-03,23.8,23.8,23.8,23.8,100,1,0,0,1,0,0
37,CSRN3,2022-10-04,24.0,24.0,24.0,24.0,600,3,0,0,3,0,0
38,CSRN3,2022-10-13,23.99,23.99,23.99,23.99,100,0,1,0,1,0,0
39,CSRN3,2022-10-18,21.26,22.49,21.25,22.49,800,4,0,4,8,0,0
40,CSRN3,2022-10-20,20.2,20.2,19.0,19.0,4800,6,0,30,36,0,0
41,CSRN3,2022-10-21,19.65,19.7,18.15,18.27,6200,5,0,24,29,0,0
42,CSRN3,2022-10-24,18.89,19.0,17.85,18.5,4900,10,0,17,27,0,0
43,CSRN3,2022-10-25,18.01,18.01,17.7,18.0,7700,3,0,19,22,0,0
44,CSRN3,2022-10-26,18.0,18.39,18.0,18.0,900,2,0,4,6,0,0
45,CSRN3,2022-10-27,18.01,18.01,18.0,18.01,200,0,0,2,2,0,0
46,CSRN3,2022-10-28,18.3,18.44,18.3,18.44,200,2,0,0,2,0,0
47,CSRN3,2022-10-31,18.6,18.8,18.6,18.8,300,3,0,0,3,0,0
48,CSRN3,2022-11-01,18.8,19.01,18.66,19.01,800,5,0,2,7,0,0
49,CSRN3,2022-11-03,18.33,19.49,18.33,19.26,700,5,0,2,7,0,0
50,CSRN3,2022-11-04,18.56,19.2,18.56,19.15,800,4,0,4,8,0,0
51,CSRN3,2022-11-07,18.71,19.2,18.7,19.2,500,1,0,3,4,0,0
52,CSRN3,2022-11-08,19.18,19.29,19.18,19.29,200,1,0,1,2,0,0
53,CSRN3,2022-11-09,18.51,19.27,18.5,19.27,400,1,0,3,4,0,0
54,CSRN3,2022-11-14,19.1,19.19,19.1,19.19,500,2,0,1,3,0,0
55,CSRN3,2022-11-18,19.18,19.69,19.0,19.69,400,4,0,0,4,0,0
56,CSRN3,2022-11-22,19.58,19.58,19.58,19.58,100,1,0,0,1,0,0
57,CSRN3,2022-11-24,19.04,19.59,18.23,18.46,600,4,0,2,6,0,0
58,CSRN3,2022-11-25,18.68,19.09,18.68,19.09,300,1,0,2,3,0,0
59,CSRN3,2022-11-29,19.38,19.38,19.38,19.38,100,1,0,0,1,0,0
60,CSRN3,2022-11-30,19.67,19.68,19.67,19.68,300,3,0,0,3,0,0
61,CSRN3,2022-12-01,19.68,19.7,19.68,19.68,200,0,0,2,2,0,0
62,CSRN3,2022-12-05,20.61,20.61,20.6,20.61,200,2,0,0,2,0,0
63,CSRN3,2022-12-06,20.61,20.85,20.61,20.85,400,1,0,1,2,0,0
64,CSRN3,2022-12-08,21.2,21.2,21.2,21.2,100,1,0,0,1,0,0
65,CSRN3,2022-12-12,21.45,21.45,21.2,21.2,200,0,0,2,2,0,0
66,CSRN3,2022-12-15,21.2,21.25,21.2,21.25,200,2,0,0,2,0,0
67,CSRN3,2022-12-16,21.4,21.57,20.5,21.57,500,4,0,1,5,0,0
68,CSRN3,2022-12-20,21.0,21.0,21.0,21.0,100,0,0,1,1,0,0
69,CSRN3,2022-12-21,21.0,21.0,21.0,21.0,200,2,0,0,2,0,0
70,CSRN3,2022-12-22,20.75,21.4,20.75,21.4,200,2,0,0,2,0,0
71,CSRN3,2022-12-26,21.4,21.4,21.4,21.4,100,1,0,0,1,0,0
72,CSRN3,2023-01-02,21.63,21.63,20.0,21.39,400,2,0,2,4,0,0
73,CSRN3,2023-01-05,22.41,22.41,22.41,22.41,100,0,0,1,1,0,0
74,CSRN3,2023-01-06,22.75,22.75,22.75,22.75,100,1,0,0,1,0,0
75,CSRN3,2023-01-09,22.75,22.75,22.75,22.75,200,0,1,1,2,0,0
76,CSRN3,2023-01-11,23.0,23.0,22.75,23.0,700,3,0,1,4,0,0
77,CSRN3,2023-01-12,23.0,23.0,23.0,23.0,100,1,0,0,1,0,0
78,CSRN3,2023-01-13,23.0,23.0,23.0,23.0,200,1,0,0,1,0,0
79,CSRN3,2023-01-16,23.0,23.2,23.0,23.2,500,3,0,0,3,0,0
80,CSRN3,2023-01-18,23.0,23.2,23.0,23.15,700,4,0,1,5,0,0
81,CSRN3,2023-01-19,22.0,23.19,22.0,23.19,400,3,0,1,4,0,0
82,CSRN3,2023-01-20,23.19,23.2,23.19,23.2,200,1,0,1,2,0,0
83,CSRN3,2023-01-23,24.11,24.11,23.45,24.11,200,2,0,0,2,0,0
84,CSRN3,2023-01-24,24.1,24.1,24.1,24.1,100,0,0,1,1,0,0
85,CSRN3,2023-01-25,24.18,24.18,24.18,24.18,100,0,0,1,1,0,0
86,CSRN3,2023-01-26,24.75,24.75,24.75,24.75,100,1,0,0,1,0,0
