,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,CSUD3,2022-10-17,13.76,13.98,13.55,13.9,111600,452,6,312,770,0,0
1,CSUD3,2022-10-18,13.9,14.39,13.74,14.39,104900,355,0,332,687,0,0
2,CSUD3,2022-10-19,14.38,14.9,14.16,14.9,184000,732,0,632,1364,0,0
3,CSUD3,2022-10-20,14.88,14.92,14.41,14.74,81700,356,7,266,629,0,0
4,CSUD3,2022-10-21,14.84,14.85,14.41,14.85,88800,335,7,272,614,0,0
5,CSUD3,2022-10-24,14.7,14.91,14.5,14.5,68000,257,14,300,571,0,0
6,CSUD3,2022-10-25,14.53,14.72,14.32,14.48,92200,238,8,382,628,0,0
7,CSUD3,2022-10-26,14.31,14.54,14.06,14.42,110200,355,9,313,677,0,0
8,CSUD3,2022-10-27,14.41,14.63,14.17,14.2,103000,346,6,342,694,0,0
9,CSUD3,2022-10-28,14.18,14.7,14.18,14.46,74000,222,0,262,484,0,0
10,CSUD3,2022-10-31,14.22,15.02,14.13,14.9,101800,344,9,295,648,0,0
11,CSUD3,2022-11-01,14.6,14.95,14.48,14.88,84500,242,7,295,544,0,0
12,CSUD3,2022-11-03,14.7,14.88,14.4,14.59,127100,268,12,355,635,0,0
13,CSUD3,2022-11-04,14.65,14.85,14.34,14.65,68200,226,0,238,464,0,0
14,CSUD3,2022-11-07,14.56,14.8,14.29,14.4,90800,353,11,300,664,0,0
15,CSUD3,2022-11-08,14.23,14.49,13.91,14.15,80700,279,7,256,542,0,0
16,CSUD3,2022-11-09,14.2,14.8,14.15,14.5,91800,292,0,267,559,0,0
17,CSUD3,2022-11-10,14.5,14.5,13.39,13.51,152800,288,7,399,694,0,0
18,CSUD3,2022-11-14,12.99,13.07,12.35,12.62,100100,261,0,272,533,0,0
19,CSUD3,2022-11-17,11.84,12.88,11.45,12.88,148300,368,14,402,784,0,0
