,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,CTKA4,2022-06-06,12.31,12.33,12.3,12.3,900,0,0,7,7,0,0
1,CTKA4,2022-06-07,12.3,12.3,12.3,12.3,100,1,0,0,1,0,0
2,CTKA4,2022-06-08,12.0,12.0,11.8,11.8,1400,1,0,7,8,0,0
3,CTKA4,2022-06-09,11.55,11.8,11.55,11.55,900,1,0,6,7,0,0
4,CTKA4,2022-06-13,11.5,11.5,11.39,11.39,400,0,0,3,3,0,0
5,CTKA4,2022-06-20,11.5,11.5,11.49,11.49,500,3,0,1,4,0,0
6,CTKA4,2022-06-21,12.0,12.0,12.0,12.0,100,1,0,0,1,0,0
7,CTKA4,2022-06-23,11.6,11.6,11.45,11.45,2000,1,0,4,5,0,0
8,CTKA4,2022-06-24,11.35,11.35,11.35,11.35,100,1,0,0,1,0,0
9,CTKA4,2022-06-28,11.4,11.43,11.4,11.43,600,1,0,1,2,0,0
10,CTKA4,2022-06-30,11.04,11.05,11.0,11.0,500,1,1,3,5,0,0
11,CTKA4,2022-07-01,11.0,11.0,10.5,10.51,900,1,0,3,4,0,0
12,CTKA4,2022-07-05,10.52,10.52,10.51,10.51,400,1,0,3,4,0,0
13,CTKA4,2022-07-08,10.51,11.27,10.51,11.27,1000,1,0,3,4,0,0
14,CTKA4,2022-07-14,10.7,10.7,10.7,10.7,100,0,0,1,1,0,0
15,CTKA4,2022-07-15,10.8,10.8,10.51,10.51,500,0,1,4,5,0,0
16,CTKA4,2022-07-18,11.5,11.5,11.43,11.43,1000,1,0,4,5,0,0
17,CTKA4,2022-07-19,10.55,10.61,10.55,10.61,200,1,0,1,2,0,0
18,CTKA4,2022-07-21,11.5,11.5,10.5,10.5,2400,7,0,14,21,0,0
19,CTKA4,2022-07-22,10.41,10.41,10.4,10.4,200,0,0,2,2,0,0
20,CTKA4,2022-07-25,10.31,10.31,10.31,10.31,200,0,1,1,2,0,0
21,CTKA4,2022-07-27,10.41,10.41,10.4,10.41,500,2,0,2,4,0,0
22,CTKA4,2022-07-29,10.35,10.4,10.35,10.4,200,0,1,1,2,0,0
23,CTKA4,2022-08-08,10.85,10.85,10.85,10.85,200,2,0,0,2,0,0
24,CTKA4,2022-08-09,10.31,10.31,10.31,10.31,200,1,0,1,2,0,0
25,CTKA4,2022-08-10,10.53,10.69,10.53,10.69,200,1,0,1,2,0,0
26,CTKA4,2022-08-12,11.48,11.65,11.42,11.65,2500,9,0,0,9,0,0
27,CTKA4,2022-08-15,11.2,12.45,11.2,12.45,2900,14,1,0,15,0,0
28,CTKA4,2022-08-16,11.6,11.61,11.5,11.5,1600,1,0,10,11,0,0
29,CTKA4,2022-08-17,11.7,11.7,11.31,11.33,300,2,0,1,3,0,0
30,CTKA4,2022-08-22,11.35,11.6,10.8,10.8,3600,2,0,15,17,0,0
31,CTKA4,2022-08-23,11.0,11.98,10.9,11.98,1300,1,0,6,7,0,0
32,CTKA4,2022-08-24,11.31,11.31,10.72,10.72,1600,6,0,10,16,0,0
33,CTKA4,2022-08-25,11.1,11.1,10.96,10.96,300,3,0,0,3,0,0
34,CTKA4,2022-08-26,10.95,10.96,10.53,10.53,1300,3,0,9,12,0,0
35,CTKA4,2022-08-29,11.62,11.62,11.0,11.0,600,0,0,4,4,0,0
36,CTKA4,2022-08-30,11.0,11.0,11.0,11.0,100,1,0,0,1,0,0
37,CTKA4,2022-08-31,10.8,11.0,10.43,10.43,2300,3,0,14,17,0,0
38,CTKA4,2022-09-01,10.45,10.56,10.4,10.5,1200,0,0,8,8,0,0
39,CTKA4,2022-09-02,10.55,10.6,10.55,10.6,200,0,1,1,2,0,0
40,CTKA4,2022-09-05,10.56,10.56,10.51,10.51,300,1,0,2,3,0,0
41,CTKA4,2022-09-06,10.53,11.45,10.4,11.39,2100,6,0,7,13,0,0
42,CTKA4,2022-09-08,10.7,10.71,10.4,10.41,1400,0,0,11,11,0,0
43,CTKA4,2022-09-09,10.7,10.79,10.4,10.79,1300,5,0,5,10,0,0
44,CTKA4,2022-09-12,10.66,10.66,10.45,10.45,200,1,1,0,2,0,0
45,CTKA4,2022-09-13,10.45,10.5,10.3,10.3,1900,3,0,8,11,0,0
46,CTKA4,2022-09-14,10.41,10.41,10.4,10.4,200,0,1,1,2,0,0
47,CTKA4,2022-09-15,10.41,10.5,10.3,10.3,1200,1,0,7,8,0,0
48,CTKA4,2022-09-16,10.3,10.31,10.2,10.21,900,4,0,5,9,0,0
49,CTKA4,2022-09-21,10.21,10.99,10.21,10.6,300,2,0,1,3,0,0
50,CTKA4,2022-09-22,10.4,11.48,10.3,11.48,2000,7,0,9,16,0,0
51,CTKA4,2022-09-23,11.0,11.15,11.0,11.0,200,0,0,2,2,0,0
52,CTKA4,2022-09-26,11.2,11.2,10.7,10.98,2900,14,0,8,22,0,0
53,CTKA4,2022-09-27,11.0,11.04,10.5,10.5,1000,6,0,0,6,0,0
54,CTKA4,2022-09-29,10.5,10.51,10.4,10.4,600,1,0,3,4,0,0
55,CTKA4,2022-10-03,10.52,10.52,10.35,10.35,600,1,2,3,6,0,0
56,CTKA4,2022-10-04,11.34,11.34,11.0,11.0,200,1,0,1,2,0,0
57,CTKA4,2022-10-06,10.46,10.73,10.46,10.49,700,1,0,4,5,0,0
58,CTKA4,2022-10-07,11.32,11.33,10.56,10.57,1500,5,0,2,7,0,0
59,CTKA4,2022-10-13,10.4,10.4,10.4,10.4,1300,2,0,1,3,0,0
60,CTKA4,2022-10-17,10.41,10.41,10.31,10.31,300,1,0,2,3,0,0
61,CTKA4,2022-10-18,10.31,10.31,10.2,10.21,1300,4,0,6,10,0,0
62,CTKA4,2022-10-19,10.33,10.33,10.33,10.33,200,0,0,2,2,0,0
63,CTKA4,2022-10-20,10.47,10.47,10.21,10.47,200,2,0,0,2,0,0
64,CTKA4,2022-10-21,10.47,10.47,10.11,10.11,200,2,0,0,2,0,0
65,CTKA4,2022-10-24,10.13,10.9,10.13,10.6,400,3,0,1,4,0,0
66,CTKA4,2022-10-25,10.21,10.21,10.1,10.1,1000,3,0,7,10,0,0
67,CTKA4,2022-10-26,10.13,10.13,10.0,10.01,700,2,0,4,6,0,0
68,CTKA4,2022-10-27,10.02,10.02,9.89,9.89,1100,0,0,8,8,0,0
