,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,CTNM4,2022-06-06,2.77,2.77,2.65,2.67,21500,11,2,60,73,0,0
1,CTNM4,2022-06-07,2.7,2.8,2.61,2.62,31000,35,0,155,190,0,0
2,CTNM4,2022-06-08,2.62,2.64,2.56,2.57,13700,20,0,32,52,0,0
3,CTNM4,2022-06-09,2.56,2.58,2.47,2.5,10900,18,0,37,55,0,0
4,CTNM4,2022-06-10,2.5,2.53,2.47,2.52,3400,4,0,9,13,0,0
5,CTNM4,2022-06-13,2.55,2.55,2.53,2.55,20800,5,1,77,83,0,0
6,CTNM4,2022-06-14,2.58,2.74,2.47,2.55,10400,14,4,17,35,0,0
7,CTNM4,2022-06-15,2.59,2.6,2.46,2.49,20600,7,0,82,89,0,0
8,CTNM4,2022-06-17,2.5,2.63,2.4,2.5,23600,23,0,67,90,0,0
9,CTNM4,2022-06-20,2.5,2.81,2.5,2.7,30100,20,2,32,54,0,0
10,CTNM4,2022-06-21,2.7,2.7,2.6,2.6,5600,0,0,22,22,0,0
11,CTNM4,2022-06-22,2.69,2.74,2.5,2.52,59700,37,7,77,121,0,0
12,CTNM4,2022-06-23,2.58,2.65,2.55,2.56,4500,7,1,10,18,0,0
13,CTNM4,2022-06-24,2.55,2.71,2.47,2.5,14000,14,0,48,62,0,0
14,CTNM4,2022-06-27,2.55,2.57,2.37,2.37,37700,41,0,63,104,0,0
15,CTNM4,2022-06-28,2.39,2.42,2.31,2.34,37600,29,0,35,64,0,0
16,CTNM4,2022-06-29,2.34,2.45,2.34,2.45,15200,27,0,10,37,0,0
17,CTNM4,2022-06-30,2.41,2.53,2.38,2.49,5500,17,0,3,20,0,0
18,CTNM4,2022-07-01,2.49,2.58,2.47,2.55,8100,3,1,9,13,0,0
19,CTNM4,2022-07-04,2.5,2.58,2.49,2.57,1000,2,2,2,6,0,0
20,CTNM4,2022-07-05,2.56,2.57,2.5,2.51,4100,6,0,9,15,0,0
21,CTNM4,2022-07-06,2.51,2.7,2.51,2.7,17600,18,0,13,31,0,0
22,CTNM4,2022-07-07,2.7,2.8,2.65,2.8,14000,15,2,19,36,0,0
23,CTNM4,2022-07-08,2.84,2.84,2.68,2.68,16900,10,1,14,25,0,0
24,CTNM4,2022-07-11,2.61,2.68,2.56,2.61,3200,5,0,16,21,0,0
25,CTNM4,2022-07-12,2.63,2.67,2.51,2.67,4600,10,0,15,25,0,0
26,CTNM4,2022-07-13,2.7,2.78,2.67,2.67,1600,9,0,2,11,0,0
27,CTNM4,2022-07-14,2.69,2.7,2.65,2.65,2400,9,0,2,11,0,0
28,CTNM4,2022-07-15,2.6,2.68,2.58,2.62,2000,7,1,4,12,0,0
29,CTNM4,2022-07-18,2.55,2.59,2.52,2.52,7700,18,0,5,23,0,0
30,CTNM4,2022-07-19,2.55,2.61,2.55,2.55,3900,4,1,10,15,0,0
31,CTNM4,2022-07-20,2.54,2.6,2.54,2.56,8500,17,0,7,24,0,0
32,CTNM4,2022-07-21,2.68,2.7,2.6,2.65,18300,22,0,9,31,0,0
33,CTNM4,2022-07-22,2.62,2.62,2.62,2.62,4100,4,0,1,5,0,0
34,CTNM4,2022-07-25,2.68,2.73,2.56,2.6,4400,6,0,15,21,0,0
35,CTNM4,2022-07-26,2.55,2.56,2.45,2.5,10500,9,0,18,27,0,0
36,CTNM4,2022-07-27,2.52,2.55,2.48,2.5,3300,11,0,4,15,0,0
37,CTNM4,2022-07-28,2.5,2.51,2.47,2.47,2500,4,0,6,10,0,0
38,CTNM4,2022-07-29,2.47,2.5,2.45,2.47,5300,9,0,8,17,0,0
39,CTNM4,2022-08-01,2.45,2.48,2.42,2.43,6600,1,0,24,25,0,0
40,CTNM4,2022-08-02,2.43,2.5,2.43,2.46,2300,1,0,10,11,0,0
41,CTNM4,2022-08-03,2.5,2.54,2.45,2.54,3700,11,0,10,21,0,0
42,CTNM4,2022-08-08,2.73,2.74,2.69,2.7,30200,55,0,22,77,0,0
43,CTNM4,2022-08-09,2.74,2.89,2.7,2.77,29100,71,4,62,137,0,0
44,CTNM4,2022-08-10,2.85,2.85,2.73,2.73,19600,33,0,21,54,0,0
45,CTNM4,2022-08-12,2.86,2.86,2.72,2.72,16300,8,0,16,24,0,0
46,CTNM4,2022-08-15,2.7,2.82,2.7,2.82,9400,12,0,20,32,0,0
47,CTNM4,2022-08-16,2.81,2.81,2.79,2.8,2900,7,0,4,11,0,0
48,CTNM4,2022-08-17,2.8,2.8,2.7,2.72,6000,25,0,8,33,0,0
49,CTNM4,2022-08-18,2.74,2.75,2.71,2.75,54900,24,2,5,31,0,0
50,CTNM4,2022-08-19,2.72,2.72,2.66,2.71,1700,6,0,3,9,0,0
51,CTNM4,2022-08-22,2.69,2.75,2.68,2.69,4700,6,0,25,31,0,0
52,CTNM4,2022-08-23,2.61,2.68,2.57,2.64,6500,2,1,27,30,0,0
53,CTNM4,2022-08-24,2.58,2.74,2.58,2.72,13500,7,0,11,18,0,0
54,CTNM4,2022-08-25,2.67,2.69,2.62,2.64,3200,4,1,7,12,0,0
55,CTNM4,2022-08-26,2.67,2.69,2.61,2.61,2000,1,0,8,9,0,0
56,CTNM4,2022-08-29,2.65,2.69,2.65,2.68,2500,7,0,5,12,0,0
