,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,CTSA3,2022-06-06,1.71,1.71,1.65,1.68,12200,16,1,43,60,0,0
1,CTSA3,2022-06-07,1.68,1.69,1.63,1.64,6800,10,0,14,24,0,0
2,CTSA3,2022-06-08,1.64,1.67,1.6,1.61,7000,17,0,20,37,0,0
3,CTSA3,2022-06-09,1.61,1.65,1.57,1.58,11600,15,0,32,47,0,0
4,CTSA3,2022-06-10,1.58,1.73,1.45,1.71,72300,119,0,86,205,0,0
5,CTSA3,2022-06-13,1.7,1.72,1.57,1.63,67200,63,0,78,141,0,0
6,CTSA3,2022-06-14,1.63,1.73,1.58,1.62,36500,45,0,34,79,0,0
7,CTSA3,2022-06-15,1.64,1.65,1.59,1.62,11800,24,0,35,59,0,0
8,CTSA3,2022-06-17,1.6,1.62,1.57,1.57,8000,13,0,12,25,0,0
9,CTSA3,2022-06-20,1.61,1.75,1.57,1.58,100300,77,0,50,127,0,0
10,CTSA3,2022-06-21,1.59,1.74,1.54,1.56,67200,59,0,77,136,0,0
11,CTSA3,2022-06-22,1.59,1.63,1.56,1.58,33400,54,0,51,105,0,0
12,CTSA3,2022-06-23,1.58,1.59,1.54,1.54,22200,21,9,31,61,0,0
13,CTSA3,2022-06-24,1.57,1.63,1.45,1.57,51900,63,6,60,129,0,0
14,CTSA3,2022-06-27,1.55,1.57,1.53,1.53,12000,15,0,22,37,0,0
15,CTSA3,2022-06-28,1.54,1.57,1.49,1.49,20600,22,4,42,68,0,0
16,CTSA3,2022-06-29,1.52,1.56,1.43,1.53,37100,46,1,35,82,0,0
17,CTSA3,2022-06-30,1.46,1.5,1.44,1.46,17900,27,0,36,63,0,0
18,CTSA3,2022-07-01,1.52,1.52,1.45,1.48,6800,23,0,7,30,0,0
19,CTSA3,2022-07-04,1.48,1.57,1.44,1.49,54600,62,0,58,120,0,0
20,CTSA3,2022-07-05,1.49,1.49,1.45,1.49,5800,11,3,13,27,0,0
21,CTSA3,2022-07-06,1.49,1.52,1.45,1.48,24300,45,2,58,105,0,0
22,CTSA3,2022-07-07,1.48,1.62,1.46,1.58,42300,75,0,63,138,0,0
23,CTSA3,2022-07-08,1.58,1.58,1.53,1.55,10900,22,0,23,45,0,0
24,CTSA3,2022-07-11,1.55,1.6,1.51,1.55,24800,36,0,42,78,0,0
25,CTSA3,2022-07-12,1.55,1.55,1.51,1.52,13500,25,0,21,46,0,0
26,CTSA3,2022-07-13,1.53,1.62,1.5,1.57,42800,56,9,60,125,0,0
27,CTSA3,2022-07-14,1.52,1.55,1.45,1.54,55700,56,0,60,116,0,0
28,CTSA3,2022-07-15,1.49,1.53,1.49,1.52,10100,15,0,19,34,0,0
29,CTSA3,2022-07-18,1.52,1.55,1.48,1.53,6300,15,1,17,33,0,0
30,CTSA3,2022-07-19,1.5,1.53,1.44,1.47,16800,21,0,30,51,0,0
31,CTSA3,2022-07-20,1.51,1.52,1.49,1.5,11300,28,0,16,44,0,0
32,CTSA3,2022-07-21,1.52,1.55,1.49,1.52,47500,49,0,42,91,0,0
33,CTSA3,2022-07-22,1.53,1.54,1.5,1.51,6500,13,0,22,35,0,0
34,CTSA3,2022-07-25,1.51,1.51,1.44,1.47,19800,18,1,46,65,0,0
35,CTSA3,2022-07-26,1.47,1.48,1.44,1.45,8900,18,1,20,39,0,0
36,CTSA3,2022-07-27,1.46,1.5,1.45,1.5,8500,19,7,20,46,0,0
37,CTSA3,2022-07-28,1.5,1.5,1.46,1.5,8000,18,0,14,32,0,0
38,CTSA3,2022-07-29,1.5,1.52,1.44,1.48,41000,46,3,58,107,0,0
39,CTSA3,2022-08-01,1.48,1.52,1.46,1.48,24200,31,1,28,60,0,0
40,CTSA3,2022-08-02,1.49,1.49,1.47,1.49,7200,11,0,13,24,0,0
