,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,CURY3,2022-06-06,6.65,6.69,6.3,6.3,852000,1705,107,2317,4128,1,0
1,CURY3,2022-06-07,6.31,6.33,6.18,6.25,667700,1545,60,2329,3934,0,0
2,CURY3,2022-06-08,6.22,6.27,6.1,6.19,992500,2060,48,3018,5126,0,0
3,CURY3,2022-06-09,6.14,6.29,6.07,6.26,852100,1760,43,3613,5416,0,0
4,CURY3,2022-06-10,6.16,6.2,6.05,6.12,1259900,3294,36,4382,7712,0,0
5,CURY3,2022-06-13,6.0,6.1,5.9,5.99,1386300,3578,54,2675,6305,2,0
6,CURY3,2022-06-14,5.99,6.11,5.94,6.02,929000,2307,34,1877,4217,1,0
7,CURY3,2022-06-15,6.1,6.25,6.09,6.11,1149600,3679,52,2583,6314,0,0
8,CURY3,2022-06-17,6.01,6.09,5.81,6.08,1005000,1439,76,1782,3296,1,0
9,CURY3,2022-06-20,6.09,6.09,5.89,6.01,731100,1475,32,2090,3597,0,0
10,CURY3,2022-06-21,6.03,6.09,5.91,5.92,610000,1059,82,1802,2890,53,0
11,CURY3,2022-06-22,5.9,5.99,5.81,5.9,758900,1303,50,1895,3248,0,0
12,CURY3,2022-06-23,5.94,6.08,5.94,6.03,619200,2352,51,1305,3706,2,0
13,CURY3,2022-06-24,6.1,6.11,5.84,6.0,1150100,3920,69,2111,6100,0,0
14,CURY3,2022-06-27,6.03,6.06,5.94,6.0,562400,1471,26,2326,3823,0,0
15,CURY3,2022-06-28,6.04,6.18,5.92,5.95,710600,2025,29,1981,4035,0,0
16,CURY3,2022-06-29,5.96,6.04,5.84,6.04,1093100,1231,42,1034,2304,3,0
17,CURY3,2022-06-30,5.96,6.15,5.84,6.05,1332100,2398,45,1861,4303,1,0
18,CURY3,2022-07-01,6.11,6.3,5.96,6.21,1999600,4415,93,4502,9010,0,0
19,CURY3,2022-07-04,6.24,6.35,6.12,6.15,1001700,2219,95,1777,4091,0,0
20,CURY3,2022-07-05,6.15,6.33,6.07,6.26,1683600,4582,49,3064,7695,0,0
21,CURY3,2022-07-06,6.24,6.47,6.18,6.34,623600,1844,158,1485,3382,105,0
22,CURY3,2022-07-07,6.45,6.79,6.33,6.72,2065200,3282,49,2713,6042,2,0
23,CURY3,2022-07-08,6.76,7.29,6.69,7.28,2338100,3802,104,2043,5947,2,0
24,CURY3,2022-07-11,7.17,7.27,6.98,7.06,1599800,4395,101,3424,7920,0,0
25,CURY3,2022-07-12,7.15,7.52,7.11,7.46,1611800,2754,62,3886,6702,0,0
26,CURY3,2022-07-13,7.4,7.52,7.26,7.26,994800,1266,72,2023,3361,0,0
27,CURY3,2022-07-14,7.19,7.29,7.15,7.23,767900,1542,50,1723,3315,0,0
28,CURY3,2022-07-15,7.25,7.67,7.1,7.67,2422300,5128,94,2944,8165,1,0
29,CURY3,2022-07-18,7.72,7.8,7.19,7.23,1108700,1318,84,1750,3150,2,0
30,CURY3,2022-07-19,7.25,7.41,7.22,7.27,968200,1665,47,2646,4358,0,0
31,CURY3,2022-07-20,7.33,7.44,7.25,7.35,1448700,2969,55,3594,6618,0,0
32,CURY3,2022-07-21,7.24,7.63,7.24,7.61,2315500,4911,107,3458,8475,1,0
33,CURY3,2022-07-22,7.6,7.67,7.34,7.34,1176000,1191,85,2390,3662,4,0
34,CURY3,2022-07-25,7.36,7.45,7.11,7.11,723100,1137,63,1761,2961,0,0
35,CURY3,2022-07-26,7.13,7.17,6.82,6.89,1073300,1377,48,2727,4152,0,0
