,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,CVCB3,2022-06-06,10.68,10.8,10.25,10.27,6733400,3069,108,4959,8135,1,0
1,CVCB3,2022-06-07,10.35,10.6,10.13,10.28,10520300,5632,129,7744,13504,1,0
2,CVCB3,2022-06-08,10.22,10.49,10.02,10.1,8065600,5148,117,4356,9621,0,0
3,CVCB3,2022-06-09,10.05,10.13,9.64,9.86,13402300,8882,184,6733,15799,0,0
4,CVCB3,2022-06-10,9.69,9.85,9.29,9.31,9804300,6297,104,5961,12362,0,0
5,CVCB3,2022-06-13,8.99,8.99,8.11,8.25,16622800,10740,362,8330,19432,0,0
6,CVCB3,2022-06-14,8.35,8.39,7.6,7.67,14170000,7539,272,8623,16431,3,0
7,CVCB3,2022-06-15,7.89,8.85,7.8,8.76,23810700,10908,381,10752,21921,120,0
8,CVCB3,2022-06-17,8.39,9.7,8.12,9.67,23953300,12598,418,12131,25147,0,0
9,CVCB3,2022-06-20,9.69,9.82,8.89,9.45,13876400,8441,109,6332,14882,0,0
10,CVCB3,2022-06-21,9.6,9.88,9.09,9.44,11704000,6032,141,5911,12084,0,0
11,CVCB3,2022-06-22,9.08,9.68,8.96,9.02,10826900,4544,215,4813,9572,0,0
12,CVCB3,2022-06-23,9.1,9.3,8.81,8.86,11178500,6037,135,6119,12291,0,0
13,CVCB3,2022-06-24,9.03,9.08,7.86,8.63,34344600,15999,1032,14312,31342,1,0
14,CVCB3,2022-06-27,8.63,8.72,8.04,8.11,21600400,13405,132,9844,23381,0,0
15,CVCB3,2022-06-28,8.16,8.44,7.66,7.71,21767900,6960,333,8584,15876,1,0
16,CVCB3,2022-06-29,7.72,7.94,7.15,7.17,19983900,9050,216,9442,18708,0,0
17,CVCB3,2022-06-30,6.96,7.28,6.87,7.0,18412900,6772,360,8615,15747,0,0
18,CVCB3,2022-07-01,6.99,7.12,6.75,7.02,12711200,4947,181,5519,10647,0,0
19,CVCB3,2022-07-04,6.93,7.1,6.77,6.8,7648600,2468,169,3538,6175,0,0
20,CVCB3,2022-07-05,6.72,6.85,6.45,6.82,13260300,5375,157,5220,10752,0,0
21,CVCB3,2022-07-06,6.74,7.09,6.61,6.78,15398200,5798,121,7584,13503,0,0
22,CVCB3,2022-07-07,6.99,7.56,6.89,7.54,19222000,8086,218,6553,14857,0,0
23,CVCB3,2022-07-08,7.45,7.55,7.12,7.17,15716100,5337,130,5493,10960,0,0
24,CVCB3,2022-07-11,7.02,7.16,6.78,6.79,10437500,2957,87,4474,7518,0,0
25,CVCB3,2022-07-12,6.84,7.18,6.66,6.95,13567100,5694,99,4169,9962,0,0
26,CVCB3,2022-07-13,6.84,7.18,6.78,6.82,15925400,4654,122,5689,10465,0,0
27,CVCB3,2022-07-14,6.72,7.07,6.67,6.87,14907100,4762,91,5188,10041,0,0
28,CVCB3,2022-07-15,6.93,6.93,6.5,6.52,13882000,4678,231,6301,11210,0,0
29,CVCB3,2022-07-18,6.68,6.93,6.4,6.44,15416300,4912,245,5138,10295,0,0
30,CVCB3,2022-07-19,6.48,6.63,6.36,6.55,11298000,4419,94,5144,9657,0,0
31,CVCB3,2022-07-20,6.64,7.12,6.59,7.05,17666100,7885,193,5275,13353,0,0
32,CVCB3,2022-07-21,7.05,7.11,6.89,7.0,9518700,2959,138,4167,7264,0,0
33,CVCB3,2022-07-22,7.04,7.24,6.66,6.77,13530700,4586,90,6318,10994,0,0
34,CVCB3,2022-07-25,6.81,6.97,6.53,6.59,10866000,3296,103,4289,7688,0,0
35,CVCB3,2022-07-26,6.57,6.62,6.33,6.37,7815800,2442,90,4967,7499,0,0
36,CVCB3,2022-07-27,6.43,6.85,6.36,6.83,9355200,5455,92,3432,8979,0,0
37,CVCB3,2022-07-28,6.8,7.09,6.72,7.07,8908300,4468,129,3553,8150,0,0
38,CVCB3,2022-07-29,7.09,7.15,6.88,6.94,5849300,3506,84,2896,6486,0,0
39,CVCB3,2022-08-01,6.97,7.17,6.78,6.93,7630400,3853,74,3774,7701,0,0
40,CVCB3,2022-08-02,6.87,7.01,6.76,6.8,9205800,4220,126,3572,7918,0,0
41,CVCB3,2022-08-03,6.83,7.34,6.78,7.3,16251600,6392,101,3844,10336,1,0
42,CVCB3,2022-08-08,7.86,8.22,7.75,7.98,12052400,5904,124,5349,11377,0,0
43,CVCB3,2022-08-09,7.86,7.88,6.95,7.08,21786700,8621,187,10181,18987,2,0
44,CVCB3,2022-08-10,7.3,7.37,7.0,7.06,24869700,12174,400,8570,21141,3,0
45,CVCB3,2022-08-12,7.09,7.21,7.02,7.14,12428100,5064,253,4091,9408,0,0
46,CVCB3,2022-08-15,7.05,7.96,6.96,7.84,19792200,8426,118,7379,15923,0,0
47,CVCB3,2022-08-16,7.86,8.02,7.58,7.81,10689700,4898,81,5232,10209,2,0
48,CVCB3,2022-08-17,7.6,8.04,7.55,7.84,12785700,5984,95,6435,12514,0,0
49,CVCB3,2022-08-18,7.89,7.91,7.34,7.46,13297600,5208,119,6032,11358,1,0
50,CVCB3,2022-08-19,7.36,7.46,7.01,7.1,12845800,4991,129,5726,10846,0,0
51,CVCB3,2022-08-22,7.03,7.03,6.79,6.97,9566800,4208,166,5008,9382,0,0
52,CVCB3,2022-08-23,6.99,7.2,6.9,7.2,13803500,5618,116,5106,10840,0,0
53,CVCB3,2022-08-24,7.18,8.08,7.18,7.96,25525300,9084,169,9985,19238,0,0
54,CVCB3,2022-08-25,8.1,8.48,8.05,8.21,18835400,7256,112,7142,14510,0,0
55,CVCB3,2022-08-26,8.29,8.43,7.77,8.0,12956500,5574,94,5954,11622,0,0
56,CVCB3,2022-08-29,7.85,8.37,7.8,8.23,10691500,5379,91,5286,10756,0,0
57,CVCB3,2022-08-30,8.33,8.54,7.5,7.55,19071500,8017,234,7696,15947,0,0
58,CVCB3,2022-08-31,7.65,7.79,7.33,7.59,17961800,7409,223,8083,15714,1,0
59,CVCB3,2022-09-01,7.5,7.85,7.42,7.82,10292700,5694,180,3963,9836,1,0
60,CVCB3,2022-09-02,7.9,8.03,7.6,7.71,10995200,4854,218,4554,9626,0,0
61,CVCB3,2022-09-05,7.78,7.81,7.62,7.71,5875300,2433,144,2642,5195,24,0
62,CVCB3,2022-09-06,7.67,7.68,7.1,7.17,15272900,5165,126,6448,11739,0,0
63,CVCB3,2022-09-08,7.31,7.55,7.16,7.38,14181300,5148,121,5105,10373,1,0
64,CVCB3,2022-09-09,7.51,7.93,7.44,7.89,13777400,8582,98,5083,13762,1,0
65,CVCB3,2022-09-12,7.98,8.28,7.98,8.09,13682100,5614,116,4425,10154,1,0
66,CVCB3,2022-09-13,7.68,8.16,7.63,7.93,15640000,5384,232,5827,11443,0,0
67,CVCB3,2022-09-14,7.88,7.9,7.54,7.67,14108600,4845,114,5753,10712,0,0
68,CVCB3,2022-09-15,7.67,7.72,7.33,7.38,16409700,7437,109,8542,16088,0,0
69,CVCB3,2022-09-16,7.25,7.27,7.04,7.19,25986500,10291,223,14098,24612,0,0
70,CVCB3,2022-09-19,7.1,7.5,7.05,7.41,20209600,7644,169,7338,15151,0,0
71,CVCB3,2022-09-20,7.43,7.65,7.08,7.1,26954800,7996,221,9085,17301,1,0
72,CVCB3,2022-09-21,7.14,7.42,6.93,7.21,29849700,9735,108,9021,18863,1,0
73,CVCB3,2022-09-22,7.37,7.37,6.91,6.98,28293100,10252,156,7362,17770,0,0
74,CVCB3,2022-09-23,6.82,6.9,6.67,6.75,22091400,7012,460,6931,14402,1,0
75,CVCB3,2022-09-26,6.74,6.78,6.39,6.4,21022800,6880,240,7018,14138,0,0
76,CVCB3,2022-09-27,6.59,6.63,6.33,6.4,21124800,6132,145,6475,12752,0,0
77,CVCB3,2022-09-28,6.42,6.53,6.34,6.46,18183000,4600,98,5305,10003,0,0
78,CVCB3,2022-09-29,6.42,6.43,6.01,6.09,17908500,5185,237,8733,14155,0,0
79,CVCB3,2022-09-30,6.1,6.37,5.99,6.35,14667500,6253,184,6409,12846,0,0
80,CVCB3,2022-10-03,6.59,6.79,6.5,6.71,16482300,12583,237,6977,19797,0,0
81,CVCB3,2022-10-04,6.96,7.15,6.81,6.88,15530000,7419,117,6015,13551,0,0
