,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,CXSE3,2023-08-02,10.81,10.85,10.75,10.85,2121500,5370,89,5968,11427,0,0
1,CXSE3,2022-10-20,9.0,9.04,8.83,8.93,1935400,2081,77,1924,4082,0,0
2,CXSE3,2023-02-13,8.39,8.48,8.36,8.43,750100,862,58,863,1783,0,0
3,CXSE3,2022-11-25,8.23,8.25,8.05,8.15,688500,531,32,723,1286,0,0
4,CXSE3,2022-09-02,8.96,9.12,8.96,9.06,1171700,835,45,801,1681,0,0
5,CXSE3,2023-03-23,8.51,8.86,8.51,8.65,4423600,2572,77,3428,6074,3,0
6,CXSE3,2023-05-26,10.15,10.23,10.15,10.16,2464300,3433,77,4093,7603,0,0
7,CXSE3,2022-12-26,8.36,8.45,8.29,8.3,698000,1290,31,2168,3489,0,0
8,CXSE3,2023-03-13,8.49,8.51,8.36,8.43,2433900,3651,68,6048,9767,0,0
9,CXSE3,2023-06-06,10.45,10.5,10.34,10.36,3026600,3497,94,4746,8337,0,0
10,CXSE3,2022-10-31,8.5,8.82,8.46,8.81,2517500,2043,194,2672,4909,0,0
11,CXSE3,2023-02-22,8.6,8.62,8.47,8.59,859000,1125,67,951,2143,0,0
12,CXSE3,2022-10-21,8.86,9.04,8.82,8.93,2635200,3482,64,1507,5053,0,0
13,CXSE3,2022-09-14,9.01,9.01,8.87,8.89,2453500,1172,49,1489,2710,0,0
14,CXSE3,2023-01-25,8.5,8.72,8.46,8.68,2116200,2390,55,1436,3881,0,0
15,CXSE3,2023-06-15,10.38,10.47,10.24,10.27,2019600,2879,152,4842,7873,0,0
16,CXSE3,2023-01-06,8.1,8.13,7.97,8.06,2151300,1396,55,6355,7806,0,0
17,CXSE3,2022-11-21,7.95,8.09,7.92,8.01,664400,690,39,747,1476,0,0
18,CXSE3,2022-11-29,8.05,8.23,7.98,8.09,1469600,1030,34,1607,2671,0,0
19,CXSE3,2022-06-27,7.13,7.14,7.01,7.06,1963700,2034,77,4896,7007,0,0
20,CXSE3,2023-08-18,10.5,10.53,10.4,10.51,2969300,4309,70,7534,11913,0,0
21,CXSE3,2023-04-04,8.58,8.82,8.58,8.78,1324000,2073,65,1522,3660,0,0
22,CXSE3,2022-07-18,6.84,6.96,6.71,6.75,1177000,940,42,1716,2698,0,0
23,CXSE3,2023-02-28,8.51,8.58,8.46,8.47,1523700,1633,92,3335,5060,0,0
