,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,CYRE3,2022-06-06,13.71,13.85,13.14,13.2,5140300,4895,131,6091,11114,3,0
1,CYRE3,2022-06-07,13.09,13.11,12.82,12.94,6927600,5448,127,9607,15181,1,0
2,CYRE3,2022-06-08,12.81,13.01,12.59,12.59,5924300,6244,147,6275,12664,2,0
3,CYRE3,2022-06-09,12.55,13.12,12.47,12.81,7921800,7934,161,6085,14174,6,0
4,CYRE3,2022-06-10,12.61,12.69,12.18,12.2,6455200,8528,150,7278,15956,0,0
5,CYRE3,2022-06-13,11.93,12.15,11.7,12.08,8599500,10301,217,8459,18977,0,0
6,CYRE3,2022-06-14,12.1,12.25,11.95,12.1,6296700,6218,110,7549,13875,2,0
7,CYRE3,2022-06-15,12.26,12.48,12.12,12.32,9765100,12928,162,8105,21187,8,0
8,CYRE3,2022-06-17,12.15,12.33,11.89,12.1,9367200,10178,252,8462,18835,57,0
9,CYRE3,2022-06-20,12.23,12.29,11.95,11.97,6293300,5714,99,6204,12013,4,0
10,CYRE3,2022-06-21,12.09,12.24,11.87,12.1,7078100,6820,110,8562,15491,1,0
11,CYRE3,2022-06-22,11.87,12.31,11.87,12.14,6172900,5368,146,5497,11011,0,0
12,CYRE3,2022-06-23,12.22,12.35,11.99,12.06,4701500,7353,131,3969,11451,2,0
13,CYRE3,2022-06-24,12.2,12.35,11.92,11.95,4177800,5783,120,4931,10834,0,0
14,CYRE3,2022-06-27,12.03,12.09,11.84,11.96,4421500,6311,121,4872,11303,1,0
15,CYRE3,2022-06-28,11.97,12.1,11.57,11.69,6821600,8580,110,10567,19256,1,0
16,CYRE3,2022-06-29,11.74,12.03,11.71,11.93,10661600,18014,106,9480,27599,1,0
17,CYRE3,2022-06-30,11.69,11.98,11.55,11.8,6526000,5765,213,7735,13712,1,0
18,CYRE3,2022-07-01,11.75,12.22,11.64,12.05,4807300,7509,147,6042,13698,0,0
19,CYRE3,2022-07-04,12.0,12.15,11.91,11.91,4582200,5381,117,5584,11081,1,0
20,CYRE3,2022-07-05,11.81,12.26,11.76,12.25,6581400,8941,194,5935,15070,0,0
21,CYRE3,2022-07-06,12.2,12.58,12.12,12.32,7936700,13956,153,6871,20979,1,0
22,CYRE3,2022-07-07,12.52,12.77,12.37,12.61,5729100,7420,159,7746,15325,0,0
23,CYRE3,2022-07-08,12.66,12.77,12.49,12.66,3320700,3882,108,5003,8991,2,0
24,CYRE3,2022-07-11,12.43,12.59,12.19,12.41,4913100,6488,144,5867,12499,0,0
25,CYRE3,2022-07-12,12.47,13.14,12.35,13.01,9582200,7944,153,7235,15329,3,0
26,CYRE3,2022-07-13,12.9,13.51,12.84,12.84,10363000,11970,152,8491,20613,0,0
27,CYRE3,2022-07-14,12.81,12.81,12.14,12.14,7715000,6309,182,11458,17948,1,0
28,CYRE3,2022-07-15,12.26,12.33,12.0,12.02,4832500,6742,167,9658,16566,1,0
29,CYRE3,2022-07-18,12.28,12.28,12.05,12.05,5958100,5072,129,5888,11089,0,0
30,CYRE3,2022-07-19,12.11,12.29,12.07,12.13,3684300,6773,86,6152,13011,0,0
31,CYRE3,2022-07-20,12.03,12.3,11.98,12.22,4160000,8711,164,6390,15264,1,0
32,CYRE3,2022-07-21,12.17,12.57,12.1,12.37,4412400,6566,128,7938,14632,0,0
33,CYRE3,2022-07-22,12.46,12.46,12.12,12.24,3870100,4286,137,4289,8712,0,0
34,CYRE3,2022-07-25,12.34,12.43,12.2,12.27,3107000,4319,105,5191,9615,0,0
35,CYRE3,2022-07-26,12.29,12.29,11.87,12.0,4399600,5115,137,4977,10229,0,0
36,CYRE3,2022-07-27,12.09,12.41,11.97,12.3,3183600,4574,97,5192,9863,0,0
37,CYRE3,2022-07-28,12.37,12.92,12.29,12.89,5072300,6250,157,7647,14038,16,0
38,CYRE3,2022-07-29,12.85,12.86,12.59,12.63,2880900,4087,106,3827,8020,0,0
39,CYRE3,2022-08-01,12.63,12.97,12.58,12.86,8546000,9418,101,9874,19390,3,0
40,CYRE3,2022-08-02,12.93,12.97,12.48,12.52,4632200,4868,173,6569,11606,4,0
41,CYRE3,2022-08-03,12.56,13.48,12.43,13.4,8764900,8766,139,7125,16027,3,0
42,CYRE3,2022-08-08,14.89,15.0,14.65,14.81,6528100,12089,129,6539,18754,3,0
43,CYRE3,2022-08-09,14.75,14.93,14.44,14.82,5774100,7653,154,7675,15478,4,0
44,CYRE3,2022-08-10,15.13,15.6,15.06,15.17,6685300,13401,279,9479,23156,3,0
45,CYRE3,2022-08-12,14.6,14.77,14.35,14.65,5564200,11670,160,9480,21310,0,0
46,CYRE3,2022-08-15,14.49,15.58,14.38,15.56,12415800,10034,209,14161,24400,4,0
47,CYRE3,2022-08-16,15.53,15.69,15.03,15.31,4892400,8437,156,5932,14524,1,0
48,CYRE3,2022-08-17,15.3,15.49,14.99,15.25,5951500,6992,124,5729,12844,1,0
49,CYRE3,2022-08-18,15.34,15.45,14.69,15.05,4534200,6862,135,6494,13488,3,0
50,CYRE3,2022-08-19,14.69,14.82,14.07,14.2,9037000,8493,139,13108,21737,3,0
51,CYRE3,2022-08-22,13.99,14.2,13.78,14.01,4502900,9678,142,5559,15379,0,0
52,CYRE3,2022-08-23,14.08,14.46,14.0,14.4,4264800,9867,98,5766,15731,0,0
53,CYRE3,2022-08-24,14.3,14.83,14.29,14.62,5380800,7859,126,8896,16881,0,0
54,CYRE3,2022-08-25,14.7,14.83,14.47,14.47,4860100,4564,110,8271,12942,3,0
55,CYRE3,2022-08-26,14.6,14.72,14.17,14.25,3674000,7139,113,6366,13618,0,0
56,CYRE3,2022-08-29,14.14,14.83,14.02,14.55,5536600,7225,116,6262,13602,1,0
57,CYRE3,2022-08-30,14.54,15.05,14.37,14.4,4123000,7892,109,4948,12949,0,0
58,CYRE3,2022-08-31,14.51,14.66,14.15,14.2,4948400,7154,190,4775,12119,0,0
59,CYRE3,2022-09-01,14.22,15.23,14.22,15.15,8226100,12115,1391,9912,22261,1157,0
60,CYRE3,2022-09-02,15.27,16.91,15.2,16.36,21638300,16988,301,19518,36800,7,0
61,CYRE3,2022-09-05,16.45,16.75,16.19,16.23,9554200,11499,171,13811,25478,3,0
62,CYRE3,2022-09-06,16.12,16.27,15.33,15.63,7276300,9394,125,8937,18456,0,0
63,CYRE3,2022-09-08,15.74,16.38,15.73,16.2,8515600,10214,183,8872,19269,0,0
64,CYRE3,2022-09-09,16.3,17.25,16.23,16.65,16739800,18584,148,19388,38117,3,0
65,CYRE3,2022-09-12,16.9,17.05,16.54,16.59,4715600,6381,162,7364,13907,0,0
66,CYRE3,2022-09-13,16.3,16.38,16.04,16.25,4685200,6475,129,6041,12645,0,0
67,CYRE3,2022-09-14,16.2,16.27,15.88,16.04,5044100,6652,130,8288,15070,0,0
68,CYRE3,2022-09-15,15.99,16.4,15.88,15.94,6626600,11685,166,7778,19603,26,0
69,CYRE3,2022-09-16,15.7,16.0,15.36,15.64,15679600,11510,311,12640,24458,3,0
70,CYRE3,2022-09-19,15.6,16.33,15.6,16.25,8099800,12238,163,11912,24312,1,0
71,CYRE3,2022-09-20,16.15,16.41,15.93,16.22,7013800,9039,141,10061,19240,1,0
72,CYRE3,2022-09-21,16.21,16.72,16.05,16.3,9733200,10515,132,14201,24848,0,0
73,CYRE3,2022-09-22,16.63,17.14,16.53,16.85,17290400,21517,178,27877,49568,4,0
74,CYRE3,2022-09-23,16.59,16.82,16.19,16.76,8420300,9667,224,10484,20373,2,0
75,CYRE3,2022-09-26,16.7,16.79,15.99,16.09,10211600,10980,187,13348,24515,0,0
76,CYRE3,2022-09-27,16.45,16.7,15.94,16.07,7210900,6185,150,9042,15374,3,0
77,CYRE3,2022-09-28,16.5,17.55,16.34,17.37,25662300,20132,315,19481,39923,5,0
78,CYRE3,2022-09-29,17.1,17.43,16.77,17.25,10791300,8325,266,12469,21058,2,0
79,CYRE3,2022-09-30,17.16,18.52,17.0,18.42,21781900,20690,234,17514,38434,4,0
80,CYRE3,2022-10-03,19.1,20.57,19.1,20.12,29880900,40160,621,28730,69430,81,0
81,CYRE3,2022-10-04,20.25,20.63,19.28,19.58,17780600,21854,306,24037,46188,9,0
82,CYRE3,2022-10-05,19.78,20.05,19.6,19.8,6730500,11912,230,11895,24037,0,0
83,CYRE3,2022-10-06,19.97,20.03,19.51,19.53,8687500,13358,190,10909,24443,14,0
84,CYRE3,2022-10-07,19.48,19.65,19.21,19.49,7157700,11189,153,11948,23288,2,0
85,CYRE3,2022-10-10,19.39,19.58,18.86,19.1,5447400,11674,170,7090,18931,3,0
86,CYRE3,2022-10-11,19.13,19.24,18.41,18.55,9328300,9633,190,9775,19595,3,0
87,CYRE3,2022-10-13,18.5,18.96,18.18,18.51,13938400,16220,240,12098,28550,8,0
88,CYRE3,2022-10-14,18.65,18.88,18.46,18.48,11203100,8447,180,8439,17062,4,0
89,CYRE3,2022-10-17,18.89,19.05,18.59,18.75,7803500,8556,257,10377,19188,2,0
90,CYRE3,2022-10-18,18.94,19.35,18.65,18.89,10222800,9389,253,8588,18222,8,0
91,CYRE3,2022-10-19,18.85,19.04,18.22,18.38,13063600,18684,386,21112,40166,16,0
92,CYRE3,2022-10-20,18.45,18.58,17.46,17.74,17586400,16687,236,21366,38288,1,0
93,CYRE3,2022-10-21,17.56,18.34,17.49,18.1,8735600,11171,215,10174,21557,3,0
94,CYRE3,2022-10-24,18.04,18.2,17.71,17.75,5780400,8273,202,8942,17416,1,0
95,CYRE3,2022-10-25,17.82,18.07,17.35,17.66,6517700,9577,236,11861,21669,5,0
96,CYRE3,2022-10-26,17.5,17.51,16.61,16.8,8535500,12690,172,18804,31666,0,0
97,CYRE3,2022-10-27,16.78,17.96,16.78,17.68,6863500,11243,197,10046,21485,1,0
98,CYRE3,2022-10-28,17.63,18.05,17.38,18.01,10852200,13756,181,9906,23842,1,0
99,CYRE3,2022-10-31,17.49,18.86,17.38,18.51,10737200,17225,246,14743,32208,6,0
100,CYRE3,2022-11-01,18.78,18.91,18.04,18.32,7776100,10131,205,13333,23666,3,0
101,CYRE3,2022-11-03,17.95,18.6,17.94,18.35,5821500,9262,219,7843,17324,0,0
102,CYRE3,2022-11-04,18.66,18.84,18.31,18.4,8003600,13595,162,7900,21655,2,0
103,CYRE3,2022-11-07,18.39,18.46,17.19,17.31,15914600,9967,179,15903,26037,12,0
104,CYRE3,2022-11-08,17.2,17.71,16.9,17.2,6750900,9053,171,13191,22413,2,0
105,CYRE3,2022-11-09,17.03,17.53,17.03,17.22,5584700,9686,151,12396,22232,1,0
106,CYRE3,2022-11-10,16.54,16.54,15.08,15.2,21172900,21027,262,33216,54505,0,0
107,CYRE3,2022-11-14,14.6,15.35,14.59,15.13,10174600,11049,157,19516,30721,1,0
108,CYRE3,2022-11-17,14.0,14.1,12.7,13.7,25384100,21733,144,25255,47129,3,0
109,CYRE3,2022-11-18,13.93,14.68,13.36,13.39,12838300,11565,154,13366,25084,1,0
110,CYRE3,2022-11-21,13.9,14.78,13.84,14.7,11414000,13407,245,18655,32300,7,0
111,CYRE3,2022-11-22,14.72,14.86,13.96,14.21,6557400,8518,168,10422,19108,0,0
112,CYRE3,2022-11-23,14.15,14.16,13.53,13.79,10773800,10476,130,12589,23192,3,0
113,CYRE3,2022-11-24,13.94,14.62,13.87,14.33,4613700,6853,103,7549,14503,2,0
114,CYRE3,2022-11-25,14.37,14.4,13.62,13.82,4604800,5248,99,6561,11908,0,0
