,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,DASA3,2022-06-06,19.81,20.1,19.04,19.27,221200,708,43,742,1473,0,20
1,DASA3,2022-06-07,18.9,19.2,18.49,18.49,225100,742,43,797,1577,0,5
2,DASA3,2022-06-08,18.25,19.05,18.13,18.2,192200,695,23,770,1481,1,6
3,DASA3,2022-06-09,18.17,18.45,17.9,17.98,131700,569,41,442,1037,0,15
4,DASA3,2022-06-10,17.94,18.11,17.42,17.77,192600,724,23,694,1438,0,3
5,DASA3,2022-06-13,17.6,17.6,17.0,17.0,155800,610,27,553,1186,0,4
6,DASA3,2022-06-14,17.0,17.4,16.6,16.9,203300,704,34,740,1471,0,7
7,DASA3,2022-06-15,16.82,17.73,16.13,17.04,328100,1053,44,957,2038,0,16
8,DASA3,2022-06-17,16.92,17.47,16.4,17.14,186500,568,94,676,1271,48,19
9,DASA3,2022-06-20,17.04,17.41,16.35,16.52,141500,510,25,570,1096,0,9
10,DASA3,2022-06-21,16.7,16.73,16.05,16.35,207700,726,27,675,1420,0,8
11,DASA3,2022-06-22,16.2,16.89,15.78,16.45,178500,632,35,686,1346,0,7
12,DASA3,2022-06-23,16.47,17.39,16.45,16.87,212400,664,27,909,1594,0,6
13,DASA3,2022-06-24,17.0,17.0,16.27,16.38,113200,434,45,431,893,0,17
14,DASA3,2022-06-27,16.74,16.74,15.95,16.17,149400,456,34,544,1027,0,7
15,DASA3,2022-06-28,16.12,16.24,15.72,15.75,140800,431,28,480,936,0,3
16,DASA3,2022-06-29,15.84,15.88,15.13,15.19,132800,621,31,443,1085,0,10
17,DASA3,2022-06-30,15.09,15.83,15.07,15.35,224600,790,70,680,1539,0,1
18,DASA3,2022-07-01,15.29,15.46,14.92,15.3,148500,554,39,525,1117,0,1
19,DASA3,2022-07-04,15.34,15.82,14.71,14.72,132100,414,54,397,861,0,4
20,DASA3,2022-07-05,14.68,14.91,14.34,14.53,277900,1005,34,1288,2318,0,9
21,DASA3,2022-07-06,14.8,15.8,14.65,14.82,276300,743,69,853,1652,1,12
22,DASA3,2022-07-07,15.18,16.07,15.02,16.0,221900,615,41,545,1195,1,5
23,DASA3,2022-07-08,15.98,16.39,15.8,16.08,139400,403,38,588,1021,0,8
24,DASA3,2022-07-11,15.9,16.54,15.44,16.35,217900,670,34,807,1499,0,12
25,DASA3,2022-07-12,16.35,16.88,15.93,16.87,196300,640,67,606,1297,0,16
26,DASA3,2022-07-13,17.01,17.66,16.53,17.59,153600,428,62,492,969,0,13
27,DASA3,2022-07-14,17.59,17.66,16.92,17.46,112300,410,41,504,943,0,12
28,DASA3,2022-07-15,17.49,17.64,17.0,17.22,163600,590,48,542,1177,1,2
29,DASA3,2022-07-18,17.02,17.55,16.95,16.99,165500,447,30,736,1207,0,6
30,DASA3,2022-07-19,16.98,17.53,16.98,17.26,267600,480,35,560,1072,1,2
31,DASA3,2022-07-20,17.49,18.15,17.14,18.06,314700,586,61,574,1211,1,9
32,DASA3,2022-07-21,18.12,18.9,17.93,18.66,287100,789,60,1099,1943,0,5
33,DASA3,2022-07-22,18.84,19.1,18.62,18.9,317700,859,31,793,1682,0,1
34,DASA3,2022-07-25,18.8,19.07,18.58,18.86,132900,457,34,570,1060,0,1
35,DASA3,2022-07-26,18.83,18.83,18.4,18.45,138100,515,22,618,1155,0,0
36,DASA3,2022-07-27,18.63,18.84,18.49,18.77,203900,373,19,870,1262,0,0
37,DASA3,2022-07-28,18.79,19.03,18.73,19.03,196400,490,44,966,1491,1,8
38,DASA3,2022-07-29,19.33,19.34,18.77,19.18,153400,444,30,850,1323,0,1
39,DASA3,2022-08-01,19.18,19.75,18.94,19.1,282300,668,45,1412,2122,0,3
40,DASA3,2022-08-02,19.14,19.61,18.82,19.24,214000,596,52,870,1509,4,5
41,DASA3,2022-08-03,19.43,19.92,19.37,19.87,317200,719,57,1403,2168,1,10
