,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,DESK3,2022-06-06,9.09,9.09,8.26,8.27,647100,812,39,1090,1941,0,0
1,DESK3,2022-06-07,8.25,8.37,8.04,8.16,411900,1128,42,938,2108,0,0
2,DESK3,2022-06-08,8.09,8.16,7.61,7.64,1092100,666,32,1299,1997,0,0
3,DESK3,2022-06-09,7.7,7.97,7.35,7.35,582800,673,27,1248,1947,1,0
4,DESK3,2022-06-10,7.3,7.35,6.98,7.0,651200,1133,41,1831,3005,0,0
5,DESK3,2022-06-13,6.91,6.91,6.4,6.48,675000,807,63,1192,2062,0,0
6,DESK3,2022-06-14,6.5,6.57,6.04,6.28,756500,948,54,1259,2261,0,0
7,DESK3,2022-06-15,6.4,6.77,6.35,6.59,746300,1325,50,1311,2686,0,0
8,DESK3,2022-06-17,6.59,6.75,6.23,6.75,380100,670,222,534,1294,132,0
9,DESK3,2022-06-20,6.75,7.0,6.36,6.99,495000,811,74,620,1505,0,0
10,DESK3,2022-06-21,7.01,7.19,6.79,7.15,517200,817,173,564,1446,108,0
11,DESK3,2022-06-22,7.05,7.27,6.97,7.12,411600,1020,46,898,1964,0,0
12,DESK3,2022-06-23,7.17,7.28,6.81,6.89,475400,970,60,809,1839,0,0
13,DESK3,2022-06-24,6.91,7.69,6.91,7.68,354800,780,37,478,1295,0,0
14,DESK3,2022-06-27,7.82,7.83,7.51,7.83,250400,666,41,611,1318,0,0
15,DESK3,2022-06-28,7.73,7.76,7.32,7.5,333500,702,45,577,1324,0,0
16,DESK3,2022-06-29,7.65,7.65,7.3,7.5,416100,623,223,590,1257,179,0
17,DESK3,2022-06-30,7.42,7.89,7.3,7.89,529000,1120,54,931,2105,0,0
18,DESK3,2022-07-01,7.62,8.2,7.59,8.2,305900,569,56,446,1071,0,0
19,DESK3,2022-07-04,8.2,8.63,8.0,8.43,995300,751,75,654,1480,0,0
20,DESK3,2022-07-05,8.42,8.74,8.08,8.61,338400,754,52,516,1322,0,0
21,DESK3,2022-07-06,8.58,9.2,8.51,9.01,441700,1262,43,1541,2846,0,0
22,DESK3,2022-07-07,9.1,9.3,8.93,9.29,223400,607,56,589,1252,0,0
23,DESK3,2022-07-08,9.15,9.45,9.0,9.31,272200,725,57,677,1459,0,0
24,DESK3,2022-07-11,9.24,9.62,9.1,9.31,345400,705,72,603,1380,0,0
25,DESK3,2022-07-12,9.4,9.76,9.22,9.35,214500,509,51,570,1130,0,0
26,DESK3,2022-07-13,9.28,9.76,9.28,9.39,154700,398,30,482,910,0,0
27,DESK3,2022-07-14,9.45,9.46,8.84,8.93,390000,677,58,838,1573,0,0
28,DESK3,2022-07-15,9.15,9.35,8.8,9.24,218200,515,31,516,1062,0,0
29,DESK3,2022-07-18,9.38,9.65,8.96,8.96,188100,434,42,644,1120,0,0
30,DESK3,2022-07-19,8.78,9.24,8.78,9.02,193600,557,34,576,1167,0,0
31,DESK3,2022-07-20,9.04,9.57,8.97,9.45,178100,563,27,484,1074,0,0
32,DESK3,2022-07-21,9.41,10.07,9.35,10.04,428100,1042,22,915,1979,0,0
33,DESK3,2022-07-22,10.04,10.18,9.79,9.84,246300,390,27,533,950,0,0
34,DESK3,2022-07-25,9.84,9.84,9.57,9.64,157500,319,27,346,692,0,0
35,DESK3,2022-07-26,9.63,9.71,9.27,9.35,153300,378,39,491,908,0,0
36,DESK3,2022-07-27,9.29,9.61,9.15,9.4,161300,393,34,503,930,0,0
37,DESK3,2022-07-28,9.22,10.03,9.22,9.7,312700,871,31,742,1644,0,0
38,DESK3,2022-07-29,9.73,9.84,9.42,9.76,194800,628,36,474,1138,0,0
39,DESK3,2022-08-01,9.5,9.63,8.91,9.0,471400,1266,41,1245,2552,0,0
40,DESK3,2022-08-02,9.15,9.45,9.02,9.17,168300,475,24,381,880,0,0
41,DESK3,2022-08-03,9.12,9.41,9.06,9.35,218500,547,24,648,1219,0,0
42,DESK3,2022-08-08,10.55,11.08,10.36,10.64,306700,695,37,591,1323,0,0
43,DESK3,2022-08-09,10.43,10.46,10.07,10.44,154400,431,27,425,883,0,0
44,DESK3,2022-08-10,10.51,10.74,10.27,10.33,488500,565,36,847,1448,0,0
45,DESK3,2022-08-12,9.94,10.51,9.55,10.02,280600,670,20,783,1473,0,0
46,DESK3,2022-08-15,10.01,10.7,9.79,10.41,252600,628,24,650,1302,0,0
47,DESK3,2022-08-16,11.0,11.35,10.51,10.62,667600,741,26,958,1725,0,0
48,DESK3,2022-08-17,10.51,10.77,10.2,10.21,170000,440,16,580,1036,0,0
49,DESK3,2022-08-18,10.34,10.45,9.95,10.07,248300,759,52,623,1434,0,0
50,DESK3,2022-08-19,9.92,10.2,9.77,10.2,164800,367,71,493,931,0,0
51,DESK3,2022-08-22,10.2,10.37,9.7,9.7,190200,349,37,427,813,0,0
52,DESK3,2022-08-23,10.07,11.0,10.02,10.9,257700,664,30,481,1175,0,0
53,DESK3,2022-08-24,10.85,11.72,10.85,11.29,212600,514,33,572,1119,0,0
54,DESK3,2022-08-25,11.3,11.91,11.27,11.65,144300,454,17,328,799,0,0
55,DESK3,2022-08-26,11.61,11.64,11.01,11.48,150900,365,45,360,770,0,0
56,DESK3,2022-08-29,11.51,11.95,11.31,11.47,229800,749,45,448,1242,0,0
57,DESK3,2022-08-30,11.63,11.63,10.98,11.05,204200,588,20,578,1186,0,0
58,DESK3,2022-08-31,11.17,11.26,10.54,10.69,213600,638,34,619,1291,0,0
59,DESK3,2022-09-01,10.7,11.56,10.41,11.25,502400,1573,21,1412,3005,1,0
60,DESK3,2022-09-02,11.38,12.49,11.38,12.2,1163800,2118,112,1817,4047,0,0
61,DESK3,2022-09-05,12.09,12.09,11.52,11.58,261400,618,33,474,1125,0,0
62,DESK3,2022-09-06,11.59,11.64,10.8,10.8,181100,474,19,545,1038,0,0
63,DESK3,2022-09-08,10.84,11.16,10.79,11.1,166900,472,33,378,883,0,0
64,DESK3,2022-09-09,11.3,12.17,11.29,11.91,202800,572,31,660,1263,0,0
65,DESK3,2022-09-12,12.0,12.35,11.95,12.08,107900,328,21,308,657,0,0
66,DESK3,2022-09-13,11.95,12.08,11.3,11.39,190700,279,25,422,726,0,0
67,DESK3,2022-09-14,11.5,12.29,11.32,11.76,201700,568,14,614,1196,0,0
68,DESK3,2022-09-15,11.69,11.96,11.53,11.55,201700,474,26,452,952,0,0
69,DESK3,2022-09-16,11.58,11.59,10.6,11.02,509400,924,60,837,1821,0,0
70,DESK3,2022-09-19,11.07,11.08,10.72,10.95,208800,396,41,300,737,0,0
71,DESK3,2022-09-20,11.21,11.21,10.66,10.68,126300,320,39,428,787,0,0
72,DESK3,2022-09-21,10.75,11.3,10.68,10.94,112800,375,33,305,713,0,0
73,DESK3,2022-09-22,11.08,11.21,10.66,10.84,274400,244,34,316,594,0,0
74,DESK3,2022-09-23,10.65,10.92,10.5,10.7,97500,202,17,317,536,0,0
75,DESK3,2022-09-26,10.75,10.81,10.26,10.38,103000,234,22,379,635,0,0
76,DESK3,2022-09-27,10.6,10.63,9.56,9.92,502500,536,91,827,1452,2,0
77,DESK3,2022-09-28,9.92,10.1,9.73,9.8,378600,605,39,799,1443,0,0
78,DESK3,2022-09-29,9.7,9.93,9.46,9.9,193100,357,32,459,848,0,0
79,DESK3,2022-09-30,9.71,10.42,9.63,10.2,157100,399,48,252,699,0,0
80,DESK3,2022-10-03,10.55,11.16,10.34,11.0,392100,869,31,678,1576,2,0
81,DESK3,2022-10-04,11.01,11.4,10.5,11.01,264600,566,35,522,1121,2,0
82,DESK3,2022-10-05,11.08,11.09,10.71,10.71,224400,308,38,404,750,0,0
83,DESK3,2022-10-06,10.79,11.39,10.61,11.27,170400,515,43,346,904,0,0
84,DESK3,2022-10-07,11.27,11.27,10.8,10.81,130500,441,32,438,911,0,0
85,DESK3,2022-10-10,10.79,11.35,10.62,11.18,164100,350,28,278,656,0,0
86,DESK3,2022-10-11,11.17,11.33,10.98,11.12,107500,336,28,292,656,0,0
87,DESK3,2022-10-13,10.94,11.3,10.71,10.98,144500,367,39,287,693,0,0
88,DESK3,2022-10-14,11.01,11.19,10.84,10.99,120700,229,17,371,617,0,0
89,DESK3,2022-10-17,11.0,11.6,10.96,11.0,117300,307,33,218,558,0,0
90,DESK3,2022-10-18,11.14,11.49,10.95,11.16,129700,300,26,260,586,0,0
91,DESK3,2022-10-19,11.16,11.36,11.02,11.3,275200,758,46,706,1510,0,0
92,DESK3,2022-10-20,11.29,11.29,10.71,11.14,217000,497,34,496,1027,0,0
93,DESK3,2022-10-21,11.01,11.54,11.0,11.45,110900,355,30,267,652,0,0
94,DESK3,2022-10-24,11.22,11.49,11.1,11.1,129300,275,32,397,704,0,0
95,DESK3,2022-10-25,11.11,11.49,10.96,11.3,120100,266,24,276,566,0,0
96,DESK3,2022-10-26,11.17,11.23,10.56,10.65,167700,271,28,361,660,0,0
97,DESK3,2022-10-27,10.54,11.01,10.5,10.57,249800,423,58,288,769,0,0
98,DESK3,2022-10-28,10.49,10.6,10.11,10.39,237800,479,29,582,1090,0,0
99,DESK3,2022-10-31,10.06,10.63,10.06,10.37,137900,504,28,401,933,0,0
100,DESK3,2022-11-01,10.7,11.35,10.62,11.1,287400,691,36,659,1386,0,0
101,DESK3,2022-11-03,11.06,11.6,10.76,11.38,233100,528,29,398,955,0,0
102,DESK3,2022-11-04,11.62,11.89,11.13,11.66,310000,581,161,438,1179,1,0
103,DESK3,2022-11-07,11.64,12.26,11.6,11.6,612100,971,28,856,1855,0,0
104,DESK3,2022-11-08,11.5,11.66,11.16,11.47,154700,350,32,366,748,0,0
105,DESK3,2022-11-09,11.6,11.64,10.96,10.96,114600,280,34,342,656,0,0
106,DESK3,2022-11-10,10.87,10.87,9.79,10.2,322600,556,68,975,1599,0,0
107,DESK3,2022-11-14,9.51,9.78,9.38,9.56,232900,620,38,527,1185,0,0
108,DESK3,2022-11-17,9.45,9.56,8.66,9.19,536800,1089,45,1057,2191,0,0
109,DESK3,2022-11-18,9.56,9.75,8.88,9.28,322000,753,31,708,1492,0,0
110,DESK3,2022-11-21,9.27,9.6,8.94,9.29,177900,706,17,427,1150,0,0
111,DESK3,2022-11-22,9.28,9.3,8.88,8.92,98000,289,19,296,604,0,0
112,DESK3,2022-11-23,9.09,9.09,8.7,8.8,173300,441,17,641,1099,0,0
113,DESK3,2022-11-24,8.81,9.45,8.81,9.4,106300,338,15,334,687,0,0
114,DESK3,2022-11-25,9.5,9.58,9.03,9.12,91300,186,12,280,478,0,0
115,DESK3,2022-11-28,9.11,9.15,8.9,8.9,77500,195,46,261,502,0,0
116,DESK3,2022-11-29,8.92,9.2,8.81,9.2,69900,236,13,264,513,0,0
117,DESK3,2022-11-30,9.25,9.33,8.96,9.01,148800,316,32,284,632,0,0
118,DESK3,2022-12-01,8.99,9.28,8.9,9.13,125100,331,21,528,880,0,0
119,DESK3,2022-12-02,9.14,9.98,9.05,9.96,119300,298,13,295,606,0,0
120,DESK3,2022-12-05,9.76,9.76,9.0,9.0,195100,281,42,373,695,1,0
121,DESK3,2022-12-06,9.09,9.13,8.71,8.92,171000,343,22,431,796,0,0
122,DESK3,2022-12-07,8.94,9.47,8.93,9.42,153600,306,20,302,628,0,0
123,DESK3,2022-12-08,9.2,9.23,8.61,8.67,173100,278,25,519,822,0,0
124,DESK3,2022-12-09,8.68,8.83,8.48,8.56,105800,296,30,302,628,0,0
125,DESK3,2022-12-12,8.54,8.66,7.88,8.38,267500,526,28,457,1011,0,0
126,DESK3,2022-12-13,8.16,8.7,8.16,8.53,140400,355,30,448,833,0,0
127,DESK3,2022-12-14,8.48,8.67,8.1,8.6,165400,428,26,419,873,0,0
128,DESK3,2022-12-15,8.61,8.94,8.42,8.71,137200,321,19,308,648,0,0
129,DESK3,2022-12-16,8.47,8.75,8.47,8.49,97800,323,17,406,746,0,0
130,DESK3,2022-12-19,8.4,8.94,8.32,8.72,127700,377,21,337,734,1,0
131,DESK3,2022-12-20,8.63,9.11,8.6,8.73,109200,423,21,291,735,0,0
132,DESK3,2022-12-21,8.75,8.99,8.66,8.66,128000,324,52,369,745,0,0
133,DESK3,2022-12-22,8.65,8.89,8.62,8.89,89400,268,25,281,574,0,0
134,DESK3,2022-12-23,8.88,9.25,8.88,9.09,212200,503,30,540,1073,0,0
135,DESK3,2022-12-26,9.12,9.19,8.85,8.94,72900,152,35,288,475,0,0
136,DESK3,2022-12-27,8.83,8.95,8.36,8.36,184700,504,34,535,1073,0,0
137,DESK3,2022-12-28,8.41,8.66,8.22,8.51,152100,299,27,237,563,0,0
138,DESK3,2022-12-29,8.51,8.77,7.92,8.0,957600,1031,570,1006,2132,475,0
139,DESK3,2023-01-02,8.1,8.1,7.65,7.69,189700,575,34,487,1095,1,0
140,DESK3,2023-01-03,7.81,7.81,7.24,7.68,192900,324,63,278,665,0,0
141,DESK3,2023-01-04,7.63,7.69,7.29,7.48,167300,515,41,412,968,0,0
142,DESK3,2023-01-05,7.41,7.99,7.38,7.99,186400,277,52,267,596,0,0
143,DESK3,2023-01-06,7.97,8.31,7.86,8.18,104100,259,30,309,598,0,0
144,DESK3,2023-01-09,7.77,8.31,7.77,8.1,144700,286,39,253,578,0,0
145,DESK3,2023-01-10,8.1,8.56,8.1,8.35,96600,295,18,374,687,0,0
146,DESK3,2023-01-11,8.38,8.82,8.38,8.72,127600,307,26,314,647,0,0
147,DESK3,2023-01-12,8.7,8.73,8.39,8.45,94900,229,23,216,468,0,0
148,DESK3,2023-01-13,8.43,8.47,8.22,8.25,71200,239,16,201,456,0,0
149,DESK3,2023-01-16,8.13,8.22,8.0,8.0,208100,250,14,529,793,0,0
150,DESK3,2023-01-17,8.09,8.67,7.94,8.6,259000,668,24,593,1285,0,0
151,DESK3,2023-01-18,8.55,9.17,8.55,8.95,165700,432,18,372,822,0,0
152,DESK3,2023-01-19,8.89,9.01,8.55,8.85,101100,364,13,276,653,0,0
153,DESK3,2023-01-20,8.79,8.98,8.7,8.92,76000,175,18,167,360,0,0
154,DESK3,2023-01-23,8.99,9.19,8.9,8.92,183300,210,31,289,530,0,0
155,DESK3,2023-01-24,8.93,9.14,8.81,9.0,120700,364,15,380,759,0,0
156,DESK3,2023-01-25,8.97,9.19,8.78,8.98,170200,416,22,518,956,0,0
157,DESK3,2023-01-26,8.98,9.45,8.82,8.91,200900,485,24,665,1174,0,0
158,DESK3,2023-01-30,8.85,9.1,8.7,8.98,258400,582,22,720,1324,0,0
159,DESK3,2023-01-31,8.98,9.17,8.8,8.8,408900,378,29,521,928,0,0
160,DESK3,2023-02-01,8.76,9.08,8.76,9.05,212300,432,42,399,873,0,0
161,DESK3,2023-02-02,9.05,9.78,9.04,9.65,256200,564,22,636,1222,0,0
162,DESK3,2023-02-03,9.47,10.29,9.25,9.78,326800,688,24,804,1515,1,0
163,DESK3,2023-02-06,9.82,9.95,9.34,9.92,276800,676,27,377,1080,0,0
164,DESK3,2023-02-07,9.79,9.98,9.1,9.1,204200,421,58,437,915,1,0
165,DESK3,2023-02-08,9.25,9.25,8.92,9.08,82200,213,20,194,427,0,0
166,DESK3,2023-02-09,9.07,9.17,8.86,8.9,163000,155,15,428,598,0,0
167,DESK3,2023-02-10,8.9,9.14,8.89,8.9,44100,123,12,142,277,0,0
168,DESK3,2023-02-13,8.89,8.91,8.67,8.85,110400,298,16,285,599,0,0
169,DESK3,2023-02-14,8.9,8.94,8.45,8.5,69000,129,19,247,395,0,0
170,DESK3,2023-02-15,8.5,9.05,8.44,8.86,69400,154,20,139,313,0,0
171,DESK3,2023-02-16,8.86,9.2,8.46,8.46,141800,232,75,282,589,0,0
172,DESK3,2023-02-17,8.43,8.51,8.14,8.15,379200,575,49,759,1383,0,0
173,DESK3,2023-02-20,8.43,8.51,8.14,8.15,379200,575,49,759,1383,0,0
174,DESK3,2023-02-21,8.43,8.51,8.14,8.15,379200,575,49,759,1383,0,0
175,DESK3,2023-02-22,8.08,8.18,7.67,8.11,182900,317,36,339,692,0,0
176,DESK3,2023-02-23,8.17,8.45,7.98,8.01,67800,136,23,177,336,0,0
177,DESK3,2023-02-24,8.07,8.17,7.9,7.93,48400,98,12,166,276,0,0
178,DESK3,2023-02-27,8.09,8.1,7.85,8.0,72000,109,39,122,270,0,0
179,DESK3,2023-02-28,7.89,8.08,7.73,7.8,151300,244,18,377,639,0,0
180,DESK3,2023-03-01,7.99,8.0,7.66,8.0,141700,556,31,351,938,0,0
181,DESK3,2023-03-02,7.99,8.05,7.7,7.99,88900,264,24,225,513,0,0
182,DESK3,2023-03-03,8.0,8.11,7.62,7.78,198800,414,37,524,975,0,0
183,DESK3,2023-03-06,7.86,8.38,7.76,8.2,164300,311,25,228,564,0,0
184,DESK3,2023-03-07,8.12,8.5,8.02,8.3,219800,445,23,679,1147,0,0
185,DESK3,2023-03-08,8.24,8.98,8.24,8.9,260500,524,39,488,1051,0,0
186,DESK3,2023-03-09,8.87,9.27,8.82,8.92,211100,624,20,621,1265,0,0
187,DESK3,2023-03-10,8.84,9.28,8.52,9.28,133600,310,67,191,568,0,0
188,DESK3,2023-03-13,9.15,9.16,8.86,9.0,296500,335,32,283,650,0,0
189,DESK3,2023-03-14,9.0,9.14,8.55,8.55,67200,114,34,184,332,0,0
190,DESK3,2023-03-15,8.53,8.54,8.23,8.31,67600,153,1,202,356,0,0
191,DESK3,2023-03-16,8.37,8.44,8.04,8.11,85300,184,50,184,418,0,0
192,DESK3,2023-03-17,8.23,8.23,7.79,7.79,94000,107,45,138,290,0,0
193,DESK3,2023-03-20,7.84,7.85,7.35,7.36,162800,141,60,131,332,0,0
194,DESK3,2023-03-21,7.52,8.03,7.47,7.9,109300,206,54,165,425,0,0
195,DESK3,2023-03-23,7.7,7.76,7.13,7.35,127700,195,61,188,444,0,0
196,DESK3,2023-03-24,7.34,7.9,7.34,7.78,115300,185,55,107,347,0,0
197,DESK3,2023-03-27,7.93,8.16,7.62,7.82,127600,373,64,223,660,0,0
198,DESK3,2023-03-28,7.72,8.18,7.57,7.9,1513200,416,60,424,900,0,0
199,DESK3,2023-03-29,7.8,8.18,7.72,7.85,128200,192,26,216,434,0,0
200,DESK3,2023-03-30,8.11,8.68,7.9,8.6,300400,653,15,406,1074,0,0
201,DESK3,2023-03-31,8.4,9.1,8.38,9.01,463500,645,42,556,1243,0,0
202,DESK3,2023-04-04,8.02,8.57,7.93,8.37,215900,266,23,382,671,0,0
203,DESK3,2023-04-05,8.38,8.66,8.14,8.24,404900,231,20,249,499,1,0
204,DESK3,2023-04-06,8.25,8.6,8.14,8.14,180400,87,51,125,262,1,0
205,DESK3,2023-04-07,8.25,8.6,8.14,8.14,180400,87,51,125,262,1,0
206,DESK3,2023-04-10,8.26,8.3,8.04,8.18,86400,108,37,127,272,0,0
207,DESK3,2023-04-11,8.2,8.75,8.2,8.65,273100,284,9,364,657,0,0
208,DESK3,2023-04-12,8.76,9.06,8.73,8.73,109600,237,25,278,540,0,0
209,DESK3,2023-04-13,8.74,9.08,8.74,8.86,88200,168,35,208,411,0,0
210,DESK3,2023-04-14,8.7,8.88,8.51,8.51,89400,74,71,78,223,0,0
211,DESK3,2023-04-17,8.66,8.71,8.32,8.4,116500,127,39,197,363,0,0
212,DESK3,2023-04-18,8.52,8.52,8.14,8.15,63100,95,29,136,260,0,0
213,DESK3,2023-04-19,8.15,8.16,7.75,8.0,111400,136,46,234,416,0,0
214,DESK3,2023-04-20,8.06,8.13,7.87,8.0,107900,151,17,185,353,0,0
215,DESK3,2023-04-21,8.06,8.13,7.87,8.0,107900,151,17,185,353,0,0
216,DESK3,2023-04-24,7.83,8.14,7.8,7.8,27100,47,29,45,121,0,0
217,DESK3,2023-04-25,7.93,7.93,7.66,7.85,47100,132,16,133,281,0,0
218,DESK3,2023-04-26,7.87,8.02,7.67,7.73,88200,218,23,226,467,0,0
219,DESK3,2023-04-27,7.75,8.1,7.61,8.1,96500,120,23,192,335,0,0
220,DESK3,2023-04-28,8.1,8.82,7.91,8.73,150900,400,12,167,579,0,0
221,DESK3,2023-05-01,8.1,8.82,7.91,8.73,150900,400,12,167,579,0,0
222,DESK3,2023-05-02,8.6,9.0,8.41,8.66,67400,147,8,144,299,0,0
223,DESK3,2023-05-03,8.61,8.85,8.46,8.72,122700,70,8,82,160,0,0
224,DESK3,2023-05-04,8.72,8.91,8.59,8.79,55000,97,18,121,236,0,0
225,DESK3,2023-05-05,8.8,9.26,8.75,9.11,59500,64,28,156,248,0,0
226,DESK3,2023-05-08,9.19,9.19,8.9,9.0,44700,70,12,91,173,0,0
227,DESK3,2023-05-09,9.08,9.14,8.8,8.88,155900,207,21,488,716,0,0
228,DESK3,2023-05-10,8.88,9.18,8.82,9.18,68100,70,22,196,288,0,0
229,DESK3,2023-05-11,9.18,9.5,9.1,9.45,283200,263,12,164,438,1,0
230,DESK3,2023-05-12,9.44,9.44,8.95,9.08,59400,87,21,143,251,0,0
231,DESK3,2023-05-15,9.19,9.19,8.67,9.0,76900,153,13,268,434,0,0
