,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,DEXP3,2022-06-06,9.33,9.58,9.06,9.22,622000,1200,24,1804,3028,0,0
1,DEXP3,2022-06-07,9.19,9.22,8.84,8.85,228200,479,52,719,1250,0,0
2,DEXP3,2022-06-08,8.8,8.93,8.31,8.42,399500,709,27,950,1686,0,0
3,DEXP3,2022-06-09,8.42,8.65,8.3,8.51,236100,618,33,660,1311,0,0
4,DEXP3,2022-06-10,8.45,8.45,8.17,8.23,141300,363,32,461,856,0,0
5,DEXP3,2022-06-13,8.16,8.16,7.58,7.86,338800,662,30,665,1357,0,0
6,DEXP3,2022-06-14,7.83,7.88,7.6,7.69,149900,395,24,503,922,0,0
7,DEXP3,2022-06-15,7.77,8.05,7.68,7.9,249900,610,32,475,1117,0,0
8,DEXP3,2022-06-17,7.6,7.97,7.56,7.7,198600,583,53,482,1118,0,0
9,DEXP3,2022-06-20,7.76,7.81,7.38,7.51,309400,434,35,1237,1706,0,0
10,DEXP3,2022-06-21,7.51,7.75,7.43,7.6,211700,501,23,624,1148,0,0
11,DEXP3,2022-06-22,7.56,7.89,7.26,7.55,306600,626,34,660,1320,0,0
12,DEXP3,2022-06-23,7.63,7.78,7.35,7.58,359100,882,32,797,1711,0,0
13,DEXP3,2022-06-24,7.58,7.74,7.47,7.58,230100,530,47,476,1053,0,0
14,DEXP3,2022-06-27,7.65,7.97,7.6,7.94,256500,504,33,449,985,1,0
15,DEXP3,2022-06-28,8.02,8.04,7.64,7.9,171400,379,23,513,915,0,0
16,DEXP3,2022-06-29,7.89,7.9,7.53,7.53,136200,344,30,420,794,0,0
17,DEXP3,2022-06-30,7.53,7.6,7.28,7.3,213100,402,54,672,1128,0,0
18,DEXP3,2022-07-01,7.37,7.49,7.22,7.28,206800,451,33,558,1042,0,0
19,DEXP3,2022-07-04,7.33,7.41,7.1,7.1,151100,352,27,453,832,0,0
20,DEXP3,2022-07-05,7.05,7.23,6.9,7.23,491200,501,36,756,1293,0,0
21,DEXP3,2022-07-06,7.31,7.42,7.14,7.4,268200,711,34,620,1365,0,0
22,DEXP3,2022-07-07,7.51,7.65,7.4,7.4,365500,497,21,411,928,1,0
23,DEXP3,2022-07-08,7.4,7.57,7.16,7.29,185000,431,0,573,1004,0,0
24,DEXP3,2022-07-11,7.15,7.15,6.95,7.05,183200,467,24,511,1002,0,0
25,DEXP3,2022-07-12,7.07,7.28,6.91,7.28,231800,554,54,429,1037,0,0
26,DEXP3,2022-07-13,7.11,7.38,7.1,7.1,126000,384,24,384,792,0,0
27,DEXP3,2022-07-14,7.08,7.08,6.87,6.95,204300,438,0,569,1007,0,0
28,DEXP3,2022-07-15,6.93,7.16,6.85,7.0,172900,491,25,415,931,0,0
29,DEXP3,2022-07-18,7.13,7.3,7.0,7.0,193600,467,17,454,938,0,0
30,DEXP3,2022-07-19,7.13,7.34,7.03,7.25,184400,619,0,388,1007,0,0
31,DEXP3,2022-07-20,7.22,7.65,7.22,7.57,194800,510,17,454,981,0,0
32,DEXP3,2022-07-21,7.5,7.75,7.49,7.6,137600,476,1,362,839,0,0
33,DEXP3,2022-07-22,7.65,7.74,7.41,7.53,170300,388,12,583,983,0,0
34,DEXP3,2022-07-25,7.53,7.85,7.48,7.75,222600,471,16,472,958,1,0
35,DEXP3,2022-07-26,7.75,7.8,7.56,7.65,98900,285,17,430,732,0,0
36,DEXP3,2022-07-27,7.64,7.99,7.64,7.99,155200,473,23,396,892,0,0
37,DEXP3,2022-07-28,7.8,8.15,7.8,8.03,186500,458,23,484,965,0,0
38,DEXP3,2022-07-29,8.02,8.19,7.86,7.88,218200,475,32,576,1083,0,0
