,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,DIRR3,2022-06-06,10.6,10.7,10.05,10.2,1263100,2020,53,2844,4917,0,0
1,DIRR3,2022-06-07,10.15,10.15,9.88,10.06,1389600,2523,705,2312,4915,625,0
2,DIRR3,2022-06-08,9.95,10.17,9.71,9.95,1346200,2659,49,3613,6321,0,0
3,DIRR3,2022-06-09,10.0,10.36,9.95,10.21,1359400,2719,515,2422,5215,441,0
4,DIRR3,2022-06-10,10.04,10.08,9.68,9.88,1487700,2043,63,2771,4877,0,0
5,DIRR3,2022-06-13,9.68,9.68,9.05,9.21,2595500,3004,108,2733,5841,4,0
6,DIRR3,2022-06-14,9.22,9.51,9.17,9.35,1283900,2727,950,1995,4794,878,0
7,DIRR3,2022-06-15,9.5,9.87,9.44,9.75,1702100,3771,62,2364,6197,0,0
8,DIRR3,2022-06-17,9.54,9.78,9.13,9.75,2250000,3366,569,2945,6380,500,0
9,DIRR3,2022-06-20,9.65,9.85,9.5,9.79,1188200,1615,158,2401,4074,100,0
10,DIRR3,2022-06-21,9.88,9.9,9.34,9.52,1037100,1960,369,2211,4223,317,0
11,DIRR3,2022-06-22,9.41,10.13,9.32,9.9,2427100,4959,55,3736,8750,0,0
12,DIRR3,2022-06-23,9.93,10.14,9.87,10.14,1504000,2675,53,2475,5202,1,0
13,DIRR3,2022-06-24,10.14,10.34,10.01,10.3,1992200,4391,97,3541,8027,2,0
14,DIRR3,2022-06-27,10.32,10.46,10.13,10.39,2330500,2315,47,1962,4323,1,0
15,DIRR3,2022-06-28,10.42,10.44,9.92,9.95,2330300,3186,81,3791,7057,1,0
16,DIRR3,2022-06-29,10.01,10.19,9.84,10.16,1954700,3462,68,3520,7049,1,0
17,DIRR3,2022-06-30,10.07,10.4,9.96,10.28,1727000,3287,72,3165,6524,0,0
18,DIRR3,2022-07-01,10.14,10.94,10.1,10.93,2612500,4196,137,5195,9528,0,0
19,DIRR3,2022-07-04,10.7,11.02,10.7,10.85,967600,1717,77,1717,3509,2,0
20,DIRR3,2022-07-05,10.74,11.03,10.61,10.99,1455500,3490,69,2453,6012,0,0
21,DIRR3,2022-07-06,11.02,11.38,10.99,11.22,1766700,3732,55,4209,7996,0,0
22,DIRR3,2022-07-07,11.5,11.96,11.24,11.78,3520800,5248,77,5241,10563,3,0
23,DIRR3,2022-07-08,11.74,12.1,11.63,12.1,1564600,3168,116,3027,6310,1,0
24,DIRR3,2022-07-11,11.93,12.09,11.66,11.88,1226600,2672,75,2758,5505,0,0
25,DIRR3,2022-07-12,11.88,12.05,11.75,11.92,3476000,5416,60,4529,10003,2,0
26,DIRR3,2022-07-13,11.89,12.08,11.8,11.91,2917500,4191,71,4796,9055,3,0
27,DIRR3,2022-07-14,11.79,11.86,11.57,11.59,1706700,1924,58,2947,4928,1,0
28,DIRR3,2022-07-15,11.22,11.42,10.87,11.35,2458200,3114,61,3503,6672,6,0
29,DIRR3,2022-07-18,11.46,11.5,11.02,11.02,947600,1979,65,2361,4405,0,0
30,DIRR3,2022-07-19,11.09,11.24,10.94,11.04,939200,1906,42,1942,3889,1,0
31,DIRR3,2022-07-20,11.09,11.16,10.8,10.91,1469300,3605,64,3599,7268,0,0
32,DIRR3,2022-07-21,10.89,11.22,10.89,11.07,1268500,2406,344,2873,5326,297,0
33,DIRR3,2022-07-22,11.19,11.53,11.12,11.35,1979500,3347,58,2764,6167,2,0
34,DIRR3,2022-07-25,11.45,11.51,10.92,10.93,715700,1342,81,1253,2676,0,0
35,DIRR3,2022-07-26,10.92,10.92,10.54,10.77,819400,1929,44,2462,4435,0,0
36,DIRR3,2022-07-27,10.8,11.22,10.77,11.1,650800,1658,51,1142,2851,0,0
37,DIRR3,2022-07-28,11.14,11.68,11.13,11.65,714500,1362,39,1008,2409,0,0
38,DIRR3,2022-07-29,11.68,11.88,11.54,11.75,766300,1619,59,1033,2711,0,0
39,DIRR3,2022-08-01,11.85,11.85,11.44,11.71,1566600,4389,62,3223,7667,7,0
40,DIRR3,2022-08-02,11.69,11.69,11.31,11.33,660800,1162,93,1072,2327,0,0
41,DIRR3,2022-08-03,11.39,11.79,11.26,11.72,1166600,2861,72,2040,4973,0,0
42,DIRR3,2022-08-08,13.17,13.17,12.73,12.84,1203300,2335,80,2140,4555,0,0
43,DIRR3,2022-08-09,13.07,13.28,12.0,12.28,3396000,3673,131,5411,9212,3,0
44,DIRR3,2022-08-10,12.7,13.06,12.43,12.94,3326000,4623,113,5764,10500,0,0
45,DIRR3,2022-08-12,12.43,12.85,12.43,12.56,1142400,2890,50,2572,5512,0,0
46,DIRR3,2022-08-15,12.44,13.51,12.37,13.39,2791200,5057,79,5062,10197,1,0
47,DIRR3,2022-08-16,13.41,13.46,12.71,12.83,1576500,2761,54,3957,6772,0,0
48,DIRR3,2022-08-17,12.79,13.29,12.56,13.14,1262100,2626,34,2797,5457,0,0
49,DIRR3,2022-08-18,13.14,13.16,12.75,12.8,1191600,1778,67,2516,4360,1,0
50,DIRR3,2022-08-19,12.65,12.72,11.59,11.9,3237600,4107,88,6292,10486,1,0
51,DIRR3,2022-08-22,11.8,11.91,11.52,11.9,1036300,1910,49,2318,4276,1,0
52,DIRR3,2022-08-23,11.97,12.32,11.76,12.11,1102200,2272,52,1937,4260,1,0
53,DIRR3,2022-08-24,12.11,12.91,12.06,12.76,2021200,3602,64,2898,6562,2,0
54,DIRR3,2022-08-25,12.84,12.89,12.5,12.57,649900,1413,44,1546,3003,0,0
55,DIRR3,2022-08-26,12.63,12.7,12.34,12.58,1746300,2485,55,2843,5380,3,0
56,DIRR3,2022-08-29,12.42,13.15,12.31,12.88,1350500,3236,524,2667,5979,448,0
