,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,DMMO3,2022-06-06,1.5,1.64,1.47,1.59,27669400,3249,73,3021,6343,0,0
1,DMMO3,2022-06-07,1.59,1.71,1.54,1.64,32556000,3523,77,3142,6741,1,0
2,DMMO3,2022-06-08,1.65,1.68,1.52,1.55,18697300,1498,61,2105,3664,0,0
3,DMMO3,2022-06-09,1.56,1.6,1.52,1.55,15436700,1603,42,1166,2811,0,0
4,DMMO3,2022-06-10,1.56,1.58,1.5,1.51,15829800,2672,40,1605,4316,1,0
5,DMMO3,2022-06-13,1.47,1.49,1.38,1.38,21214800,2484,104,2930,5516,2,0
6,DMMO3,2022-06-14,1.4,1.42,1.28,1.28,18797800,1802,92,1920,3811,3,0
7,DMMO3,2022-06-15,1.31,1.45,1.31,1.43,20909200,2411,122,1598,4131,0,0
8,DMMO3,2022-06-17,1.4,1.45,1.38,1.4,10641300,1772,71,1512,3355,0,0
9,DMMO3,2022-06-20,1.39,1.4,1.3,1.32,16543900,1239,42,42906,44187,0,0
10,DMMO3,2022-06-21,1.34,1.35,1.26,1.28,17100400,1142,94,2073,3284,25,0
11,DMMO3,2022-06-22,1.26,1.36,1.25,1.34,12127400,1229,63,1792,3084,0,0
12,DMMO3,2022-06-23,1.36,1.55,1.36,1.47,34702400,3714,98,2218,6029,1,0
13,DMMO3,2022-06-24,1.49,1.51,1.42,1.46,14250500,2270,58,2474,4801,1,0
14,DMMO3,2022-06-27,1.56,1.67,1.54,1.55,37107600,1808,193,2888,4889,0,0
15,DMMO3,2022-06-28,1.55,1.6,1.47,1.48,22360700,1912,64,2307,4282,1,0
16,DMMO3,2022-06-29,1.49,1.51,1.39,1.45,20461400,1423,48,1996,3467,0,0
17,DMMO3,2022-06-30,1.42,1.48,1.41,1.45,15191500,1045,119,910,2074,0,0
18,DMMO3,2022-07-01,1.44,1.49,1.39,1.49,12434700,1102,51,3495,4648,0,0
19,DMMO3,2022-07-04,1.47,1.54,1.46,1.46,8367900,966,46,1050,2062,0,0
20,DMMO3,2022-07-05,1.47,1.48,1.42,1.45,11438500,958,44,1801,2802,1,0
21,DMMO3,2022-07-06,1.44,1.45,1.37,1.39,14168400,2034,51,1391,3476,0,0
