,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,DMVF3,2022-06-06,4.12,4.15,4.02,4.02,30800,39,0,49,88,0,0
1,DMVF3,2022-06-07,4.08,4.77,4.04,4.64,727500,479,26,312,817,0,0
2,DMVF3,2022-06-08,4.69,4.7,4.3,4.3,56900,146,0,72,218,0,0
3,DMVF3,2022-06-09,4.31,4.45,4.03,4.2,114000,196,0,197,393,0,0
4,DMVF3,2022-06-10,4.1,4.2,4.02,4.11,81600,94,0,119,213,0,0
5,DMVF3,2022-06-13,4.05,4.05,3.9,3.91,79500,22,0,68,90,0,0
6,DMVF3,2022-06-14,3.91,3.99,3.74,3.78,141800,153,0,224,377,0,0
7,DMVF3,2022-06-15,3.78,3.9,3.73,3.79,70300,66,3,89,158,0,0
8,DMVF3,2022-06-17,3.73,3.75,3.56,3.69,72400,97,0,83,180,0,0
9,DMVF3,2022-06-20,3.7,3.71,3.6,3.7,39500,95,0,60,155,0,0
10,DMVF3,2022-06-21,3.71,3.88,3.7,3.74,109000,161,0,122,283,0,0
11,DMVF3,2022-06-22,3.76,3.8,3.7,3.7,24300,88,2,29,119,0,0
12,DMVF3,2022-06-23,3.72,3.94,3.65,3.83,78600,154,1,38,193,0,0
13,DMVF3,2022-06-24,3.8,3.99,3.74,3.96,44400,111,0,28,139,0,0
14,DMVF3,2022-06-27,3.94,4.05,3.86,4.04,73500,128,0,75,203,0,0
15,DMVF3,2022-06-28,4.04,4.14,3.95,3.95,72000,79,0,96,175,0,0
16,DMVF3,2022-06-29,4.06,4.06,3.89,4.03,70700,108,0,49,157,0,0
17,DMVF3,2022-06-30,4.03,4.04,3.86,4.01,62500,91,0,77,168,0,0
18,DMVF3,2022-07-01,4.0,4.08,3.96,4.03,14000,39,0,22,61,0,0
19,DMVF3,2022-07-04,4.03,4.03,3.96,3.97,24000,8,0,28,36,0,0
20,DMVF3,2022-07-05,3.97,4.03,3.97,3.97,23800,35,0,21,56,0,0
21,DMVF3,2022-07-06,4.02,4.17,3.97,4.03,35800,60,0,21,81,0,0
22,DMVF3,2022-07-07,4.07,4.16,4.03,4.06,29400,26,0,27,53,0,0
23,DMVF3,2022-07-08,4.16,4.2,4.06,4.1,20800,43,0,24,67,0,0
24,DMVF3,2022-07-11,4.07,4.1,3.99,4.01,20300,62,0,42,104,0,0
25,DMVF3,2022-07-12,4.05,4.15,4.02,4.03,59000,78,1,41,120,0,0
26,DMVF3,2022-07-13,3.98,4.14,3.91,4.01,48800,83,0,68,151,0,0
27,DMVF3,2022-07-14,4.03,4.09,3.96,3.96,22400,37,0,30,67,0,0
28,DMVF3,2022-07-15,4.0,4.77,4.0,4.5,673200,367,0,180,547,0,0
29,DMVF3,2022-07-18,4.55,4.55,4.32,4.35,21100,24,0,42,66,0,0
30,DMVF3,2022-07-19,4.26,4.32,4.23,4.26,13500,18,0,32,50,0,0
31,DMVF3,2022-07-20,4.18,4.4,4.18,4.3,12800,18,0,23,41,0,0
32,DMVF3,2022-07-21,4.29,4.39,4.1,4.2,65100,42,0,84,126,0,0
33,DMVF3,2022-07-22,4.31,4.75,4.01,4.2,1120200,452,0,371,823,0,0
34,DMVF3,2022-07-25,4.2,4.4,4.2,4.25,33600,37,0,32,69,0,0
35,DMVF3,2022-07-26,4.21,4.39,4.2,4.39,66100,57,2,75,134,0,0
36,DMVF3,2022-07-27,4.3,4.34,4.26,4.31,16600,22,0,36,58,0,0
37,DMVF3,2022-07-28,4.27,4.39,4.23,4.24,36100,39,0,48,87,0,0
38,DMVF3,2022-07-29,4.23,4.29,4.23,4.24,48900,36,0,37,73,0,0
39,DMVF3,2022-08-01,4.25,4.35,4.23,4.23,30700,34,0,54,88,0,0
40,DMVF3,2022-08-02,4.28,4.36,4.2,4.2,63300,26,0,76,102,0,0
41,DMVF3,2022-08-03,4.3,4.33,4.21,4.32,34700,41,0,46,87,0,0
42,DMVF3,2022-08-08,4.4,4.47,4.35,4.47,39900,17,0,82,99,0,0
43,DMVF3,2022-08-09,4.47,4.6,4.4,4.54,66400,53,0,41,94,0,0
44,DMVF3,2022-08-10,4.48,4.74,4.44,4.69,51000,66,0,60,126,0,0
45,DMVF3,2022-08-12,4.68,4.69,4.5,4.58,47500,32,0,43,75,0,0
46,DMVF3,2022-08-15,4.55,4.69,4.41,4.64,184600,155,1,173,329,0,0
47,DMVF3,2022-08-16,4.69,4.71,4.5,4.7,106600,121,0,81,202,0,0
48,DMVF3,2022-08-17,4.72,4.76,4.62,4.7,82500,71,0,95,166,0,0
49,DMVF3,2022-08-18,4.76,4.76,4.6,4.71,38500,40,1,41,82,0,0
50,DMVF3,2022-08-19,4.6,4.7,4.58,4.59,43900,44,1,53,98,0,0
51,DMVF3,2022-08-22,4.53,4.73,4.53,4.68,30500,64,1,36,100,1,0
52,DMVF3,2022-08-23,4.72,4.9,4.72,4.9,81100,106,0,49,155,0,0
53,DMVF3,2022-08-24,4.9,5.05,4.9,5.05,66200,93,0,21,114,0,0
54,DMVF3,2022-08-25,5.0,5.08,4.94,5.03,36900,50,3,23,76,0,0
55,DMVF3,2022-08-26,5.1,5.1,4.84,4.92,42800,70,0,91,161,0,0
56,DMVF3,2022-08-29,5.04,5.08,4.93,5.08,37200,69,6,74,149,0,0
57,DMVF3,2022-08-30,5.05,5.05,4.91,4.99,50000,54,0,50,104,0,0
58,DMVF3,2022-08-31,4.93,5.04,4.9,4.92,101400,128,0,113,241,0,0
59,DMVF3,2022-09-01,4.92,5.0,4.82,5.0,46200,36,0,56,92,0,0
60,DMVF3,2022-09-02,4.9,5.1,4.88,5.09,30700,65,0,33,98,0,0
61,DMVF3,2022-09-05,5.0,5.39,5.0,5.39,44100,79,0,37,116,0,0
62,DMVF3,2022-09-06,5.39,5.5,5.0,5.04,103800,121,0,111,232,0,0
63,DMVF3,2022-09-08,5.18,5.3,4.99,4.99,164200,120,0,143,263,0,0
64,DMVF3,2022-09-09,5.03,5.16,4.99,5.03,139000,120,4,93,217,0,0
65,DMVF3,2022-09-12,5.02,5.18,4.9,5.03,326500,171,0,240,411,0,0
66,DMVF3,2022-09-13,5.0,5.07,4.8,4.85,176000,129,1,163,293,0,0
67,DMVF3,2022-09-14,4.9,4.92,4.82,4.83,37400,39,0,36,75,0,0
68,DMVF3,2022-09-15,4.85,4.9,4.65,4.72,87300,129,0,116,245,0,0
69,DMVF3,2022-09-16,4.73,4.85,4.41,4.41,624400,328,0,451,779,0,0
70,DMVF3,2022-09-19,4.41,4.59,4.4,4.5,122400,162,0,107,269,0,0
71,DMVF3,2022-09-20,4.52,4.54,4.4,4.46,242800,127,1,151,279,0,0
72,DMVF3,2022-09-21,4.5,4.52,4.4,4.49,192300,172,0,184,356,0,0
73,DMVF3,2022-09-22,4.49,4.72,4.4,4.7,98200,146,1,67,214,0,0
74,DMVF3,2022-09-23,4.66,4.67,4.45,4.46,234600,199,0,226,425,0,0
75,DMVF3,2022-09-26,4.49,4.52,4.4,4.49,174800,231,1,137,369,0,0
76,DMVF3,2022-09-27,4.5,4.53,4.43,4.44,128200,29,0,110,139,0,0
77,DMVF3,2022-09-28,4.4,4.61,4.35,4.55,56200,96,1,56,153,0,0
78,DMVF3,2022-09-29,4.4,4.46,4.3,4.31,70400,32,0,91,123,0,0
79,DMVF3,2022-09-30,4.36,4.57,4.35,4.56,64700,65,0,46,111,0,0
80,DMVF3,2022-10-03,4.6,4.6,4.44,4.59,73300,45,0,106,151,0,0
81,DMVF3,2022-10-04,4.58,4.7,4.46,4.7,74000,74,0,93,167,0,0
82,DMVF3,2022-10-05,4.6,4.7,4.6,4.69,20900,39,0,35,74,0,0
83,DMVF3,2022-10-06,4.6,4.7,4.58,4.7,34700,102,3,58,163,0,0
84,DMVF3,2022-10-07,4.7,4.73,4.6,4.73,76800,60,0,73,133,0,0
85,DMVF3,2022-10-10,4.67,4.75,4.63,4.65,16900,9,0,40,49,0,0
86,DMVF3,2022-10-11,4.65,4.8,4.65,4.73,44000,60,0,36,96,0,0
87,DMVF3,2022-10-13,4.66,4.87,4.65,4.81,49400,46,0,48,94,0,0
88,DMVF3,2022-10-14,4.89,4.89,4.73,4.8,35300,42,0,58,100,0,0
89,DMVF3,2022-10-17,4.77,4.91,4.77,4.9,33100,47,0,41,88,0,0
90,DMVF3,2022-10-18,4.93,5.0,4.79,4.94,36700,36,0,27,63,0,0
91,DMVF3,2022-10-19,4.93,5.03,4.93,5.02,79600,110,0,64,174,0,0
92,DMVF3,2022-10-20,4.95,5.03,4.85,4.9,50100,60,0,92,152,0,0
93,DMVF3,2022-10-21,4.97,4.97,4.76,4.8,48800,61,0,83,144,0,0
94,DMVF3,2022-10-24,4.9,4.92,4.72,4.77,56100,55,0,80,135,0,0
95,DMVF3,2022-10-25,4.77,4.93,4.75,4.91,55800,71,0,57,128,0,0
96,DMVF3,2022-10-26,4.89,4.95,4.7,4.7,14300,21,0,29,50,0,0
97,DMVF3,2022-10-27,4.76,4.8,4.7,4.7,87100,67,0,70,137,0,0
98,DMVF3,2022-10-28,4.69,4.71,4.62,4.69,42200,29,0,47,76,0,0
99,DMVF3,2022-10-31,4.5,4.77,4.5,4.77,71300,89,0,52,141,0,0
100,DMVF3,2022-11-01,4.75,4.84,4.6,4.83,208700,141,0,162,303,0,0
101,DMVF3,2022-11-03,4.77,4.94,4.71,4.94,56900,70,0,51,121,0,0
102,DMVF3,2022-11-04,4.88,4.94,4.83,4.87,25900,24,5,31,60,0,0
103,DMVF3,2022-11-07,4.95,4.98,4.73,4.73,14900,27,0,36,63,0,0
104,DMVF3,2022-11-08,4.73,4.85,4.66,4.66,24800,21,0,39,60,0,0
105,DMVF3,2022-11-09,4.65,4.84,4.65,4.84,55900,49,0,42,91,0,0
106,DMVF3,2022-11-10,4.78,4.82,4.45,4.45,96200,50,0,116,166,0,0
107,DMVF3,2022-11-14,4.35,4.45,4.3,4.33,38700,39,0,54,93,0,0
108,DMVF3,2022-11-17,4.13,4.16,3.79,4.07,242700,102,0,273,375,0,0
109,DMVF3,2022-11-18,4.16,4.25,4.0,4.25,30900,49,0,38,87,0,0
110,DMVF3,2022-11-21,4.23,4.28,4.06,4.1,48800,37,0,52,89,0,0
111,DMVF3,2022-11-22,4.11,4.18,4.06,4.18,50100,32,0,28,60,0,0
112,DMVF3,2022-11-23,4.11,4.25,4.11,4.25,23100,25,0,29,54,0,0
113,DMVF3,2022-11-24,4.16,4.39,4.16,4.36,37100,50,0,33,83,0,0
114,DMVF3,2022-11-25,4.39,4.46,4.19,4.19,65000,34,1,66,101,0,0
115,DMVF3,2022-11-28,4.29,4.34,4.11,4.11,27100,6,2,44,52,0,0
116,DMVF3,2022-11-29,4.11,4.26,4.09,4.26,10800,26,0,21,47,0,0
117,DMVF3,2022-11-30,4.16,4.25,3.95,4.24,276000,82,0,197,279,0,0
118,DMVF3,2022-12-01,4.14,4.21,4.11,4.19,17100,16,0,34,50,0,0
119,DMVF3,2022-12-02,4.18,4.29,4.18,4.21,10200,11,0,18,29,0,0
120,DMVF3,2022-12-05,4.16,4.16,3.98,3.99,37100,19,1,109,129,0,0
121,DMVF3,2022-12-06,3.9,4.05,3.9,4.0,31600,18,0,31,49,0,0
122,DMVF3,2022-12-07,4.03,4.03,3.91,3.91,27800,22,0,87,109,0,0
123,DMVF3,2022-12-08,3.91,3.97,3.9,3.9,32600,11,1,48,60,0,0
124,DMVF3,2022-12-09,3.97,3.98,3.9,3.93,11500,9,1,11,21,0,0
125,DMVF3,2022-12-12,3.93,3.96,3.75,3.75,28900,24,0,32,56,0,0
126,DMVF3,2022-12-13,3.79,3.83,3.77,3.77,10700,10,1,15,26,0,0
127,DMVF3,2022-12-14,3.76,3.78,3.59,3.6,43700,43,0,71,114,0,0
128,DMVF3,2022-12-15,3.6,3.79,3.6,3.65,13300,24,0,23,47,0,0
129,DMVF3,2022-12-16,3.65,3.67,3.56,3.6,19700,14,0,31,45,0,0
130,DMVF3,2022-12-19,3.65,3.74,3.62,3.69,13700,20,0,16,36,0,0
131,DMVF3,2022-12-20,3.65,3.85,3.65,3.82,15000,28,0,19,47,0,0
132,DMVF3,2022-12-21,3.84,3.95,3.84,3.9,30300,26,0,39,65,0,0
133,DMVF3,2022-12-22,3.95,3.95,3.76,3.85,10000,16,2,41,59,0,0
134,DMVF3,2022-12-23,3.86,4.15,3.86,4.13,29000,52,0,26,78,0,0
135,DMVF3,2022-12-26,4.13,4.13,3.94,3.94,9600,13,0,28,41,0,0
136,DMVF3,2022-12-27,3.95,4.05,3.85,3.9,31600,27,0,42,69,0,0
137,DMVF3,2022-12-28,3.92,3.99,3.92,3.95,9400,15,0,15,30,0,0
138,DMVF3,2022-12-29,3.92,4.09,3.92,4.09,26000,35,0,20,55,0,0
139,DMVF3,2023-01-02,4.0,4.07,3.95,3.99,7500,30,0,16,46,0,0
140,DMVF3,2023-01-03,3.95,4.06,3.9,3.91,46600,30,0,39,69,0,0
141,DMVF3,2023-01-04,3.91,3.95,3.88,3.9,61200,35,0,33,68,0,0
142,DMVF3,2023-01-05,3.9,4.08,3.9,4.02,51400,50,0,11,61,0,0
143,DMVF3,2023-01-06,3.98,4.14,3.98,4.05,14700,25,0,13,38,0,0
144,DMVF3,2023-01-09,4.02,4.08,4.0,4.07,25200,16,0,26,42,0,0
145,DMVF3,2023-01-10,4.02,4.1,4.01,4.1,12700,27,0,17,44,0,0
146,DMVF3,2023-01-11,3.99,4.1,3.98,4.03,39700,30,0,42,72,0,0
147,DMVF3,2023-01-12,4.01,4.03,3.97,3.97,19100,28,0,37,65,0,0
148,DMVF3,2023-01-13,3.98,4.05,3.93,3.94,31800,28,0,105,133,0,0
149,DMVF3,2023-01-16,4.05,4.05,3.88,3.98,30200,26,0,37,63,0,0
150,DMVF3,2023-01-17,3.93,4.03,3.93,4.02,17200,22,2,13,37,0,0
151,DMVF3,2023-01-18,3.96,4.0,3.9,4.0,54800,49,0,78,127,0,0
152,DMVF3,2023-01-19,3.93,3.97,3.88,3.91,44800,24,0,42,66,0,0
153,DMVF3,2023-01-20,3.94,4.0,3.85,4.0,132700,90,0,148,238,0,0
154,DMVF3,2023-01-23,3.95,3.98,3.9,3.93,45100,31,0,70,101,0,0
155,DMVF3,2023-01-24,3.91,3.95,3.88,3.88,39400,23,0,72,95,0,0
