,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,DOHL4,2022-06-06,5.89,6.0,5.8,5.99,12600,21,0,5,26,0,0
1,DOHL4,2022-06-07,6.0,6.0,5.98,6.0,2000,5,0,0,5,0,0
2,DOHL4,2022-06-08,5.97,5.97,5.83,5.94,12000,3,1,1,4,1,0
3,DOHL4,2022-06-09,5.84,5.97,5.84,5.97,2800,5,0,2,7,0,0
4,DOHL4,2022-06-10,5.6,5.95,5.6,5.95,700,3,0,1,4,0,0
5,DOHL4,2022-06-13,5.6,5.8,5.6,5.75,2000,3,0,3,6,0,0
6,DOHL4,2022-06-14,5.69,5.69,5.69,5.69,500,2,0,0,2,0,0
7,DOHL4,2022-06-15,5.85,5.9,5.69,5.84,13100,8,0,2,10,0,0
8,DOHL4,2022-06-20,5.56,5.85,5.56,5.85,300,1,0,1,2,0,0
9,DOHL4,2022-06-21,5.37,5.78,5.35,5.61,21200,32,0,52,84,0,0
10,DOHL4,2022-06-22,5.67,5.79,5.57,5.76,1300,7,0,1,8,0,0
11,DOHL4,2022-06-23,5.51,5.76,5.51,5.7,20400,3,2,12,17,0,0
12,DOHL4,2022-06-24,5.52,5.8,5.52,5.79,3800,10,0,5,15,0,0
13,DOHL4,2022-06-27,5.55,5.83,5.55,5.79,900,4,0,4,8,0,0
14,DOHL4,2022-06-28,5.48,5.8,5.48,5.75,600,0,0,6,6,0,0
15,DOHL4,2022-06-29,5.55,5.75,5.55,5.62,10400,6,0,4,10,0,0
16,DOHL4,2022-06-30,5.74,5.74,5.47,5.7,9400,7,0,3,10,0,0
17,DOHL4,2022-07-01,5.7,5.7,5.5,5.7,6900,20,1,8,29,0,0
18,DOHL4,2022-07-04,5.69,5.7,5.53,5.7,1500,8,0,5,13,0,0
19,DOHL4,2022-07-05,5.7,5.7,5.51,5.53,3200,10,0,14,24,0,0
20,DOHL4,2022-07-06,5.69,5.69,5.5,5.65,1700,9,0,6,15,0,0
21,DOHL4,2022-07-07,5.58,5.69,5.53,5.69,1400,8,0,6,14,0,0
22,DOHL4,2022-07-08,5.51,5.69,5.51,5.54,2400,8,0,11,19,0,0
23,DOHL4,2022-07-11,5.66,5.66,5.51,5.56,1200,5,0,7,12,0,0
24,DOHL4,2022-07-12,5.67,5.7,5.54,5.7,2000,11,0,2,13,0,0
