,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,DOTZ3,2022-06-06,4.12,4.24,3.96,4.16,33400,113,9,77,199,0,0
1,DOTZ3,2022-06-07,4.08,4.4,3.99,4.12,118800,111,15,326,452,0,0
2,DOTZ3,2022-06-08,4.22,4.22,3.92,4.09,50200,150,9,137,296,0,0
3,DOTZ3,2022-06-09,4.18,4.18,3.87,3.89,44100,142,13,84,239,0,0
4,DOTZ3,2022-06-10,3.86,4.0,3.58,3.8,75200,202,9,137,348,0,0
5,DOTZ3,2022-06-13,3.86,3.96,3.48,3.9,76300,138,9,109,256,0,0
6,DOTZ3,2022-06-14,3.99,3.99,3.62,3.85,61700,122,8,177,307,0,0
7,DOTZ3,2022-06-15,4.0,4.05,3.69,3.69,52200,84,14,135,233,0,0
8,DOTZ3,2022-06-17,3.61,3.89,3.51,3.59,65900,137,7,118,262,0,0
9,DOTZ3,2022-06-20,3.69,3.7,3.3,3.3,59500,102,13,136,251,0,0
10,DOTZ3,2022-06-21,3.35,3.44,3.2,3.2,43300,113,7,123,243,0,0
11,DOTZ3,2022-06-22,3.16,3.41,3.13,3.37,35900,94,9,108,211,0,0
12,DOTZ3,2022-06-23,3.31,3.6,3.25,3.55,30700,101,8,120,229,0,0
13,DOTZ3,2022-06-24,3.69,3.85,3.5,3.75,26100,100,2,87,189,0,0
14,DOTZ3,2022-06-27,3.93,4.24,3.87,3.97,67700,404,0,75,479,0,0
15,DOTZ3,2022-06-28,3.97,4.0,3.37,3.54,114400,129,30,443,602,0,0
16,DOTZ3,2022-06-29,3.68,3.88,3.41,3.7,43700,145,6,82,233,0,0
17,DOTZ3,2022-06-30,3.7,3.98,3.62,3.83,25900,89,0,82,171,0,0
18,DOTZ3,2022-07-01,3.83,3.89,3.62,3.83,32300,95,8,134,237,0,0
19,DOTZ3,2022-07-04,3.98,3.98,3.54,3.54,39400,117,7,111,235,0,0
20,DOTZ3,2022-07-05,3.54,3.92,3.4,3.9,35600,76,7,111,194,0,0
21,DOTZ3,2022-07-06,3.94,4.0,3.71,4.0,28700,105,4,121,230,0,0
22,DOTZ3,2022-07-07,3.91,4.06,3.84,3.84,39500,95,0,161,256,0,0
23,DOTZ3,2022-07-08,3.81,3.88,3.73,3.82,35800,110,10,148,268,0,0
24,DOTZ3,2022-07-11,3.72,3.87,3.7,3.8,25500,124,10,42,176,0,0
25,DOTZ3,2022-07-12,3.9,3.94,3.67,3.67,32100,122,6,97,225,0,0
26,DOTZ3,2022-07-13,3.64,3.9,3.64,3.85,31600,103,9,52,164,0,0
27,DOTZ3,2022-07-14,3.78,3.93,3.51,3.59,102900,134,17,171,322,0,0
28,DOTZ3,2022-07-15,3.58,3.93,3.58,3.8,31100,127,5,100,232,0,0
29,DOTZ3,2022-07-18,3.87,4.05,3.63,4.0,40900,124,13,150,287,0,0
30,DOTZ3,2022-07-19,4.0,4.0,3.81,3.96,42000,118,13,127,258,0,0
31,DOTZ3,2022-07-20,4.0,4.04,3.82,3.87,50900,140,14,177,331,0,0
