,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,DTCY3,2022-06-15,6.23,6.8,6.23,6.52,2600,12,2,5,19,0,0
1,DTCY3,2022-06-20,6.0,6.0,5.1,5.95,3500,18,1,11,30,0,0
2,DTCY3,2022-06-21,5.38,5.53,5.01,5.35,1700,3,0,7,10,0,0
3,DTCY3,2022-06-24,5.35,5.85,5.35,5.85,1000,7,0,1,8,0,0
4,DTCY3,2022-07-11,5.48,5.54,5.47,5.54,300,2,0,1,3,0,0
5,DTCY3,2022-07-12,5.2,5.25,5.2,5.2,200,0,0,2,2,0,0
6,DTCY3,2022-07-13,5.14,5.14,5.14,5.14,300,2,0,0,2,0,0
7,DTCY3,2022-07-14,5.6,5.6,5.6,5.6,100,0,1,0,1,0,0
8,DTCY3,2022-07-21,5.4,5.5,5.4,5.5,300,0,0,3,3,0,0
9,DTCY3,2022-07-22,5.8,5.8,5.8,5.8,100,1,0,0,1,0,0
10,DTCY3,2022-07-27,5.36,5.36,5.36,5.36,200,2,0,0,2,0,0
11,DTCY3,2022-07-29,5.21,5.7,5.21,5.7,200,0,0,2,2,0,0
12,DTCY3,2022-08-10,5.75,6.3,5.75,6.3,1100,5,0,1,6,0,0
13,DTCY3,2022-08-12,5.9,5.92,5.9,5.92,600,5,0,1,6,0,0
14,DTCY3,2022-08-15,6.0,6.0,5.7,5.7,200,1,0,1,2,0,0
15,DTCY3,2022-08-17,6.0,6.82,6.0,6.8,700,4,0,1,5,0,0
16,DTCY3,2022-08-19,6.35,6.35,6.35,6.35,100,1,0,0,1,0,0
17,DTCY3,2022-08-22,6.35,6.73,6.11,6.73,500,2,1,2,5,0,0
18,DTCY3,2022-08-24,6.8,7.0,6.72,7.0,500,4,0,0,4,0,0
19,DTCY3,2022-08-30,6.8,7.0,6.8,7.0,500,2,0,1,3,0,0
20,DTCY3,2022-09-01,6.6,7.0,6.4,7.0,800,0,1,7,8,0,0
21,DTCY3,2022-09-05,7.0,7.5,6.7,7.0,2300,9,0,0,9,0,0
22,DTCY3,2022-09-06,6.5,7.09,6.4,7.0,3700,7,2,9,18,0,0
23,DTCY3,2022-09-08,7.0,7.4,6.4,7.0,6300,15,1,4,20,0,0
24,DTCY3,2022-09-12,7.3,7.3,7.25,7.28,1500,3,0,0,3,0,0
25,DTCY3,2022-09-13,6.75,6.95,6.28,6.95,3200,11,0,5,16,0,0
26,DTCY3,2022-09-14,6.33,6.6,6.33,6.6,200,2,0,0,2,0,0
27,DTCY3,2022-09-15,6.2,6.59,6.2,6.59,500,5,0,0,5,0,0
28,DTCY3,2022-09-19,7.0,7.0,6.35,6.35,400,3,0,1,4,0,0
29,DTCY3,2022-09-20,6.0,6.7,5.6,6.62,1300,2,0,6,8,0,0
30,DTCY3,2022-09-21,6.1,6.17,6.1,6.17,600,2,1,1,4,0,0
31,DTCY3,2022-09-22,6.17,6.48,6.17,6.48,200,2,0,0,2,0,0
32,DTCY3,2022-09-23,6.05,6.35,5.98,6.35,500,3,0,0,3,0,0
33,DTCY3,2022-09-27,5.98,5.98,5.98,5.98,100,0,0,1,1,0,0
34,DTCY3,2022-10-17,6.24,6.24,5.9,5.9,200,1,1,0,2,0,0
35,DTCY3,2022-10-18,6.4,6.4,6.3,6.3,200,2,0,0,2,0,0
36,DTCY3,2022-11-21,5.92,5.92,5.92,5.92,100,1,0,0,1,0,0
37,DTCY3,2022-11-22,6.25,6.25,5.91,5.91,200,2,0,0,2,0,0
38,DTCY3,2022-11-30,5.91,5.91,5.91,5.91,100,0,0,1,1,0,0
39,DTCY3,2022-12-01,5.91,5.91,5.91,5.91,100,1,0,0,1,0,0
40,DTCY3,2022-12-06,5.91,5.91,5.4,5.91,800,2,1,5,8,0,0
41,DTCY3,2022-12-07,5.91,5.91,5.91,5.91,200,2,0,0,2,0,0
42,DTCY3,2022-12-13,5.36,5.36,5.18,5.18,500,1,0,4,5,0,0
43,DTCY3,2022-12-14,5.12,5.35,5.12,5.35,600,1,1,0,2,0,0
