,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,DXCO3,2022-06-06,11.49,11.49,11.14,11.21,1811800,2485,76,2828,5389,0,0
1,DXCO3,2022-06-07,11.09,11.15,10.92,10.96,1754700,2149,68,4250,6467,0,0
2,DXCO3,2022-06-08,10.89,11.08,10.67,10.79,2281600,3082,92,3791,6965,0,0
3,DXCO3,2022-06-09,10.71,10.96,10.53,10.82,3040900,6587,103,3966,10656,0,0
4,DXCO3,2022-06-10,10.71,10.81,10.49,10.55,2020600,4516,100,3659,8274,1,0
5,DXCO3,2022-06-13,10.39,10.41,10.05,10.2,2121600,5277,123,4554,9954,0,0
6,DXCO3,2022-06-14,10.22,10.37,10.09,10.29,2867600,5181,73,6979,12233,0,0
7,DXCO3,2022-06-15,10.44,10.56,10.13,10.17,4191200,6919,110,6022,13046,5,0
8,DXCO3,2022-06-17,10.05,10.16,9.66,9.66,6180500,5316,248,7845,13409,0,0
9,DXCO3,2022-06-20,9.7,9.93,9.63,9.74,1712900,2799,58,3275,6132,0,0
10,DXCO3,2022-06-21,9.77,10.17,9.65,10.06,4289800,8148,85,5868,14100,1,0
11,DXCO3,2022-06-22,9.79,10.34,9.71,10.13,3565800,5992,112,4906,11010,0,0
12,DXCO3,2022-06-23,10.25,10.5,10.15,10.19,2960500,5837,120,4369,10326,0,0
13,DXCO3,2022-06-24,10.35,10.71,10.31,10.4,4903700,6297,84,6703,13082,2,0
14,DXCO3,2022-06-27,10.46,10.85,10.37,10.55,3194800,6632,75,3931,10635,3,0
15,DXCO3,2022-06-28,10.65,10.69,10.15,10.31,2821900,4666,76,6355,11096,1,0
16,DXCO3,2022-06-29,10.3,10.32,9.91,10.0,4054000,5914,79,7568,13560,1,0
17,DXCO3,2022-06-30,9.91,10.13,9.8,9.8,4112600,4194,119,7268,11580,1,0
18,DXCO3,2022-07-01,9.88,9.95,9.61,9.83,3519100,4453,101,6749,11301,2,0
19,DXCO3,2022-07-04,9.75,9.79,9.6,9.6,1819300,2964,80,3389,6433,0,0
20,DXCO3,2022-07-05,9.54,9.61,9.19,9.43,4873900,5953,143,7580,13675,1,0
21,DXCO3,2022-07-06,9.43,9.95,9.4,9.93,3085000,6276,87,7121,13483,1,0
22,DXCO3,2022-07-07,10.02,10.08,9.76,9.77,2305100,3662,102,4405,8168,1,0
23,DXCO3,2022-07-08,9.77,10.0,9.71,9.97,2941800,5212,86,4489,9785,2,0
24,DXCO3,2022-07-11,9.79,9.84,9.3,9.35,2662200,3423,80,4360,7863,0,0
25,DXCO3,2022-07-12,9.36,9.67,9.25,9.53,2962300,5128,83,6093,11304,0,0
26,DXCO3,2022-07-13,9.51,9.66,9.38,9.42,1802300,3523,81,5672,9276,0,0
27,DXCO3,2022-07-14,9.4,9.47,9.21,9.42,2812400,4658,75,4515,9247,1,0
28,DXCO3,2022-07-15,9.41,9.43,9.15,9.24,3474900,4912,85,8142,13136,3,0
29,DXCO3,2022-07-18,9.43,9.54,9.12,9.17,2643200,2850,89,4249,7186,2,0
30,DXCO3,2022-07-19,9.2,9.26,9.03,9.22,3543400,4255,1864,6833,11163,1789,0
31,DXCO3,2022-07-20,9.14,9.81,9.09,9.78,3375700,6395,109,6334,12837,1,0
32,DXCO3,2022-07-21,9.69,10.0,9.51,9.94,3003700,4273,91,4530,8894,0,0
33,DXCO3,2022-07-22,9.97,9.98,9.65,9.77,1756600,2813,140,4644,7597,0,0
34,DXCO3,2022-07-25,9.77,9.81,9.33,9.34,2465400,4163,79,3901,8143,0,0
35,DXCO3,2022-07-26,9.33,9.38,9.15,9.24,2658100,3426,69,4796,8291,0,0
36,DXCO3,2022-07-27,9.25,9.92,9.25,9.9,3229700,6278,65,5871,12214,0,0
37,DXCO3,2022-07-28,9.69,9.89,9.53,9.81,4311200,7590,97,7911,15598,0,0
38,DXCO3,2022-07-29,9.81,10.0,9.68,9.68,2981400,4907,1367,4133,9109,1298,0
39,DXCO3,2022-08-01,9.7,9.8,9.5,9.55,2306900,4694,80,3840,8614,0,0
40,DXCO3,2022-08-02,9.54,9.58,9.26,9.57,4003700,7289,89,5608,12986,0,0
41,DXCO3,2022-08-03,9.57,9.89,9.53,9.89,3871900,4365,2235,8626,13062,2164,0
42,DXCO3,2022-08-08,10.62,11.11,10.59,11.01,4115800,6340,91,5547,11978,0,0
43,DXCO3,2022-08-09,10.93,11.16,10.75,11.15,3248600,6012,90,5238,11337,3,0
44,DXCO3,2022-08-10,11.34,11.42,11.08,11.26,4028500,7936,158,5799,13890,3,0
45,DXCO3,2022-08-12,11.44,11.55,11.08,11.27,2759700,5359,97,4412,9868,0,0
46,DXCO3,2022-08-15,11.16,11.46,11.09,11.29,2285800,5937,67,6417,12421,0,0
47,DXCO3,2022-08-16,11.16,11.26,10.92,11.1,3250100,5920,97,5976,11991,2,0
48,DXCO3,2022-08-17,10.99,11.29,10.94,11.15,3874000,6614,91,5278,11981,2,0
49,DXCO3,2022-08-18,11.13,11.17,10.65,10.71,3353900,5541,98,5468,11107,0,0
50,DXCO3,2022-08-19,10.66,10.66,10.28,10.35,3435700,7274,82,5065,12418,3,0
51,DXCO3,2022-08-22,10.3,10.49,10.1,10.41,2584000,3699,113,5440,9252,0,0
52,DXCO3,2022-08-23,10.48,10.87,10.33,10.83,2716300,6930,75,6471,13476,0,0
53,DXCO3,2022-08-24,10.84,10.9,10.63,10.74,1965800,3489,79,3498,7066,0,0
54,DXCO3,2022-08-25,10.74,10.87,10.71,10.74,1773800,3366,59,3606,7031,0,0
55,DXCO3,2022-08-26,10.85,10.95,10.69,10.71,1623900,3395,51,3595,7041,0,0
56,DXCO3,2022-08-29,10.69,11.04,10.63,10.96,2007100,4005,72,3029,7106,0,0
57,DXCO3,2022-08-30,11.01,11.04,10.33,10.37,2726900,4772,82,5016,9870,0,0
58,DXCO3,2022-08-31,10.36,10.38,9.84,9.87,7756300,8471,173,6336,14977,3,0
59,DXCO3,2022-09-01,9.81,10.14,9.7,10.12,5671100,10614,117,6154,16885,0,0
60,DXCO3,2022-09-02,10.2,10.71,10.12,10.48,5246400,4670,200,5037,9907,0,0
61,DXCO3,2022-09-05,10.59,10.7,10.34,10.48,1345500,2482,82,2693,5256,1,0
62,DXCO3,2022-09-06,10.43,10.43,10.04,10.16,2154900,3116,59,4526,7701,0,0
63,DXCO3,2022-09-08,10.28,10.39,10.12,10.37,3571100,5187,106,4052,9345,0,0
64,DXCO3,2022-09-09,10.5,10.8,10.4,10.62,2309000,5663,63,4696,10422,0,0
65,DXCO3,2022-09-12,10.72,10.89,10.67,10.86,1732900,4514,91,3253,7858,0,0
66,DXCO3,2022-09-13,10.66,10.71,10.18,10.18,2082400,3780,103,5052,8935,0,0
67,DXCO3,2022-09-14,10.2,10.53,10.17,10.36,3757600,6003,90,5569,11662,0,0
68,DXCO3,2022-09-15,10.27,10.4,9.97,10.04,2146300,4425,69,4354,8848,0,0
69,DXCO3,2022-09-16,9.98,10.14,9.76,10.05,4847300,6084,142,6861,13085,2,0
70,DXCO3,2022-09-19,9.98,10.56,9.98,10.43,1802000,5305,89,3381,8775,0,0
71,DXCO3,2022-09-20,10.45,10.58,10.22,10.31,1561600,3823,103,3576,7501,1,0
72,DXCO3,2022-09-21,10.32,10.48,10.13,10.18,2940000,6236,108,5929,12272,1,0
73,DXCO3,2022-09-22,10.31,10.53,10.13,10.51,3793400,6674,73,4612,11358,1,0
74,DXCO3,2022-09-23,10.28,10.34,10.09,10.33,2659400,4394,75,6610,11079,0,0
75,DXCO3,2022-09-26,10.41,10.53,9.95,9.97,3130500,6092,153,7308,13553,0,0
76,DXCO3,2022-09-27,10.15,10.15,9.49,9.52,4435000,6321,99,9041,15460,1,0
77,DXCO3,2022-09-28,9.53,9.79,9.34,9.43,5431300,6560,126,9209,15893,2,0
78,DXCO3,2022-09-29,9.29,9.32,8.87,9.14,6061100,8153,136,9850,18139,0,0
79,DXCO3,2022-09-30,9.18,9.44,8.92,9.4,7387900,7329,131,7861,15321,0,0
80,DXCO3,2022-10-03,9.59,10.14,9.58,10.02,5912100,13329,122,7736,21184,3,0
81,DXCO3,2022-10-04,10.22,10.26,9.81,9.94,4569900,7507,117,7883,15506,1,0
82,DXCO3,2022-10-05,9.93,9.97,9.45,9.62,5160400,6721,136,8865,15722,0,0
83,DXCO3,2022-10-06,9.61,9.71,9.36,9.44,4193100,7579,108,9949,17626,10,0
84,DXCO3,2022-10-07,9.44,9.57,9.26,9.42,3402900,5207,87,6450,11744,0,0
85,DXCO3,2022-10-10,9.45,9.56,9.34,9.5,3940600,6385,97,7413,13893,2,0
86,DXCO3,2022-10-11,9.45,9.48,9.25,9.29,3437600,5764,102,7517,13383,0,0
87,DXCO3,2022-10-13,9.26,9.62,8.98,9.46,6205400,9456,162,10646,20261,3,0
88,DXCO3,2022-10-14,9.5,9.62,8.93,8.98,5295300,6313,160,8426,14899,0,0
89,DXCO3,2022-10-17,9.06,9.1,8.83,8.89,4387700,4743,93,7696,12532,0,0
90,DXCO3,2022-10-18,9.01,9.05,8.76,8.89,3025300,5461,76,4123,9660,0,0
91,DXCO3,2022-10-19,8.85,8.94,8.68,8.77,5587200,6772,162,7422,14342,14,0
92,DXCO3,2022-10-20,8.81,8.95,8.73,8.81,5231200,5184,167,4458,9809,0,0
93,DXCO3,2022-10-21,8.83,9.21,8.71,9.13,3491400,6771,71,5170,12012,0,0
94,DXCO3,2022-10-24,9.06,9.39,9.05,9.29,4171800,7385,80,4790,12255,0,0
95,DXCO3,2022-10-25,9.27,9.3,9.07,9.1,2897000,4135,122,5474,9731,0,0
96,DXCO3,2022-10-26,9.09,9.12,8.7,8.79,3616900,5852,107,7968,13927,0,0
97,DXCO3,2022-10-27,8.7,9.45,8.53,9.17,5670300,9475,165,8703,18343,0,0
98,DXCO3,2022-10-28,9.24,9.49,9.16,9.37,3641800,5581,86,5716,11382,1,0
99,DXCO3,2022-10-31,9.22,9.87,9.14,9.66,5114000,10424,149,7048,17621,0,0
100,DXCO3,2022-11-01,9.82,10.39,9.72,10.13,5999800,8066,120,5913,14099,0,0
101,DXCO3,2022-11-03,10.08,10.55,10.06,10.42,6444100,11239,141,5403,16780,3,0
102,DXCO3,2022-11-04,10.44,10.75,10.38,10.42,3609300,9525,115,4705,14345,0,0
103,DXCO3,2022-11-07,10.39,10.52,10.04,10.04,5279900,6013,99,10636,16748,0,0
104,DXCO3,2022-11-08,10.01,10.35,9.95,10.26,4402100,8013,77,5286,13376,0,0
105,DXCO3,2022-11-09,10.2,10.42,10.16,10.35,3627700,4456,88,5589,10132,1,0
106,DXCO3,2022-11-10,10.1,10.19,9.19,9.3,8652300,10966,1635,15509,26580,1530,0
107,DXCO3,2022-11-14,9.58,9.67,9.29,9.38,4313400,7499,94,6484,14077,0,0
108,DXCO3,2022-11-17,8.75,8.8,8.15,8.63,6469500,7621,160,7685,15465,1,0
109,DXCO3,2022-11-18,8.73,9.01,8.34,8.37,5345600,6880,104,8684,15668,0,0
110,DXCO3,2022-11-21,8.54,8.67,8.29,8.6,2967400,4520,120,4387,9027,0,0
111,DXCO3,2022-11-22,8.61,8.76,8.46,8.58,2549100,4136,122,5135,9393,0,0
112,DXCO3,2022-11-23,8.54,8.54,8.14,8.36,3918300,4194,87,6525,10806,0,0
113,DXCO3,2022-11-24,8.41,8.82,8.41,8.6,1900900,4151,66,2466,6683,0,0
114,DXCO3,2022-11-25,8.62,8.66,8.09,8.15,3291100,3542,62,5975,9579,0,0
115,DXCO3,2022-11-28,8.17,8.21,8.04,8.1,1936900,2635,55,3002,5692,0,0
116,DXCO3,2022-11-29,8.14,8.45,8.04,8.2,2611200,3919,89,3612,7620,0,0
117,DXCO3,2022-11-30,8.19,8.41,8.14,8.35,6208100,5214,112,6916,12241,1,0
118,DXCO3,2022-12-01,8.29,8.29,8.05,8.11,4004000,5952,73,5427,11452,0,0
119,DXCO3,2022-12-02,8.12,8.28,7.91,8.27,5445600,6350,92,5319,11758,3,0
120,DXCO3,2022-12-05,8.21,8.21,7.64,7.7,4511100,3598,79,6597,10274,0,0
121,DXCO3,2022-12-06,7.73,8.17,7.73,8.0,6344200,8487,84,6615,15185,1,0
122,DXCO3,2022-12-07,7.96,8.19,7.91,8.0,5315300,7353,57,7630,15040,0,0
123,DXCO3,2022-12-08,7.95,8.02,7.46,7.48,3692900,6425,89,5339,11853,0,0
124,DXCO3,2022-12-09,7.58,7.58,7.35,7.36,3851700,3423,73,4374,7870,0,0
125,DXCO3,2022-12-12,7.36,7.5,7.19,7.36,4317800,3877,232,5588,9697,0,0
126,DXCO3,2022-12-13,7.38,7.57,7.27,7.31,6349400,5748,104,10141,15992,1,0
127,DXCO3,2022-12-14,7.31,7.47,7.12,7.36,7711600,8485,105,10355,18940,5,0
128,DXCO3,2022-12-15,7.01,7.45,7.0,7.26,4876200,5077,72,6233,11382,0,0
