,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,EALT3,2022-06-06,9.98,9.98,9.0,9.54,1200,3,0,3,6,0,0
1,EALT3,2022-06-08,8.97,8.97,8.91,8.91,300,0,0,3,3,0,0
2,EALT3,2022-06-09,8.5,9.6,8.4,9.1,1600,4,0,4,8,0,0
3,EALT3,2022-06-14,8.89,8.89,8.89,8.89,100,1,0,0,1,0,0
4,EALT3,2022-06-15,9.23,9.23,9.23,9.23,100,1,0,0,1,0,0
5,EALT3,2022-06-21,8.9,8.9,8.3,8.6,600,3,0,3,6,0,0
6,EALT3,2022-06-24,8.2,8.3,7.79,8.3,1200,6,0,5,11,0,0
7,EALT3,2022-06-29,8.56,8.56,7.4,7.4,3700,9,0,19,28,0,0
8,EALT3,2022-06-30,8.15,8.15,7.3,7.3,1200,4,0,7,11,0,0
9,EALT3,2022-07-01,7.2,8.2,7.2,8.2,300,1,0,2,3,0,0
10,EALT3,2022-07-05,7.51,7.51,7.25,7.25,1400,10,0,3,13,0,0
11,EALT3,2022-07-07,7.25,7.31,7.16,7.31,700,1,0,6,7,0,0
12,EALT3,2022-07-11,7.02,7.3,7.0,7.02,800,2,0,5,7,0,0
13,EALT3,2022-07-12,7.07,7.07,7.07,7.07,100,0,0,1,1,0,0
14,EALT3,2022-07-15,7.25,7.25,7.25,7.25,100,0,0,1,1,0,0
15,EALT3,2022-07-18,7.02,7.38,7.02,7.38,2000,1,0,1,2,0,0
16,EALT3,2022-07-19,7.37,7.45,7.37,7.45,300,2,0,1,3,0,0
17,EALT3,2022-07-20,8.02,8.19,8.02,8.09,400,3,0,1,4,0,0
18,EALT3,2022-07-21,8.39,8.39,8.39,8.39,100,1,0,0,1,0,0
19,EALT3,2022-07-25,8.39,8.91,8.39,8.91,500,2,0,1,3,0,0
20,EALT3,2022-07-26,8.22,8.22,8.22,8.22,100,0,0,1,1,0,0
21,EALT3,2022-07-27,8.18,8.18,8.18,8.18,100,0,0,1,1,0,0
22,EALT3,2022-08-01,8.17,8.17,8.17,8.17,400,1,0,0,1,0,0
23,EALT3,2022-08-02,8.21,8.21,8.21,8.21,200,1,0,1,2,0,0
24,EALT3,2022-08-08,9.0,9.0,9.0,9.0,100,0,0,1,1,0,0
25,EALT3,2022-08-09,9.0,9.32,9.0,9.32,400,1,0,3,4,0,0
26,EALT3,2022-08-10,8.89,9.1,8.89,9.1,300,2,0,1,3,0,0
27,EALT3,2022-08-12,9.09,9.09,9.09,9.09,100,1,0,0,1,0,0
28,EALT3,2022-08-15,9.09,9.09,9.09,9.09,100,0,1,0,1,0,0
29,EALT3,2022-08-17,9.54,10.89,9.0,9.12,5400,23,9,12,44,0,0
30,EALT3,2022-08-18,9.8,9.8,9.8,9.8,100,1,0,0,1,0,0
31,EALT3,2022-08-22,9.0,10.0,9.0,10.0,300,1,1,1,3,0,0
32,EALT3,2022-08-24,10.0,10.0,10.0,10.0,200,0,0,1,1,0,0
33,EALT3,2022-08-31,9.99,9.99,9.87,9.87,600,3,0,0,3,0,0
34,EALT3,2022-09-06,9.87,10.7,9.12,9.7,1000,4,1,4,9,0,0
35,EALT3,2022-09-08,10.3,10.6,10.0,10.35,4500,15,0,8,23,0,0
36,EALT3,2022-09-09,9.75,10.6,9.75,10.6,500,2,0,3,5,0,0
37,EALT3,2022-09-12,10.6,11.4,10.6,10.6,1200,4,0,3,7,0,0
38,EALT3,2022-09-13,10.6,10.6,9.6,10.1,900,5,0,4,9,0,0
39,EALT3,2022-09-14,9.56,9.56,9.56,9.56,200,0,1,1,2,0,0
40,EALT3,2022-09-15,9.27,9.3,9.26,9.3,300,1,0,2,3,0,0
41,EALT3,2022-09-16,10.28,10.29,10.28,10.29,300,2,0,1,3,0,0
42,EALT3,2022-09-20,10.29,10.29,10.29,10.29,100,0,0,1,1,0,0
43,EALT3,2022-09-21,10.28,10.28,10.28,10.28,100,1,0,0,1,0,0
44,EALT3,2022-09-26,10.0,10.0,10.0,10.0,100,1,0,0,1,0,0
45,EALT3,2022-09-28,9.1,9.49,9.1,9.49,1200,4,0,5,9,0,0
46,EALT3,2022-10-03,9.39,9.39,9.35,9.35,600,2,1,1,4,0,0
47,EALT3,2022-10-04,9.35,9.35,9.35,9.35,200,1,0,0,1,0,0
48,EALT3,2022-10-05,10.14,10.14,10.14,10.14,100,0,0,1,1,0,0
49,EALT3,2022-10-06,9.41,9.41,9.41,9.41,200,0,0,1,1,0,0
50,EALT3,2022-10-07,9.81,10.0,9.41,9.41,1200,5,0,4,9,0,0
51,EALT3,2022-10-10,9.03,9.03,9.03,9.03,100,0,0,1,1,0,0
52,EALT3,2022-10-11,9.02,9.02,9.02,9.02,100,0,0,1,1,0,0
53,EALT3,2022-10-13,9.0,9.0,9.0,9.0,100,1,0,0,1,0,0
54,EALT3,2022-10-19,9.0,9.0,9.0,9.0,200,0,0,2,2,0,0
55,EALT3,2022-10-20,9.0,9.0,9.0,9.0,100,1,0,0,1,0,0
56,EALT3,2022-10-21,9.5,9.5,9.5,9.5,100,1,0,0,1,0,0
57,EALT3,2022-10-24,9.39,9.39,9.39,9.39,100,1,0,0,1,0,0
58,EALT3,2022-10-31,9.03,9.03,9.03,9.03,500,0,0,1,1,0,0
59,EALT3,2022-11-01,9.45,9.45,9.45,9.45,300,1,0,2,3,0,0
60,EALT3,2022-11-03,9.66,9.66,9.66,9.66,100,1,0,0,1,0,0
61,EALT3,2022-11-07,9.36,9.36,8.51,8.51,600,2,0,3,5,0,0
62,EALT3,2022-11-09,8.48,8.48,8.48,8.48,100,0,0,1,1,0,0
63,EALT3,2022-11-10,8.48,8.48,8.48,8.48,400,1,0,1,2,0,0
64,EALT3,2022-11-14,8.8,8.8,8.8,8.8,100,0,0,1,1,0,0
65,EALT3,2022-11-17,7.81,7.81,7.72,7.72,400,4,0,0,4,0,0
66,EALT3,2022-11-21,7.66,8.29,7.66,8.29,300,1,0,2,3,0,0
67,EALT3,2022-12-02,8.55,9.0,8.55,9.0,400,4,0,0,4,0,0
68,EALT3,2022-12-07,9.11,9.11,9.11,9.11,100,0,0,1,1,0,0
69,EALT3,2022-12-12,9.11,9.11,9.11,9.11,100,0,0,1,1,0,0
70,EALT3,2022-12-14,8.16,8.16,8.16,8.16,200,0,0,2,2,0,0
71,EALT3,2022-12-20,8.16,8.16,8.16,8.16,100,0,0,1,1,0,0
72,EALT3,2022-12-21,9.0,9.0,9.0,9.0,100,0,1,0,1,0,0
73,EALT3,2023-01-04,9.5,9.5,9.5,9.5,100,0,1,0,1,0,0
74,EALT3,2023-01-05,9.5,9.5,9.5,9.5,100,1,0,0,1,0,0
