,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,EGIE3,2022-06-06,42.42,42.45,41.78,41.85,727900,1945,102,2475,4522,0,0
1,EGIE3,2022-06-07,41.76,42.0,41.28,41.4,1576300,2479,156,4156,6789,2,0
2,EGIE3,2022-06-08,41.4,42.09,41.2,41.78,1293500,2205,155,4371,6731,0,0
3,EGIE3,2022-06-09,41.61,42.44,41.59,42.0,1386000,4358,143,3980,8481,0,0
4,EGIE3,2022-06-10,41.57,41.81,40.43,40.82,2867300,11031,126,5624,16780,1,0
5,EGIE3,2022-06-13,40.72,41.0,40.39,40.71,2534700,5159,173,5871,11202,1,0
6,EGIE3,2022-06-14,40.95,41.44,40.75,41.44,1893300,6428,109,4696,11233,0,0
7,EGIE3,2022-06-15,41.64,42.24,41.47,42.0,3070900,6116,157,9425,15694,4,0
8,EGIE3,2022-06-17,41.98,42.08,41.49,41.77,3098000,4486,227,7516,12223,6,0
9,EGIE3,2022-06-20,42.0,42.28,41.82,41.95,1342000,3366,95,4037,7498,0,0
10,EGIE3,2022-06-21,41.81,42.24,41.58,41.87,1530000,4308,155,4509,8972,0,0
11,EGIE3,2022-06-22,41.34,42.0,41.15,41.49,1234200,2831,142,2577,5550,0,0
12,EGIE3,2022-06-23,41.6,41.85,40.97,41.07,1532000,3310,125,3090,6525,0,0
13,EGIE3,2022-06-24,41.28,41.4,40.79,41.11,1392400,3796,114,4457,8366,1,0
14,EGIE3,2022-06-27,41.06,41.49,40.81,41.41,1339200,2795,114,3524,6433,0,0
15,EGIE3,2022-06-28,41.3,41.95,41.17,41.62,1069200,2024,119,2610,4753,0,0
16,EGIE3,2022-06-29,41.74,41.78,41.34,41.54,1503900,3783,125,4590,8498,0,0
17,EGIE3,2022-06-30,41.6,41.6,40.81,41.15,2086700,4446,146,5190,9781,1,0
18,EGIE3,2022-07-01,41.1,41.78,41.1,41.56,1429600,3106,154,4368,7627,1,0
19,EGIE3,2022-07-04,41.5,41.6,40.85,40.86,945100,1802,144,2056,4001,1,0
20,EGIE3,2022-07-05,40.8,41.23,40.5,40.7,1187300,2079,129,2926,5134,0,0
21,EGIE3,2022-07-06,40.85,41.11,40.33,41.1,1093100,2215,106,3215,5536,0,0
22,EGIE3,2022-07-07,41.37,42.28,40.96,41.99,1820300,4082,176,4776,9034,0,0
23,EGIE3,2022-07-08,41.91,42.48,41.91,42.25,850100,1709,100,1907,3716,0,0
24,EGIE3,2022-07-11,42.0,42.27,41.77,41.96,958100,2436,86,2688,5210,0,0
25,EGIE3,2022-07-12,41.84,42.0,41.42,41.7,1520300,5015,114,2906,8035,0,0
26,EGIE3,2022-07-13,41.44,42.08,41.33,41.63,1635200,3898,94,4891,8882,1,0
27,EGIE3,2022-07-14,41.4,42.18,41.29,41.86,1704500,3382,125,3769,7274,2,0
28,EGIE3,2022-07-15,41.89,42.01,41.41,41.47,940000,2389,111,2122,4622,0,0
29,EGIE3,2022-07-18,42.04,42.37,41.61,41.76,1475100,2968,112,3082,6161,1,0
30,EGIE3,2022-07-19,41.91,42.56,41.71,41.9,1446800,2577,1117,4196,6884,1006,0
31,EGIE3,2022-07-20,42.17,42.42,41.72,41.72,1797600,4086,188,3245,7519,0,0
