,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,EKTR4,2022-06-07,27.08,27.08,27.08,27.08,100,0,0,1,1,0,0
1,EKTR4,2022-06-20,28.09,28.09,28.09,28.09,100,1,0,0,1,0,0
2,EKTR4,2022-06-21,29.98,29.98,29.0,29.0,200,2,0,0,2,0,0
3,EKTR4,2022-06-22,27.07,27.07,27.07,27.07,100,0,0,1,1,0,0
4,EKTR4,2022-07-01,26.91,28.5,26.91,28.5,200,2,0,0,2,0,0
5,EKTR4,2022-07-04,28.5,28.5,28.5,28.5,100,0,0,1,1,0,0
6,EKTR4,2022-07-12,27.5,29.0,27.0,29.0,1000,3,0,2,5,0,0
7,EKTR4,2022-07-18,29.0,29.0,29.0,29.0,100,1,0,0,1,0,0
8,EKTR4,2022-07-25,28.1,28.1,28.1,28.1,100,0,0,1,1,0,0
9,EKTR4,2022-07-28,29.53,29.53,29.4,29.4,200,2,0,0,2,0,0
10,EKTR4,2022-07-29,29.4,31.0,29.4,31.0,20800,6,0,12,18,0,0
11,EKTR4,2022-08-01,31.5,32.5,30.24,30.25,1600,9,0,3,12,0,0
12,EKTR4,2022-08-02,29.4,29.44,29.4,29.44,800,1,1,0,2,0,0
13,EKTR4,2022-08-08,30.53,30.54,30.53,30.54,200,1,1,0,2,0,0
14,EKTR4,2022-08-09,30.51,30.51,30.49,30.49,200,1,1,0,2,0,0
15,EKTR4,2022-08-10,30.37,30.55,30.37,30.55,400,4,0,0,4,0,0
16,EKTR4,2022-08-12,30.54,30.55,30.54,30.55,16900,9,2,7,18,0,0
17,EKTR4,2022-08-15,30.55,30.55,30.55,30.55,3000,3,0,0,3,0,0
18,EKTR4,2022-08-16,30.55,30.99,30.55,30.99,4100,10,3,1,14,0,0
19,EKTR4,2022-08-17,30.99,30.99,30.99,30.99,200,2,0,0,2,0,0
20,EKTR4,2022-08-19,30.99,30.99,30.5,30.99,6300,10,0,0,10,0,0
21,EKTR4,2022-08-22,30.99,30.99,30.99,30.99,7500,10,0,0,10,0,0
22,EKTR4,2022-08-23,30.99,30.99,30.99,30.99,1300,4,0,0,4,0,0
23,EKTR4,2022-08-25,30.99,30.99,30.99,30.99,1100,2,0,0,2,0,0
24,EKTR4,2022-08-26,30.99,35.0,30.99,33.8,6500,13,0,14,27,0,0
25,EKTR4,2022-08-29,33.29,33.39,33.29,33.39,200,2,0,0,2,0,0
26,EKTR4,2022-08-30,36.0,38.0,32.51,32.61,800,6,0,2,8,0,0
27,EKTR4,2022-08-31,32.7,33.0,31.12,31.12,1600,3,0,9,12,0,0
28,EKTR4,2022-09-13,31.31,31.36,31.31,31.35,400,1,0,2,3,0,0
29,EKTR4,2022-09-14,33.0,33.0,31.41,31.41,200,0,0,2,2,0,0
30,EKTR4,2022-09-16,32.01,32.01,32.01,32.01,100,0,0,1,1,0,0
31,EKTR4,2022-09-19,32.05,32.05,32.05,32.05,100,0,0,1,1,0,0
32,EKTR4,2022-09-20,33.55,33.55,33.5,33.55,2000,9,0,0,9,0,0
33,EKTR4,2022-09-21,33.55,33.55,33.55,33.55,2500,5,0,0,5,0,0
34,EKTR4,2022-09-22,33.55,33.55,33.55,33.55,1100,3,0,0,3,0,0
35,EKTR4,2022-09-23,31.0,32.0,31.0,31.0,200,0,0,2,2,0,0
36,EKTR4,2022-09-26,31.55,31.55,31.55,31.55,100,0,0,1,1,0,0
37,EKTR4,2022-09-28,33.5,33.5,33.5,33.5,500,1,1,2,4,0,0
38,EKTR4,2022-09-30,33.52,33.55,33.3,33.55,2900,9,0,3,12,0,0
39,EKTR4,2022-10-03,33.55,35.0,33.55,35.0,3100,4,0,1,5,0,0
40,EKTR4,2022-10-04,35.0,35.42,34.95,34.95,900,5,0,2,7,0,0
41,EKTR4,2022-10-05,34.95,34.95,34.95,34.95,400,0,0,3,3,0,0
42,EKTR4,2022-10-06,34.29,34.29,34.29,34.29,300,1,2,0,2,1,0
43,EKTR4,2022-10-14,34.29,34.29,34.29,34.29,100,1,0,0,1,0,0
44,EKTR4,2022-10-18,34.11,34.11,34.11,34.11,5100,0,2,0,2,0,0
45,EKTR4,2022-10-20,34.11,34.11,34.11,34.11,100,1,0,0,1,0,0
46,EKTR4,2022-10-21,33.3,36.99,33.3,36.99,300,1,0,2,3,0,0
47,EKTR4,2022-10-26,33.2,33.5,33.2,33.5,1800,7,0,4,11,0,0
48,EKTR4,2022-10-27,33.25,33.25,33.25,33.25,1200,1,0,0,1,0,0
49,EKTR4,2022-10-28,36.0,36.43,33.51,35.0,1900,3,0,4,7,0,0
50,EKTR4,2022-10-31,33.61,38.0,33.5,34.7,3700,5,0,7,12,0,0
51,EKTR4,2022-11-01,38.69,39.99,36.05,38.0,8400,24,0,21,45,0,0
52,EKTR4,2022-11-03,33.0,33.5,33.0,33.5,3300,8,0,4,12,0,0
53,EKTR4,2022-11-04,33.1,35.5,33.1,34.5,1200,2,0,2,4,0,0
54,EKTR4,2022-11-07,33.63,34.0,33.63,34.0,2000,1,0,1,2,0,0
55,EKTR4,2022-11-08,35.0,35.0,35.0,35.0,100,0,0,1,1,0,0
56,EKTR4,2022-11-09,35.0,35.0,34.0,34.0,1100,1,0,6,7,0,0
57,EKTR4,2022-11-10,34.0,34.0,34.0,34.0,100,1,0,0,1,0,0
58,EKTR4,2022-11-14,33.5,33.5,33.5,33.5,100,0,0,1,1,0,0
59,EKTR4,2022-11-18,35.0,35.0,34.71,34.99,400,2,0,2,4,0,0
60,EKTR4,2022-11-21,35.57,35.57,35.0,35.0,200,1,0,1,2,0,0
61,EKTR4,2022-11-23,35.0,35.0,35.0,35.0,1000,0,0,1,1,0,0
62,EKTR4,2022-11-24,35.0,35.51,35.0,35.51,200,0,0,2,2,0,0
63,EKTR4,2022-11-28,35.0,35.0,35.0,35.0,100,1,0,0,1,0,0
64,EKTR4,2022-11-29,36.75,36.75,36.75,36.75,100,1,0,0,1,0,0
65,EKTR4,2022-11-30,35.03,35.03,35.03,35.03,100,0,0,1,1,0,0
66,EKTR4,2022-12-01,35.0,35.01,35.0,35.0,500,0,0,3,3,0,0
67,EKTR4,2022-12-02,36.0,36.0,36.0,36.0,100,0,0,1,1,0,0
68,EKTR4,2022-12-05,35.7,35.7,34.07,34.07,600,0,0,5,5,0,0
69,EKTR4,2022-12-08,34.0,34.0,34.0,34.0,100,0,0,1,1,0,0
70,EKTR4,2022-12-12,37.36,37.36,37.36,37.36,100,0,0,1,1,0,0
71,EKTR4,2022-12-13,36.91,37.42,36.91,37.42,400,3,1,0,4,0,0
72,EKTR4,2022-12-15,37.0,37.0,36.97,36.99,700,3,2,0,5,0,0
73,EKTR4,2022-12-20,36.0,36.0,36.0,36.0,100,1,0,0,1,0,0
74,EKTR4,2022-12-21,36.0,36.0,35.1,35.1,400,3,0,0,3,0,0
75,EKTR4,2022-12-26,36.0,36.0,36.0,36.0,200,2,0,0,2,0,0
76,EKTR4,2022-12-27,36.43,36.43,36.43,36.43,100,0,0,1,1,0,0
77,EKTR4,2022-12-28,35.1,37.0,35.1,37.0,600,3,0,1,4,0,0
78,EKTR4,2022-12-29,37.0,37.0,35.01,35.01,700,3,0,1,4,0,0
79,EKTR4,2023-01-02,36.0,36.0,35.01,35.02,300,0,0,3,3,0,0
80,EKTR4,2023-01-03,37.0,37.0,37.0,37.0,100,1,0,0,1,0,0
81,EKTR4,2023-01-04,36.99,37.0,34.01,35.01,1300,3,0,4,7,0,0
82,EKTR4,2023-01-05,35.99,35.99,35.99,35.99,200,0,0,2,2,0,0
83,EKTR4,2023-01-06,34.07,34.08,34.07,34.07,200,0,0,2,2,0,0
84,EKTR4,2023-01-09,35.0,35.9,35.0,35.9,300,2,0,1,3,0,0
85,EKTR4,2023-01-10,33.1,36.74,33.1,36.74,300,1,0,2,3,0,0
86,EKTR4,2023-01-12,34.1,34.41,34.1,34.41,600,3,3,0,6,0,0
87,EKTR4,2023-01-16,35.29,36.54,35.29,36.54,200,1,1,0,2,0,0
88,EKTR4,2023-01-17,36.53,36.53,36.53,36.53,100,1,0,0,1,0,0
89,EKTR4,2023-01-18,37.0,37.0,37.0,37.0,100,1,0,0,1,0,0
90,EKTR4,2023-01-19,35.0,35.0,35.0,35.0,200,0,0,1,1,0,0
91,EKTR4,2023-01-24,35.12,35.12,35.05,35.05,700,0,0,6,6,0,0
92,EKTR4,2023-01-30,35.02,36.74,35.02,36.74,200,0,2,0,2,0,0
93,EKTR4,2023-01-31,35.03,35.03,35.03,35.03,100,0,0,1,1,0,0
94,EKTR4,2023-02-01,35.06,35.06,35.06,35.06,100,0,0,1,1,0,0
95,EKTR4,2023-02-02,35.06,36.5,35.06,36.5,400,1,1,2,3,1,0
96,EKTR4,2023-02-06,36.74,37.0,36.74,37.0,1300,3,0,3,6,0,0
97,EKTR4,2023-02-07,36.95,36.95,36.95,36.95,200,2,0,0,2,0,0
98,EKTR4,2023-02-10,36.01,37.0,36.01,37.0,200,1,0,1,2,0,0
99,EKTR4,2023-02-13,36.05,36.05,36.05,36.05,100,0,0,1,1,0,0
100,EKTR4,2023-02-15,37.0,37.0,37.0,37.0,100,0,0,1,1,0,0
101,EKTR4,2023-02-16,37.0,37.0,37.0,37.0,100,1,0,0,1,0,0
102,EKTR4,2023-02-17,37.0,37.0,37.0,37.0,4000,1,0,2,3,0,0
103,EKTR4,2023-02-20,37.0,37.0,37.0,37.0,4000,1,0,2,3,0,0
104,EKTR4,2023-02-21,37.0,37.0,37.0,37.0,4000,1,0,2,3,0,0
105,EKTR4,2023-02-22,36.0,37.0,36.0,37.0,200,1,0,1,2,0,0
