,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,ELET3,2022-06-06,41.8,42.65,41.1,41.73,9545000,18543,803,16882,35732,496,0
1,ELET3,2022-06-07,41.98,42.35,41.58,41.77,6189000,11587,225,9771,21526,57,0
2,ELET3,2022-06-08,42.05,43.03,41.43,42.75,12365700,21517,380,20183,42074,6,0
3,ELET3,2022-06-09,42.32,44.14,41.94,43.15,18260200,26888,378,25232,52490,8,0
4,ELET3,2022-06-10,40.89,41.7,39.75,41.17,79306200,60715,802,59282,120791,8,0
5,ELET3,2022-06-13,39.85,40.25,39.41,39.9,71159100,72706,1869,40589,115154,10,0
6,ELET3,2022-06-14,40.42,41.94,40.32,41.5,41232200,38789,347,41348,80476,8,0
7,ELET3,2022-06-15,41.84,42.76,41.7,42.7,116486600,44033,846,36270,81110,39,0
8,ELET3,2022-06-17,42.0,43.42,41.56,42.73,53477800,33211,536,28291,61974,64,0
9,ELET3,2022-06-20,42.7,45.06,42.62,43.5,26038000,37538,390,44242,82154,16,0
10,ELET3,2022-06-21,43.69,44.65,43.65,44.05,25250100,34268,696,30768,65345,387,0
11,ELET3,2022-06-22,43.36,44.84,43.3,44.46,18334100,26863,373,30613,57839,10,0
12,ELET3,2022-06-23,44.56,44.65,43.53,43.55,30415700,29056,366,23806,53223,5,0
13,ELET3,2022-06-24,44.4,44.48,43.85,44.15,15344000,20109,258,19501,39855,13,0
14,ELET3,2022-06-27,44.15,45.4,44.11,45.23,15156800,22133,269,21116,43512,6,0
15,ELET3,2022-06-28,45.41,46.03,45.26,45.37,19683200,20929,294,29357,50571,9,0
16,ELET3,2022-06-29,45.57,46.12,45.44,45.58,12241800,20835,287,24474,45591,5,0
17,ELET3,2022-06-30,45.06,46.55,45.0,46.01,21345700,24017,488,34450,58849,106,0
18,ELET3,2022-07-01,46.07,46.57,45.6,45.66,20404200,22414,379,25460,48245,8,0
19,ELET3,2022-07-04,45.41,45.95,45.1,45.18,6994300,13191,326,11384,24898,3,0
20,ELET3,2022-07-05,44.74,45.15,43.72,44.71,15913300,27188,373,24016,51567,10,0
21,ELET3,2022-07-06,44.37,44.77,43.44,43.98,10202500,16337,394,18632,35359,4,0
22,ELET3,2022-07-07,44.55,45.3,44.31,44.76,9557600,16463,315,19339,36113,4,0
23,ELET3,2022-07-08,44.79,45.27,43.72,43.78,6494900,14269,369,14999,29500,137,0
24,ELET3,2022-07-11,43.76,43.91,41.78,42.37,18533900,27372,309,20944,48612,13,0
25,ELET3,2022-07-12,42.17,43.23,41.32,43.0,14348800,25767,253,20569,46578,11,0
26,ELET3,2022-07-13,42.61,43.85,42.46,43.08,13745200,17156,275,19547,36967,11,0
27,ELET3,2022-07-14,42.64,43.63,42.42,43.47,11617100,13971,320,16493,30776,8,0
28,ELET3,2022-07-15,43.63,44.2,42.48,44.01,10961000,19953,361,16874,37177,11,0
29,ELET3,2022-07-18,44.43,45.07,43.44,43.76,7881500,14531,500,15089,30117,3,0
30,ELET3,2022-07-19,44.0,44.43,43.77,44.31,6569000,14727,235,12524,27486,0,0
31,ELET3,2022-07-20,44.8,45.3,44.06,44.16,13536400,19567,419,21641,41619,8,0
32,ELET3,2022-07-21,44.14,44.78,43.72,44.58,6380900,16087,303,13438,29825,3,0
33,ELET3,2022-07-22,44.6,44.83,44.03,44.66,6223900,12348,238,10200,22784,2,0
34,ELET3,2022-07-25,44.79,45.13,44.46,44.9,4916600,10962,221,8349,19525,7,0
35,ELET3,2022-07-26,44.95,45.04,44.39,44.4,6151600,9436,247,10921,20602,2,0
36,ELET3,2022-07-27,44.71,45.54,44.71,45.4,6447300,11727,260,12909,24889,7,0
37,ELET3,2022-07-28,45.3,45.68,45.0,45.54,6555800,15792,677,12929,28955,443,0
38,ELET3,2022-07-29,45.5,46.5,45.37,45.8,9710100,13287,269,13161,26706,11,0
39,ELET3,2022-08-01,45.8,46.89,45.66,46.55,12239200,22100,292,19911,42297,6,0
40,ELET3,2022-08-02,46.68,47.18,46.36,47.02,7477600,12560,259,12306,25120,5,0
41,ELET3,2022-08-03,46.87,47.39,46.23,47.14,8281500,17493,253,17236,34981,1,0
42,ELET3,2022-08-08,48.71,49.14,48.04,48.35,13648400,23059,334,25605,48993,5,0
43,ELET3,2022-08-09,48.49,48.68,48.04,48.3,8947200,14538,1197,17619,32418,936,0
44,ELET3,2022-08-10,48.8,48.9,47.37,47.72,10893300,21952,389,24195,46531,5,0
45,ELET3,2022-08-12,47.25,47.5,46.12,46.95,15113300,27535,388,24581,52497,7,0
46,ELET3,2022-08-15,46.73,48.97,46.11,48.7,14567700,25610,303,24917,50818,12,0
47,ELET3,2022-08-16,48.73,48.94,47.82,48.47,11119100,20739,344,22954,44031,6,0
48,ELET3,2022-08-17,48.37,49.74,48.14,49.7,18579900,28442,298,25358,54077,21,0
