,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,ELMD3,2022-06-06,14.36,14.36,13.83,13.83,67100,134,22,282,438,0,0
1,ELMD3,2022-06-07,13.84,13.94,13.5,13.78,77800,220,18,294,532,0,0
2,ELMD3,2022-06-08,13.76,13.84,13.1,13.46,105200,284,28,373,685,0,0
3,ELMD3,2022-06-09,13.44,13.65,13.21,13.37,79200,244,18,304,566,0,0
4,ELMD3,2022-06-10,13.37,13.39,12.6,12.9,391100,843,27,951,1820,1,0
5,ELMD3,2022-06-13,12.66,12.67,11.9,11.98,255800,767,26,773,1566,0,0
6,ELMD3,2022-06-14,12.03,12.2,11.29,11.32,158900,424,26,543,993,0,0
7,ELMD3,2022-06-15,11.47,11.88,11.08,11.13,500200,1021,32,949,2002,0,0
8,ELMD3,2022-06-17,11.02,11.08,10.5,10.7,162800,285,28,283,596,0,0
9,ELMD3,2022-06-20,10.64,10.76,10.37,10.57,172700,410,30,296,736,0,0
10,ELMD3,2022-06-21,10.7,10.7,9.96,10.07,272000,437,35,473,945,0,0
11,ELMD3,2022-06-22,9.97,10.26,9.8,9.89,138800,460,24,453,937,0,0
12,ELMD3,2022-06-23,10.04,10.04,9.47,9.6,201500,645,30,486,1161,0,0
13,ELMD3,2022-06-24,9.75,9.8,9.3,9.4,221700,549,29,483,1061,0,0
14,ELMD3,2022-06-27,9.4,9.97,9.27,9.97,286400,752,21,1030,1803,0,0
15,ELMD3,2022-06-28,10.05,10.17,9.67,10.01,137200,604,1,398,1003,0,0
16,ELMD3,2022-06-29,10.06,10.4,9.65,10.19,130700,461,37,355,853,0,0
17,ELMD3,2022-06-30,9.98,10.57,9.98,10.54,309800,699,25,472,1194,2,0
18,ELMD3,2022-07-01,10.6,10.71,9.7,9.7,254900,677,41,605,1323,0,0
19,ELMD3,2022-07-04,9.71,9.87,9.6,9.6,223300,405,31,433,869,0,0
20,ELMD3,2022-07-05,9.57,9.72,9.5,9.72,120900,347,18,304,669,0,0
21,ELMD3,2022-07-06,9.73,10.04,9.48,9.85,124400,426,10,291,727,0,0
22,ELMD3,2022-07-07,9.63,10.12,9.56,9.77,238700,615,1,494,1109,1,0
23,ELMD3,2022-07-08,9.7,9.77,9.33,9.54,273200,739,23,808,1570,0,0
24,ELMD3,2022-07-11,9.51,9.71,9.36,9.7,90700,345,1,276,622,0,0
25,ELMD3,2022-07-12,9.65,9.87,9.4,9.8,135600,384,23,372,779,0,0
26,ELMD3,2022-07-13,9.74,9.92,9.54,9.91,121900,417,18,379,814,0,0
27,ELMD3,2022-07-14,9.6,9.75,9.2,9.4,176400,497,1,493,991,0,0
28,ELMD3,2022-07-15,9.59,9.82,9.41,9.63,137600,363,10,424,796,1,0
29,ELMD3,2022-07-18,9.67,10.12,9.5,9.59,133800,314,0,378,692,0,0
30,ELMD3,2022-07-19,9.72,10.02,9.63,9.98,358200,310,19,276,605,0,0
31,ELMD3,2022-07-20,9.94,10.56,9.83,10.5,253700,330,17,316,663,0,0
32,ELMD3,2022-07-21,10.35,10.76,10.24,10.57,93500,251,26,184,461,0,0
33,ELMD3,2022-07-22,10.58,10.74,10.26,10.5,105000,365,27,320,709,3,0
34,ELMD3,2022-07-25,10.46,10.46,9.94,10.08,167800,392,27,491,910,0,0
35,ELMD3,2022-07-26,9.94,10.04,9.63,9.94,159900,349,83,412,844,0,0
36,ELMD3,2022-07-27,10.0,10.6,10.0,10.48,157000,425,17,354,796,0,0
37,ELMD3,2022-07-28,10.47,11.0,10.38,10.92,165600,528,10,470,1008,0,0
38,ELMD3,2022-07-29,10.88,11.3,10.81,10.81,95500,296,35,304,635,0,0
39,ELMD3,2022-08-01,10.98,11.3,10.86,10.91,83700,217,22,248,487,0,0
40,ELMD3,2022-08-02,11.05,11.06,10.68,10.78,117700,298,11,260,569,0,0
41,ELMD3,2022-08-03,10.82,11.32,10.82,11.05,1612700,180,22,166,368,0,0
42,ELMD3,2022-08-08,12.05,12.44,11.81,12.07,174200,261,25,349,634,1,0
43,ELMD3,2022-08-09,11.69,11.86,11.33,11.82,134700,214,18,275,507,0,0
44,ELMD3,2022-08-10,11.98,12.46,11.96,12.46,83200,295,0,272,567,0,0
45,ELMD3,2022-08-12,12.35,12.81,12.35,12.39,141100,169,19,192,380,0,0
46,ELMD3,2022-08-15,12.1,12.55,12.1,12.3,96800,297,29,237,563,0,0
47,ELMD3,2022-08-16,12.45,12.45,12.05,12.12,84100,208,28,228,464,0,0
48,ELMD3,2022-08-17,12.11,12.2,11.88,11.9,114700,218,13,336,567,0,0
49,ELMD3,2022-08-18,11.95,11.96,11.63,11.72,136500,278,21,353,652,0,0
50,ELMD3,2022-08-19,11.75,11.75,10.95,11.1,102500,300,31,348,679,0,0
51,ELMD3,2022-08-22,11.21,11.21,10.46,10.81,186000,416,40,411,866,1,0
52,ELMD3,2022-08-23,10.78,11.17,10.62,11.13,75200,225,17,223,465,0,0
