,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,EMAE4,2022-06-06,37.89,38.95,37.0,37.88,2900,8,0,15,23,0,0
1,EMAE4,2022-06-07,38.21,38.21,38.15,38.15,200,1,1,0,2,0,0
2,EMAE4,2022-06-08,36.96,37.99,36.79,37.4,1900,0,0,10,10,0,0
3,EMAE4,2022-06-09,37.8,37.8,37.5,37.5,200,2,0,0,2,0,0
4,EMAE4,2022-06-10,36.02,36.63,35.0,35.0,5300,11,0,28,39,0,0
5,EMAE4,2022-06-13,35.0,35.0,32.5,33.0,8200,6,0,33,39,0,0
6,EMAE4,2022-06-14,32.9,32.9,30.65,30.9,4000,14,0,24,38,0,0
7,EMAE4,2022-06-15,31.5,31.88,31.0,31.2,1600,6,0,9,15,0,0
8,EMAE4,2022-06-17,30.54,31.83,29.8,29.96,16000,21,0,32,53,0,0
9,EMAE4,2022-06-20,30.5,31.5,29.85,29.95,6500,20,0,16,36,0,0
10,EMAE4,2022-06-21,31.49,33.5,30.51,33.0,4300,15,1,10,26,0,0
11,EMAE4,2022-06-22,32.58,35.5,32.57,35.0,6700,27,3,6,36,0,0
12,EMAE4,2022-06-23,34.89,35.0,34.5,35.0,5300,13,0,3,16,0,0
13,EMAE4,2022-06-24,34.2,34.99,34.2,34.99,1700,4,0,6,10,0,0
14,EMAE4,2022-06-27,34.99,35.92,34.27,35.91,10400,25,1,3,29,0,0
15,EMAE4,2022-06-28,34.23,35.9,34.23,34.23,5600,18,3,13,34,0,0
16,EMAE4,2022-06-29,34.31,34.6,34.1,34.1,2700,2,3,9,14,0,0
17,EMAE4,2022-06-30,34.12,34.3,33.72,33.72,12000,5,0,25,30,0,0
18,EMAE4,2022-07-01,33.1,34.5,33.1,34.5,3000,12,0,6,18,0,0
19,EMAE4,2022-07-04,33.9,34.5,33.85,34.5,3800,4,0,8,12,0,0
20,EMAE4,2022-07-05,34.99,34.99,32.02,33.5,14300,37,0,11,48,0,0
21,EMAE4,2022-07-06,34.0,34.5,34.0,34.5,800,5,0,2,7,0,0
22,EMAE4,2022-07-07,34.5,38.0,34.5,38.0,7500,32,3,0,35,0,0
23,EMAE4,2022-07-08,36.93,37.85,35.0,37.5,3800,17,0,14,31,0,0
24,EMAE4,2022-07-11,37.5,37.5,36.07,37.5,3400,6,0,3,9,0,0
25,EMAE4,2022-07-12,36.99,36.99,36.7,36.7,300,1,0,2,3,0,0
26,EMAE4,2022-07-13,36.77,36.79,36.1,36.1,300,1,0,2,3,0,0
27,EMAE4,2022-07-14,34.4,36.09,34.4,36.09,800,3,0,2,5,0,0
28,EMAE4,2022-07-15,35.7,36.0,34.14,36.0,6200,9,1,9,19,0,0
29,EMAE4,2022-07-18,35.32,36.8,34.32,34.54,3000,12,4,9,25,0,0
30,EMAE4,2022-07-19,35.0,35.0,34.5,34.5,2000,3,0,4,7,0,0
31,EMAE4,2022-07-20,35.09,35.1,34.22,34.26,2400,10,2,5,17,0,0
32,EMAE4,2022-07-21,34.5,35.97,34.5,35.15,600,3,0,3,6,0,0
33,EMAE4,2022-07-22,35.15,35.15,34.25,34.25,1200,3,0,5,8,0,0
34,EMAE4,2022-07-25,34.7,35.02,34.0,34.99,13200,17,1,25,43,0,0
35,EMAE4,2022-07-26,35.16,35.17,34.12,34.25,1400,5,1,4,10,0,0
36,EMAE4,2022-07-27,34.5,34.5,34.0,34.0,2900,6,0,10,16,0,0
37,EMAE4,2022-07-28,34.5,34.5,34.0,34.4,5600,3,3,20,26,0,0
38,EMAE4,2022-07-29,34.08,34.19,34.0,34.0,1200,3,4,4,11,0,0
39,EMAE4,2022-08-01,34.06,34.06,34.0,34.0,2700,0,2,8,10,0,0
40,EMAE4,2022-08-02,34.5,34.5,34.0,34.0,3400,2,2,13,17,0,0
41,EMAE4,2022-08-03,34.01,34.67,34.0,34.35,2300,13,0,6,19,0,0
42,EMAE4,2022-08-08,39.92,39.93,37.6,38.0,7300,17,0,10,27,0,0
43,EMAE4,2022-08-09,38.5,38.5,37.0,37.99,6600,15,0,18,33,0,0
44,EMAE4,2022-08-10,37.67,38.0,37.3,37.3,9000,24,0,15,39,0,0
45,EMAE4,2022-08-12,37.75,37.75,35.0,35.8,9100,12,0,24,36,0,0
46,EMAE4,2022-08-15,35.0,36.74,34.99,36.74,7100,22,0,10,32,0,0
47,EMAE4,2022-08-16,37.2,37.2,35.0,36.99,6800,22,0,31,53,0,0
48,EMAE4,2022-08-17,37.96,37.96,36.04,36.04,1500,3,0,12,15,0,0
49,EMAE4,2022-08-18,36.75,36.75,36.75,36.75,200,1,1,0,2,0,0
50,EMAE4,2022-08-19,36.73,36.73,35.7,35.7,400,1,0,3,4,0,0
51,EMAE4,2022-08-22,35.2,36.5,34.13,36.5,4900,14,0,20,34,0,0
52,EMAE4,2022-08-23,35.83,37.0,35.82,36.75,1800,5,0,5,10,0,0
53,EMAE4,2022-08-24,37.68,37.99,35.0,37.99,4000,15,2,10,27,0,0
54,EMAE4,2022-08-25,38.87,38.87,37.0,38.25,1200,6,0,4,10,0,0
55,EMAE4,2022-08-26,38.74,38.74,37.61,37.61,800,5,0,3,8,0,0
56,EMAE4,2022-08-29,37.8,38.0,36.4,36.88,4200,16,0,12,28,0,0
57,EMAE4,2022-08-30,36.89,37.5,36.0,36.0,3000,9,0,15,24,0,0
58,EMAE4,2022-08-31,36.0,36.69,35.38,35.38,3900,5,0,7,12,0,0
59,EMAE4,2022-09-01,35.0,36.01,34.9,36.01,2600,11,0,4,15,0,0
60,EMAE4,2022-09-02,36.0,37.49,36.0,37.0,2600,9,1,7,17,0,0
61,EMAE4,2022-09-05,39.35,42.5,37.0,37.79,14600,21,0,47,68,0,0
62,EMAE4,2022-09-06,35.41,36.96,35.33,36.96,1500,8,0,5,13,0,0
63,EMAE4,2022-09-08,37.7,37.7,37.7,37.7,100,1,0,0,1,0,0
64,EMAE4,2022-09-09,37.7,37.99,35.5,37.0,8700,23,0,20,43,0,0
65,EMAE4,2022-09-12,36.65,37.0,36.0,36.0,3500,8,0,10,18,0,0
66,EMAE4,2022-09-13,35.56,36.95,35.56,35.71,3000,8,1,3,12,0,0
67,EMAE4,2022-09-14,36.98,36.98,35.52,36.2,1400,7,0,6,13,0,0
68,EMAE4,2022-09-15,35.36,36.5,35.36,36.5,1400,5,0,7,12,0,0
69,EMAE4,2022-09-16,35.44,35.99,34.79,35.9,3200,9,0,18,27,0,0
70,EMAE4,2022-09-19,35.17,37.0,35.17,37.0,3400,12,1,11,24,0,0
71,EMAE4,2022-09-20,36.77,36.77,35.65,36.65,300,2,1,0,3,0,0
72,EMAE4,2022-09-21,36.13,36.7,35.43,36.7,1400,5,1,3,9,0,0
73,EMAE4,2022-09-22,36.99,37.0,35.0,35.41,8100,24,0,23,47,0,0
74,EMAE4,2022-09-23,36.22,36.22,35.31,35.49,1300,3,0,10,13,0,0
75,EMAE4,2022-09-26,35.2,35.2,35.0,35.2,4300,2,0,9,11,0,0
76,EMAE4,2022-09-27,35.9,35.9,34.71,35.0,1100,5,1,4,10,0,0
77,EMAE4,2022-09-28,35.0,35.59,34.3,35.0,14800,24,0,8,32,0,0
78,EMAE4,2022-09-29,35.15,35.5,34.34,35.5,5700,43,1,11,55,0,0
79,EMAE4,2022-09-30,35.5,40.99,35.5,40.2,22400,97,0,28,125,0,0
80,EMAE4,2022-10-03,42.0,46.99,42.0,45.14,22100,74,0,36,110,0,0
81,EMAE4,2022-10-04,45.83,45.83,42.2,44.1,7900,23,0,23,46,0,0
82,EMAE4,2022-10-05,44.14,45.25,43.62,45.25,8500,32,1,7,40,0,0
