,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,EMBR3,2022-06-06,13.06,13.25,12.93,13.15,5263300,3491,118,3637,7246,0,0
1,EMBR3,2022-06-07,13.01,13.13,12.63,13.11,6107100,4618,132,5619,10369,0,0
2,EMBR3,2022-06-08,12.97,13.38,12.88,13.02,6022300,4136,141,3794,8070,1,0
3,EMBR3,2022-06-09,12.96,12.99,12.68,12.73,6392800,6635,167,4457,11259,0,0
4,EMBR3,2022-06-10,12.63,12.68,12.02,12.07,9805100,9642,453,6500,16595,0,0
5,EMBR3,2022-06-13,11.8,11.99,11.27,11.32,9599000,8906,299,6210,15415,0,0
6,EMBR3,2022-06-14,11.43,11.54,11.16,11.31,5982600,5113,126,5723,10962,0,0
7,EMBR3,2022-06-15,11.51,11.93,11.37,11.68,9501200,7701,255,9033,16892,97,0
8,EMBR3,2022-06-17,11.3,11.6,11.03,11.46,13772000,7426,394,7296,15024,92,0
9,EMBR3,2022-06-20,11.58,11.84,11.32,11.33,3119600,2004,149,3228,5315,66,0
10,EMBR3,2022-06-21,11.48,11.9,11.48,11.67,9462700,5439,140,7492,13070,1,0
11,EMBR3,2022-06-22,11.45,11.91,11.38,11.82,5455000,4124,228,3460,7807,5,0
12,EMBR3,2022-06-23,11.96,12.24,11.75,12.16,9868500,5712,178,4415,10297,8,0
13,EMBR3,2022-06-24,12.28,12.61,12.04,12.45,8753200,5910,134,5458,11492,10,0
14,EMBR3,2022-06-27,12.57,12.73,12.12,12.25,4995800,3825,149,4113,8087,0,0
15,EMBR3,2022-06-28,12.3,12.54,12.03,12.08,6478600,4094,225,4275,8594,0,0
16,EMBR3,2022-06-29,12.08,12.1,11.7,11.76,4992600,4676,103,5382,10161,0,0
17,EMBR3,2022-06-30,11.56,11.56,11.17,11.43,7186100,5051,194,5803,11048,0,0
18,EMBR3,2022-07-01,11.39,11.95,11.24,11.84,7727500,4228,153,7189,11570,0,0
19,EMBR3,2022-07-04,11.77,11.9,11.6,11.62,2180200,1659,90,2830,4578,1,0
