,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,ENEV3,2022-06-06,14.73,14.81,14.51,14.52,3757700,5052,136,3685,8870,3,0
1,ENEV3,2022-06-07,14.46,14.54,14.14,14.23,5820800,6591,166,5080,11831,6,0
2,ENEV3,2022-06-08,14.03,14.47,13.96,14.33,6647400,9971,1375,5157,15254,1249,0
3,ENEV3,2022-06-09,14.3,14.59,14.07,14.35,7380900,11142,126,6500,17757,11,0
4,ENEV3,2022-06-10,14.05,14.72,13.89,14.24,15979800,16298,200,10997,27409,86,0
5,ENEV3,2022-06-13,14.25,14.27,13.56,13.94,10996100,12749,204,9524,22468,9,0
6,ENEV3,2022-06-14,13.93,13.95,13.36,13.55,8545800,10061,145,12936,23139,3,0
7,ENEV3,2022-06-15,13.86,14.44,13.8,14.1,17852800,14380,152,18816,33336,12,0
8,ENEV3,2022-06-17,13.94,14.79,13.76,14.41,25103700,20532,272,24229,44961,72,0
9,ENEV3,2022-06-20,14.54,14.97,14.27,14.79,5812600,12863,123,7214,20200,0,0
10,ENEV3,2022-06-21,14.88,15.05,14.55,14.74,4930300,8431,216,7749,16314,82,0
11,ENEV3,2022-06-22,14.74,15.19,14.67,14.73,6599900,7934,151,7614,15697,2,0
12,ENEV3,2022-06-23,14.84,14.92,14.18,14.25,6499000,8530,187,9058,17773,2,0
13,ENEV3,2022-06-24,14.46,14.64,13.95,14.6,15817200,12604,155,13855,26603,11,0
14,ENEV3,2022-06-27,14.67,15.63,14.45,15.1,22504500,29316,312,32142,61759,11,0
15,ENEV3,2022-06-28,15.33,15.56,15.1,15.23,16116100,15130,237,17834,33192,9,0
16,ENEV3,2022-06-29,15.38,15.59,14.47,14.83,28689100,15275,221,19714,35194,16,0
17,ENEV3,2022-06-30,14.5,14.93,14.43,14.65,16210400,10101,859,17113,27561,512,0
18,ENEV3,2022-07-01,14.7,15.3,14.41,15.2,11094000,18401,190,13498,32081,8,0
19,ENEV3,2022-07-04,15.08,15.11,14.6,14.73,7388000,7117,174,8758,16034,15,0
20,ENEV3,2022-07-05,14.57,14.9,14.49,14.81,9111400,9267,155,10683,20103,2,0
21,ENEV3,2022-07-06,14.63,15.15,14.55,15.05,5740300,7350,120,8624,16093,1,0
22,ENEV3,2022-07-07,15.36,15.41,15.13,15.28,15015200,7228,194,11175,18583,14,0
23,ENEV3,2022-07-08,15.29,15.59,15.15,15.49,9089600,6271,183,9445,15892,7,0
24,ENEV3,2022-07-11,15.38,15.69,15.18,15.18,6907500,6906,152,10774,17829,3,0
25,ENEV3,2022-07-12,15.26,15.29,14.94,15.1,4302400,5639,142,7907,13688,0,0
26,ENEV3,2022-07-13,15.12,15.18,14.79,14.8,4929200,6463,201,8998,15662,0,0
27,ENEV3,2022-07-14,14.65,15.04,14.65,14.85,6091800,5649,135,6378,12161,1,0
28,ENEV3,2022-07-15,14.87,15.19,14.58,14.91,7122600,5689,124,5708,11518,3,0
29,ENEV3,2022-07-18,15.05,15.26,14.78,14.85,4260200,5000,167,5624,10790,1,0
30,ENEV3,2022-07-19,14.97,15.17,14.41,14.6,17200700,9349,173,11401,20915,8,0
31,ENEV3,2022-07-20,14.45,14.91,14.44,14.69,5116600,4487,182,5451,10120,0,0
32,ENEV3,2022-07-21,14.66,14.79,14.43,14.56,3982000,4085,137,5848,10069,1,0
33,ENEV3,2022-07-22,14.59,14.59,14.09,14.46,8003400,7703,163,6688,14547,7,0
34,ENEV3,2022-07-25,14.35,14.58,14.27,14.44,3934800,5122,145,4807,10073,1,0
35,ENEV3,2022-07-26,14.42,14.49,14.25,14.45,3267300,4055,138,4920,9113,0,0
36,ENEV3,2022-07-27,14.57,15.09,14.39,15.09,6762800,4901,141,6121,11161,2,0
