,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,ENGI3,2022-06-06,14.4,14.7,14.34,14.46,2300,5,1,17,23,0,0
1,ENGI3,2022-06-07,14.41,14.41,14.25,14.4,3600,9,0,15,24,0,0
2,ENGI3,2022-06-08,14.4,14.4,13.83,14.07,3500,5,0,17,22,0,0
3,ENGI3,2022-06-09,14.07,14.08,13.69,13.71,2500,5,0,18,23,0,0
4,ENGI3,2022-06-10,13.56,14.59,13.3,13.34,3700,7,0,25,32,0,0
5,ENGI3,2022-06-13,13.37,13.67,13.25,13.65,5700,17,0,20,37,0,0
6,ENGI3,2022-06-14,13.58,14.93,13.3,13.56,27400,145,0,46,191,0,0
7,ENGI3,2022-06-15,13.89,14.4,13.25,13.44,23400,85,0,43,128,0,0
8,ENGI3,2022-06-17,13.61,14.38,13.33,13.93,6100,37,0,20,57,0,0
9,ENGI3,2022-06-20,14.42,14.42,13.82,13.96,2800,11,0,14,25,0,0
10,ENGI3,2022-06-21,14.12,14.4,14.12,14.15,1300,9,0,4,13,0,0
11,ENGI3,2022-06-22,14.13,14.13,13.7,13.7,3000,2,0,25,27,0,0
12,ENGI3,2022-06-23,13.87,13.9,13.61,13.72,2900,8,0,19,27,0,0
13,ENGI3,2022-06-24,13.72,13.73,12.82,13.09,16800,20,0,103,123,0,0
14,ENGI3,2022-06-27,12.92,13.24,12.91,13.24,3700,10,0,9,19,0,0
15,ENGI3,2022-06-28,13.25,14.04,13.24,13.39,14100,23,2,40,65,0,0
16,ENGI3,2022-06-29,13.32,13.56,13.19,13.21,2300,8,0,13,21,0,0
17,ENGI3,2022-06-30,13.23,13.45,12.9,13.2,14600,31,0,86,117,0,0
18,ENGI3,2022-07-01,13.2,13.55,12.97,13.14,4200,10,0,21,31,0,0
19,ENGI3,2022-07-04,12.91,13.31,12.73,12.73,6900,18,0,49,67,0,0
20,ENGI3,2022-07-05,12.79,12.79,12.29,12.59,10000,24,0,53,77,0,0
21,ENGI3,2022-07-06,12.55,12.55,11.9,12.12,16000,35,0,42,77,0,0
22,ENGI3,2022-07-07,12.39,12.53,12.0,12.5,11000,25,0,33,58,0,0
23,ENGI3,2022-07-08,12.67,12.71,12.51,12.6,7100,11,0,27,38,0,0
24,ENGI3,2022-07-11,12.61,12.82,12.6,12.6,2700,6,0,17,23,0,0
25,ENGI3,2022-07-12,12.62,13.23,12.6,13.19,5100,26,0,15,41,0,0
26,ENGI3,2022-07-13,13.19,13.19,12.6,12.7,14000,26,0,46,72,0,0
27,ENGI3,2022-07-14,12.48,13.11,12.42,12.9,5900,24,0,24,48,0,0
28,ENGI3,2022-07-15,12.99,12.99,12.46,12.9,4100,13,0,25,38,0,0
29,ENGI3,2022-07-18,12.9,12.96,12.55,12.55,4900,18,0,20,38,0,0
30,ENGI3,2022-07-19,12.7,12.88,12.55,12.75,9200,9,0,16,25,0,0
31,ENGI3,2022-07-20,12.87,12.88,12.63,12.71,3400,7,0,17,24,0,0
32,ENGI3,2022-07-21,12.71,12.92,12.55,12.92,7300,24,0,35,59,0,0
33,ENGI3,2022-07-22,12.7,12.97,12.5,12.94,7600,33,0,13,46,0,0
34,ENGI3,2022-07-25,12.93,13.89,12.93,13.6,7500,35,0,18,53,0,0
35,ENGI3,2022-07-26,13.25,13.65,13.25,13.53,1900,5,0,6,11,0,0
36,ENGI3,2022-07-27,13.75,13.75,13.07,13.69,6100,15,0,17,32,0,0
37,ENGI3,2022-07-28,13.81,13.99,13.81,13.99,3700,29,0,5,34,0,0
38,ENGI3,2022-07-29,13.99,15.03,13.99,14.79,8700,45,1,22,68,0,0
39,ENGI3,2022-08-01,14.16,14.72,14.16,14.72,4200,16,0,13,29,0,0
40,ENGI3,2022-08-02,14.72,14.72,13.95,13.95,8400,15,0,36,51,0,0
41,ENGI3,2022-08-03,14.0,14.21,13.98,14.01,6800,15,0,23,38,0,0
42,ENGI3,2022-08-08,14.69,15.78,14.67,15.25,17700,62,0,36,98,0,0
43,ENGI3,2022-08-09,15.24,15.24,14.85,14.95,3200,20,0,10,30,0,0
44,ENGI3,2022-08-10,14.95,15.4,14.65,14.65,16300,47,0,60,107,0,0
45,ENGI3,2022-08-12,14.73,14.75,14.6,14.69,4500,26,1,9,36,0,0
46,ENGI3,2022-08-15,14.78,14.99,14.64,14.97,6600,31,0,14,45,0,0
47,ENGI3,2022-08-16,14.97,15.15,14.83,15.1,10400,44,0,13,57,0,0
48,ENGI3,2022-08-17,15.14,15.64,14.86,14.92,7600,28,0,29,57,0,0
49,ENGI3,2022-08-18,15.1,15.41,14.75,15.21,6800,35,0,21,56,0,0
50,ENGI3,2022-08-19,15.45,15.64,14.4,14.45,23400,29,0,152,181,0,0
51,ENGI3,2022-08-22,14.61,14.61,13.84,13.89,20500,48,0,123,171,0,0
52,ENGI3,2022-08-23,14.14,14.16,13.47,13.64,35000,76,0,221,297,0,0
53,ENGI3,2022-08-24,13.44,13.61,13.4,13.61,10200,47,0,34,81,0,0
54,ENGI3,2022-08-25,13.58,13.9,13.01,13.9,39100,107,0,182,289,0,0
55,ENGI3,2022-08-26,13.85,13.85,13.46,13.51,21400,54,0,46,100,0,0
56,ENGI3,2022-08-29,13.67,13.96,13.67,13.95,11200,45,0,27,72,0,0
57,ENGI3,2022-08-30,14.08,14.08,13.65,13.78,4200,15,0,18,33,0,0
58,ENGI3,2022-08-31,13.78,14.0,13.41,13.56,5300,13,0,38,51,0,0
59,ENGI3,2022-09-01,13.74,13.98,13.5,13.5,9700,39,0,42,81,0,0
60,ENGI3,2022-09-02,13.66,13.98,13.46,13.6,5100,15,2,24,41,0,0
61,ENGI3,2022-09-05,13.6,13.99,13.45,13.64,6500,29,0,27,56,0,0
62,ENGI3,2022-09-06,13.56,13.86,13.51,13.6,2300,9,0,12,21,0,0
63,ENGI3,2022-09-08,13.6,13.65,13.41,13.56,7700,23,0,24,47,0,0
64,ENGI3,2022-09-09,13.46,13.7,13.46,13.66,4800,29,0,12,41,0,0
65,ENGI3,2022-09-12,13.69,13.7,13.54,13.69,5000,17,0,17,34,0,0
66,ENGI3,2022-09-13,13.65,13.69,13.51,13.52,3100,6,0,19,25,0,0
67,ENGI3,2022-09-14,13.51,13.89,13.51,13.8,4300,27,0,10,37,0,0
68,ENGI3,2022-09-15,13.61,13.93,13.55,13.55,3700,16,0,16,32,0,0
69,ENGI3,2022-09-16,13.56,13.65,13.4,13.43,4400,10,0,30,40,0,0
70,ENGI3,2022-09-19,13.42,13.63,13.25,13.52,6500,16,0,40,56,0,0
71,ENGI3,2022-09-20,13.68,13.71,13.4,13.5,7300,19,0,47,66,0,0
72,ENGI3,2022-09-21,13.5,13.63,13.45,13.53,5100,32,0,13,45,0,0
73,ENGI3,2022-09-22,13.55,13.94,13.45,13.91,5400,27,0,24,51,0,0
74,ENGI3,2022-09-23,13.59,13.9,13.15,13.15,11400,32,0,56,88,0,0
75,ENGI3,2022-09-26,13.35,13.43,13.1,13.17,5800,25,0,14,39,0,0
76,ENGI3,2022-09-27,13.37,13.43,13.17,13.18,5500,12,0,38,50,0,0
77,ENGI3,2022-09-28,13.03,13.16,12.91,12.93,7300,11,0,56,67,0,0
78,ENGI3,2022-09-29,12.84,13.14,12.84,12.89,8000,17,0,47,64,0,0
79,ENGI3,2022-09-30,12.88,12.95,12.63,12.7,7900,19,0,55,74,0,0
80,ENGI3,2022-10-03,13.07,13.7,13.05,13.7,10200,41,0,37,78,0,0
81,ENGI3,2022-10-04,13.41,13.89,13.4,13.4,5100,19,0,10,29,0,0
82,ENGI3,2022-10-05,13.98,13.98,13.25,13.45,6800,18,0,29,47,0,0
83,ENGI3,2022-10-06,13.27,13.58,13.27,13.54,2200,7,0,13,20,0,0
84,ENGI3,2022-10-07,13.77,13.77,13.51,13.54,1800,1,0,17,18,0,0
85,ENGI3,2022-10-10,13.79,13.79,13.57,13.6,3700,24,0,10,34,0,0
86,ENGI3,2022-10-11,13.55,13.56,13.43,13.49,2400,6,0,17,23,0,0
87,ENGI3,2022-10-13,13.32,13.5,13.05,13.1,5300,24,0,7,31,0,0
88,ENGI3,2022-10-14,13.29,13.47,13.11,13.34,7800,43,0,22,65,0,0
89,ENGI3,2022-10-17,13.48,14.0,13.33,13.95,6200,43,0,10,53,0,0
90,ENGI3,2022-10-18,13.94,14.57,13.86,14.15,11800,80,0,29,109,0,0
91,ENGI3,2022-10-19,14.24,14.65,14.23,14.56,30000,64,0,58,122,0,0
92,ENGI3,2022-10-20,14.55,14.56,14.22,14.27,5400,11,1,22,34,0,0
93,ENGI3,2022-10-21,14.42,14.42,14.01,14.36,9500,63,0,20,83,0,0
94,ENGI3,2022-10-24,14.36,14.68,14.35,14.35,4800,20,0,14,34,0,0
95,ENGI3,2022-10-25,14.28,14.47,14.21,14.3,3900,25,0,10,35,0,0
96,ENGI3,2022-10-26,14.22,14.22,13.98,13.98,2300,5,0,8,13,0,0
97,ENGI3,2022-10-27,14.08,14.5,14.08,14.5,5700,34,0,14,48,0,0
