,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,ENJU3,2022-06-06,1.94,1.96,1.77,1.78,2416400,1041,58,1784,2883,0,0
1,ENJU3,2022-06-07,1.79,1.79,1.68,1.7,2345400,1024,33,2338,3395,0,0
2,ENJU3,2022-06-08,1.69,1.72,1.64,1.68,1477900,675,36,1168,1878,1,0
3,ENJU3,2022-06-09,1.74,1.75,1.67,1.67,2057500,1301,27,1386,2714,0,0
4,ENJU3,2022-06-10,1.66,1.68,1.52,1.56,3230500,1099,22,1914,3035,0,0
5,ENJU3,2022-06-13,1.54,1.55,1.43,1.48,3138300,1525,43,1850,3417,1,0
6,ENJU3,2022-06-14,1.48,1.52,1.32,1.33,2800500,766,37,3122,3925,0,0
7,ENJU3,2022-06-15,1.36,1.42,1.32,1.36,3945500,2180,586,2841,5069,538,0
8,ENJU3,2022-06-17,1.33,1.41,1.3,1.36,2115500,1420,65,2660,4145,0,0
9,ENJU3,2022-06-20,1.38,1.41,1.25,1.28,2901300,1247,42,1986,3275,0,0
10,ENJU3,2022-06-21,1.29,1.32,1.21,1.22,6080100,1212,27,1211,2446,4,0
11,ENJU3,2022-06-22,1.22,1.29,1.18,1.19,3475400,1599,39,2509,4147,0,0
12,ENJU3,2022-06-23,1.21,1.25,1.17,1.19,4979500,2711,20,2147,4877,1,0
13,ENJU3,2022-06-24,1.22,1.23,1.14,1.14,4393500,1681,49,4110,5840,0,0
14,ENJU3,2022-06-27,1.17,1.19,1.12,1.13,1818700,645,29,1135,1809,0,0
15,ENJU3,2022-06-28,1.14,1.15,1.06,1.06,4181900,1016,39,1550,2605,0,0
16,ENJU3,2022-06-29,1.07,1.12,1.05,1.08,3179400,643,21,994,1658,0,0
17,ENJU3,2022-06-30,1.07,1.1,1.02,1.04,4222400,670,49,2382,3101,0,0
18,ENJU3,2022-07-01,1.03,1.05,1.0,1.0,1682300,712,54,1045,1811,0,0
19,ENJU3,2022-07-04,1.02,1.04,1.0,1.0,1261100,329,18,349,696,0,0
20,ENJU3,2022-07-05,1.0,1.05,0.97,1.03,3133700,663,43,1158,1864,0,0
21,ENJU3,2022-07-06,1.03,1.13,1.02,1.11,3774400,1424,44,1368,2836,0,0
22,ENJU3,2022-07-07,1.15,1.19,1.14,1.15,1952800,812,22,468,1302,0,0
23,ENJU3,2022-07-08,1.18,1.19,1.13,1.15,2919700,606,46,683,1335,0,0
24,ENJU3,2022-07-11,1.13,1.16,1.08,1.09,1837600,2396,0,1026,3422,0,0
25,ENJU3,2022-07-12,1.09,1.19,1.09,1.14,1961200,2246,37,793,3076,0,0
26,ENJU3,2022-07-13,1.13,1.27,1.12,1.21,3127400,2273,46,904,3223,0,0
27,ENJU3,2022-07-14,1.21,1.22,1.14,1.2,1937800,615,0,1147,1762,0,0
28,ENJU3,2022-07-15,1.2,1.2,1.12,1.16,1443400,566,28,1659,2253,0,0
29,ENJU3,2022-07-18,1.16,1.21,1.06,1.08,2311200,581,45,774,1400,0,0
30,ENJU3,2022-07-19,1.11,1.11,1.05,1.06,1947600,756,33,402,1191,0,0
31,ENJU3,2022-07-20,1.07,1.14,1.06,1.12,1638200,624,35,528,1187,0,0
32,ENJU3,2022-07-21,1.13,1.23,1.12,1.16,3767100,1004,44,722,1770,0,0
33,ENJU3,2022-07-22,1.17,1.21,1.15,1.18,1679000,388,18,457,863,0,0
34,ENJU3,2022-07-25,1.18,1.2,1.13,1.14,1805100,402,0,729,1131,0,0
35,ENJU3,2022-07-26,1.13,1.15,1.09,1.09,1008600,227,16,320,563,0,0
36,ENJU3,2022-07-27,1.1,1.15,1.1,1.13,941800,492,18,293,803,0,0
37,ENJU3,2022-07-28,1.15,1.19,1.12,1.18,1448500,543,26,311,880,0,0
38,ENJU3,2022-07-29,1.18,1.19,1.13,1.15,1118300,460,28,663,1151,0,0
39,ENJU3,2022-08-01,1.17,1.19,1.13,1.17,1326800,446,29,424,899,0,0
40,ENJU3,2022-08-02,1.17,1.2,1.16,1.19,1550000,809,4,490,1303,0,0
41,ENJU3,2022-08-03,1.19,1.24,1.19,1.22,1587700,376,24,493,893,0,0
42,ENJU3,2022-08-08,1.42,1.66,1.41,1.57,3550200,1378,33,1296,2707,0,0
43,ENJU3,2022-08-09,1.57,1.64,1.45,1.48,2650600,774,29,1438,2241,0,0
44,ENJU3,2022-08-10,1.46,1.58,1.46,1.5,2341600,1795,26,1148,2969,0,0
45,ENJU3,2022-08-12,1.43,1.52,1.43,1.47,3306300,1550,32,782,2364,0,0
46,ENJU3,2022-08-15,1.46,1.54,1.41,1.48,3077200,1466,23,860,2349,0,0
47,ENJU3,2022-08-16,1.5,1.5,1.39,1.43,2234400,832,34,1074,1940,0,0
48,ENJU3,2022-08-17,1.44,1.48,1.41,1.41,2197500,730,22,631,1383,0,0
49,ENJU3,2022-08-18,1.43,1.44,1.34,1.35,2255800,1109,91,1098,2297,1,0
50,ENJU3,2022-08-19,1.35,1.35,1.25,1.26,2574800,1073,41,1411,2525,0,0
51,ENJU3,2022-08-22,1.26,1.27,1.19,1.24,2046600,3896,31,1121,5048,0,0
52,ENJU3,2022-08-23,1.25,1.34,1.23,1.3,2512900,4102,20,836,4958,0,0
53,ENJU3,2022-08-24,1.29,1.4,1.29,1.37,2860200,4384,25,930,5339,0,0
54,ENJU3,2022-08-25,1.38,1.46,1.38,1.44,2272400,766,31,704,1501,0,0
55,ENJU3,2022-08-26,1.46,1.5,1.4,1.41,1849300,3313,17,2644,5974,0,0
56,ENJU3,2022-08-29,1.42,1.52,1.41,1.45,2420700,3442,27,834,4303,0,0
57,ENJU3,2022-08-30,1.45,1.49,1.39,1.42,1717500,3133,12,591,3736,0,0
