,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,ENMT3,2022-06-06,83.3,83.79,83.0,83.79,2600,6,0,10,16,0,0
1,ENMT3,2022-06-07,83.26,83.79,83.0,83.79,4000,5,0,14,19,0,0
2,ENMT3,2022-06-09,83.03,83.76,83.0,83.76,2000,5,0,8,13,0,0
3,ENMT3,2022-06-10,83.11,83.58,83.0,83.58,4900,10,0,12,22,0,0
4,ENMT3,2022-06-13,83.03,83.41,81.12,82.88,5000,10,0,14,24,0,0
5,ENMT3,2022-06-14,82.16,82.89,82.0,82.89,1700,6,0,7,13,0,0
6,ENMT3,2022-06-15,82.0,82.89,82.0,82.84,2400,6,0,7,13,0,0
7,ENMT3,2022-06-17,82.0,83.0,82.0,82.99,1300,5,0,5,10,0,0
8,ENMT3,2022-06-20,82.0,82.99,82.0,82.98,3500,6,0,11,17,0,0
9,ENMT3,2022-06-21,82.0,83.03,82.0,82.99,5000,13,0,11,24,0,0
10,ENMT3,2022-06-22,83.1,83.1,82.0,82.98,4700,9,0,8,17,0,0
11,ENMT3,2022-06-23,82.79,82.99,81.01,82.99,7300,13,0,16,29,0,0
12,ENMT3,2022-06-24,83.0,83.0,82.0,82.74,7400,12,0,17,29,0,0
13,ENMT3,2022-06-27,82.0,83.0,82.0,83.0,6700,10,0,13,23,0,0
14,ENMT3,2022-06-28,82.9,82.99,82.0,82.99,6900,11,0,14,25,0,0
15,ENMT3,2022-06-29,82.38,82.99,82.0,82.99,8300,14,0,14,28,0,0
16,ENMT3,2022-06-30,82.54,82.99,82.12,82.99,500,2,0,3,5,0,0
17,ENMT3,2022-07-01,82.67,83.0,82.67,83.0,300,2,0,1,3,0,0
18,ENMT3,2022-07-04,82.7,82.99,82.0,82.99,6000,9,0,14,23,0,0
19,ENMT3,2022-07-05,82.7,82.7,81.6,81.6,6000,12,0,12,24,0,0
20,ENMT3,2022-07-06,81.28,81.8,80.88,80.88,4400,9,0,13,22,0,0
21,ENMT3,2022-07-07,80.73,80.73,79.0,79.0,5700,13,0,15,28,0,0
22,ENMT3,2022-07-08,79.56,79.56,78.9,78.9,2700,9,0,11,20,0,0
23,ENMT3,2022-07-11,78.74,78.74,78.2,78.2,200,1,0,1,2,0,0
24,ENMT3,2022-07-12,78.49,78.49,78.0,78.0,1200,5,0,4,9,0,0
25,ENMT3,2022-07-13,77.2,77.9,77.1,77.9,600,3,0,3,6,0,0
26,ENMT3,2022-07-14,78.24,78.24,77.1,78.24,2000,6,0,9,15,0,0
27,ENMT3,2022-07-15,79.96,79.96,79.96,79.96,200,1,0,1,2,0,0
28,ENMT3,2022-07-18,79.66,80.0,79.66,80.0,1500,8,2,0,10,0,0
29,ENMT3,2022-07-19,79.12,79.99,79.12,79.99,200,1,0,1,2,0,0
30,ENMT3,2022-07-20,79.59,80.1,79.59,80.1,600,1,0,1,2,0,0
31,ENMT3,2022-07-21,80.02,81.0,80.02,81.0,200,1,0,1,2,0,0
32,ENMT3,2022-07-22,82.0,82.0,82.0,82.0,100,1,0,0,1,0,0
33,ENMT3,2022-07-25,82.0,84.0,81.12,84.0,800,2,0,2,4,0,0
34,ENMT3,2022-07-27,85.22,85.22,85.22,85.22,100,0,0,1,1,0,0
35,ENMT3,2022-07-28,85.0,85.0,84.0,84.89,500,3,0,2,5,0,0
36,ENMT3,2022-07-29,84.46,85.0,84.46,85.0,200,1,0,1,2,0,0
37,ENMT3,2022-08-01,84.5,84.5,84.5,84.5,100,0,0,1,1,0,0
