,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,EQMA3B,2022-06-06,39.07,39.07,39.07,39.07,800,0,1,0,0,1,0
1,EQMA3B,2022-06-07,38.1,38.1,38.1,38.1,100,0,0,1,1,0,0
2,EQMA3B,2022-06-09,38.1,38.1,38.1,38.1,1000,0,1,0,0,1,0
3,EQMA3B,2022-06-14,38.1,38.1,38.1,38.1,600,0,1,0,0,1,0
4,EQMA3B,2022-06-20,38.1,38.1,38.1,38.1,100,0,1,0,0,1,0
5,EQMA3B,2022-06-21,38.1,38.1,38.1,38.1,900,0,1,0,0,1,0
6,EQMA3B,2022-06-24,38.1,38.1,38.1,38.1,600,0,1,0,0,1,0
7,EQMA3B,2022-06-29,39.99,39.99,38.01,38.01,200,1,0,1,2,0,0
8,EQMA3B,2022-07-01,38.01,38.01,38.01,38.01,1000,0,1,0,0,1,0
9,EQMA3B,2022-07-04,38.99,38.99,38.99,38.99,600,0,1,1,1,1,0
10,EQMA3B,2022-07-06,38.99,38.99,37.01,37.01,1700,1,1,1,2,1,0
11,EQMA3B,2022-07-08,37.06,37.06,37.06,37.06,800,0,1,0,0,1,0
12,EQMA3B,2022-07-12,37.06,37.06,37.06,37.06,700,0,1,0,0,1,0
13,EQMA3B,2022-07-15,37.06,37.06,37.06,37.06,900,0,1,0,0,1,0
14,EQMA3B,2022-07-19,37.06,37.06,37.06,37.06,500,0,1,0,0,1,0
15,EQMA3B,2022-07-22,37.06,37.06,37.06,37.06,800,0,1,0,0,1,0
16,EQMA3B,2022-07-26,37.06,37.06,37.06,37.06,1000,0,1,0,0,1,0
17,EQMA3B,2022-07-29,37.06,37.06,36.39,36.39,1200,0,1,3,3,1,0
18,EQMA3B,2022-08-01,36.01,37.0,29.64,29.64,37700,32,16,50,98,0,0
19,EQMA3B,2022-08-02,30.5,31.49,30.5,31.29,400,3,0,1,4,0,0
20,EQMA3B,2022-08-03,31.28,31.28,31.28,31.28,100,0,0,1,1,0,0
21,EQMA3B,2022-08-08,31.1,31.1,30.01,30.45,2500,16,1,4,21,0,0
22,EQMA3B,2022-08-09,30.2,30.2,30.2,30.2,300,1,0,1,2,0,0
23,EQMA3B,2022-08-10,30.3,30.45,30.3,30.45,700,2,0,2,4,0,0
24,EQMA3B,2022-08-17,30.0,30.0,30.0,30.0,100,1,0,0,1,0,0
25,EQMA3B,2022-08-18,30.1,30.1,30.0,30.0,900,5,0,3,8,0,0
26,EQMA3B,2022-08-19,30.0,30.49,30.0,30.49,20100,3,0,22,25,0,0
27,EQMA3B,2022-08-22,30.01,30.01,30.0,30.0,1700,1,0,4,5,0,0
28,EQMA3B,2022-08-23,30.0,30.0,30.0,30.0,2000,0,0,2,2,0,0
29,EQMA3B,2022-08-31,30.39,30.39,30.39,30.39,100,0,0,1,1,0,0
30,EQMA3B,2022-09-01,29.51,30.49,28.95,30.49,17700,51,0,47,98,0,0
31,EQMA3B,2022-09-02,30.02,30.02,24.01,24.38,229000,55,0,168,223,0,0
32,EQMA3B,2022-09-05,24.61,27.07,24.59,26.0,4700,21,0,13,34,0,0
33,EQMA3B,2022-09-06,25.1,27.5,25.01,27.0,8800,52,0,19,71,0,0
34,EQMA3B,2022-09-08,27.0,27.0,27.0,27.0,2300,7,0,10,17,0,0
35,EQMA3B,2022-09-09,27.48,27.48,27.0,27.0,2600,7,2,15,24,0,0
36,EQMA3B,2022-09-12,27.0,27.5,26.6,27.0,3500,25,0,8,33,0,0
37,EQMA3B,2022-09-14,27.28,27.29,27.28,27.29,300,3,0,0,3,0,0
38,EQMA3B,2022-09-15,27.0,27.96,27.0,27.01,1300,7,0,6,13,0,0
39,EQMA3B,2022-09-16,27.15,27.99,27.15,27.51,700,3,1,2,6,0,0
40,EQMA3B,2022-09-19,28.0,28.3,28.0,28.3,200,2,0,0,2,0,0
41,EQMA3B,2022-09-21,27.51,27.51,27.51,27.51,100,0,0,1,1,0,0
42,EQMA3B,2022-09-23,27.5,27.5,25.01,26.5,1200,2,0,8,10,0,0
43,EQMA3B,2022-09-26,26.99,26.99,26.51,26.51,300,2,0,1,3,0,0
44,EQMA3B,2022-09-27,26.99,27.0,26.99,27.0,2300,7,0,16,23,0,0
45,EQMA3B,2022-09-30,26.7,26.98,26.7,26.98,600,2,0,1,3,0,0
46,EQMA3B,2022-10-03,27.48,30.0,27.45,30.0,500,5,0,0,5,0,0
47,EQMA3B,2022-10-04,29.99,32.0,29.99,32.0,200,2,0,0,2,0,0
48,EQMA3B,2022-10-06,30.94,30.94,30.94,30.94,100,1,0,0,1,0,0
49,EQMA3B,2022-10-11,28.5,28.5,27.51,27.51,500,1,0,4,5,0,0
50,EQMA3B,2022-10-18,27.01,27.01,27.01,27.01,100,0,0,1,1,0,0
51,EQMA3B,2022-10-19,27.98,27.98,27.98,27.98,200,2,0,0,2,0,0
52,EQMA3B,2022-10-21,27.01,27.01,27.0,27.0,500,0,0,4,4,0,0
53,EQMA3B,2022-10-25,26.99,27.0,26.51,26.51,4800,34,0,9,43,0,0
54,EQMA3B,2022-10-26,26.8,26.8,26.8,26.8,1000,0,0,3,3,0,0
55,EQMA3B,2022-10-28,27.48,27.48,27.48,27.48,100,1,0,0,1,0,0
56,EQMA3B,2022-11-01,27.49,27.49,27.01,27.01,400,1,0,3,4,0,0
57,EQMA3B,2022-11-04,27.47,27.48,27.47,27.48,200,2,0,0,2,0,0
58,EQMA3B,2022-11-08,27.01,27.01,27.0,27.0,1700,4,0,5,9,0,0
59,EQMA3B,2022-11-10,26.51,26.51,26.51,26.51,100,0,0,1,1,0,0
60,EQMA3B,2022-11-18,25.2,25.2,25.2,25.2,300,1,0,0,1,0,0
61,EQMA3B,2022-11-23,24.52,24.52,24.01,24.01,300,0,0,3,3,0,0
62,EQMA3B,2022-11-24,24.0,24.0,24.0,24.0,200,1,0,0,1,0,0
63,EQMA3B,2022-11-28,24.49,24.49,24.49,24.49,100,1,0,0,1,0,0
64,EQMA3B,2022-11-29,24.99,24.99,24.99,24.99,200,2,0,0,2,0,0
65,EQMA3B,2022-11-30,25.48,25.49,25.48,25.48,400,4,0,0,4,0,0
66,EQMA3B,2022-12-05,25.49,25.49,25.49,25.49,300,1,0,2,3,0,0
67,EQMA3B,2022-12-06,25.99,25.99,25.99,25.99,200,1,0,1,2,0,0
68,EQMA3B,2022-12-13,25.99,25.99,25.99,25.99,100,1,0,0,1,0,0
69,EQMA3B,2022-12-14,25.99,25.99,25.5,25.5,11000,13,0,13,26,0,0
70,EQMA3B,2022-12-15,25.49,25.49,25.49,25.49,100,1,0,0,1,0,0
71,EQMA3B,2022-12-16,25.01,25.01,25.01,25.01,100,0,1,0,1,0,0
72,EQMA3B,2022-12-26,25.01,26.99,24.3,24.4,2300,16,0,5,21,0,0
73,EQMA3B,2022-12-27,25.0,25.0,24.5,24.51,600,2,0,1,3,0,0
74,EQMA3B,2022-12-28,24.99,25.0,24.99,24.99,1200,2,0,0,2,0,0
75,EQMA3B,2023-01-02,26.5,26.5,25.5,25.5,2000,1,0,4,5,0,0
76,EQMA3B,2023-01-03,25.89,25.89,25.5,25.5,2600,1,0,1,2,0,0
