,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,EQPA3,2022-06-06,5.26,5.26,5.19,5.22,4700,13,0,8,21,0,0
1,EQPA3,2022-06-07,5.18,5.28,5.18,5.22,1000,2,0,5,7,0,0
2,EQPA3,2022-06-08,5.18,5.21,5.16,5.16,1400,2,0,5,7,0,0
3,EQPA3,2022-06-09,5.16,5.16,5.12,5.12,600,3,1,0,4,0,0
4,EQPA3,2022-06-10,5.05,5.11,4.82,4.9,56500,21,0,32,53,0,0
5,EQPA3,2022-06-13,4.9,4.94,4.81,4.85,38800,16,0,18,34,0,0
6,EQPA3,2022-06-14,4.85,4.85,4.6,4.6,2400,11,0,5,16,0,0
7,EQPA3,2022-06-15,4.7,4.7,4.61,4.63,12400,9,1,8,18,0,0
8,EQPA3,2022-06-17,4.41,5.0,4.41,4.76,2400,15,0,3,18,0,0
9,EQPA3,2022-06-20,4.8,4.97,4.8,4.96,4800,17,0,1,18,0,0
10,EQPA3,2022-06-21,4.96,4.96,4.95,4.95,400,1,0,1,2,0,0
11,EQPA3,2022-06-22,4.95,4.95,4.65,4.8,4500,6,1,13,20,0,0
12,EQPA3,2022-06-23,4.9,4.9,4.79,4.79,1600,2,0,5,7,0,0
13,EQPA3,2022-06-24,4.9,5.0,4.79,4.89,1100,3,0,1,4,0,0
14,EQPA3,2022-06-27,4.79,4.79,4.61,4.71,500,1,0,3,4,0,0
15,EQPA3,2022-06-28,4.86,4.86,4.86,4.86,200,1,0,0,1,0,0
16,EQPA3,2022-06-29,4.88,4.88,4.86,4.86,300,1,0,1,2,0,0
17,EQPA3,2022-06-30,4.86,4.86,4.86,4.86,200,1,0,1,2,0,0
18,EQPA3,2022-07-01,4.51,4.95,4.51,4.95,1600,2,0,5,7,0,0
19,EQPA3,2022-07-04,4.95,4.95,4.73,4.8,1200,1,0,5,6,0,0
20,EQPA3,2022-07-05,4.75,4.75,4.75,4.75,100,0,0,1,1,0,0
21,EQPA3,2022-07-06,4.75,4.82,4.63,4.63,3200,6,1,15,22,0,0
