,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,EQTL3,2022-06-06,24.27,24.49,24.03,24.21,7906600,5802,198,9109,15104,5,0
1,EQTL3,2022-06-07,24.21,24.6,23.95,24.4,10941200,12371,221,12072,24655,9,0
2,EQTL3,2022-06-08,24.35,24.69,24.11,24.52,9529800,12181,255,9758,22185,9,0
3,EQTL3,2022-06-09,24.45,24.45,24.08,24.15,8121800,12384,231,8282,20894,3,0
4,EQTL3,2022-06-10,24.26,24.52,23.51,24.18,19152900,18078,363,12796,31092,145,0
5,EQTL3,2022-06-13,23.92,24.06,23.32,23.48,11189100,15754,287,11077,27117,1,0
6,EQTL3,2022-06-14,23.49,23.86,23.2,23.33,6723400,8732,177,12961,21866,4,0
7,EQTL3,2022-06-15,23.53,24.57,23.53,24.31,13996200,17228,305,14637,32070,100,0
8,EQTL3,2022-06-17,24.23,24.63,23.83,23.96,17427900,12481,2097,14853,27627,1804,0
9,EQTL3,2022-06-20,24.22,24.33,23.57,24.11,6444800,6052,200,10479,16670,61,0
10,EQTL3,2022-06-21,24.16,24.29,23.73,23.94,7299200,9506,317,9757,19438,142,0
11,EQTL3,2022-06-22,23.69,23.92,23.38,23.53,6206700,8188,309,5992,14435,54,0
12,EQTL3,2022-06-23,23.52,23.57,22.91,22.97,7904600,7885,229,9011,17120,5,0
13,EQTL3,2022-06-24,23.18,23.25,22.52,22.85,10413400,11847,231,16422,28471,29,0
14,EQTL3,2022-06-27,22.9,23.02,22.51,22.98,10899300,13261,236,11055,24534,18,0
15,EQTL3,2022-06-28,22.91,23.11,22.47,22.69,8786400,11783,226,9571,21567,13,0
16,EQTL3,2022-06-29,22.53,22.85,22.35,22.37,10766100,11458,912,19181,30883,668,0
17,EQTL3,2022-06-30,22.32,23.34,22.01,22.7,15173500,17484,546,14889,32692,227,0
18,EQTL3,2022-07-01,22.71,23.2,22.48,23.19,7972300,14179,201,11557,25934,3,0
19,EQTL3,2022-07-04,22.88,23.03,22.55,22.59,4421900,6113,170,8631,14914,0,0
20,EQTL3,2022-07-05,22.55,22.76,22.28,22.31,6712200,7499,1325,10885,18648,1061,0
21,EQTL3,2022-07-06,22.21,22.54,21.87,22.37,7203400,12746,204,9178,22127,1,0
22,EQTL3,2022-07-07,22.55,23.33,22.5,23.31,11762000,14564,216,14978,29752,6,0
23,EQTL3,2022-07-08,23.24,23.55,22.91,23.03,5030200,8028,141,8560,16728,1,0
24,EQTL3,2022-07-11,22.83,23.01,22.48,22.56,3819800,4444,168,7232,11844,0,0
25,EQTL3,2022-07-12,22.56,22.74,22.35,22.73,6124300,8281,220,9396,17850,47,0
26,EQTL3,2022-07-13,22.51,22.82,22.27,22.31,3717700,5517,202,8478,14197,0,0
27,EQTL3,2022-07-14,22.32,22.67,22.19,22.5,5025900,6275,188,7000,13461,2,0
