,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,ESPA3,2022-06-06,2.93,2.94,2.71,2.72,5409300,2109,69,2421,4599,0,0
1,ESPA3,2022-06-07,2.7,2.84,2.64,2.79,4276100,2509,41,4958,7508,0,0
2,ESPA3,2022-06-08,2.79,2.9,2.69,2.7,3140300,2207,58,3446,5711,0,0
3,ESPA3,2022-06-09,2.67,2.73,2.62,2.7,3003100,1973,44,2991,5008,0,0
4,ESPA3,2022-06-10,2.65,2.68,2.51,2.55,4702200,2762,49,2818,5629,0,0
5,ESPA3,2022-06-13,2.55,2.55,2.22,2.25,7740900,3584,94,3250,6928,0,0
6,ESPA3,2022-06-14,2.25,2.4,2.22,2.26,4666900,3511,62,3474,7047,0,0
7,ESPA3,2022-06-15,2.34,2.53,2.32,2.51,6053600,4292,45,3643,7980,0,0
8,ESPA3,2022-06-17,2.38,2.53,2.26,2.53,3848900,3014,60,2434,5508,0,0
9,ESPA3,2022-06-20,2.52,2.63,2.37,2.59,3061100,1748,45,1394,3187,0,0
10,ESPA3,2022-06-21,2.56,2.63,2.42,2.45,3606600,1586,45,2410,4041,0,0
11,ESPA3,2022-06-22,2.38,2.53,2.32,2.37,4722100,2309,62,4695,7066,0,0
12,ESPA3,2022-06-23,2.42,2.85,2.42,2.58,16298100,5145,98,7146,12389,0,0
13,ESPA3,2022-06-24,2.75,2.89,2.55,2.82,11440800,3654,171,3656,7478,3,0
14,ESPA3,2022-06-27,2.85,2.85,2.71,2.72,4555700,2346,885,2454,4836,849,0
15,ESPA3,2022-06-28,2.76,2.77,2.39,2.4,7600700,2601,94,5177,7872,0,0
16,ESPA3,2022-06-29,2.4,2.4,2.12,2.12,9061900,2340,223,3213,5775,1,0
17,ESPA3,2022-06-30,2.06,2.23,2.04,2.1,6441300,2602,62,3538,6202,0,0
18,ESPA3,2022-07-01,2.1,2.38,2.06,2.38,6655600,2621,43,2704,5368,0,0
19,ESPA3,2022-07-04,2.34,2.36,2.17,2.19,3674100,1208,55,1635,2898,0,0
20,ESPA3,2022-07-05,2.15,2.39,2.08,2.37,5198500,2339,53,2224,4616,0,0
21,ESPA3,2022-07-06,2.4,2.58,2.34,2.53,5861000,4047,61,3657,7765,0,0
22,ESPA3,2022-07-07,2.58,2.71,2.49,2.65,4003000,4912,50,1801,6763,0,0
23,ESPA3,2022-07-08,2.61,2.68,2.56,2.6,2186700,1349,85,1864,3298,0,0
24,ESPA3,2022-07-11,2.56,2.67,2.5,2.57,2909100,2238,47,1994,4279,0,0
25,ESPA3,2022-07-12,2.55,2.76,2.51,2.63,3420700,2642,51,4479,7171,1,0
26,ESPA3,2022-07-13,2.59,2.79,2.58,2.69,2815700,2088,41,1355,3484,0,0
27,ESPA3,2022-07-14,2.63,2.8,2.62,2.66,3549200,3004,36,2571,5611,0,0
28,ESPA3,2022-07-15,2.67,2.7,2.46,2.46,3435400,4056,60,3318,7434,0,0
29,ESPA3,2022-07-18,2.4,2.59,2.28,2.28,6659000,2103,77,2493,4673,0,0
30,ESPA3,2022-07-19,2.3,2.37,2.25,2.35,2750500,1725,55,1575,3355,0,0
31,ESPA3,2022-07-20,2.33,2.97,2.33,2.92,10733100,4037,104,4068,8208,1,0
32,ESPA3,2022-07-21,2.9,3.03,2.75,2.8,6859200,2461,58,2804,5323,0,0
33,ESPA3,2022-07-22,2.76,3.0,2.73,2.99,5013500,2210,74,2183,4467,0,0
34,ESPA3,2022-07-25,3.01,3.03,2.81,2.82,2526100,1454,50,1541,3045,0,0
35,ESPA3,2022-07-26,2.84,2.84,2.64,2.66,2706800,1143,50,1445,2638,0,0
36,ESPA3,2022-07-27,2.67,2.77,2.56,2.75,5181500,2344,43,2073,4460,0,0
37,ESPA3,2022-07-28,2.73,2.86,2.61,2.71,3889300,2154,165,3969,6146,142,0
38,ESPA3,2022-07-29,2.71,2.71,2.53,2.55,4268800,2847,64,2035,4946,0,0
39,ESPA3,2022-08-01,2.51,2.65,2.51,2.51,3427800,1688,47,2560,4295,0,0
40,ESPA3,2022-08-02,2.49,2.63,2.44,2.58,3871900,1757,54,2000,3811,0,0
41,ESPA3,2022-08-03,2.58,2.85,2.57,2.85,3663500,1417,63,1400,2880,0,0
42,ESPA3,2022-08-08,3.15,3.21,3.01,3.01,5573100,3003,72,2532,5607,0,0
43,ESPA3,2022-08-09,3.05,3.13,2.92,2.94,2987900,1432,37,2069,3538,0,0
44,ESPA3,2022-08-10,3.0,3.04,2.85,2.85,5203800,3107,46,3287,6439,1,0
45,ESPA3,2022-08-12,2.65,2.77,2.65,2.71,6248600,3774,30,4491,8295,0,0
46,ESPA3,2022-08-15,2.68,3.26,2.68,3.1,11530100,4096,73,4787,8956,0,0
47,ESPA3,2022-08-16,2.76,2.94,2.68,2.77,17060600,4819,82,4910,9811,0,0
48,ESPA3,2022-08-17,2.75,2.82,2.63,2.7,9187400,3256,32,4164,7452,0,0
49,ESPA3,2022-08-18,2.73,2.74,2.58,2.61,7818800,2055,76,3014,5145,0,0
50,ESPA3,2022-08-19,2.58,2.6,2.48,2.48,4326900,2302,46,2025,4373,0,0
51,ESPA3,2022-08-22,2.4,2.46,2.36,2.4,5912300,2276,61,2323,4660,0,0
52,ESPA3,2022-08-23,2.38,2.5,2.37,2.4,5619500,1749,40,2384,4173,0,0
53,ESPA3,2022-08-24,2.4,2.68,2.4,2.58,6565300,2553,22,2630,5205,0,0
54,ESPA3,2022-08-25,2.62,2.69,2.58,2.62,3153900,1316,22,1906,3244,0,0
55,ESPA3,2022-08-26,2.62,2.65,2.49,2.54,4590100,1472,29,1581,3082,0,0
56,ESPA3,2022-08-29,2.55,2.65,2.5,2.52,5338400,1335,31,1717,3083,0,0
57,ESPA3,2022-08-30,2.54,2.56,2.34,2.39,6849500,1363,51,1554,2968,0,0
58,ESPA3,2022-08-31,2.2,2.25,1.95,1.97,23213500,6668,538,6868,14072,2,0
59,ESPA3,2022-09-01,1.97,2.16,1.96,2.08,17855700,3549,58,3007,6614,0,0
60,ESPA3,2022-09-02,2.11,2.18,2.04,2.09,8907100,3793,53,1909,5755,0,0
61,ESPA3,2022-09-05,2.07,2.18,2.07,2.12,3904500,1859,30,983,2872,0,0
62,ESPA3,2022-09-06,2.11,2.13,2.02,2.05,5357600,1592,38,2435,4065,0,0
63,ESPA3,2022-09-08,2.07,2.14,1.97,1.98,8205000,1976,64,2389,4429,0,0
64,ESPA3,2022-09-09,2.01,2.04,1.93,1.96,10307300,1760,43,3011,4814,0,0
65,ESPA3,2022-09-12,1.95,2.01,1.93,1.95,6080100,1382,46,2580,4008,0,0
66,ESPA3,2022-09-13,1.94,1.96,1.89,1.91,6730600,1680,28,4029,5737,0,0
67,ESPA3,2022-09-14,1.91,1.91,1.81,1.85,10386300,1592,54,3968,5614,0,0
68,ESPA3,2022-09-15,1.84,1.88,1.81,1.81,6528200,4351,96,3733,8180,0,0
69,ESPA3,2022-09-16,1.8,1.83,1.75,1.83,11290100,1886,65,3969,5920,0,0
70,ESPA3,2022-09-19,1.8,1.91,1.8,1.86,4587100,1577,40,1149,2765,1,0
71,ESPA3,2022-09-20,1.85,1.9,1.83,1.84,4123600,1222,37,1646,2905,0,0
72,ESPA3,2022-09-21,1.84,1.94,1.84,1.85,4741000,1463,36,2304,3803,0,0
73,ESPA3,2022-09-22,1.89,1.9,1.83,1.89,3611900,2329,45,2070,4443,1,0
74,ESPA3,2022-09-23,1.86,1.92,1.84,1.92,5037100,1206,58,953,2217,0,0
75,ESPA3,2022-09-26,1.89,1.92,1.8,1.82,3057000,1148,55,1087,2290,0,0
76,ESPA3,2022-09-27,1.84,1.85,1.77,1.79,4230200,1108,38,1878,3024,0,0
77,ESPA3,2022-09-28,1.79,1.84,1.75,1.8,4659300,1137,39,1145,2320,1,0
78,ESPA3,2022-09-29,1.78,1.84,1.71,1.8,5698600,1121,28,1822,2971,0,0
79,ESPA3,2022-09-30,1.81,1.92,1.79,1.9,5852500,1845,57,2889,4791,0,0
80,ESPA3,2022-10-03,1.92,2.02,1.88,1.92,5316500,3697,28,2818,6542,1,0
81,ESPA3,2022-10-04,1.95,2.01,1.93,2.0,6599800,2759,35,1721,4515,0,0
82,ESPA3,2022-10-05,1.98,2.04,1.92,2.02,5072400,1777,58,1568,3403,0,0
83,ESPA3,2022-10-06,2.07,2.18,2.03,2.12,7882200,2809,32,1596,4437,0,0
84,ESPA3,2022-10-07,2.11,2.12,1.99,1.99,5146800,3137,37,2959,6133,0,0
85,ESPA3,2022-10-10,2.02,2.04,1.94,1.99,4555100,1012,26,1047,2085,0,0
86,ESPA3,2022-10-11,2.0,2.0,1.92,1.95,3741800,1075,34,1785,2894,0,0
87,ESPA3,2022-10-13,1.93,1.93,1.82,1.87,5018300,1354,33,1414,2800,1,0
88,ESPA3,2022-10-14,1.9,1.94,1.84,1.86,4675000,880,30,1309,2219,0,0
89,ESPA3,2022-10-17,1.87,2.13,1.87,2.08,8266900,1955,30,2429,4414,0,0
90,ESPA3,2022-10-18,2.11,2.11,1.97,2.02,2663100,1505,30,1601,3135,1,0
91,ESPA3,2022-10-19,2.01,2.03,1.95,2.01,5162000,4770,56,1622,6446,2,0
92,ESPA3,2022-10-20,2.03,2.03,1.88,1.9,4257600,6247,75,2957,9279,0,0
93,ESPA3,2022-10-21,1.89,1.92,1.83,1.9,3599600,1854,49,1758,3660,1,0
94,ESPA3,2022-10-24,1.84,1.86,1.74,1.76,5551100,1963,65,3298,5326,0,0
95,ESPA3,2022-10-25,1.75,1.86,1.72,1.76,4133800,2077,43,2695,4815,0,0
96,ESPA3,2022-10-26,1.76,1.78,1.62,1.65,4956400,1505,63,1669,3237,0,0
97,ESPA3,2022-10-27,1.66,1.73,1.64,1.69,2616500,1250,39,1152,2441,0,0
98,ESPA3,2022-10-28,1.68,1.71,1.64,1.67,4035000,1689,36,1321,3045,1,0
99,ESPA3,2022-10-31,1.63,1.75,1.61,1.67,5877800,3011,42,2062,5115,0,0
100,ESPA3,2022-11-01,1.75,1.78,1.61,1.68,7396000,2138,34,2992,5164,0,0
101,ESPA3,2022-11-03,1.65,1.75,1.6,1.7,7826600,3320,27,2934,6280,1,0
102,ESPA3,2022-11-04,1.75,1.84,1.66,1.81,6615300,3464,41,2232,5736,1,0
103,ESPA3,2022-11-07,1.78,1.82,1.62,1.62,7146400,1851,52,2389,4292,0,0
104,ESPA3,2022-11-08,1.61,1.61,1.53,1.54,6058200,1383,44,2625,4051,1,0
105,ESPA3,2022-11-09,1.55,1.55,1.41,1.45,8474100,1969,37,4267,6273,0,0
