,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,ESTR4,2022-08-23,44.99,45.54,44.99,45.54,300,1,1,1,3,0,0
1,ESTR4,2022-08-25,44.99,44.99,44.99,44.99,100,0,0,1,1,0,0
2,ESTR4,2022-09-01,40.2,40.2,40.2,40.2,500,0,2,0,2,0,0
3,ESTR4,2022-09-02,40.2,40.2,40.2,40.2,200,2,0,0,2,0,0
4,ESTR4,2022-09-06,40.2,40.2,40.2,40.2,400,0,1,0,1,0,0
5,ESTR4,2022-09-08,40.2,40.2,40.2,40.2,100,1,0,0,1,0,0
6,ESTR4,2022-09-12,39.9,39.9,39.9,39.9,500,0,1,0,1,0,0
7,ESTR4,2022-09-15,39.9,39.9,39.9,39.9,500,0,1,0,1,0,0
8,ESTR4,2022-09-27,45.0,45.0,45.0,45.0,100,0,1,0,1,0,0
9,ESTR4,2022-09-29,41.0,43.0,41.0,43.0,600,3,0,1,4,0,0
10,ESTR4,2022-10-03,44.0,44.0,44.0,44.0,400,0,0,1,1,0,0
11,ESTR4,2022-10-05,44.0,44.0,44.0,44.0,400,0,0,1,1,0,0
12,ESTR4,2022-10-31,44.0,44.0,44.0,44.0,100,0,1,0,1,0,0
13,ESTR4,2022-11-01,44.0,44.0,44.0,44.0,400,0,1,0,1,0,0
14,ESTR4,2022-11-03,40.02,40.02,40.02,40.02,500,2,0,0,2,0,0
15,ESTR4,2022-11-08,39.99,39.99,39.99,39.99,500,0,1,0,1,0,0
16,ESTR4,2022-12-01,39.99,39.99,39.99,39.99,500,0,1,0,1,0,0
17,ESTR4,2022-12-06,39.99,39.99,39.99,39.99,500,0,1,0,1,0,0
18,ESTR4,2023-01-02,39.99,39.99,39.99,39.99,500,0,1,0,1,0,0
19,ESTR4,2023-01-05,39.99,39.99,39.99,39.99,500,0,1,0,1,0,0
20,ESTR4,2023-01-10,39.99,39.99,39.99,39.99,300,0,0,1,1,0,0
21,ESTR4,2023-01-13,39.99,39.99,39.99,39.99,300,0,0,1,1,0,0
22,ESTR4,2023-01-23,39.99,39.99,39.99,39.99,100,0,1,0,1,0,0
23,ESTR4,2023-01-30,39.99,39.99,39.99,39.99,100,1,0,0,1,0,0
24,ESTR4,2023-02-16,40.0,40.0,40.0,40.0,200,0,1,0,1,0,0
