,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,EUCA3,2022-06-06,15.6,15.6,14.9,15.3,700,2,1,0,3,0,0
1,EUCA3,2022-06-08,15.1,15.34,15.0,15.34,300,3,0,0,3,0,0
2,EUCA3,2022-06-09,15.0,15.0,15.0,15.0,200,1,0,0,1,0,0
3,EUCA3,2022-06-10,14.81,15.0,14.7,15.0,600,5,0,1,6,0,0
4,EUCA3,2022-06-13,14.3,14.3,14.3,14.3,200,1,0,0,1,0,0
5,EUCA3,2022-06-14,14.5,14.5,14.5,14.5,100,1,0,0,1,0,0
6,EUCA3,2022-06-15,14.4,14.4,14.39,14.39,300,2,0,1,3,0,0
7,EUCA3,2022-06-21,14.39,14.39,13.74,14.22,500,3,1,0,4,0,0
8,EUCA3,2022-06-22,14.39,14.39,14.1,14.1,600,6,0,0,6,0,0
9,EUCA3,2022-06-24,13.41,14.09,13.41,14.09,800,5,0,3,8,0,0
10,EUCA3,2022-06-27,13.7,13.96,13.25,13.57,4000,14,0,5,19,0,0
11,EUCA3,2022-06-28,13.15,13.15,13.15,13.15,100,1,0,0,1,0,0
12,EUCA3,2022-06-29,12.99,12.99,12.99,12.99,100,1,0,0,1,0,0
13,EUCA3,2022-06-30,12.4,12.87,12.4,12.87,300,2,0,1,3,0,0
14,EUCA3,2022-07-01,12.55,13.38,12.55,13.38,300,1,2,0,3,0,0
15,EUCA3,2022-07-04,13.39,13.39,13.38,13.38,400,0,0,2,2,0,0
16,EUCA3,2022-07-05,13.0,13.16,12.62,13.16,600,4,0,1,5,0,0
17,EUCA3,2022-07-06,12.91,12.91,12.91,12.91,200,1,0,1,2,0,0
18,EUCA3,2022-07-07,12.91,12.91,12.91,12.91,300,3,0,0,3,0,0
19,EUCA3,2022-07-13,12.91,12.92,12.91,12.91,600,1,0,2,3,0,0
20,EUCA3,2022-07-14,12.43,12.8,12.4,12.8,400,1,2,1,4,0,0
21,EUCA3,2022-07-15,12.8,12.8,12.8,12.8,200,0,0,2,2,0,0
22,EUCA3,2022-07-18,12.96,12.96,12.96,12.96,100,1,0,0,1,0,0
23,EUCA3,2022-07-19,13.25,13.25,13.25,13.25,100,0,0,1,1,0,0
24,EUCA3,2022-07-20,13.25,13.25,13.25,13.25,900,3,0,0,3,0,0
25,EUCA3,2022-07-21,12.8,13.0,12.8,13.0,1100,8,0,1,9,0,0
26,EUCA3,2022-07-22,13.0,13.39,13.0,13.39,200,0,1,1,2,0,0
27,EUCA3,2022-07-25,14.08,14.08,14.08,14.08,300,3,0,0,3,0,0
28,EUCA3,2022-07-27,13.99,13.99,13.99,13.99,100,1,0,0,1,0,0
29,EUCA3,2022-07-29,13.36,13.84,13.36,13.84,400,1,0,3,4,0,0
30,EUCA3,2022-08-01,13.83,13.83,13.0,13.3,3100,7,0,2,9,0,0
31,EUCA3,2022-08-02,13.7,13.86,13.7,13.86,200,0,0,2,2,0,0
32,EUCA3,2022-08-03,13.55,13.57,13.39,13.41,600,6,0,0,6,0,0
33,EUCA3,2022-08-08,13.29,13.3,12.9,12.9,2500,5,0,5,10,0,0
34,EUCA3,2022-08-09,12.9,13.4,12.9,13.38,1000,2,0,2,4,0,0
35,EUCA3,2022-08-10,13.0,13.3,12.87,12.95,2400,6,1,10,17,0,0
36,EUCA3,2022-08-12,12.82,12.97,12.82,12.97,200,1,0,1,2,0,0
37,EUCA3,2022-08-15,12.83,13.0,12.44,12.97,2600,5,0,15,20,0,0
38,EUCA3,2022-08-16,12.85,12.85,12.4,12.41,2900,12,0,8,20,0,0
39,EUCA3,2022-08-17,12.3,12.68,11.95,12.0,3200,6,3,8,17,0,0
40,EUCA3,2022-08-18,11.96,11.96,11.5,11.8,16400,9,1,29,39,0,0
41,EUCA3,2022-08-19,11.8,11.95,11.8,11.95,9300,0,0,17,17,0,0
42,EUCA3,2022-08-22,12.01,12.6,12.0,12.01,9900,7,0,13,20,0,0
43,EUCA3,2022-08-23,12.39,12.39,12.24,12.24,800,2,1,0,3,0,0
44,EUCA3,2022-08-24,12.35,12.35,11.95,12.0,800,4,0,2,6,0,0
45,EUCA3,2022-08-25,11.88,12.59,11.88,12.41,3400,8,0,8,16,0,0
46,EUCA3,2022-08-26,12.56,12.56,12.08,12.08,1100,4,1,1,6,0,0
47,EUCA3,2022-08-29,12.51,12.51,12.51,12.51,100,0,1,0,1,0,0
48,EUCA3,2022-08-30,11.9,11.9,11.9,11.9,200,0,2,0,2,0,0
49,EUCA3,2022-08-31,11.71,11.9,11.25,11.25,7500,18,0,18,36,0,0
50,EUCA3,2022-09-01,11.6,11.8,11.54,11.8,1200,8,0,1,9,0,0
51,EUCA3,2022-09-02,11.99,12.0,11.81,11.81,800,3,0,0,3,0,0
52,EUCA3,2022-09-05,11.85,12.2,11.85,11.99,1800,7,0,1,8,0,0
53,EUCA3,2022-09-06,12.2,13.28,11.88,12.79,7200,33,0,3,36,0,0
54,EUCA3,2022-09-08,12.95,13.34,12.79,12.79,5700,14,1,11,26,0,0
55,EUCA3,2022-09-09,13.35,13.35,12.59,12.59,1400,8,0,2,10,0,0
56,EUCA3,2022-09-12,12.6,12.69,12.6,12.6,1200,5,0,2,7,0,0
57,EUCA3,2022-09-13,12.58,12.59,12.58,12.58,2100,0,0,5,5,0,0
58,EUCA3,2022-09-14,12.26,12.26,12.26,12.26,100,1,0,0,1,0,0
59,EUCA3,2022-09-19,12.12,12.78,12.12,12.78,3000,14,0,2,16,0,0
60,EUCA3,2022-09-20,12.76,12.78,12.76,12.78,200,1,1,0,2,0,0
61,EUCA3,2022-09-21,12.5,12.5,12.5,12.5,100,1,0,0,1,0,0
62,EUCA3,2022-09-22,12.78,13.11,12.5,13.1,3100,7,0,1,8,0,0
63,EUCA3,2022-09-23,13.08,13.08,12.72,13.08,1800,11,0,1,12,0,0
64,EUCA3,2022-09-26,12.79,13.07,12.35,12.71,1700,6,0,5,11,0,0
65,EUCA3,2022-09-27,12.37,12.59,12.37,12.59,200,1,0,1,2,0,0
66,EUCA3,2022-09-29,12.03,12.2,11.5,11.5,2400,4,0,12,16,0,0
67,EUCA3,2022-09-30,11.99,12.44,11.99,12.44,800,3,0,5,8,0,0
68,EUCA3,2022-10-03,12.58,12.59,12.58,12.59,400,2,0,0,2,0,0
69,EUCA3,2022-10-04,12.44,12.67,12.2,12.45,600,5,0,1,6,0,0
70,EUCA3,2022-10-05,12.3,12.73,12.02,12.73,1000,6,0,1,7,0,0
71,EUCA3,2022-10-06,12.37,12.7,12.37,12.68,800,7,0,1,8,0,0
72,EUCA3,2022-10-07,12.64,13.4,12.64,13.0,2600,15,0,4,19,0,0
73,EUCA3,2022-10-10,12.98,12.98,12.9,12.9,200,1,0,1,2,0,0
74,EUCA3,2022-10-11,12.7,12.99,12.7,12.99,3600,4,0,1,5,0,0
75,EUCA3,2022-10-13,12.58,12.94,12.58,12.94,300,2,0,1,3,0,0
76,EUCA3,2022-10-14,12.57,12.64,12.55,12.64,700,2,0,5,7,0,0
77,EUCA3,2022-10-17,13.0,13.27,11.72,11.72,6200,10,0,20,30,0,0
78,EUCA3,2022-10-18,11.8,12.06,11.47,12.06,1900,4,0,13,17,0,0
79,EUCA3,2022-10-19,11.79,11.79,11.4,11.49,6600,12,0,28,40,0,0
80,EUCA3,2022-10-20,11.45,11.6,11.4,11.6,800,1,0,5,6,0,0
81,EUCA3,2022-10-21,11.3,11.6,11.16,11.6,1600,4,0,10,14,0,0
82,EUCA3,2022-10-24,11.35,11.44,11.25,11.42,1500,3,0,8,11,0,0
83,EUCA3,2022-10-25,11.15,11.47,11.15,11.38,3400,4,1,12,17,0,0
84,EUCA3,2022-10-26,11.35,11.35,11.35,11.35,3900,3,0,0,3,0,0
85,EUCA3,2022-10-27,11.34,11.41,11.34,11.41,2200,1,0,2,3,0,0
86,EUCA3,2022-10-28,11.45,11.45,11.0,11.2,2600,4,1,10,15,0,0
87,EUCA3,2022-10-31,11.47,11.47,11.43,11.43,700,4,0,0,4,0,0
88,EUCA3,2022-11-01,11.82,11.82,11.03,11.35,900,6,0,3,9,0,0
89,EUCA3,2022-11-03,11.21,11.21,11.2,11.2,300,1,0,1,2,0,0
90,EUCA3,2022-11-04,11.39,11.59,11.39,11.59,1000,4,0,1,5,0,0
91,EUCA3,2022-11-07,11.58,11.58,11.13,11.15,1800,7,0,3,10,0,0
92,EUCA3,2022-11-08,11.15,11.31,10.8,11.18,6000,4,0,23,27,0,0
93,EUCA3,2022-11-09,11.19,11.3,10.6,10.6,11100,27,0,21,48,0,0
94,EUCA3,2022-11-10,10.62,10.89,10.55,10.64,2400,3,0,6,9,0,0
95,EUCA3,2022-11-14,10.99,10.99,10.99,10.99,1000,0,0,2,2,0,0
96,EUCA3,2022-11-17,10.4,11.03,10.4,10.71,800,4,1,2,7,0,0
97,EUCA3,2022-11-18,10.71,11.09,10.64,10.77,2600,11,0,2,13,0,0
98,EUCA3,2022-11-21,10.77,10.77,10.75,10.75,200,0,0,2,2,0,0
99,EUCA3,2022-11-22,10.43,10.6,10.11,10.48,2900,9,0,15,24,0,0
100,EUCA3,2022-11-23,10.59,10.59,10.18,10.18,800,2,0,2,4,0,0
101,EUCA3,2022-11-24,10.56,10.85,10.5,10.69,1000,5,3,1,9,0,0
102,EUCA3,2022-11-25,10.93,10.93,10.77,10.77,300,3,0,0,3,0,0
103,EUCA3,2022-11-29,10.64,10.92,10.64,10.92,200,2,0,0,2,0,0
104,EUCA3,2022-12-02,10.89,10.92,10.89,10.89,200,2,0,0,2,0,0
105,EUCA3,2022-12-05,10.5,10.9,10.49,10.76,9400,9,1,3,13,0,0
106,EUCA3,2022-12-06,10.69,10.93,10.69,10.93,500,3,0,1,4,0,0
107,EUCA3,2022-12-07,10.9,10.9,10.9,10.9,1700,0,0,1,1,0,0
108,EUCA3,2022-12-12,10.51,10.7,10.51,10.51,300,1,1,1,3,0,0
109,EUCA3,2022-12-13,10.38,10.75,10.38,10.75,1500,4,0,0,4,0,0
110,EUCA3,2022-12-14,10.88,10.88,10.17,10.36,1900,9,1,2,12,0,0
111,EUCA3,2022-12-15,10.35,10.35,10.35,10.35,200,2,0,0,2,0,0
112,EUCA3,2022-12-16,10.13,10.33,10.13,10.32,400,2,0,2,4,0,0
113,EUCA3,2022-12-19,10.67,10.94,10.65,10.94,3900,7,0,2,9,0,0
114,EUCA3,2022-12-20,10.93,10.93,10.93,10.93,100,1,0,0,1,0,0
115,EUCA3,2022-12-21,11.24,11.3,10.94,11.3,700,2,2,3,7,0,0
116,EUCA3,2022-12-23,10.99,11.29,10.5,10.91,2400,13,2,4,19,0,0
117,EUCA3,2022-12-26,11.99,11.99,11.5,11.68,4900,10,14,12,36,0,0
118,EUCA3,2022-12-27,11.74,12.22,11.74,11.89,1500,12,0,2,14,0,0
119,EUCA3,2022-12-28,11.89,11.99,11.67,11.99,800,2,0,2,4,0,0
120,EUCA3,2022-12-29,11.95,11.95,11.95,11.95,300,2,0,0,2,0,0
121,EUCA3,2023-01-02,11.95,12.49,11.95,12.2,11400,6,1,11,18,0,0
122,EUCA3,2023-01-04,11.1,11.1,10.2,10.2,17800,32,0,37,69,0,0
123,EUCA3,2023-01-05,10.37,10.87,10.33,10.54,7800,27,0,9,36,0,0
124,EUCA3,2023-01-06,10.76,10.98,10.69,10.98,1600,5,0,2,7,0,0
125,EUCA3,2023-01-09,10.9,10.9,10.6,10.69,2900,6,0,4,10,0,0
126,EUCA3,2023-01-10,10.94,11.28,10.76,11.28,5000,14,0,6,20,0,0
127,EUCA3,2023-01-12,10.89,11.28,10.76,11.28,3900,15,1,1,17,0,0
128,EUCA3,2023-01-13,10.82,11.0,10.8,10.89,4800,12,0,12,24,0,0
129,EUCA3,2023-01-17,10.89,10.89,10.64,10.81,2500,6,0,2,8,0,0
130,EUCA3,2023-01-18,10.8,11.04,10.7,10.7,8100,18,0,9,27,0,0
131,EUCA3,2023-01-19,10.82,11.0,10.74,11.0,2500,11,0,5,16,0,0
132,EUCA3,2023-01-20,10.74,11.16,10.74,11.03,4200,17,0,4,21,0,0
133,EUCA3,2023-01-23,10.9,11.29,10.82,10.82,4500,8,2,6,16,0,0
134,EUCA3,2023-01-24,10.57,10.86,10.48,10.48,2400,7,1,3,11,0,0
135,EUCA3,2023-01-25,14.05,16.47,12.8,12.8,95600,282,0,164,446,0,0
136,EUCA3,2023-01-26,12.91,13.39,11.0,11.37,71200,174,0,161,335,0,0
137,EUCA3,2023-01-30,11.29,11.47,10.69,11.0,41400,53,0,107,160,0,0
138,EUCA3,2023-01-31,11.17,11.17,10.65,10.75,12200,28,0,43,71,0,0
139,EUCA3,2023-02-01,10.73,11.34,10.69,10.99,19300,55,0,37,92,0,0
140,EUCA3,2023-02-02,10.99,11.45,10.9,10.9,13900,23,0,46,69,0,0
141,EUCA3,2023-02-03,10.9,11.05,10.6,10.6,7700,12,0,29,41,0,0
142,EUCA3,2023-02-06,10.59,10.79,10.4,10.43,9400,24,0,25,49,0,0
143,EUCA3,2023-02-07,10.26,10.68,10.24,10.61,4000,8,0,10,18,0,0
144,EUCA3,2023-02-08,10.78,11.0,10.42,10.46,12200,29,0,29,58,0,0
145,EUCA3,2023-02-09,10.49,10.56,10.28,10.28,3100,1,0,23,24,0,0
146,EUCA3,2023-02-10,10.3,10.75,10.3,10.49,5400,15,0,18,33,0,0
147,EUCA3,2023-02-13,10.59,10.59,10.52,10.52,3800,5,0,17,22,0,0
148,EUCA3,2023-02-14,10.68,10.68,10.1,10.19,7300,2,0,32,34,0,0
149,EUCA3,2023-02-15,10.46,10.59,10.17,10.31,8800,21,0,33,54,0,0
150,EUCA3,2023-02-16,10.36,10.57,10.25,10.55,5000,13,0,14,27,0,0
151,EUCA3,2023-02-17,10.4,10.89,10.4,10.89,1000,7,2,1,10,0,0
152,EUCA3,2023-02-20,10.4,10.89,10.4,10.89,1000,7,2,1,10,0,0
153,EUCA3,2023-02-21,10.4,10.89,10.4,10.89,1000,7,2,1,10,0,0
154,EUCA3,2023-02-22,10.53,10.53,10.42,10.42,200,0,1,1,2,0,0
155,EUCA3,2023-02-23,10.39,10.4,10.21,10.21,3300,1,0,13,14,0,0
156,EUCA3,2023-02-24,10.25,10.39,10.24,10.24,500,2,0,2,4,0,0
157,EUCA3,2023-02-27,10.16,10.39,10.16,10.31,1500,10,0,5,15,0,0
158,EUCA3,2023-02-28,10.41,10.65,10.35,10.4,2200,6,0,5,11,0,0
159,EUCA3,2023-03-01,10.24,10.49,10.19,10.19,4600,7,0,11,18,0,0
160,EUCA3,2023-03-02,10.2,10.39,9.91,10.03,3800,5,0,20,25,0,0
161,EUCA3,2023-03-03,10.38,10.38,9.96,9.96,4300,4,0,23,27,0,0
162,EUCA3,2023-03-06,10.0,10.09,9.91,9.91,3900,2,0,19,21,0,0
163,EUCA3,2023-03-07,10.02,10.17,9.88,9.88,14900,15,0,9,24,0,0
164,EUCA3,2023-03-08,9.87,9.87,9.67,9.7,14100,11,1,33,45,0,0
165,EUCA3,2023-03-09,9.79,9.99,9.72,9.72,2700,10,0,7,17,0,0
166,EUCA3,2023-03-10,9.97,9.97,9.71,9.71,700,1,0,4,5,0,0
167,EUCA3,2023-03-13,9.33,9.73,9.33,9.38,7400,18,0,19,37,0,0
168,EUCA3,2023-03-14,9.52,9.57,9.43,9.44,2900,2,0,15,17,0,0
169,EUCA3,2023-03-15,9.42,9.51,9.33,9.5,6500,9,0,14,23,0,0
170,EUCA3,2023-03-16,9.5,9.79,9.5,9.63,3600,6,0,5,11,0,0
171,EUCA3,2023-03-17,9.55,9.7,9.5,9.5,1700,4,0,4,8,0,0
172,EUCA3,2023-03-20,9.64,9.74,9.45,9.45,2800,7,0,5,12,0,0
173,EUCA3,2023-03-21,9.42,9.69,9.42,9.43,2100,10,0,7,17,0,0
174,EUCA3,2023-03-23,9.72,9.72,9.24,9.24,6400,7,0,22,29,0,0
175,EUCA3,2023-03-24,9.47,9.57,9.46,9.55,1900,8,0,2,10,0,0
176,EUCA3,2023-03-27,9.6,9.94,9.45,9.94,1100,6,0,3,9,0,0
177,EUCA3,2023-03-28,9.76,9.76,9.54,9.76,1600,8,0,6,14,0,0
178,EUCA3,2023-03-29,9.77,10.6,9.61,9.61,6900,27,0,18,45,0,0
179,EUCA3,2023-03-30,9.97,9.97,9.81,9.81,200,0,0,2,2,0,0
180,EUCA3,2023-03-31,9.8,9.8,9.55,9.55,1700,3,0,4,7,0,0
181,EUCA3,2023-04-04,9.64,9.64,9.64,9.64,400,0,0,2,2,0,0
182,EUCA3,2023-04-05,9.71,9.71,9.5,9.5,400,1,0,3,4,0,0
183,EUCA3,2023-04-06,9.4,9.5,9.4,9.5,600,1,0,3,4,0,0
184,EUCA3,2023-04-07,9.4,9.5,9.4,9.5,600,1,0,3,4,0,0
185,EUCA3,2023-04-10,9.5,9.5,9.31,9.31,1700,5,0,5,10,0,0
186,EUCA3,2023-04-11,9.39,9.7,9.31,9.7,2500,10,0,7,17,0,0
187,EUCA3,2023-04-12,9.69,10.0,9.69,9.74,1200,9,0,1,10,0,0
188,EUCA3,2023-04-13,9.62,9.75,9.5,9.66,2300,6,0,4,10,0,0
189,EUCA3,2023-04-14,9.67,9.88,9.67,9.7,1100,3,0,3,6,0,0
190,EUCA3,2023-04-17,9.41,9.59,9.41,9.59,4100,11,0,13,24,0,0
191,EUCA3,2023-04-18,9.45,9.45,9.33,9.33,3400,0,1,15,16,0,0
192,EUCA3,2023-04-19,9.46,11.1,9.46,10.6,25900,86,5,35,126,0,0
193,EUCA3,2023-04-20,10.99,11.1,9.9,9.9,9700,24,1,27,52,0,0
194,EUCA3,2023-04-21,10.99,11.1,9.9,9.9,9800,25,1,27,53,0,0
195,EUCA3,2023-04-24,9.95,10.0,9.75,9.76,2100,5,0,9,14,0,0
196,EUCA3,2023-04-25,9.76,9.76,9.76,9.76,200,0,0,2,2,0,0
197,EUCA3,2023-04-26,9.75,9.75,9.75,9.75,100,0,0,1,1,0,0
198,EUCA3,2023-04-27,10.0,10.0,9.89,9.9,1600,4,0,1,5,0,0
199,EUCA3,2023-04-28,9.99,10.15,9.99,10.03,2300,10,0,1,11,0,0
200,EUCA3,2023-05-01,9.99,10.15,9.99,10.03,2300,10,0,1,11,0,0
201,EUCA3,2023-05-02,10.02,10.5,9.66,10.32,5700,13,0,13,26,0,0
202,EUCA3,2023-05-04,10.32,10.32,10.02,10.02,800,2,0,1,3,0,0
203,EUCA3,2023-05-05,10.59,10.85,10.47,10.65,4800,17,0,4,21,0,0
204,EUCA3,2023-05-08,10.64,10.78,10.37,10.37,2700,9,0,3,12,0,0
205,EUCA3,2023-05-09,10.25,10.7,10.16,10.7,1600,2,0,11,13,0,0
206,EUCA3,2023-05-10,10.7,11.3,10.7,11.2,4700,10,0,4,14,0,0
207,EUCA3,2023-05-11,11.19,11.34,11.11,11.12,5900,4,1,5,10,0,0
208,EUCA3,2023-05-12,10.79,12.0,10.79,11.2,7000,23,1,18,42,0,0
209,EUCA3,2023-05-15,11.3,11.44,11.19,11.19,800,3,0,4,7,0,0
210,EUCA3,2023-05-16,11.2,11.26,11.03,11.03,1300,2,0,6,8,0,0
211,EUCA3,2023-05-17,11.11,11.23,10.96,11.23,4700,8,0,9,17,0,0
212,EUCA3,2023-05-18,11.23,11.59,11.1,11.13,4800,18,0,9,27,0,0
213,EUCA3,2023-05-19,12.5,14.0,12.01,12.2,66700,68,24,84,176,0,0
214,EUCA3,2023-05-22,12.96,13.69,12.52,12.68,15100,44,6,55,105,0,0
