,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,EVEN3,2022-06-06,5.3,5.3,4.98,5.02,1702500,1508,43,2515,4065,1,0
1,EVEN3,2022-06-07,4.98,4.99,4.85,4.97,1098100,1915,33,2041,3988,1,0
2,EVEN3,2022-06-08,4.91,4.96,4.79,4.86,3468800,5504,76,4774,10349,5,0
3,EVEN3,2022-06-09,4.81,4.98,4.8,4.82,1209000,1686,38,2127,3850,1,0
4,EVEN3,2022-06-10,4.8,4.83,4.68,4.68,1403900,2400,36,2267,4702,1,0
5,EVEN3,2022-06-13,4.61,4.68,4.51,4.62,2346600,3439,32,2016,5485,2,0
6,EVEN3,2022-06-14,4.67,4.82,4.58,4.65,1127600,1601,37,1800,3437,1,0
7,EVEN3,2022-06-15,4.67,4.74,4.45,4.65,3610200,4816,46,5001,9862,1,0
8,EVEN3,2022-06-17,4.52,4.67,4.4,4.6,1731800,2195,44,1985,4223,1,0
9,EVEN3,2022-06-20,4.62,4.72,4.56,4.62,627100,1217,18,1189,2423,1,0
10,EVEN3,2022-06-21,4.68,4.71,4.52,4.52,682000,1042,45,1274,2359,2,0
11,EVEN3,2022-06-22,4.5,4.69,4.44,4.54,1004300,1635,36,1412,3082,1,0
12,EVEN3,2022-06-23,4.56,4.63,4.51,4.55,2229300,2513,40,2163,4713,3,0
13,EVEN3,2022-06-24,4.58,4.61,4.42,4.43,2618700,3405,36,3650,7089,2,0
14,EVEN3,2022-06-27,4.5,4.58,4.45,4.53,732400,1446,22,1120,2587,1,0
15,EVEN3,2022-06-28,4.59,4.64,4.42,4.42,1328300,2165,43,2085,4292,1,0
16,EVEN3,2022-06-29,4.43,4.48,4.34,4.37,747000,952,25,1320,2296,1,0
17,EVEN3,2022-06-30,4.33,4.47,4.26,4.31,1301000,1379,37,1844,3259,1,0
18,EVEN3,2022-07-01,4.36,4.47,4.32,4.4,1105800,1668,29,1881,3577,1,0
19,EVEN3,2022-07-04,4.4,4.52,4.39,4.41,719000,918,49,1014,1979,2,0
20,EVEN3,2022-07-05,4.38,4.53,4.31,4.52,860900,2106,35,1563,3703,1,0
21,EVEN3,2022-07-06,4.49,4.67,4.44,4.57,1223400,2214,22,2318,4553,1,0
22,EVEN3,2022-07-07,4.64,4.79,4.62,4.66,1125400,2272,54,1202,3527,1,0
23,EVEN3,2022-07-08,4.73,4.8,4.69,4.76,694700,1242,28,1194,2463,1,0
24,EVEN3,2022-07-11,4.69,4.76,4.6,4.66,845300,2597,39,1993,4628,1,0
25,EVEN3,2022-07-12,4.65,4.87,4.62,4.87,892300,1891,30,1610,3530,1,0
26,EVEN3,2022-07-13,4.82,5.02,4.77,4.86,1275200,2035,62,1290,3386,1,0
27,EVEN3,2022-07-14,4.8,4.83,4.53,4.55,845500,1186,31,1159,2375,1,0
28,EVEN3,2022-07-15,4.6,4.64,4.46,4.6,1750200,2088,22,1577,3685,2,0
29,EVEN3,2022-07-18,4.64,4.72,4.51,4.51,1470800,1090,24,1212,2325,1,0
30,EVEN3,2022-07-19,4.55,4.67,4.49,4.62,1131300,2194,21,1700,3914,1,0
31,EVEN3,2022-07-20,4.55,4.7,4.46,4.7,1280300,2057,45,3218,5319,1,0
32,EVEN3,2022-07-21,4.68,4.79,4.63,4.66,1565500,1675,53,2022,3748,2,0
33,EVEN3,2022-07-22,4.66,4.83,4.63,4.71,884500,1483,33,1255,2770,1,0
34,EVEN3,2022-07-25,4.75,4.79,4.65,4.66,584900,1088,40,1017,2144,1,0
35,EVEN3,2022-07-26,4.68,4.78,4.55,4.73,1202900,1735,51,1384,3169,1,0
36,EVEN3,2022-07-27,4.78,5.0,4.75,4.99,793900,1884,39,1231,3153,1,0
37,EVEN3,2022-07-28,5.0,5.29,4.96,5.26,1502300,2887,30,1789,4705,1,0
38,EVEN3,2022-07-29,5.29,5.35,5.18,5.32,1276500,2554,38,1418,4009,1,0
39,EVEN3,2022-08-01,5.34,5.34,5.12,5.16,2071700,4000,34,3064,7097,1,0
40,EVEN3,2022-08-02,5.17,5.27,5.14,5.15,959100,1197,44,1751,2987,5,0
41,EVEN3,2022-08-03,5.16,5.5,5.16,5.48,1160500,1287,39,1610,2928,8,0
42,EVEN3,2022-08-08,6.03,6.28,5.99,6.18,1492700,3092,186,1541,4687,132,0
43,EVEN3,2022-08-09,6.24,6.3,6.13,6.19,997200,1646,35,1652,3332,1,0
44,EVEN3,2022-08-10,6.26,6.69,6.21,6.53,2558200,6155,31,3571,9756,1,0
45,EVEN3,2022-08-12,6.16,6.24,5.97,6.07,1302200,2826,40,2273,5138,1,0
46,EVEN3,2022-08-15,6.04,6.57,5.99,6.5,1306300,3658,59,2166,5881,2,0
47,EVEN3,2022-08-16,6.47,6.5,5.99,6.2,1332000,2948,54,2125,5126,1,0
48,EVEN3,2022-08-17,6.06,6.31,6.01,6.18,1080800,1773,52,1862,3686,1,0
49,EVEN3,2022-08-18,6.19,6.2,5.74,5.78,1501800,1492,100,2202,3794,0,0
50,EVEN3,2022-08-19,5.7,5.85,5.59,5.85,750200,1065,40,1315,2420,0,0
51,EVEN3,2022-08-22,5.77,6.2,5.69,6.12,1295500,2805,29,2423,5256,1,0
52,EVEN3,2022-08-23,6.13,6.25,6.02,6.2,722800,1054,35,1422,2511,0,0
53,EVEN3,2022-08-24,6.15,6.32,6.11,6.27,492200,885,32,965,1881,1,0
54,EVEN3,2022-08-25,6.35,6.35,6.18,6.2,408400,702,1,1063,1765,1,0
55,EVEN3,2022-08-26,6.21,6.28,6.06,6.12,466900,730,32,1447,2208,1,0
56,EVEN3,2022-08-29,6.14,6.41,6.0,6.28,459600,777,40,1139,1955,1,0
57,EVEN3,2022-08-30,6.24,6.32,5.96,5.98,908300,1358,32,2225,3615,0,0
58,EVEN3,2022-08-31,5.99,6.06,5.88,5.94,640300,1106,41,1377,2523,1,0
59,EVEN3,2022-09-01,5.96,6.33,5.93,6.24,3227500,5223,49,2474,7743,3,0
60,EVEN3,2022-09-02,6.26,6.65,6.15,6.41,2269400,3944,60,2915,6918,1,0
61,EVEN3,2022-09-05,6.43,6.61,6.35,6.41,2024900,1653,34,1472,3158,1,0
62,EVEN3,2022-09-06,6.36,6.5,6.21,6.3,3019300,1937,48,2219,4203,1,0
63,EVEN3,2022-09-08,6.39,6.5,6.3,6.37,1431200,1248,42,1023,2311,2,0
64,EVEN3,2022-09-09,6.51,6.8,6.48,6.65,1352800,2414,37,1866,4317,0,0
65,EVEN3,2022-09-12,6.7,6.74,6.48,6.57,1161700,1447,44,2289,3778,2,0
66,EVEN3,2022-09-13,6.53,6.64,6.38,6.48,1036800,1255,39,2337,3630,1,0
67,EVEN3,2022-09-14,6.4,6.66,6.33,6.41,1268100,1351,40,3016,4406,1,0
68,EVEN3,2022-09-15,6.38,6.86,6.36,6.73,1924200,2258,48,3255,5560,1,0
69,EVEN3,2022-09-16,6.74,6.82,6.64,6.65,1078500,1032,42,2744,3817,1,0
70,EVEN3,2022-09-19,6.64,6.9,6.61,6.77,1067700,2025,47,1329,3400,1,0
71,EVEN3,2022-09-20,6.77,6.93,6.69,6.69,634100,993,40,1711,2743,1,0
72,EVEN3,2022-09-21,6.7,6.88,6.7,6.74,928100,1790,67,1798,3654,1,0
73,EVEN3,2022-09-22,6.86,7.02,6.83,6.95,1212900,2390,38,1874,4301,1,0
74,EVEN3,2022-09-23,6.86,6.88,6.7,6.81,1214100,1353,33,2899,4284,1,0
75,EVEN3,2022-09-26,6.79,6.79,6.36,6.4,1148100,1198,47,3370,4614,1,0
76,EVEN3,2022-09-27,6.49,6.66,6.4,6.41,890000,1308,35,1401,2743,1,0
77,EVEN3,2022-09-28,6.44,6.82,6.38,6.72,1444600,2299,46,1351,3695,1,0
78,EVEN3,2022-09-29,6.65,6.71,6.48,6.63,698600,817,1,1334,2151,1,0
79,EVEN3,2022-09-30,6.64,7.0,6.58,6.83,1375700,2513,50,2261,4823,1,0
80,EVEN3,2022-10-03,7.0,7.42,6.94,7.38,2878800,6305,77,3080,9461,1,0
81,EVEN3,2022-10-04,7.38,7.5,7.23,7.29,851900,1993,40,2322,4354,1,0
82,EVEN3,2022-10-05,7.22,7.36,7.1,7.23,816100,1561,48,1461,3069,1,0
83,EVEN3,2022-10-06,7.28,7.36,7.16,7.26,550800,967,46,1227,2239,1,0
84,EVEN3,2022-10-07,7.31,7.31,7.13,7.19,516300,942,45,1213,2199,1,0
85,EVEN3,2022-10-10,7.19,7.22,7.0,7.07,511700,1005,40,1058,2102,1,0
86,EVEN3,2022-10-11,7.05,7.09,6.8,6.87,679700,974,43,1567,2583,1,0
87,EVEN3,2022-10-13,6.81,7.07,6.74,6.91,985700,2514,55,2163,4732,0,0
88,EVEN3,2022-10-14,6.98,7.0,6.53,6.56,1168500,1509,49,1949,3505,2,0
89,EVEN3,2022-10-17,6.58,6.67,6.45,6.5,882600,1803,39,2191,4032,1,0
90,EVEN3,2022-10-18,6.61,6.7,6.55,6.66,758900,2028,31,1025,3083,1,0
91,EVEN3,2022-10-19,6.63,6.66,6.4,6.43,1058800,1244,84,1656,2982,2,0
92,EVEN3,2022-10-20,6.53,6.54,6.23,6.41,1250600,1610,49,1979,3637,1,0
93,EVEN3,2022-10-21,6.31,6.51,6.3,6.44,529600,1340,53,801,2193,1,0
94,EVEN3,2022-10-24,6.4,6.43,6.29,6.34,581700,1176,38,902,2115,1,0
95,EVEN3,2022-10-25,6.33,6.42,6.25,6.28,457800,1116,36,1234,2385,1,0
96,EVEN3,2022-10-26,6.27,6.3,6.03,6.03,851900,846,94,1380,2319,1,0
97,EVEN3,2022-10-27,6.0,6.42,6.0,6.3,914900,1964,47,1312,3322,1,0
98,EVEN3,2022-10-28,6.27,6.49,6.19,6.47,1399800,2938,41,1630,4608,1,0
99,EVEN3,2022-10-31,6.34,6.67,6.3,6.6,1252400,3530,46,1111,4686,1,0
100,EVEN3,2022-11-01,6.67,6.71,6.31,6.57,2904700,8151,44,2757,10951,1,0
101,EVEN3,2022-11-03,6.5,6.67,6.42,6.63,1487400,4157,45,2532,6733,1,0
102,EVEN3,2022-11-04,6.75,6.79,6.45,6.45,1192700,2950,49,1191,4189,1,0
103,EVEN3,2022-11-07,6.5,6.5,6.0,6.01,1887700,1269,73,1719,3060,1,0
104,EVEN3,2022-11-08,6.0,6.14,5.91,6.05,580000,943,38,1335,2315,1,0
105,EVEN3,2022-11-09,6.02,6.13,5.93,6.0,826100,969,36,1565,2569,1,0
106,EVEN3,2022-11-10,5.91,5.95,5.52,5.57,1661300,2512,31,3712,6254,1,0
107,EVEN3,2022-11-14,5.59,5.84,5.53,5.78,1727800,4640,52,2308,7000,0,0
108,EVEN3,2022-11-17,5.63,5.65,5.31,5.59,1815100,5166,47,2109,7322,0,0
109,EVEN3,2022-11-18,5.63,5.9,5.37,5.39,2883000,3027,52,5720,8798,1,0
110,EVEN3,2022-11-21,5.35,5.51,5.28,5.44,1087500,2859,43,1874,4775,1,0
111,EVEN3,2022-11-22,5.47,5.52,5.17,5.22,1103200,2302,37,1852,4190,1,0
112,EVEN3,2022-11-23,5.21,5.21,4.96,5.15,1790400,2893,34,2118,5045,0,0
113,EVEN3,2022-11-24,5.2,5.58,5.17,5.42,579800,1398,27,602,2027,0,0
114,EVEN3,2022-11-25,5.41,5.43,5.21,5.26,426900,719,20,770,1509,0,0
115,EVEN3,2022-11-28,5.22,5.25,5.11,5.13,459200,1037,32,913,1982,0,0
116,EVEN3,2022-11-29,5.16,5.41,5.15,5.41,550300,1263,38,1115,2416,0,0
117,EVEN3,2022-11-30,5.42,5.51,5.11,5.3,2334400,3406,48,2517,5970,1,0
118,EVEN3,2022-12-01,5.29,5.45,5.2,5.37,3370200,1279,41,2062,3378,4,0
119,EVEN3,2022-12-02,5.4,5.6,5.3,5.58,1460300,4653,30,1545,6228,0,0
120,EVEN3,2022-12-05,5.57,5.57,5.12,5.14,2045700,1913,42,1614,3568,1,0
121,EVEN3,2022-12-06,5.16,5.27,5.14,5.26,895300,1513,28,2263,3803,1,0
