,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,EZTC3,2022-06-06,16.22,16.37,15.64,15.75,1648700,3265,114,3232,6611,0,0
1,EZTC3,2022-06-07,15.58,15.64,15.38,15.41,1586200,3060,103,4084,7247,0,0
2,EZTC3,2022-06-08,15.3,15.57,15.18,15.19,1727300,4339,98,5019,9455,1,0
3,EZTC3,2022-06-09,15.19,15.78,15.06,15.37,2213600,3469,112,5466,9046,1,0
4,EZTC3,2022-06-10,15.27,15.48,15.01,15.04,1888300,3643,92,5637,9372,0,0
5,EZTC3,2022-06-13,14.75,15.02,14.55,14.87,3103200,6077,169,6961,13206,1,0
6,EZTC3,2022-06-14,14.83,15.0,14.6,14.91,1990900,4564,77,4396,9037,0,0
7,EZTC3,2022-06-15,15.05,15.53,14.98,15.43,2438600,5349,155,5778,11277,5,0
8,EZTC3,2022-06-17,15.12,15.69,14.93,15.53,2126300,5350,114,4438,9902,0,0
9,EZTC3,2022-06-20,15.45,15.71,15.12,15.34,1238300,2521,61,2618,5200,0,0
10,EZTC3,2022-06-21,15.4,15.58,14.94,15.07,2051400,4006,78,4311,8395,0,0
11,EZTC3,2022-06-22,14.95,15.56,14.95,15.31,1253300,2924,94,2421,5439,0,0
12,EZTC3,2022-06-23,15.33,15.48,14.79,14.86,2431000,5461,101,3842,9402,2,0
13,EZTC3,2022-06-24,15.0,15.22,14.8,14.88,1317400,2577,82,3288,5947,0,0
14,EZTC3,2022-06-27,14.93,15.0,14.72,14.82,1185100,3619,56,2909,6584,0,0
15,EZTC3,2022-06-28,14.93,15.03,14.57,14.59,1684700,2263,73,3908,6243,1,0
16,EZTC3,2022-06-29,14.64,14.81,14.48,14.53,1375900,2287,57,2850,5194,0,0
17,EZTC3,2022-06-30,14.38,14.65,14.15,14.36,2387400,4668,89,4642,9399,0,0
18,EZTC3,2022-07-01,14.34,14.69,14.12,14.46,1509900,2960,104,3778,6842,0,0
19,EZTC3,2022-07-04,14.47,14.92,14.39,14.63,959500,1512,89,1903,3504,0,0
20,EZTC3,2022-07-05,14.53,15.89,14.46,15.81,4255500,6056,118,7263,13437,0,0
21,EZTC3,2022-07-06,15.65,16.23,15.63,16.16,2478800,4110,56,4965,9131,0,0
22,EZTC3,2022-07-07,16.45,16.76,16.26,16.42,2130100,4561,94,4953,9608,0,0
23,EZTC3,2022-07-08,16.47,16.69,16.33,16.37,1587700,2901,98,3343,6342,0,0
24,EZTC3,2022-07-11,16.2,16.42,16.03,16.24,1072100,2444,62,3009,5515,0,0
25,EZTC3,2022-07-12,16.14,17.04,16.14,16.95,1691900,4035,96,3458,7589,0,0
26,EZTC3,2022-07-13,16.76,17.43,16.76,17.02,1881700,4647,82,4634,9362,1,0
27,EZTC3,2022-07-14,16.85,17.04,16.6,16.67,1275500,2591,83,2877,5551,0,0
