,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,FESA3,2022-06-06,58.94,62.0,58.94,62.0,1000,6,0,4,10,0,0
1,FESA3,2022-06-07,62.0,62.0,62.0,62.0,1400,0,2,5,7,0,0
2,FESA3,2022-06-08,59.0,59.0,57.01,57.01,500,1,1,2,4,0,0
3,FESA3,2022-06-09,55.39,61.99,55.37,61.99,1100,8,0,3,11,0,0
4,FESA3,2022-06-10,59.37,59.37,58.51,58.51,200,1,0,1,2,0,0
5,FESA3,2022-06-13,51.24,54.49,51.24,54.49,800,3,0,5,8,0,0
6,FESA3,2022-06-14,54.1,54.1,54.1,54.1,100,1,0,0,1,0,0
7,FESA3,2022-06-15,52.12,52.98,52.12,52.95,400,3,0,1,4,0,0
8,FESA3,2022-06-17,52.95,52.95,51.0,52.0,600,4,1,1,6,0,0
9,FESA3,2022-06-20,49.3,49.3,47.7,47.7,700,6,0,1,7,0,0
10,FESA3,2022-06-21,49.9,49.9,49.9,49.9,200,2,0,0,2,0,0
11,FESA3,2022-06-24,49.1,49.1,49.1,49.1,100,0,0,1,1,0,0
12,FESA3,2022-06-27,50.5,50.5,50.5,50.5,100,0,0,1,1,0,0
13,FESA3,2022-06-28,50.0,50.0,50.0,50.0,100,0,0,1,1,0,0
14,FESA3,2022-07-01,47.1,47.1,46.4,46.4,800,1,0,1,2,0,0
15,FESA3,2022-07-04,50.0,50.0,47.01,48.0,500,2,0,3,5,0,0
16,FESA3,2022-07-05,47.0,47.0,47.0,47.0,200,0,0,2,2,0,0
17,FESA3,2022-07-06,46.44,46.44,46.44,46.44,500,4,0,0,4,0,0
18,FESA3,2022-07-07,46.44,46.44,46.12,46.12,200,1,0,1,2,0,0
19,FESA3,2022-07-08,45.7,45.7,45.7,45.7,100,0,0,1,1,0,0
20,FESA3,2022-07-11,45.65,45.65,45.65,45.65,100,1,0,0,1,0,0
21,FESA3,2022-07-18,45.65,45.65,45.65,45.65,700,2,0,1,3,0,0
22,FESA3,2022-07-19,45.65,45.65,45.65,45.65,900,2,0,0,2,0,0
23,FESA3,2022-07-21,45.65,45.65,45.65,45.65,100,1,0,0,1,0,0
24,FESA3,2022-07-22,44.2,48.99,44.2,48.99,1600,9,2,0,11,0,0
25,FESA3,2022-07-25,47.0,47.0,47.0,47.0,300,1,1,1,3,0,0
26,FESA3,2022-07-26,45.47,45.47,45.47,45.47,100,1,0,0,1,0,0
27,FESA3,2022-07-29,47.0,47.0,45.46,45.46,3100,1,1,28,30,0,0
28,FESA3,2022-08-01,45.46,45.46,45.46,45.46,100,1,0,0,1,0,0
29,FESA3,2022-08-02,45.98,47.0,45.54,46.0,800,3,0,3,6,0,0
30,FESA3,2022-08-03,46.0,46.0,46.0,46.0,100,0,1,0,1,0,0
31,FESA3,2022-08-09,46.51,47.45,46.51,47.45,400,1,1,2,4,0,0
32,FESA3,2022-08-10,48.35,48.35,48.35,48.35,100,1,0,0,1,0,0
33,FESA3,2022-08-12,50.0,52.0,50.0,52.0,600,1,1,4,6,0,0
34,FESA3,2022-08-16,50.28,51.98,50.28,51.98,200,1,0,1,2,0,0
35,FESA3,2022-08-17,52.0,52.0,52.0,52.0,100,0,0,1,1,0,0
36,FESA3,2022-08-25,54.0,54.0,54.0,54.0,100,0,1,0,1,0,0
37,FESA3,2022-08-30,55.0,55.0,55.0,55.0,400,0,0,4,4,0,0
38,FESA3,2022-08-31,53.0,53.09,53.0,53.09,500,4,0,0,4,0,0
39,FESA3,2022-09-02,58.0,58.0,58.0,58.0,500,1,1,0,2,0,0
40,FESA3,2022-09-05,59.5,61.9,59.5,61.4,1200,8,0,4,12,0,0
41,FESA3,2022-09-06,57.2,58.6,55.61,58.6,4200,15,12,12,39,0,0
42,FESA3,2022-09-08,60.5,60.99,59.01,60.99,1100,8,0,3,11,0,0
43,FESA3,2022-09-12,60.8,60.8,60.8,60.8,200,2,0,0,2,0,0
44,FESA3,2022-09-14,57.9,57.9,57.0,57.7,400,1,0,3,4,0,0
45,FESA3,2022-09-15,57.7,59.0,57.7,59.0,300,1,1,0,2,0,0
46,FESA3,2022-09-16,58.95,58.95,58.95,58.95,100,1,0,0,1,0,0
47,FESA3,2022-09-20,57.4,57.4,57.4,57.4,100,1,0,0,1,0,0
48,FESA3,2022-09-26,54.0,54.0,54.0,54.0,800,0,1,0,1,0,0
49,FESA3,2022-09-27,54.0,54.0,54.0,54.0,100,0,0,1,1,0,0
50,FESA3,2022-09-30,54.0,54.0,54.0,54.0,100,0,0,1,1,0,0
51,FESA3,2022-10-10,55.65,55.65,55.65,55.65,200,2,0,0,2,0,0
52,FESA3,2022-10-14,54.98,54.98,54.98,54.98,300,3,0,0,3,0,0
53,FESA3,2022-10-24,55.26,55.26,55.26,55.26,100,1,0,0,1,0,0
54,FESA3,2022-10-26,55.25,55.25,55.25,55.25,100,0,0,1,1,0,0
55,FESA3,2022-11-01,55.25,55.25,55.25,55.25,100,1,0,0,1,0,0
56,FESA3,2022-11-10,57.95,57.95,54.0,54.0,800,4,1,2,7,0,0
57,FESA3,2022-11-14,55.88,55.88,55.88,55.88,400,0,0,3,3,0,0
58,FESA3,2022-11-25,56.88,57.22,56.88,57.22,500,3,0,2,5,0,0
59,FESA3,2022-11-28,56.53,56.53,56.53,56.53,100,1,0,0,1,0,0
60,FESA3,2022-11-29,61.0,61.0,61.0,61.0,400,0,0,4,4,0,0
61,FESA3,2022-12-05,61.5,61.5,59.1,59.7,400,1,0,3,4,0,0
62,FESA3,2022-12-06,59.99,59.99,59.99,59.99,200,2,0,0,2,0,0
63,FESA3,2022-12-08,61.0,61.0,61.0,61.0,100,1,0,0,1,0,0
64,FESA3,2022-12-26,59.17,59.17,59.17,59.17,200,2,0,0,2,0,0
65,FESA3,2022-12-29,59.17,60.0,59.17,60.0,200,2,0,0,2,0,0
66,FESA3,2023-01-02,60.0,60.0,58.5,59.0,500,0,0,3,3,0,0
67,FESA3,2023-01-03,59.17,59.17,59.0,59.0,300,2,0,1,3,0,0
68,FESA3,2023-01-04,55.56,55.56,55.56,55.56,100,0,0,1,1,0,0
69,FESA3,2023-01-11,56.01,58.0,56.0,57.0,1000,5,1,4,10,0,0
70,FESA3,2023-01-18,59.0,59.0,58.99,59.0,400,3,0,1,4,0,0
71,FESA3,2023-02-02,58.29,58.29,58.29,58.29,100,0,1,0,1,0,0
72,FESA3,2023-02-17,58.71,58.71,58.71,58.71,100,0,0,1,1,0,0
73,FESA3,2023-02-20,58.71,58.71,58.71,58.71,100,0,0,1,1,0,0
74,FESA3,2023-02-21,58.71,58.71,58.71,58.71,100,0,0,1,1,0,0
75,FESA3,2023-02-23,60.0,60.0,60.0,60.0,100,0,0,1,1,0,0
76,FESA3,2023-02-28,61.0,61.0,61.0,61.0,100,1,0,0,1,0,0
77,FESA3,2023-03-06,61.0,61.0,61.0,61.0,100,0,1,0,1,0,0
