,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,FHER3,2022-06-06,16.8,16.82,16.15,16.29,386600,596,38,692,1326,0,0
1,FHER3,2022-06-07,16.0,16.14,15.73,15.9,489600,625,23,743,1391,0,0
2,FHER3,2022-06-08,15.86,16.6,15.66,16.15,671900,1016,0,982,1998,0,0
3,FHER3,2022-06-09,16.14,16.22,15.94,16.05,260500,353,29,409,791,0,0
4,FHER3,2022-06-10,15.89,16.0,15.62,15.85,340100,456,29,433,918,0,0
5,FHER3,2022-06-13,15.53,15.6,15.01,15.6,422100,571,0,672,1243,0,0
6,FHER3,2022-06-14,15.65,15.72,15.25,15.35,234200,288,39,453,780,0,0
7,FHER3,2022-06-15,15.45,16.09,15.35,16.0,506800,697,0,637,1334,0,0
8,FHER3,2022-06-17,15.65,16.02,15.32,16.02,345000,491,26,601,1118,0,0
9,FHER3,2022-06-20,15.87,16.98,15.75,16.35,582900,942,22,1323,2287,0,0
10,FHER3,2022-06-21,16.46,16.8,16.3,16.55,283200,554,31,616,1201,0,0
11,FHER3,2022-06-22,16.3,16.51,16.04,16.3,239500,286,33,455,774,0,0
12,FHER3,2022-06-23,16.38,16.98,16.15,16.4,433400,496,36,674,1206,0,0
13,FHER3,2022-06-24,16.61,16.88,16.35,16.75,343300,459,24,539,1022,0,0
14,FHER3,2022-06-27,16.75,18.0,16.75,17.81,1085600,1617,33,1571,3221,0,0
15,FHER3,2022-06-28,17.88,18.12,16.5,16.59,696200,1021,30,1203,2254,0,0
16,FHER3,2022-06-29,16.67,16.78,16.03,16.21,371900,408,28,621,1057,0,0
17,FHER3,2022-06-30,15.85,17.15,15.85,16.98,466800,800,33,576,1409,0,0
18,FHER3,2022-07-01,16.82,17.9,16.62,17.77,460100,579,42,543,1164,0,0
19,FHER3,2022-07-04,17.78,18.47,17.55,17.94,488400,884,60,947,1891,0,0
20,FHER3,2022-07-05,17.74,17.84,17.07,17.5,297600,500,29,583,1112,0,0
21,FHER3,2022-07-06,17.46,18.2,17.33,17.94,415100,753,44,748,1545,0,0
22,FHER3,2022-07-07,18.23,18.57,17.8,17.85,467100,840,52,860,1752,0,0
23,FHER3,2022-07-08,17.88,18.18,17.11,17.5,374800,476,28,792,1296,0,0
24,FHER3,2022-07-11,17.1,17.72,16.85,17.5,201000,451,20,435,906,0,0
25,FHER3,2022-07-12,17.43,18.32,17.18,18.0,327500,631,0,414,1045,0,0
26,FHER3,2022-07-13,17.77,18.0,17.56,17.56,143300,213,22,299,534,0,0
27,FHER3,2022-07-14,17.41,17.75,17.13,17.5,215700,300,46,375,721,0,0
28,FHER3,2022-07-15,17.5,17.91,17.22,17.91,202600,429,30,476,935,0,0
29,FHER3,2022-07-18,17.8,18.77,17.74,17.74,521600,917,40,1031,1988,0,0
30,FHER3,2022-07-19,18.04,18.29,17.87,18.08,160600,296,0,311,607,0,0
31,FHER3,2022-07-20,17.88,18.26,17.75,18.16,195100,327,24,259,610,0,0
32,FHER3,2022-07-21,18.06,18.31,17.96,18.3,185100,372,17,341,730,0,0
33,FHER3,2022-07-22,18.24,19.28,18.09,18.48,616600,1036,24,1042,2101,1,0
34,FHER3,2022-07-25,18.5,18.61,18.11,18.32,221300,641,20,467,1128,0,0
35,FHER3,2022-07-26,18.33,18.89,18.07,18.57,380400,810,20,904,1734,0,0
36,FHER3,2022-07-27,18.57,18.83,18.28,18.72,278000,514,14,559,1087,0,0
37,FHER3,2022-07-28,18.8,19.4,18.72,19.29,409600,834,19,675,1528,0,0
38,FHER3,2022-07-29,19.21,19.7,18.97,19.22,440600,1003,19,884,1906,0,0
39,FHER3,2022-08-01,19.29,19.29,18.21,18.21,421400,830,28,974,1832,0,0
40,FHER3,2022-08-02,18.29,19.6,18.16,19.22,617200,1500,29,1048,2577,0,0
41,FHER3,2022-08-03,19.32,19.89,19.11,19.55,430300,1530,32,647,2209,0,0
42,FHER3,2022-08-08,18.97,19.76,18.97,19.45,337400,649,24,584,1257,0,0
43,FHER3,2022-08-09,19.63,19.63,19.07,19.53,167900,347,24,358,729,0,0
44,FHER3,2022-08-10,19.55,19.87,19.46,19.77,284400,537,27,475,1039,0,0
45,FHER3,2022-08-12,19.17,19.17,18.6,18.97,293800,438,27,681,1146,0,0
46,FHER3,2022-08-15,18.93,19.25,18.69,18.95,283200,472,29,491,992,0,0
47,FHER3,2022-08-16,18.8,19.19,16.13,16.7,1927600,2384,59,3088,5531,0,0
48,FHER3,2022-08-17,16.55,16.6,15.4,15.58,1252200,1690,64,2155,3909,0,0
49,FHER3,2022-08-18,15.5,15.99,15.21,15.53,514300,1207,31,1049,2287,0,0
50,FHER3,2022-08-19,15.5,16.21,15.37,15.95,594800,1353,36,790,2179,0,0
51,FHER3,2022-08-22,15.97,15.99,15.38,15.6,539200,821,31,1047,1899,0,0
52,FHER3,2022-08-23,15.98,16.34,15.67,16.05,385900,671,26,657,1354,0,0
53,FHER3,2022-08-24,15.73,15.75,14.11,14.38,2358400,2970,98,3808,6876,0,0
54,FHER3,2022-08-25,14.32,15.25,14.15,14.71,1259900,1851,29,1854,3734,0,0
55,FHER3,2022-08-26,14.27,14.86,14.2,14.35,803300,988,44,1507,2539,0,0
56,FHER3,2022-08-29,14.35,14.64,14.16,14.25,526200,880,24,1564,2468,0,0
57,FHER3,2022-08-30,14.45,14.52,13.74,14.12,603100,1105,28,1190,2323,0,0
58,FHER3,2022-08-31,14.28,14.45,14.0,14.17,294800,394,42,570,1006,0,0
59,FHER3,2022-09-01,14.08,14.39,13.93,14.3,412300,729,33,557,1319,0,0
60,FHER3,2022-09-02,14.5,14.5,14.03,14.15,908300,1598,109,1254,2961,0,0
61,FHER3,2022-09-05,14.3,14.7,13.84,13.96,505900,651,37,1311,1999,0,0
62,FHER3,2022-09-06,14.3,14.45,13.91,14.07,757600,1144,37,1513,2694,0,0
63,FHER3,2022-09-08,14.27,15.6,13.99,15.3,1215500,2024,28,1320,3372,0,0
64,FHER3,2022-09-09,15.59,15.59,14.65,14.95,608300,860,44,1011,1915,0,0
65,FHER3,2022-09-12,15.05,15.11,14.56,14.75,370700,556,0,668,1224,0,0
66,FHER3,2022-09-13,14.6,15.09,14.44,14.8,340700,619,38,651,1308,0,0
67,FHER3,2022-09-14,14.77,15.07,14.68,14.9,239500,539,0,476,1015,0,0
68,FHER3,2022-09-15,14.86,14.88,14.54,14.66,258800,449,29,485,962,1,0
69,FHER3,2022-09-16,14.7,14.7,14.31,14.4,248600,549,36,561,1146,0,0
70,FHER3,2022-09-19,14.38,14.5,14.21,14.4,270700,516,22,484,1022,0,0
71,FHER3,2022-09-20,14.4,14.53,14.25,14.48,189300,351,31,443,825,0,0
72,FHER3,2022-09-21,14.55,14.72,14.34,14.42,245500,463,26,629,1118,0,0
73,FHER3,2022-09-22,14.45,14.61,14.23,14.41,143800,303,15,343,661,0,0
74,FHER3,2022-09-23,14.24,14.43,14.1,14.38,322700,568,31,536,1135,0,0
75,FHER3,2022-09-26,14.28,14.45,14.13,14.19,95300,257,27,281,565,0,0
76,FHER3,2022-09-27,14.32,14.35,14.01,14.06,238400,394,0,412,806,0,0
77,FHER3,2022-09-28,14.0,14.55,13.91,14.37,326800,613,23,394,1030,0,0
78,FHER3,2022-09-29,14.3,14.35,14.02,14.05,241600,634,18,443,1095,0,0
79,FHER3,2022-09-30,14.15,14.53,13.83,13.93,391800,780,25,1177,1982,0,0
80,FHER3,2022-10-03,14.1,14.69,13.99,14.15,303500,823,0,589,1412,0,0
81,FHER3,2022-10-04,14.3,14.6,13.92,14.07,305200,595,26,712,1333,0,0
82,FHER3,2022-10-05,14.08,14.15,13.86,14.12,279400,633,33,610,1276,0,0
83,FHER3,2022-10-06,13.92,14.34,13.92,14.28,244200,535,14,440,989,0,0
84,FHER3,2022-10-07,14.29,14.51,14.18,14.35,175000,357,25,495,877,0,0
85,FHER3,2022-10-10,14.26,14.29,14.0,14.14,136500,269,0,383,652,0,0
86,FHER3,2022-10-11,14.21,14.4,14.05,14.23,153400,307,18,323,648,0,0
87,FHER3,2022-10-13,14.2,14.3,14.03,14.25,120200,307,21,376,704,0,0
88,FHER3,2022-10-14,14.25,14.38,13.92,14.0,254000,334,15,676,1025,0,0
89,FHER3,2022-10-17,14.01,14.15,13.92,13.96,135600,193,36,386,615,0,0
