,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,FRAS3,2022-06-06,10.8,11.12,10.61,10.92,263700,457,17,352,826,0,0
1,FRAS3,2022-06-07,11.01,11.03,10.54,10.63,664800,998,32,577,1605,2,0
2,FRAS3,2022-06-08,10.61,10.98,10.46,10.58,413000,675,24,822,1521,0,0
3,FRAS3,2022-06-09,10.61,10.61,10.29,10.35,344900,684,40,638,1362,0,0
4,FRAS3,2022-06-10,10.39,10.45,10.16,10.45,155100,473,33,245,751,0,0
5,FRAS3,2022-06-13,10.29,10.29,10.1,10.15,310300,616,27,649,1292,0,0
6,FRAS3,2022-06-14,10.07,10.26,10.07,10.17,96100,228,26,227,481,0,0
7,FRAS3,2022-06-15,10.34,10.42,10.01,10.29,403200,789,20,880,1689,0,0
8,FRAS3,2022-06-17,10.2,10.23,9.9,9.9,1352100,670,111,1060,1841,0,0
9,FRAS3,2022-06-20,10.03,10.13,9.81,10.0,295200,480,19,480,979,0,0
10,FRAS3,2022-06-21,9.97,10.08,9.72,9.72,239500,285,29,455,769,0,0
11,FRAS3,2022-06-22,9.69,9.88,9.62,9.69,191800,281,24,320,624,1,0
12,FRAS3,2022-06-23,9.77,9.82,9.69,9.69,106600,269,21,225,515,0,0
13,FRAS3,2022-06-24,9.88,9.88,9.5,9.71,212300,352,28,239,619,0,0
14,FRAS3,2022-06-27,9.8,9.99,9.63,9.93,160300,340,23,275,638,0,0
15,FRAS3,2022-06-28,9.94,10.18,9.82,9.82,194000,435,22,364,821,0,0
16,FRAS3,2022-06-29,9.81,9.81,9.65,9.76,97900,190,16,218,424,0,0
17,FRAS3,2022-06-30,9.61,9.92,9.53,9.8,192500,412,23,246,681,0,0
18,FRAS3,2022-07-01,9.77,9.89,9.59,9.8,129600,311,20,265,596,0,0
19,FRAS3,2022-07-04,9.84,9.84,9.56,9.6,197400,322,0,401,723,0,0
20,FRAS3,2022-07-05,9.55,9.55,9.26,9.46,163200,372,29,367,768,0,0
21,FRAS3,2022-07-06,9.45,9.69,9.36,9.36,108600,222,17,307,546,0,0
22,FRAS3,2022-07-07,9.56,9.86,9.51,9.52,109100,231,16,306,553,0,0
23,FRAS3,2022-07-08,9.81,9.83,9.54,9.65,131500,275,19,362,656,0,0
24,FRAS3,2022-07-11,9.59,9.71,9.42,9.57,148200,228,22,172,422,0,0
25,FRAS3,2022-07-12,9.51,9.65,9.45,9.57,66100,165,19,153,337,0,0
26,FRAS3,2022-07-13,9.58,9.68,9.48,9.61,52700,135,15,134,284,0,0
27,FRAS3,2022-07-14,9.64,9.65,9.45,9.55,93700,234,15,238,487,0,0
28,FRAS3,2022-07-15,9.56,9.82,9.53,9.64,65700,172,12,159,343,0,0
29,FRAS3,2022-07-18,9.78,10.31,9.78,9.89,226500,389,16,354,758,1,0
30,FRAS3,2022-07-19,10.0,10.16,9.92,10.07,130200,263,10,212,485,0,0
31,FRAS3,2022-07-20,10.15,10.59,10.09,10.5,138200,310,24,220,554,0,0
32,FRAS3,2022-07-21,10.65,10.9,10.47,10.74,182400,301,17,212,530,0,0
33,FRAS3,2022-07-22,10.86,11.24,10.85,11.24,184300,429,52,190,671,0,0
34,FRAS3,2022-07-25,11.24,11.35,11.0,11.0,164700,168,22,222,412,0,0
