,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,FRTA3,2022-06-06,3.11,3.16,2.9,3.09,6600,14,0,20,34,0,0
1,FRTA3,2022-06-07,3.29,3.29,3.22,3.22,300,2,0,0,2,0,0
2,FRTA3,2022-06-08,3.2,3.2,3.17,3.18,700,3,0,1,4,0,0
3,FRTA3,2022-06-09,3.18,3.18,2.93,3.14,600,2,0,4,6,0,0
4,FRTA3,2022-06-10,3.1,3.1,3.1,3.1,100,1,0,0,1,0,0
5,FRTA3,2022-06-13,3.08,3.08,3.08,3.08,1000,2,0,3,5,0,0
6,FRTA3,2022-06-14,3.0,3.0,2.95,2.95,1200,1,0,2,3,0,0
7,FRTA3,2022-06-15,2.99,2.99,2.99,2.99,100,0,0,1,1,0,0
8,FRTA3,2022-06-17,2.7,2.7,2.7,2.7,5300,0,0,6,6,0,0
9,FRTA3,2022-06-20,2.81,2.81,2.81,2.81,400,0,0,2,2,0,0
10,FRTA3,2022-06-21,2.97,3.2,2.87,2.87,1300,6,1,4,11,0,0
11,FRTA3,2022-06-22,2.81,2.81,2.81,2.81,200,0,0,1,1,0,0
12,FRTA3,2022-06-23,2.7,2.81,2.7,2.7,200,0,0,2,2,0,0
13,FRTA3,2022-06-24,2.7,2.7,2.7,2.7,200,0,0,2,2,0,0
14,FRTA3,2022-06-27,2.7,2.72,2.58,2.72,1500,4,0,1,5,0,0
15,FRTA3,2022-06-28,2.72,2.72,2.72,2.72,800,1,0,0,1,0,0
16,FRTA3,2022-06-29,2.72,2.72,2.7,2.7,300,1,0,2,3,0,0
17,FRTA3,2022-06-30,2.7,2.7,2.7,2.7,300,1,0,0,1,0,0
18,FRTA3,2022-07-01,2.7,2.7,2.7,2.7,800,1,0,2,3,0,0
19,FRTA3,2022-07-04,2.7,2.7,2.6,2.6,600,0,0,4,4,0,0
20,FRTA3,2022-07-05,2.57,2.57,2.56,2.57,400,4,0,0,4,0,0
21,FRTA3,2022-07-06,2.7,3.13,2.7,2.92,1200,7,0,4,11,0,0
22,FRTA3,2022-07-07,2.96,3.4,2.66,3.13,5500,22,0,22,44,0,0
23,FRTA3,2022-07-08,3.13,4.9,3.13,4.25,106300,216,5,233,454,0,0
24,FRTA3,2022-07-11,4.25,4.9,4.25,4.79,52300,89,0,96,185,0,0
25,FRTA3,2022-07-12,4.61,4.73,4.17,4.29,25300,67,3,64,134,0,0
26,FRTA3,2022-07-13,4.3,4.64,4.1,4.4,17900,28,0,33,61,0,0
27,FRTA3,2022-07-14,4.03,4.4,4.0,4.24,8400,23,0,15,38,0,0
28,FRTA3,2022-07-15,3.99,4.41,3.99,4.08,3200,18,2,7,27,0,0
29,FRTA3,2022-07-18,4.0,4.3,3.68,4.0,6300,9,1,24,34,0,0
30,FRTA3,2022-07-19,3.71,3.96,3.61,3.85,4500,17,1,17,35,0,0
31,FRTA3,2022-07-20,3.89,4.09,3.65,3.7,8600,35,0,19,54,0,0
32,FRTA3,2022-07-21,3.93,4.13,3.75,3.82,11900,33,0,27,60,0,0
33,FRTA3,2022-07-22,3.91,3.91,3.65,3.67,3600,12,0,9,21,0,0
34,FRTA3,2022-07-25,3.64,3.64,3.61,3.61,1400,7,0,3,10,0,0
35,FRTA3,2022-07-26,3.6,3.78,3.6,3.69,1300,3,0,3,6,0,0
36,FRTA3,2022-07-27,3.66,3.67,3.66,3.66,400,4,0,0,4,0,0
37,FRTA3,2022-07-28,3.67,3.77,3.53,3.75,1300,9,0,1,10,0,0
38,FRTA3,2022-07-29,3.57,3.78,3.56,3.78,1500,10,0,4,14,0,0
39,FRTA3,2022-08-01,3.78,3.78,3.66,3.67,900,5,0,4,9,0,0
40,FRTA3,2022-08-02,3.49,3.95,3.49,3.7,12000,26,0,42,68,0,0
41,FRTA3,2022-08-03,3.85,3.85,3.72,3.74,2400,6,0,8,14,0,0
42,FRTA3,2022-08-08,3.74,3.85,3.56,3.6,8100,26,0,20,46,0,0
43,FRTA3,2022-08-09,3.62,3.64,3.53,3.53,8400,13,0,11,24,0,0
44,FRTA3,2022-08-10,3.68,3.68,3.57,3.57,700,5,0,2,7,0,0
45,FRTA3,2022-08-12,3.54,3.55,3.51,3.55,6300,3,0,5,8,0,0
46,FRTA3,2022-08-15,3.55,3.55,3.48,3.5,5700,7,0,13,20,0,0
47,FRTA3,2022-08-16,3.5,3.54,3.5,3.54,300,1,0,2,3,0,0
48,FRTA3,2022-08-17,3.5,3.54,3.49,3.54,2900,6,0,0,6,0,0
49,FRTA3,2022-08-18,3.54,3.54,3.3,3.48,6400,5,2,20,27,0,0
50,FRTA3,2022-08-19,3.53,3.53,3.22,3.27,2400,10,0,7,17,0,0
51,FRTA3,2022-08-22,3.39,3.39,3.26,3.26,1000,4,1,2,7,0,0
52,FRTA3,2022-08-23,3.26,3.29,3.26,3.26,800,0,0,5,5,0,0
53,FRTA3,2022-08-24,3.49,3.53,3.28,3.32,2400,10,0,10,20,0,0
54,FRTA3,2022-08-25,3.32,3.5,3.27,3.5,2000,7,0,10,17,0,0
55,FRTA3,2022-08-26,3.36,3.53,3.36,3.53,800,4,0,2,6,0,0
56,FRTA3,2022-08-29,3.5,3.5,3.5,3.5,100,1,0,0,1,0,0
57,FRTA3,2022-08-30,3.41,3.6,3.41,3.54,500,3,0,0,3,0,0
58,FRTA3,2022-08-31,3.78,3.78,3.4,3.45,2200,6,0,9,15,0,0
59,FRTA3,2022-09-01,3.45,3.45,3.45,3.45,100,0,0,1,1,0,0
60,FRTA3,2022-09-02,3.46,3.46,3.46,3.46,100,1,0,0,1,0,0
61,FRTA3,2022-09-05,3.42,3.65,3.39,3.6,4700,12,0,3,15,0,0
62,FRTA3,2022-09-06,3.73,3.73,3.6,3.69,3000,12,1,0,13,0,0
63,FRTA3,2022-09-09,3.45,3.52,3.45,3.46,3200,10,0,7,17,0,0
64,FRTA3,2022-09-12,3.37,3.56,3.37,3.56,200,1,0,1,2,0,0
65,FRTA3,2022-09-13,3.37,3.38,3.33,3.37,1900,7,1,5,13,0,0
66,FRTA3,2022-09-14,3.36,3.37,3.25,3.25,1400,4,0,5,9,0,0
67,FRTA3,2022-09-15,3.11,3.25,3.11,3.14,2900,4,0,8,12,0,0
68,FRTA3,2022-09-16,3.14,3.37,3.14,3.17,800,4,0,2,6,0,0
69,FRTA3,2022-09-19,3.11,3.25,3.06,3.06,5100,10,0,20,30,0,0
70,FRTA3,2022-09-20,3.12,3.15,3.12,3.15,300,2,0,1,3,0,0
