,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,G2DI33,2022-06-06,3.91,3.95,3.8,3.81,60161,604,1,526,1131,0,0
1,G2DI33,2022-06-07,3.81,3.96,3.72,3.8,72821,605,0,562,1167,0,0
2,G2DI33,2022-06-08,3.81,3.86,3.35,3.35,289739,822,0,1617,2439,0,0
3,G2DI33,2022-06-09,3.39,3.68,3.3,3.47,140059,1979,13,518,2510,0,0
4,G2DI33,2022-06-10,3.5,3.69,3.21,3.49,133879,608,1,1082,1691,0,0
5,G2DI33,2022-06-13,3.41,3.59,3.21,3.21,147074,504,33,463,1000,0,0
6,G2DI33,2022-06-14,3.17,3.41,3.17,3.32,81995,1878,0,1668,3546,0,0
7,G2DI33,2022-06-15,3.35,3.49,3.18,3.33,117251,658,23,1987,2668,0,0
8,G2DI33,2022-06-17,3.21,3.41,3.21,3.3,70140,520,10,627,1157,0,0
9,G2DI33,2022-06-20,3.35,3.42,3.23,3.42,56468,499,11,627,1137,0,0
10,G2DI33,2022-06-21,3.32,3.44,3.32,3.41,79488,647,24,687,1358,0,0
11,G2DI33,2022-06-22,3.42,3.5,3.2,3.21,89918,1219,21,789,2029,0,0
12,G2DI33,2022-06-23,3.21,3.32,3.21,3.29,105341,538,15,682,1235,0,0
13,G2DI33,2022-06-24,3.33,3.4,3.28,3.37,68115,664,7,1943,2614,0,0
14,G2DI33,2022-06-27,3.39,3.41,3.3,3.32,62315,548,20,676,1244,0,0
15,G2DI33,2022-06-28,3.33,3.36,3.2,3.2,60024,461,13,695,1169,0,0
16,G2DI33,2022-06-29,3.24,3.26,3.2,3.22,53346,404,0,620,1024,0,0
17,G2DI33,2022-06-30,3.3,3.3,3.02,3.07,139740,723,27,826,1576,0,0
18,G2DI33,2022-07-01,3.07,3.11,3.0,3.1,73917,777,0,707,1484,0,0
19,G2DI33,2022-07-04,3.1,3.31,3.03,3.19,95517,842,1,636,1479,0,0
20,G2DI33,2022-07-05,3.18,3.19,3.0,3.06,90867,514,11,1928,2453,0,0
21,G2DI33,2022-07-06,3.11,3.15,2.95,2.96,131424,1524,0,1869,3393,0,0
22,G2DI33,2022-07-07,2.96,3.25,2.96,3.25,65736,572,8,455,1035,0,0
23,G2DI33,2022-07-08,3.23,3.31,3.05,3.07,92720,1101,10,618,1729,0,0
24,G2DI33,2022-07-11,3.13,3.24,3.0,3.02,62489,652,0,762,1414,0,0
25,G2DI33,2022-07-12,3.02,3.15,2.95,2.99,82339,944,10,715,1669,0,0
26,G2DI33,2022-07-13,3.0,3.06,2.99,3.05,37862,363,0,512,875,0,0
27,G2DI33,2022-07-14,3.11,3.11,2.9,2.92,86308,554,16,1065,1635,0,0
28,G2DI33,2022-07-15,2.92,3.0,2.9,2.92,58305,457,0,454,911,0,0
29,G2DI33,2022-07-18,2.91,2.98,2.81,2.82,118649,512,20,1270,1802,0,0
30,G2DI33,2022-07-19,2.84,3.12,2.81,3.08,114376,1106,0,460,1566,0,0
