,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,GEPA3,2022-06-13,27.89,27.89,27.89,27.89,100,0,0,1,1,0,0
1,GEPA3,2022-06-17,26.98,26.98,24.6,24.9,3200,12,15,2,29,0,0
2,GEPA3,2022-06-20,25.89,25.89,25.89,25.89,200,0,0,2,2,0,0
3,GEPA3,2022-06-23,24.0,24.38,22.5,24.38,1700,12,0,2,14,0,0
4,GEPA3,2022-06-27,23.15,23.15,23.15,23.15,100,1,0,0,1,0,0
5,GEPA3,2022-06-28,21.71,21.71,21.71,21.71,100,0,0,1,1,0,0
6,GEPA3,2022-07-08,22.61,22.64,22.61,22.64,1800,0,1,3,4,0,0
7,GEPA3,2022-07-11,22.64,22.64,22.64,22.64,500,0,0,1,1,0,0
8,GEPA3,2022-07-29,23.5,23.5,23.5,23.5,100,1,0,0,1,0,0
9,GEPA3,2022-08-01,23.5,23.54,23.5,23.5,200,0,0,2,2,0,0
10,GEPA3,2022-08-02,22.7,22.71,22.64,22.64,1000,0,0,5,5,0,0
11,GEPA3,2022-08-03,22.15,22.18,22.15,22.15,300,0,0,3,3,0,0
12,GEPA3,2022-08-08,23.51,23.51,23.51,23.51,200,0,0,1,1,0,0
13,GEPA3,2022-08-10,22.76,22.76,22.63,22.63,800,0,0,4,4,0,0
14,GEPA3,2022-08-16,25.0,25.0,25.0,25.0,100,0,1,0,1,0,0
15,GEPA3,2022-08-17,25.0,25.0,25.0,25.0,200,1,1,0,2,0,0
16,GEPA3,2022-08-26,23.65,23.65,23.06,23.06,600,6,0,0,6,0,0
17,GEPA3,2022-09-02,23.8,23.85,23.8,23.85,200,2,0,0,2,0,0
18,GEPA3,2022-09-05,23.95,23.95,23.95,23.95,1000,0,0,4,4,0,0
19,GEPA3,2022-09-13,23.63,23.63,23.63,23.63,200,1,0,1,2,0,0
20,GEPA3,2022-09-22,23.63,23.63,23.63,23.63,100,0,1,0,1,0,0
21,GEPA3,2022-09-26,23.63,23.63,23.63,23.63,100,0,0,1,1,0,0
22,GEPA3,2022-09-29,23.03,23.03,23.03,23.03,100,0,0,1,1,0,0
23,GEPA3,2022-10-03,23.03,23.03,23.03,23.03,200,2,0,0,2,0,0
24,GEPA3,2022-10-04,23.03,23.03,23.03,23.03,300,3,0,0,3,0,0
25,GEPA3,2022-10-07,21.63,22.63,21.63,22.44,3100,6,0,5,11,0,0
26,GEPA3,2022-10-10,22.05,23.5,22.05,23.48,700,5,0,2,7,0,0
27,GEPA3,2022-10-19,22.82,22.82,22.82,22.82,200,2,0,0,2,0,0
28,GEPA3,2022-10-27,21.91,22.01,21.9,22.0,2000,5,0,7,12,0,0
