,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,GETT3,2022-06-06,2.28,2.28,2.23,2.27,64700,115,0,118,233,0,0
1,GETT3,2022-06-07,2.26,2.29,2.24,2.27,58500,92,0,66,158,0,0
2,GETT3,2022-06-08,2.27,2.29,2.24,2.25,56900,57,0,63,120,0,0
3,GETT3,2022-06-09,2.26,2.27,2.2,2.23,86900,152,0,83,235,0,0
4,GETT3,2022-06-10,2.23,2.27,2.22,2.25,64800,120,0,74,194,0,0
5,GETT3,2022-06-13,2.21,2.24,2.18,2.21,73600,107,0,83,190,0,0
6,GETT3,2022-06-14,2.23,2.26,2.2,2.22,75400,86,0,86,172,0,0
7,GETT3,2022-06-15,2.22,2.28,2.19,2.27,132800,247,0,78,325,0,0
8,GETT3,2022-06-17,2.24,2.24,2.15,2.23,134400,199,1,98,298,0,0
9,GETT3,2022-06-20,2.22,2.27,2.21,2.24,68000,104,1,75,180,0,0
10,GETT3,2022-06-21,2.24,2.26,2.18,2.19,30100,19,0,45,64,0,0
11,GETT3,2022-06-22,2.18,2.24,2.18,2.23,14700,17,1,36,54,0,0
12,GETT3,2022-06-23,2.22,2.25,2.14,2.2,116000,126,0,82,208,0,0
13,GETT3,2022-06-24,2.19,2.25,2.19,2.2,39000,79,0,44,123,0,0
14,GETT3,2022-06-27,2.2,2.21,2.18,2.19,36800,61,1,25,87,0,0
15,GETT3,2022-06-28,2.23,2.24,2.17,2.17,32400,43,0,50,93,0,0
16,GETT3,2022-06-29,2.17,2.19,2.15,2.16,22600,10,0,34,44,0,0
17,GETT3,2022-06-30,2.14,2.19,2.12,2.12,49100,91,0,42,133,0,0
18,GETT3,2022-07-01,2.07,2.17,2.07,2.14,84900,118,0,40,158,0,0
19,GETT3,2022-07-04,2.11,2.16,2.1,2.11,18400,15,0,44,59,0,0
20,GETT3,2022-07-05,2.14,2.22,2.1,2.21,62800,172,0,48,220,0,0
21,GETT3,2022-07-06,2.21,2.24,2.17,2.21,31000,42,3,56,101,0,0
22,GETT3,2022-07-07,2.19,2.2,2.14,2.14,25300,33,0,33,66,0,0
23,GETT3,2022-07-08,2.17,2.25,2.17,2.23,72400,314,0,33,347,0,0
24,GETT3,2022-07-11,2.24,2.27,2.2,2.22,99600,83,0,69,152,0,0
25,GETT3,2022-07-12,2.21,2.25,2.19,2.23,84000,175,0,53,228,0,0
26,GETT3,2022-07-13,2.22,2.26,2.22,2.26,16900,50,0,21,71,0,0
27,GETT3,2022-07-14,2.22,2.26,2.22,2.26,27200,57,3,27,87,0,0
28,GETT3,2022-07-15,2.24,2.27,2.23,2.27,44000,93,0,23,116,0,0
29,GETT3,2022-07-18,2.21,2.24,2.19,2.22,31700,36,3,34,73,0,0
30,GETT3,2022-07-19,2.21,2.24,2.19,2.21,107800,244,0,38,282,0,0
31,GETT3,2022-07-20,2.22,2.28,2.2,2.26,156900,382,1,86,469,0,0
32,GETT3,2022-07-21,2.26,2.28,2.21,2.27,93700,260,0,69,329,0,0
33,GETT3,2022-07-22,2.27,2.3,2.23,2.3,58600,208,0,36,244,0,0
34,GETT3,2022-07-25,2.24,2.27,2.24,2.25,14100,18,1,31,50,0,0
35,GETT3,2022-07-26,2.24,2.25,2.23,2.23,22500,40,0,11,51,0,0
36,GETT3,2022-07-27,2.24,2.27,2.24,2.27,10000,24,1,14,39,0,0
37,GETT3,2022-07-28,2.26,2.29,2.24,2.27,41900,140,3,39,182,0,0
38,GETT3,2022-07-29,2.27,2.28,2.24,2.27,43000,108,1,49,158,0,0
39,GETT3,2022-08-01,2.27,2.28,2.24,2.26,31600,109,1,39,149,0,0
40,GETT3,2022-08-02,2.28,2.29,2.23,2.26,68400,111,2,46,159,0,0
41,GETT3,2022-08-03,2.26,2.29,2.24,2.28,71900,229,0,62,291,0,0
42,GETT3,2022-08-08,2.27,2.27,2.24,2.26,67100,166,3,37,206,0,0
43,GETT3,2022-08-09,2.26,2.29,2.26,2.28,22800,70,3,25,98,0,0
44,GETT3,2022-08-10,2.29,2.31,2.26,2.31,66900,102,1,70,173,0,0
45,GETT3,2022-08-12,2.29,2.34,2.27,2.29,37800,66,0,50,116,0,0
46,GETT3,2022-08-15,2.28,2.32,2.26,2.29,40600,106,0,42,148,0,0
47,GETT3,2022-08-16,2.28,2.29,2.27,2.28,4600,6,0,14,20,0,0
48,GETT3,2022-08-17,2.29,2.29,2.25,2.28,9900,9,0,24,33,0,0
49,GETT3,2022-08-18,2.28,2.29,2.25,2.28,6600,8,0,16,24,0,0
50,GETT3,2022-08-19,2.26,2.28,2.25,2.26,17000,39,0,29,68,0,0
51,GETT3,2022-08-22,2.25,2.29,2.25,2.27,18800,66,0,22,88,0,0
52,GETT3,2022-08-23,2.27,2.3,2.26,2.3,19600,84,0,23,107,0,0
53,GETT3,2022-08-24,2.3,2.35,2.29,2.29,38600,78,0,41,119,0,0
54,GETT3,2022-08-25,2.3,2.31,2.27,2.29,18900,52,0,36,88,0,0
55,GETT3,2022-08-26,2.3,2.32,2.28,2.31,30800,85,0,28,113,0,0
56,GETT3,2022-08-29,2.31,2.35,2.31,2.35,29500,88,0,21,109,0,0
57,GETT3,2022-08-30,2.31,2.35,2.31,2.34,33900,76,0,40,116,0,0
58,GETT3,2022-08-31,2.31,2.35,2.29,2.29,24600,45,0,41,86,0,0
59,GETT3,2022-09-01,2.32,2.34,2.28,2.34,41300,113,0,52,165,0,0
60,GETT3,2022-09-02,2.34,2.36,2.33,2.36,24100,63,0,27,90,0,0
61,GETT3,2022-09-05,2.35,2.36,2.29,2.29,29000,56,0,37,93,0,0
62,GETT3,2022-09-06,2.3,2.33,2.28,2.32,23100,62,0,36,98,0,0
63,GETT3,2022-09-08,2.3,2.35,2.3,2.35,66700,182,0,40,222,0,0
64,GETT3,2022-09-09,2.34,2.35,2.32,2.34,42600,91,0,32,123,0,0
65,GETT3,2022-09-12,2.35,2.36,2.33,2.33,62800,171,0,34,205,0,0
66,GETT3,2022-09-13,2.33,2.33,2.3,2.31,12800,29,2,23,54,0,0
67,GETT3,2022-09-14,2.32,2.32,2.29,2.3,45500,52,1,44,97,0,0
68,GETT3,2022-09-15,2.29,2.32,2.29,2.32,8000,25,0,25,50,0,0
69,GETT3,2022-09-16,2.3,2.31,2.29,2.31,7100,20,3,22,44,1,0
70,GETT3,2022-09-19,2.3,2.32,2.3,2.31,4600,17,0,9,26,0,0
71,GETT3,2022-09-20,2.31,2.32,2.29,2.3,25500,66,0,26,92,0,0
72,GETT3,2022-09-21,2.3,2.32,2.29,2.32,36600,80,1,23,104,0,0
73,GETT3,2022-09-22,2.32,2.33,2.25,2.31,55100,77,0,49,126,0,0
74,GETT3,2022-09-23,2.31,2.33,2.29,2.3,10200,27,0,12,39,0,0
75,GETT3,2022-09-26,2.29,2.31,2.29,2.31,7500,18,0,18,36,0,0
76,GETT3,2022-09-27,2.29,2.32,2.28,2.28,20300,44,0,31,75,0,0
77,GETT3,2022-09-28,2.31,2.32,2.11,2.27,571500,363,1,102,466,0,0
78,GETT3,2022-09-29,2.28,2.3,2.26,2.3,11600,33,2,24,59,0,0
79,GETT3,2022-09-30,2.3,2.33,2.28,2.3,46000,170,0,27,197,0,0
80,GETT3,2022-10-03,2.32,2.35,2.31,2.34,102900,411,0,54,465,0,0
81,GETT3,2022-10-04,2.33,2.35,2.33,2.35,55300,147,1,23,171,0,0
82,GETT3,2022-10-05,2.35,2.36,2.31,2.32,75300,192,0,34,226,0,0
83,GETT3,2022-10-06,2.32,2.36,2.32,2.35,46200,164,1,17,182,0,0
84,GETT3,2022-10-07,2.36,2.37,2.34,2.35,112900,200,0,20,220,0,0
85,GETT3,2022-10-10,2.36,2.36,2.33,2.33,14400,9,0,18,27,0,0
86,GETT3,2022-10-11,2.34,2.35,2.31,2.32,6600,9,0,18,27,0,0
87,GETT3,2022-10-13,2.32,2.33,2.31,2.31,2900,3,0,8,11,0,0
88,GETT3,2022-10-14,2.31,2.33,2.3,2.3,9100,30,0,12,42,0,0
89,GETT3,2022-10-17,2.3,2.33,2.3,2.3,7000,13,0,24,37,0,0
90,GETT3,2022-10-18,2.3,2.32,2.29,2.32,9700,23,0,8,31,0,0
91,GETT3,2022-10-19,2.31,2.35,2.31,2.32,49200,152,0,20,172,0,0
92,GETT3,2022-10-20,2.31,2.33,2.3,2.33,5700,14,0,11,25,0,0
93,GETT3,2022-10-21,2.3,2.35,2.3,2.35,29100,90,0,14,104,0,0
94,GETT3,2022-10-24,2.35,2.36,2.3,2.34,30400,71,0,45,116,0,0
95,GETT3,2022-10-25,2.31,2.33,2.3,2.3,20600,25,0,13,38,0,0
96,GETT3,2022-10-26,2.31,2.34,2.3,2.3,10800,26,0,14,40,0,0
97,GETT3,2022-10-27,2.29,2.36,2.29,2.32,13800,48,1,10,59,0,0
98,GETT3,2022-10-28,2.31,2.36,2.29,2.31,38100,101,0,19,120,0,0
99,GETT3,2022-10-31,2.34,2.38,2.33,2.38,77300,169,0,43,212,0,0
100,GETT3,2022-11-01,2.37,2.38,2.32,2.35,30200,77,0,30,107,0,0
101,GETT3,2022-11-03,2.33,2.39,2.33,2.37,58000,225,1,16,242,0,0
102,GETT3,2022-11-04,2.37,2.4,2.36,2.4,121600,598,0,38,636,0,0
103,GETT3,2022-11-07,2.38,2.42,2.37,2.39,33900,70,1,30,101,0,0
104,GETT3,2022-11-08,2.4,2.4,2.36,2.38,60600,60,0,35,95,0,0
105,GETT3,2022-11-09,2.38,2.39,2.35,2.35,48900,112,0,40,152,0,0
106,GETT3,2022-11-10,2.35,2.35,2.29,2.3,307400,410,1,146,557,0,0
107,GETT3,2022-11-14,2.28,2.33,2.27,2.29,31700,131,0,20,151,0,0
108,GETT3,2022-11-17,2.33,2.36,2.31,2.34,101200,198,1,133,332,0,0
109,GETT3,2022-11-18,2.34,2.37,2.34,2.35,66400,207,1,24,232,0,0
110,GETT3,2022-11-21,2.35,2.39,2.35,2.35,87600,269,0,23,292,0,0
111,GETT3,2022-11-22,2.35,2.4,2.35,2.38,33700,103,3,31,137,0,0
112,GETT3,2022-11-23,2.38,2.4,2.35,2.4,72800,160,0,27,187,0,0
113,GETT3,2022-11-24,2.39,2.42,2.36,2.38,120500,540,0,33,573,0,0
114,GETT3,2022-11-25,2.4,2.41,2.33,2.35,43200,77,0,43,120,0,0
115,GETT3,2022-11-28,2.34,2.35,2.33,2.35,9600,4,0,13,17,0,0
116,GETT3,2022-11-29,2.32,2.32,2.29,2.29,12200,3,1,33,37,0,0
117,GETT3,2022-11-30,2.29,2.34,2.27,2.27,45500,136,4,56,196,0,0
118,GETT3,2022-12-01,2.25,2.29,2.19,2.26,57300,67,0,59,126,0,0
119,GETT3,2022-12-02,2.27,2.3,2.23,2.26,70700,40,2,45,87,0,0
120,GETT3,2022-12-05,2.27,2.3,2.26,2.28,57200,62,0,13,75,0,0
121,GETT3,2022-12-06,2.29,2.35,2.28,2.35,21100,36,0,20,56,0,0
122,GETT3,2022-12-07,2.32,2.35,2.32,2.35,43500,7,0,11,18,0,0
123,GETT3,2022-12-08,2.33,2.35,2.33,2.35,5800,2,0,12,14,0,0
124,GETT3,2022-12-09,2.33,2.34,2.32,2.32,1600,4,0,5,9,0,0
125,GETT3,2022-12-12,2.32,2.36,2.3,2.3,6300,7,1,12,20,0,0
