,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,GFSA3,2022-10-20,7.41,7.41,7.12,7.16,1179700,701,40,818,1559,0,0
1,GFSA3,2022-09-20,1.22,1.24,1.2,1.21,3532500,1043,28,1763,2834,0,0
2,GFSA3,2023-03-17,7.3,7.3,6.74,6.84,2229000,1420,73,1717,3210,0,0
3,GFSA3,2022-08-08,1.3,1.35,1.27,1.29,8968400,2070,44,1427,3541,0,0
4,GFSA3,2022-08-31,1.22,1.25,1.18,1.19,4746700,617,34,741,1392,0,0
5,GFSA3,2022-07-27,1.12,1.17,1.12,1.17,4151600,812,28,476,1316,0,0
6,GFSA3,2022-08-17,1.39,1.4,1.34,1.34,9950600,1045,31,1545,2621,0,0
7,GFSA3,2022-10-14,8.08,8.29,7.74,7.76,989000,767,1,787,1554,1,0
8,GFSA3,2023-02-10,9.86,10.41,9.55,9.81,2408500,1841,83,1626,3549,1,0
9,GFSA3,2023-01-20,11.73,12.78,11.55,12.68,7359500,7287,219,5520,13026,0,0
10,GFSA3,2022-12-12,5.84,5.99,5.6,5.9,1338500,841,20,953,1814,0,0
11,GFSA3,2022-10-19,7.66,7.67,7.32,7.33,3191400,1770,118,1786,3670,4,0
12,GFSA3,2022-12-13,5.94,6.07,5.51,5.7,2616000,1354,28,1497,2878,1,0
13,GFSA3,2022-11-23,6.43,6.49,6.22,6.29,1087400,651,23,513,1187,0,0
14,GFSA3,2023-05-02,5.79,5.79,5.26,5.26,2456900,1214,70,1881,3165,0,0
15,GFSA3,2022-06-20,1.27,1.29,1.23,1.28,2609900,376,27,1047,1450,0,0
16,GFSA3,2022-07-18,1.25,1.29,1.16,1.17,6775600,709,38,2486,3233,0,0
17,GFSA3,2023-02-20,8.58,8.75,8.26,8.34,1918100,1090,77,1355,2522,0,0
18,GFSA3,2022-07-07,1.22,1.3,1.19,1.29,6513400,1700,72,821,2593,0,0
19,GFSA3,2022-07-25,1.21,1.21,1.16,1.17,4679500,1295,46,1141,2481,1,0
20,GFSA3,2023-07-25,5.96,5.99,5.8,5.81,3541700,1444,63,1747,3254,0,0
21,GFSA3,2023-07-31,5.85,6.05,5.81,6.02,1894100,1024,82,820,1926,0,0
22,GFSA3,2022-07-11,1.26,1.3,1.24,1.26,5711200,3759,37,1028,4824,0,0
23,GFSA3,2023-03-20,6.95,7.01,6.35,6.55,1553000,1118,59,1384,2561,0,0
24,GFSA3,2023-08-14,5.53,5.53,5.24,5.31,2708900,1228,98,1855,3143,38,0
25,GFSA3,2023-01-09,22.0,26.23,18.45,23.08,16732400,28718,1329,21147,51194,0,0
26,GFSA3,2023-02-09,10.25,10.49,9.68,9.87,2727400,1787,64,1841,3692,0,0
27,GFSA3,2023-01-03,14.84,22.19,14.41,21.3,27994200,35793,435,38018,74246,0,0
28,GFSA3,2022-11-09,8.11,8.25,7.9,8.13,1096600,664,0,880,1544,0,0
29,GFSA3,2022-09-16,1.24,1.25,1.2,1.22,4543300,1436,56,2682,4174,0,0
30,GFSA3,2022-09-13,1.3,1.33,1.28,1.31,4447800,1873,42,1227,3142,0,0
31,GFSA3,2022-10-04,8.05,8.16,7.7,7.8,2002600,2399,60,1480,3939,0,0
32,GFSA3,2023-05-03,5.32,5.41,5.06,5.07,2693800,1336,59,1972,3367,0,0
33,GFSA3,2023-03-10,7.86,7.9,7.3,7.49,3096100,1420,59,1597,3076,0,0
34,GFSA3,2022-11-30,6.2,6.23,5.72,6.18,3998900,1345,51,2591,3987,0,0
35,GFSA3,2023-08-16,5.13,5.22,5.1,5.2,2814400,1668,50,1591,3309,0,0
36,GFSA3,2023-06-09,6.83,7.44,6.79,6.96,10018100,5699,93,4407,10199,0,0
37,GFSA3,2023-06-01,4.98,5.15,4.9,5.05,2811800,1911,43,1541,3494,1,0
38,GFSA3,2023-07-13,5.95,6.08,5.82,5.88,2920900,1503,85,1623,3211,0,0
39,GFSA3,2023-04-17,5.86,6.0,5.72,5.83,2002800,1570,51,1236,2855,2,0
40,GFSA3,2022-11-18,6.77,6.94,6.41,6.42,2297800,1064,33,1197,2293,1,0
