,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,GGBR3,2022-06-06,23.68,24.04,23.6,23.76,33000,95,14,66,175,0,0
1,GGBR3,2022-06-07,23.71,24.0,23.62,23.96,28000,94,0,62,156,0,0
2,GGBR3,2022-06-08,23.85,24.0,22.47,22.9,58000,141,12,215,368,0,0
3,GGBR3,2022-06-09,22.69,22.75,21.95,22.1,67700,148,25,271,444,0,0
4,GGBR3,2022-06-10,21.95,21.95,21.1,21.79,33200,94,12,101,207,0,0
5,GGBR3,2022-06-13,21.63,21.63,19.94,20.69,104000,230,12,355,597,0,0
6,GGBR3,2022-06-14,20.69,20.7,20.01,20.17,29100,82,5,105,192,0,0
7,GGBR3,2022-06-15,20.6,20.69,20.0,20.35,28400,100,8,93,201,0,0
8,GGBR3,2022-06-17,20.07,20.07,18.69,18.71,135000,150,18,374,542,0,0
9,GGBR3,2022-06-20,18.77,19.0,18.07,18.8,86500,308,4,161,473,0,0
10,GGBR3,2022-06-21,19.01,19.2,18.69,18.93,103300,255,22,197,474,0,0
11,GGBR3,2022-06-22,18.68,18.68,17.98,18.31,86000,132,11,171,314,0,0
12,GGBR3,2022-06-23,18.36,18.91,17.5,17.78,117500,284,10,348,642,0,0
13,GGBR3,2022-06-24,17.97,18.65,17.93,18.51,186800,273,16,116,405,0,0
14,GGBR3,2022-06-27,18.62,19.05,18.58,18.85,57900,169,17,121,307,0,0
15,GGBR3,2022-06-28,19.2,19.33,18.63,18.77,60700,122,9,176,307,0,0
16,GGBR3,2022-06-29,18.87,19.04,18.5,18.5,31200,89,17,85,191,0,0
17,GGBR3,2022-06-30,18.2,18.21,17.77,17.98,143500,217,8,327,552,0,0
18,GGBR3,2022-07-01,17.71,17.88,17.23,17.84,62600,143,0,224,367,0,0
19,GGBR3,2022-07-04,17.59,17.87,17.35,17.5,38000,100,2,108,210,0,0
20,GGBR3,2022-07-05,17.42,17.58,17.11,17.49,55300,109,11,173,293,0,0
21,GGBR3,2022-07-06,17.48,17.87,17.21,17.8,35000,103,7,83,193,0,0
22,GGBR3,2022-07-07,17.88,18.9,17.88,18.44,61300,199,20,151,370,0,0
23,GGBR3,2022-07-08,18.45,18.9,18.42,18.48,41000,145,12,133,290,0,0
24,GGBR3,2022-07-11,18.42,18.42,18.05,18.05,34900,75,17,74,166,0,0
25,GGBR3,2022-07-12,18.06,18.49,17.66,18.35,57500,143,11,149,303,0,0
