,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,GGPS3,2022-10-10,13.85,14.13,13.73,14.04,1065800,2754,57,1541,4351,1,0
1,GGPS3,2022-09-01,13.63,14.3,13.56,14.23,1164700,3688,53,2207,5947,1,0
2,GGPS3,2023-02-13,11.84,11.87,11.62,11.7,4663900,1755,57,1257,3067,2,0
3,GGPS3,2023-08-15,17.73,17.89,17.5,17.64,1751300,2333,103,3581,6015,2,0
4,GGPS3,2022-07-18,11.03,11.16,10.68,10.74,1177900,1454,123,1666,3240,3,0
5,GGPS3,2023-06-22,16.0,16.04,15.67,15.9,1007200,2643,71,2052,4766,0,0
6,GGPS3,2022-07-21,11.63,11.88,11.53,11.56,307400,910,70,715,1695,0,0
7,GGPS3,2023-02-14,11.74,11.82,11.27,11.42,2209100,1234,52,1201,2486,1,0
8,GGPS3,2023-03-01,11.77,11.94,11.54,11.74,3376200,4559,92,2864,7509,6,0
9,GGPS3,2022-12-26,11.95,12.31,11.82,11.97,989300,2821,35,3833,6689,0,0
10,GGPS3,2022-09-22,13.8,13.86,13.55,13.75,1534700,4830,44,3834,8706,2,0
11,GGPS3,2022-06-23,11.31,11.6,11.22,11.41,1059400,2354,76,1798,4228,0,0
12,GGPS3,2022-10-25,13.7,13.73,13.47,13.53,789400,1138,42,1400,2580,0,0
13,GGPS3,2023-04-20,12.15,12.5,11.98,12.45,1364500,2401,74,2723,5195,3,0
14,GGPS3,2023-02-27,11.68,12.02,11.65,11.84,1843700,2831,61,2079,4966,5,0
15,GGPS3,2023-04-18,12.77,12.92,12.59,12.66,1844900,2642,55,2333,5030,0,0
16,GGPS3,2023-04-06,11.94,12.25,11.94,12.1,954900,1754,67,2575,4396,0,0
17,GGPS3,2022-07-22,11.83,11.83,11.4,11.53,470800,1088,36,1833,2957,0,0
18,GGPS3,2023-03-20,11.99,12.1,11.79,11.87,1604600,4080,83,4693,8855,1,0
19,GGPS3,2022-09-28,13.15,13.31,12.98,13.15,2037200,3588,43,2915,6545,1,0
20,GGPS3,2023-05-05,12.63,13.42,12.63,13.27,4438500,4797,125,6136,11007,51,0
21,GGPS3,2023-01-30,12.31,12.39,11.98,12.25,1342500,2222,71,3600,5893,0,0
22,GGPS3,2023-02-20,11.83,11.83,11.6,11.68,686200,1317,49,1552,2918,0,0
23,GGPS3,2023-06-01,14.82,15.21,14.8,15.21,2716400,3770,88,2526,6380,4,0
24,GGPS3,2023-05-22,14.45,14.77,14.45,14.65,1938000,2468,94,3325,5886,1,0
25,GGPS3,2023-01-11,11.68,11.86,11.21,11.53,2372900,2856,59,4820,7732,3,0
26,GGPS3,2023-07-07,17.34,17.76,17.33,17.66,1213600,2925,94,1713,4732,0,0
27,GGPS3,2023-07-03,17.0,17.39,16.82,17.1,5277300,9953,94,6539,16579,7,0
28,GGPS3,2023-04-04,12.3,12.63,12.3,12.34,1408900,3377,90,2827,6269,25,0
29,GGPS3,2023-01-24,12.11,12.38,12.01,12.29,2240500,2948,63,2095,5105,1,0
30,GGPS3,2023-02-10,11.48,11.94,11.48,11.83,631400,813,62,917,1792,0,0
31,GGPS3,2022-09-29,13.09,13.37,12.95,13.2,2578800,4692,52,4080,8821,3,0
32,GGPS3,2022-09-21,13.77,13.9,13.61,13.61,996300,2370,41,2680,5091,0,0
33,GGPS3,2023-08-21,17.1,18.0,17.1,17.81,7505800,5062,157,5065,10275,9,0
