,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,GMAT3,2022-06-06,4.42,4.44,4.24,4.25,3604000,3697,92,3945,7731,3,0
1,GMAT3,2022-06-07,4.25,4.25,4.16,4.2,2512400,2301,58,4223,6582,0,0
2,GMAT3,2022-06-08,4.19,4.21,4.12,4.15,4303400,3200,46,6710,9955,1,0
3,GMAT3,2022-06-09,4.13,4.2,4.08,4.17,3856500,2972,52,3700,6724,0,0
4,GMAT3,2022-06-10,4.19,4.19,4.05,4.07,3862600,2615,55,4472,7141,1,0
5,GMAT3,2022-06-13,4.0,4.02,3.72,3.74,6107500,5051,76,7113,12239,1,0
6,GMAT3,2022-06-14,3.73,3.75,3.58,3.64,6671100,7730,53,8245,16026,2,0
7,GMAT3,2022-06-15,3.7,3.85,3.65,3.75,7625200,6189,73,7128,13387,3,0
8,GMAT3,2022-06-17,3.66,3.69,3.49,3.63,11306100,6784,164,10140,17086,2,0
9,GMAT3,2022-06-20,3.6,3.65,3.49,3.49,2392000,2398,69,3395,5862,0,0
10,GMAT3,2022-06-21,3.52,3.54,3.4,3.41,4454300,3167,105,4303,7575,0,0
11,GMAT3,2022-06-22,3.37,3.43,3.27,3.28,7155600,5062,73,4716,9851,0,0
12,GMAT3,2022-06-23,3.3,3.39,3.27,3.29,6160500,6137,50,3554,9740,1,0
13,GMAT3,2022-06-24,3.34,3.39,3.26,3.32,5322400,3788,47,5282,9117,0,0
14,GMAT3,2022-06-27,3.34,3.42,3.25,3.33,7092100,3964,39,6181,10183,1,0
15,GMAT3,2022-06-28,3.37,3.48,3.36,3.42,5342900,2984,58,4389,7431,0,0
16,GMAT3,2022-06-29,3.45,3.46,3.3,3.32,2946400,2484,52,4925,7460,1,0
17,GMAT3,2022-06-30,3.27,3.4,3.21,3.35,7663600,5717,362,3142,8946,275,0
18,GMAT3,2022-07-01,3.35,3.44,3.34,3.39,3369600,2915,1214,3730,6694,1165,0
19,GMAT3,2022-07-04,3.39,3.46,3.38,3.42,2502700,4591,51,1940,6581,1,0
20,GMAT3,2022-07-05,3.4,3.48,3.36,3.47,3849700,3898,64,4404,8364,2,0
21,GMAT3,2022-07-06,3.45,3.6,3.4,3.6,5852700,5713,47,4022,9778,4,0
22,GMAT3,2022-07-07,3.6,3.68,3.58,3.63,4814000,5143,52,3756,8949,2,0
23,GMAT3,2022-07-08,3.64,3.78,3.63,3.75,5583500,7360,663,3903,11327,599,0
24,GMAT3,2022-07-11,3.73,3.8,3.63,3.75,5900700,4960,51,5577,10580,8,0
25,GMAT3,2022-07-12,3.73,3.85,3.68,3.82,7414200,5564,64,7593,13213,8,0
26,GMAT3,2022-07-13,3.79,4.05,3.76,4.0,8981100,4763,72,5333,10149,19,0
27,GMAT3,2022-07-14,3.95,4.14,3.94,4.09,5454700,3768,50,3762,7580,0,0
28,GMAT3,2022-07-15,4.1,4.4,4.05,4.32,33227400,7948,129,9286,17359,4,0
29,GMAT3,2022-07-18,4.34,4.37,4.11,4.11,6133000,3836,167,5476,9368,111,0
30,GMAT3,2022-07-19,4.14,4.18,4.06,4.14,3552500,3125,62,3683,6870,0,0
31,GMAT3,2022-07-20,4.13,4.3,4.1,4.23,6234800,5821,49,4177,10047,0,0
32,GMAT3,2022-07-21,4.2,4.25,4.17,4.21,5546100,3426,56,2487,5962,7,0
33,GMAT3,2022-07-22,4.2,4.27,4.14,4.2,4705000,2547,56,5455,8056,2,0
34,GMAT3,2022-07-25,4.22,4.34,4.19,4.28,5740100,4181,58,2871,7106,4,0
35,GMAT3,2022-07-26,4.3,4.3,4.05,4.06,4601900,2394,68,4909,7370,1,0
36,GMAT3,2022-07-27,3.98,4.34,3.87,4.3,13456300,9151,65,6772,15985,3,0
37,GMAT3,2022-07-28,4.3,4.46,4.22,4.46,6236400,5066,88,3529,8683,0,0
38,GMAT3,2022-07-29,4.44,4.45,4.27,4.29,5415900,4560,54,5314,9927,1,0
39,GMAT3,2022-08-01,4.29,4.49,4.26,4.44,7249800,5286,69,6613,11968,0,0
40,GMAT3,2022-08-02,4.5,4.5,4.37,4.43,2898600,3368,74,3423,6863,2,0
41,GMAT3,2022-08-03,4.43,4.54,4.38,4.47,4117000,2674,59,3067,5799,1,0
42,GMAT3,2022-08-08,4.74,4.95,4.69,4.88,4343900,4329,58,3625,8012,0,0
43,GMAT3,2022-08-09,4.86,4.92,4.6,4.72,4483800,4489,50,5953,10491,1,0
44,GMAT3,2022-08-10,4.75,5.01,4.7,4.93,5579700,7368,48,3450,10866,0,0
45,GMAT3,2022-08-12,5.24,5.6,5.2,5.35,24625600,19780,371,11004,31152,3,0
46,GMAT3,2022-08-15,5.35,5.55,5.33,5.49,13287900,8527,69,8238,16830,4,0
47,GMAT3,2022-08-16,5.48,5.53,5.38,5.49,5327900,4148,79,4152,8379,0,0
48,GMAT3,2022-08-17,5.46,5.75,5.44,5.74,11902100,8682,93,5953,14723,5,0
49,GMAT3,2022-08-18,5.86,6.2,5.8,6.15,12876600,13216,134,12651,25994,7,0
50,GMAT3,2022-08-19,6.07,6.37,6.01,6.12,13009300,9342,72,6900,16314,0,0
51,GMAT3,2022-08-22,6.05,6.09,5.88,5.94,8066200,8984,80,6964,16026,2,0
52,GMAT3,2022-08-23,5.99,6.09,5.93,6.06,5857900,5870,58,5057,10979,6,0
53,GMAT3,2022-08-24,6.06,6.26,6.06,6.14,6720900,6846,67,4943,11848,8,0
54,GMAT3,2022-08-25,6.17,6.3,6.14,6.23,8979400,6953,58,5093,12101,3,0
55,GMAT3,2022-08-26,6.25,6.31,6.07,6.19,3495500,4979,76,4010,9065,0,0
56,GMAT3,2022-08-29,6.18,6.37,6.14,6.27,4465800,6959,65,4191,11214,1,0
57,GMAT3,2022-08-30,6.31,6.4,6.07,6.13,2398200,3373,83,3014,6470,0,0
58,GMAT3,2022-08-31,6.19,6.43,6.16,6.39,7982300,7186,153,3662,10998,3,0
59,GMAT3,2022-09-01,6.44,6.53,6.36,6.53,5077900,6878,131,5106,12115,0,0
60,GMAT3,2022-09-02,6.53,6.69,6.43,6.58,4917400,4719,147,4293,9154,5,0
61,GMAT3,2022-09-05,6.68,6.68,6.46,6.57,4125600,4175,87,4032,8293,1,0
62,GMAT3,2022-09-06,6.52,6.6,6.39,6.51,5915600,4968,73,10688,15729,0,0
63,GMAT3,2022-09-08,6.52,6.6,6.34,6.45,4377300,4260,113,5064,9437,0,0
64,GMAT3,2022-09-09,6.55,6.64,6.43,6.55,7179200,5410,105,9291,14806,0,0
65,GMAT3,2022-09-12,6.62,6.76,6.59,6.69,5453700,3937,99,7732,11768,0,0
66,GMAT3,2022-09-13,6.63,6.76,6.53,6.67,6172900,4993,76,7562,12630,1,0
67,GMAT3,2022-09-14,6.71,7.03,6.64,6.84,6923800,5509,115,4183,9807,0,0
68,GMAT3,2022-09-15,6.82,6.88,6.71,6.75,3880800,5988,82,4507,10575,2,0
69,GMAT3,2022-09-16,6.75,6.85,6.51,6.85,10184200,4583,192,5975,10746,4,0
70,GMAT3,2022-09-19,6.79,6.96,6.75,6.86,3891400,4925,79,4392,9395,1,0
71,GMAT3,2022-09-20,6.85,6.98,6.79,6.83,4676900,3819,81,6594,10494,0,0
72,GMAT3,2022-09-21,6.87,6.97,6.73,6.76,4651900,7116,92,4831,12031,8,0
73,GMAT3,2022-09-22,6.85,7.21,6.83,7.11,12495100,8140,84,7038,15257,5,0
74,GMAT3,2022-09-23,7.02,7.09,6.79,6.84,4937600,7437,126,4200,11762,1,0
75,GMAT3,2022-09-26,6.84,6.84,6.46,6.46,4693500,5013,112,9878,15003,0,0
76,GMAT3,2022-09-27,6.63,6.72,6.41,6.44,4810300,6642,73,5495,12209,1,0
77,GMAT3,2022-09-28,6.5,6.68,6.41,6.62,3707900,5819,89,4061,9968,1,0
78,GMAT3,2022-09-29,6.55,6.58,6.43,6.54,3423000,5249,94,3469,8812,0,0
79,GMAT3,2022-09-30,6.55,6.72,6.42,6.58,6587200,4479,108,7007,11589,5,0
80,GMAT3,2022-10-03,6.6,6.76,6.57,6.66,9517000,9598,104,7464,17164,2,0
81,GMAT3,2022-10-04,6.73,6.87,6.52,6.53,7120100,7360,116,9708,17184,0,0
82,GMAT3,2022-10-05,6.61,6.61,6.41,6.45,5397200,4313,127,5299,9738,1,0
83,GMAT3,2022-10-06,6.47,6.55,6.41,6.42,4031200,6223,99,6445,12767,0,0
84,GMAT3,2022-10-07,6.41,6.45,6.3,6.35,3552000,4145,88,5148,9381,0,0
85,GMAT3,2022-10-10,6.36,6.52,6.29,6.29,6061000,5692,114,5632,11438,0,0
86,GMAT3,2022-10-11,6.28,6.38,6.19,6.2,6348500,4970,105,6639,11713,1,0
87,GMAT3,2022-10-13,6.28,6.44,6.17,6.3,5893700,6834,100,4428,11362,0,0
