,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,GOAU3,2022-06-06,11.49,11.55,11.38,11.45,39000,103,0,93,196,0,0
1,GOAU3,2022-06-07,11.48,11.54,11.37,11.54,63200,73,0,75,148,0,0
2,GOAU3,2022-06-08,11.49,11.49,11.09,11.19,54300,45,0,115,160,0,0
3,GOAU3,2022-06-09,11.19,11.19,10.79,10.85,62800,65,0,169,234,0,0
4,GOAU3,2022-06-10,10.72,10.81,10.41,10.73,53900,119,0,118,237,0,0
5,GOAU3,2022-06-13,10.69,10.69,10.2,10.21,109900,244,22,255,521,0,0
6,GOAU3,2022-06-14,10.37,10.38,10.06,10.1,66700,109,10,174,293,0,0
7,GOAU3,2022-06-15,10.23,10.39,10.0,10.08,48200,60,0,111,171,0,0
8,GOAU3,2022-06-17,10.0,10.04,9.12,9.27,501400,643,0,938,1581,0,0
9,GOAU3,2022-06-20,9.28,9.28,8.92,9.28,120000,178,0,342,520,0,0
10,GOAU3,2022-06-21,9.4,9.49,9.18,9.24,105800,136,0,157,293,0,0
11,GOAU3,2022-06-22,9.25,9.25,8.91,9.06,242300,173,11,883,1067,0,0
12,GOAU3,2022-06-23,9.19,9.34,8.66,8.85,245700,418,0,818,1236,0,0
13,GOAU3,2022-06-24,8.87,9.14,8.83,9.01,51200,100,0,116,216,0,0
14,GOAU3,2022-06-27,9.16,9.34,9.0,9.1,91000,135,0,108,243,0,0
15,GOAU3,2022-06-28,9.23,9.39,9.15,9.28,49700,64,0,133,197,0,0
16,GOAU3,2022-06-29,9.39,9.39,9.11,9.11,42300,68,0,87,155,0,0
17,GOAU3,2022-06-30,9.1,9.1,8.85,9.02,132100,216,21,347,584,0,0
18,GOAU3,2022-07-01,8.96,8.96,8.63,8.9,224800,513,0,671,1184,0,0
19,GOAU3,2022-07-04,8.83,9.03,8.67,8.82,679600,266,3,629,897,1,0
20,GOAU3,2022-07-05,8.88,8.88,8.65,8.8,3550800,194,43,248,484,1,0
21,GOAU3,2022-07-06,8.82,9.05,8.71,9.05,58000,129,0,103,232,0,0
22,GOAU3,2022-07-07,9.05,9.4,9.05,9.4,77700,133,13,76,222,0,0
23,GOAU3,2022-07-08,9.42,9.53,9.26,9.36,30100,71,7,74,152,0,0
24,GOAU3,2022-07-11,9.26,9.26,9.11,9.15,85400,63,1,86,149,1,0
25,GOAU3,2022-07-12,9.11,9.24,8.95,9.18,71700,72,0,146,218,0,0
